ISIN,Rating Rank,Month,Year
FR0012007458,7.0,2,2015
FR0012007458,7.0,3,2015
FR0012007458,7.0,4,2015
FR0012007458,7.0,5,2015
FR0012007458,7.0,6,2015
FR0012007458,7.0,7,2015
FR0012007458,7.0,8,2015
FR0012007458,7.0,9,2015
FR0012007458,7.0,10,2015
FR0012007458,7.0,11,2015
FR0012007458,7.0,12,2015
FR0012007458,7.0,1,2016
FR0012007458,7.0,2,2016
FR0012007458,7.0,3,2016
FR0012007458,7.0,4,2016
FR0012007458,7.0,5,2016
FR0012007458,7.0,6,2016
FR0012007458,7.0,7,2016
FR0012007458,7.0,8,2016
FR0012007458,7.0,9,2016
FR0012007458,7.0,10,2016
FR0012007458,7.0,11,2016
FR0012007458,7.0,12,2016
FR0012007458,7.0,1,2017
FR0012007458,7.0,2,2017
FR0012007458,7.0,3,2017
FR0012007458,7.0,4,2017
FR0012007458,7.0,5,2017
FR0012007458,7.0,6,2017
FR0012007458,7.0,7,2017
FR0012007458,7.0,8,2017
FR0012007458,7.0,9,2017
FR0012007458,7.0,10,2017
FR0012007458,7.0,11,2017
FR0012007458,7.0,12,2017
FR0012007458,7.0,1,2018
FR0012007458,7.0,2,2018
FR0012007458,7.0,3,2018
FR0012007458,6.0,4,2018
FR0012007458,6.0,5,2018
FR0012007458,6.0,6,2018
FR0012007458,6.0,7,2018
FR0012007458,6.0,8,2018
FR0012007458,6.0,9,2018
FR0012007458,6.0,10,2018
FR0012007458,6.0,11,2018
FR0012007458,6.0,12,2018
FR0012007458,6.0,1,2019
FR0012007458,6.0,2,2019
FR0012007458,6.0,3,2019
FR0012007458,6.0,4,2019
FR0012007458,6.0,5,2019
FR0012007458,6.0,6,2019
FR0012007458,6.0,7,2019
FR0012007458,6.0,8,2019
FR0012007458,6.0,9,2019
FR0012007458,6.0,10,2019
FR0012007458,6.0,11,2019
FR0012007458,6.0,12,2019
FR0012007458,6.0,1,2020
FR0012007458,6.0,2,2020
FR0012007458,6.0,3,2020
FR0012007458,6.0,4,2020
FR0012007458,6.0,5,2020
FR0012007458,6.0,6,2020
FR0012007458,6.0,7,2020
FR0012007458,6.0,8,2020
FR0012007458,6.0,9,2020
FR0012007458,6.0,10,2020
FR0012007458,6.0,11,2020
FR0012007458,6.0,12,2020
FR0012007458,6.0,1,2021
FR0012007458,6.0,2,2021
FR0012007458,6.0,3,2021
FR0012007458,6.0,4,2021
FR0012007458,6.0,5,2021
FR0012007458,6.0,6,2021
FR0012007458,6.0,7,2021
FR0012007458,6.0,8,2021
FR0012007458,6.0,9,2021
FR0012007458,6.0,10,2021
FR0012007458,6.0,11,2021
FR0012007458,6.0,12,2021
FR0012007458,6.0,1,2022
FR0012007458,6.0,2,2022
FR0012007458,6.0,3,2022
FR0012007458,6.0,4,2022
FR0012007458,6.0,5,2022
FR0012007458,6.0,6,2022
FR0012007458,6.0,7,2022
FR0012007458,6.0,8,2022
FR0012007458,6.0,9,2022
FR0012007458,5.0,10,2022
FR0012007458,6.0,10,2022
FR0012007458,6.0,11,2022
FR0012007458,6.0,12,2022
FR0012007458,6.0,1,2023
FR0012007458,6.0,2,2023
FR0012007458,6.0,3,2023
FR0012007458,6.0,4,2023
FR0012007458,6.0,5,2023
FR0012007458,6.0,6,2023
FR0012007458,6.0,7,2023
FR0013240645,7.0,7,2017
FR0013240645,7.0,8,2017
FR0013240645,7.0,9,2017
FR0013240645,7.0,10,2017
FR0013240645,7.0,11,2017
FR0013240645,7.0,12,2017
FR0013240645,7.0,1,2018
FR0013240645,7.0,2,2018
FR0013240645,7.0,3,2018
FR0013240645,6.0,4,2018
FR0013240645,6.0,5,2018
FR0013240645,6.0,6,2018
FR0013240645,6.0,7,2018
FR0013240645,6.0,8,2018
FR0013240645,6.0,9,2018
FR0013240645,6.0,10,2018
FR0013240645,6.0,11,2018
FR0013240645,6.0,12,2018
FR0013240645,6.0,1,2019
FR0013240645,6.0,2,2019
FR0013240645,6.0,3,2019
FR0013240645,6.0,4,2019
FR0013240645,6.0,5,2019
FR0013240645,6.0,6,2019
FR0013240645,6.0,7,2019
FR0013240645,6.0,8,2019
FR0013240645,6.0,9,2019
FR0013240645,6.0,10,2019
FR0013240645,6.0,11,2019
FR0013240645,6.0,12,2019
FR0013240645,6.0,1,2020
FR0013240645,6.0,2,2020
FR0013240645,6.0,3,2020
FR0013240645,6.0,4,2020
FR0013240645,6.0,5,2020
FR0013240645,6.0,6,2020
FR0013240645,6.0,7,2020
FR0013240645,6.0,8,2020
FR0013240645,6.0,9,2020
FR0013240645,6.0,10,2020
FR0013240645,6.0,11,2020
FR0013240645,6.0,12,2020
FR0013240645,6.0,1,2021
FR0013240645,6.0,2,2021
FR0013240645,6.0,3,2021
FR0013240645,6.0,4,2021
FR0013240645,6.0,5,2021
FR0013240645,6.0,6,2021
FR0013240645,6.0,7,2021
FR0013240645,6.0,8,2021
FR0013240645,6.0,9,2021
FR0013240645,6.0,10,2021
FR0013240645,6.0,11,2021
FR0013240645,6.0,12,2021
FR0013240645,6.0,1,2022
FR0013240645,6.0,2,2022
FR0013240645,6.0,3,2022
FR0013240645,6.0,4,2022
FR0013240645,6.0,5,2022
FR0013240645,6.0,6,2022
FR0013240645,6.0,7,2022
FR0013240645,6.0,8,2022
FR0013240645,6.0,9,2022
FR0013240645,5.0,10,2022
FR0013240645,6.0,10,2022
FR0013240645,6.0,11,2022
FR0013240645,6.0,12,2022
FR0013240645,6.0,1,2023
FR0013240645,6.0,2,2023
FR0013240645,6.0,3,2023
FR0013240645,6.0,4,2023
FR0013240645,6.0,5,2023
FR0013240645,6.0,6,2023
FR0013240645,6.0,7,2023
FR0013464435,8.0,11,2019
FR0013464435,8.0,12,2019
FR0013464435,8.0,1,2020
FR0013464435,8.0,2,2020
FR0013464435,8.0,3,2020
FR0013464435,9.0,4,2020
FR0013464435,8.0,5,2020
FR0013464435,8.0,6,2020
FR0013464435,8.0,7,2020
FR0013464435,8.0,8,2020
FR0013464435,8.0,9,2020
FR0013464435,8.0,10,2020
FR0013464435,8.0,11,2020
FR0013464435,8.0,12,2020
FR0013464435,8.0,1,2021
FR0013464435,8.0,2,2021
FR0013464435,8.0,3,2021
FR0013464435,8.0,4,2021
FR0013464435,8.0,5,2021
FR0013464435,8.0,6,2021
FR0013464435,8.0,7,2021
FR0013464435,8.0,8,2021
FR0013464435,8.0,9,2021
FR0013464435,8.0,10,2021
FR0013464435,8.0,11,2021
FR0013464435,8.0,12,2021
FR0013464435,8.0,1,2022
FR0013464435,8.0,2,2022
FR0013464435,8.0,3,2022
FR0013464435,8.0,4,2022
FR0013464435,8.0,5,2022
FR0013464435,8.0,6,2022
FR0013464435,8.0,7,2022
FR0013464435,8.0,8,2022
FR0013464435,8.0,9,2022
FR0013464435,8.0,10,2022
FR0013464435,8.0,11,2022
FR0013464435,9.0,12,2022
FR0013464435,8.0,12,2022
FR0013464435,8.0,1,2023
FR0013464435,8.0,2,2023
FR0013464435,8.0,3,2023
FR0013464435,8.0,4,2023
FR0013464435,8.0,5,2023
FR0013464435,8.0,6,2023
FR0013464435,8.0,7,2023
FR0014001VD2,2.0,4,2021
FR0014001VD2,3.0,5,2021
FR0014001VD2,3.0,6,2021
FR0014001VD2,3.0,7,2021
FR0014001VD2,3.0,8,2021
FR0014001VD2,3.0,9,2021
FR0014001VD2,3.0,10,2021
FR0014001VD2,3.0,11,2021
FR0014001VD2,3.0,12,2021
FR0014001VD2,2.0,1,2022
FR0014001VD2,2.0,2,2022
FR0014001VD2,2.0,3,2022
FR0014001VD2,2.0,4,2022
FR0014001VD2,2.0,5,2022
FR0014001VD2,2.0,6,2022
FR0014001VD2,2.0,7,2022
FR0014001VD2,2.0,8,2022
FR0014001VD2,2.0,9,2022
FR0014001VD2,2.0,10,2022
FR0014001VD2,2.0,11,2022
FR0014001VD2,3.0,12,2022
FR0014001VD2,2.0,1,2023
FR0014001VD2,3.0,1,2023
FR0014001VD2,3.0,2,2023
FR0014001VD2,3.0,3,2023
FR0014001VD2,3.0,4,2023
FR0014001VD2,3.0,5,2023
FR0014001VD2,3.0,6,2023
FR0014001VD2,3.0,7,2023
HK0000895703,4.0,12,2022
HK0000895703,4.0,1,2023
HK0000895703,4.0,2,2023
HK0000895703,4.0,3,2023
HK0000895703,4.0,3,2023
HK0000895703,4.0,4,2023
HK0000895703,4.0,5,2023
HK0000895703,4.0,6,2023
HK0000895703,4.0,7,2023
IT0005331753,10.0,4,2018
IT0005331753,10.0,5,2018
IT0005331753,10.0,6,2018
