Date,BID,ASK,RIC
2019-07-26,99.8877,100.1215,05531FBH5=
2019-07-29,99.9275,100.1614,05531FBH5=
2019-07-30,99.6315,99.8645,05531FBH5=
2019-07-31,99.706,99.939,05531FBH5=
2019-08-01,100.2471,100.4812,05531FBH5=
2019-08-02,100.3405,100.5748,05531FBH5=
2019-08-05,100.8609,101.0964,05531FBH5=
2019-08-06,100.8228,101.0581,05531FBH5=
2019-08-07,100.7472,100.9822,05531FBH5=
2019-08-08,100.4886,100.7225,05531FBH5=
2019-08-09,100.311,100.5443,05531FBH5=
2019-08-12,100.9043,101.1391,05531FBH5=
2019-08-13,100.2036,100.4364,05531FBH5=
2019-08-14,100.6507,100.8846,05531FBH5=
2019-08-15,101.0559,101.2905,05531FBH5=
2019-08-16,100.8545,101.0884,05531FBH5=
2019-08-19,100.8634,101.0972,05531FBH5=
2019-08-20,100.9657,101.1997,05531FBH5=
2019-08-21,100.9791,101.213,05531FBH5=
2019-08-22,100.7581,100.991,05531FBH5=
2019-08-23,101.1401,101.3739,05531FBH5=
2019-08-26,101.3404,101.5746,05531FBH5=
2019-08-27,101.5221,101.7567,05531FBH5=
2019-08-28,101.4511,101.6853,05531FBH5=
2019-08-29,101.3778,101.6115,05531FBH5=
2019-08-30,101.4493,101.683,05531FBH5=
2019-09-02,101.4642,101.698,05531FBH5=
2019-09-03,101.4954,101.7291,05531FBH5=
2019-09-04,101.6584,101.8925,05531FBH5=
2019-09-05,101.6283,101.8619,05531FBH5=
2019-09-06,101.1507,101.3829,05531FBH5=
2019-09-09,100.9625,101.1941,05531FBH5=
2019-09-10,100.3673,100.5972,05531FBH5=
2019-09-11,100.3561,100.5859,05531FBH5=
2019-09-12,100.1707,100.3996,05531FBH5=
2019-09-13,99.7187,99.9463,05531FBH5=
2019-09-16,100.0942,100.3227,05531FBH5=
2019-09-17,100.3502,100.5792,05531FBH5=
2019-09-18,100.1015,100.3298,05531FBH5=
2019-09-19,100.1102,100.3381,05531FBH5=
2019-09-20,100.6281,100.8572,05531FBH5=
2019-09-23,100.4591,100.6877,05531FBH5=
2019-09-24,100.6999,100.929,05531FBH5=
2019-09-25,100.1829,100.4105,05531FBH5=
2019-09-26,100.6028,100.8311,05531FBH5=
2019-09-27,100.6393,100.8676,05531FBH5=
2019-09-30,100.7419,100.9703,05531FBH5=
2019-10-01,101.0151,101.2441,05531FBH5=
2019-10-02,101.1938,101.4232,05531FBH5=
2019-10-03,101.5274,101.7573,05531FBH5=
2019-10-04,101.4029,101.6323,05531FBH5=
2019-10-07,101.2283,101.4571,05531FBH5=
2019-10-08,101.4002,101.6294,05531FBH5=
2019-10-09,101.2605,101.4892,05531FBH5=
2019-10-10,100.9628,101.1902,05531FBH5=
2019-10-11,100.751,100.9777,05531FBH5=
2019-10-14,100.7655,100.9923,05531FBH5=
2019-10-15,100.7446,100.9712,05531FBH5=
2019-10-16,101.0807,101.308,05531FBH5=
2019-10-17,100.5866,100.8123,05531FBH5=
2019-10-18,100.9377,101.1642,05531FBH5=
2019-10-21,100.9184,101.1447,05531FBH5=
2019-10-22,100.7599,100.9857,05531FBH5=
2019-10-23,101.0288,101.2551,05531FBH5=
2019-10-24,101.2677,101.4943,05531FBH5=
2019-10-25,100.9239,101.1495,05531FBH5=
2019-10-28,100.538,100.7625,05531FBH5=
2019-10-29,100.6225,100.8472,05531FBH5=
2019-10-30,100.8948,101.12,05531FBH5=
2019-10-31,101.3296,101.5556,05531FBH5=
2019-11-01,101.1278,101.3531,05531FBH5=
2019-11-04,101.0012,101.2261,05531FBH5=
2019-11-05,100.9455,101.1701,05531FBH5=
2019-11-06,100.9096,101.134,05531FBH5=
2019-11-07,100.4353,100.658,05531FBH5=
2019-11-08,100.5645,100.7874,05531FBH5=
2019-11-11,100.5972,100.8202,05531FBH5=
2019-11-12,100.5825,100.8053,05531FBH5=
2019-11-13,100.7374,100.9605,05531FBH5=
2019-11-14,100.9939,101.2173,05531FBH5=
2019-11-15,100.857,101.0799,05531FBH5=
2019-11-18,101.0949,101.3183,05531FBH5=
2019-11-19,101.0168,101.2399,05531FBH5=
2019-11-20,101.1281,101.3513,05531FBH5=
2019-11-21,100.911,101.1333,05531FBH5=
2019-11-22,100.8762,101.0983,05531FBH5=
2019-11-25,100.5427,100.7638,05531FBH5=
2019-11-26,100.8627,101.0844,05531FBH5=
2019-11-27,100.847,101.0683,05531FBH5=
2019-11-28,100.8265,101.0477,05531FBH5=
2019-11-29,100.8709,101.0921,05531FBH5=
2019-12-02,100.7394,100.9601,05531FBH5=
