Date,BID,ASK,RIC
2014-04-14,99.9998,100.4094,05578DAG7=
2014-04-15,100.1628,100.5728,05578DAG7=
2014-04-16,100.5315,100.9432,05578DAG7=
2014-04-17,99.991,100.4,05578DAG7=
2014-04-21,100.0399,100.449,05578DAG7=
2014-04-22,100.0724,100.4816,05578DAG7=
2014-04-23,100.1374,100.5466,05578DAG7=
2014-04-24,100.1454,100.5546,05578DAG7=
2014-04-25,99.9496,100.3578,05578DAG7=
2014-04-28,99.5272,99.9333,05578DAG7=
2014-04-29,99.5272,99.9332,05578DAG7=
2014-04-30,100.0306,100.4387,05578DAG7=
2014-05-01,100.2996,100.7089,05578DAG7=
2014-05-02,100.5365,100.9469,05578DAG7=
2014-05-05,100.3564,100.7658,05578DAG7=
2014-05-06,100.4462,100.8559,05578DAG7=
2014-05-07,100.4865,100.8961,05578DAG7=
2014-05-08,100.7236,101.1343,05578DAG7=
2014-05-09,100.6251,101.0352,05578DAG7=
2014-05-12,100.3146,100.7231,05578DAG7=
2014-05-13,100.4204,100.8294,05578DAG7=
2014-05-14,101.2392,101.6518,05578DAG7=
2014-05-15,101.3954,101.8087,05578DAG7=
2014-05-16,101.1152,101.527,05578DAG7=
2014-05-19,100.8442,101.2546,05578DAG7=
2014-05-20,100.9422,101.3531,05578DAG7=
2014-05-21,100.7775,101.1872,05578DAG7=
2014-05-22,100.6222,101.031,05578DAG7=
2014-05-23,100.7784,101.1878,05578DAG7=
2014-05-27,101.0713,101.4821,05578DAG7=
2014-05-28,101.6708,102.0843,05578DAG7=
2014-05-29,101.4645,101.8768,05578DAG7=
2014-05-30,101.835,102.2491,05578DAG7=
2014-06-02,100.988,101.3979,05578DAG7=
2014-06-03,100.4011,100.8081,05578DAG7=
2014-06-04,100.5143,100.9216,05578DAG7=
2014-06-05,100.9213,101.3304,05578DAG7=
2014-06-06,101.2399,101.6505,05578DAG7=
2014-06-09,101.1496,101.5596,05578DAG7=
2014-06-10,101.2966,101.7072,05578DAG7=
2014-06-11,101.2956,101.7059,05578DAG7=
2014-06-12,99.7781,100.1812,05578DAG7=
2014-06-13,99.6898,100.0923,05578DAG7=
2014-06-16,101.6307,102.0423,05578DAG7=
2014-06-17,101.188,101.5974,05578DAG7=
2014-06-18,101.7029,102.1145,05578DAG7=
2014-06-19,101.4402,101.8504,05578DAG7=
2014-06-20,101.5381,101.9487,05578DAG7=
2014-06-23,101.4067,101.8166,05578DAG7=
2014-06-24,102.2197,102.6334,05578DAG7=
2014-06-25,102.3501,102.7642,05578DAG7=
2014-06-26,102.0116,102.4239,05578DAG7=
2014-06-27,101.9782,102.3903,05578DAG7=
2014-06-30,101.9284,102.3402,05578DAG7=
2014-07-01,101.6316,102.0416,05578DAG7=
2014-07-02,101.713,102.1233,05578DAG7=
2014-07-03,100.6311,101.0361,05578DAG7=
2014-07-07,101.0927,101.4998,05578DAG7=
2014-07-08,101.5484,101.9575,05578DAG7=
2014-07-09,101.6452,102.0546,05578DAG7=
2014-07-10,101.8083,102.2183,05578DAG7=
2014-07-11,102.0126,102.4235,05578DAG7=
2014-07-14,101.7175,102.1269,05578DAG7=
2014-07-15,101.6763,102.0854,05578DAG7=
2014-07-16,101.8629,102.2726,05578DAG7=
2014-07-17,102.3296,102.7414,05578DAG7=
2014-07-18,102.0011,102.4112,05578DAG7=
2014-07-21,102.107,102.5176,05578DAG7=
2014-07-22,102.1311,102.5417,05578DAG7=
2014-07-23,102.1051,102.5153,05578DAG7=
2014-07-24,101.835,102.2438,05578DAG7=
2014-07-25,102.1205,102.5305,05578DAG7=
2014-07-28,101.9459,102.3552,05578DAG7=
2014-07-29,102.1773,102.5875,05578DAG7=
2014-07-30,101.3617,101.7678,05578DAG7=
2014-07-31,101.3614,101.7674,05578DAG7=
2014-08-01,101.4097,101.8158,05578DAG7=
2014-08-04,102.1334,102.5428,05578DAG7=
2014-08-05,101.7743,102.182,05578DAG7=
2014-08-06,101.0447,101.4487,05578DAG7=
2014-08-07,102.1718,102.5809,05578DAG7=
2014-08-08,102.0572,102.4656,05578DAG7=
2014-08-11,101.9346,102.3424,05578DAG7=
2014-08-12,101.7553,102.1622,05578DAG7=
2014-08-13,102.2505,102.6594,05578DAG7=
2014-08-14,102.3887,102.7982,05578DAG7=
2014-08-15,102.9043,103.3161,05578DAG7=
2014-08-18,102.633,103.0434,05578DAG7=
2014-08-19,102.6406,103.0509,05578DAG7=
2014-08-20,102.4263,102.8354,05578DAG7=
2014-08-21,102.6628,103.0728,05578DAG7=
2014-08-22,102.5314,102.9407,05578DAG7=
2014-08-25,102.9483,103.3594,05578DAG7=
2014-08-26,103.2269,103.6393,05578DAG7=
2014-08-27,103.546,103.9596,05578DAG7=
2014-08-28,103.9007,104.3158,05578DAG7=
2014-08-29,103.6765,104.0905,05578DAG7=
2014-09-02,103.0502,103.4611,05578DAG7=
2014-09-03,103.3025,103.7144,05578DAG7=
2014-09-04,102.8674,103.2771,05578DAG7=
2014-09-05,102.7524,103.1615,05578DAG7=
2014-09-08,102.3935,102.8008,05578DAG7=
2014-09-09,102.1414,102.5475,05578DAG7=
2014-09-10,101.8088,102.213,05578DAG7=
2014-09-11,101.7439,102.1477,05578DAG7=
2014-09-12,101.2777,101.6792,05578DAG7=
2014-09-15,101.4217,101.8238,05578DAG7=
2014-09-16,101.2372,101.6383,05578DAG7=
2014-09-17,101.0288,101.4287,05578DAG7=
2014-09-18,101.0446,101.4444,05578DAG7=
2014-09-19,101.3641,101.7653,05578DAG7=
2014-09-22,101.4679,101.8696,05578DAG7=
2014-09-23,101.7727,102.1756,05578DAG7=
2014-09-24,101.4588,101.86,05578DAG7=
2014-09-25,101.7151,102.1173,05578DAG7=
2014-09-26,100.6381,101.0353,05578DAG7=
2014-09-29,100.9556,101.3541,05578DAG7=
2014-09-30,100.8283,101.2262,05578DAG7=
