Date,BID,ASK,RIC
2020-11-19,99.7488,100.242,05591F2J8=
2020-11-20,99.8374,99.9852,05591F2J8=
2020-11-23,99.7637,99.9113,05591F2J8=
2020-11-24,99.705,99.8524,05591F2J8=
2020-11-25,99.7447,99.8919,05591F2J8=
2020-11-26,99.7816,99.9288,05591F2J8=
2020-11-27,99.8576,100.0049,05591F2J8=
2020-11-30,99.8822,100.0294,05591F2J8=
2020-12-01,99.7109,99.8578,05591F2J8=
2020-12-02,99.7257,99.8725,05591F2J8=
2020-12-03,99.8239,99.9706,05591F2J8=
2020-12-04,99.741,99.8875,05591F2J8=
2020-12-07,99.8485,99.9951,05591F2J8=
2020-12-08,99.8437,99.9902,05591F2J8=
2020-12-09,99.7706,99.9169,05591F2J8=
2020-12-10,99.8781,100.0244,05591F2J8=
2020-12-11,99.9317,100.078,05591F2J8=
2020-12-14,99.9415,100.0877,05591F2J8=
2020-12-15,99.9172,100.0633,05591F2J8=
2020-12-16,99.9075,100.0535,05591F2J8=
2020-12-17,99.864,100.0097,05591F2J8=
2020-12-18,99.8495,99.9951,05591F2J8=
2020-12-21,99.8496,99.9951,05591F2J8=
2020-12-22,99.9272,100.0727,05591F2J8=
2020-12-23,99.8935,100.0386,05591F2J8=
2020-12-24,99.9274,100.0725,05591F2J8=
2020-12-28,99.9661,100.1112,05591F2J8=
2020-12-29,99.8502,99.9951,05591F2J8=
2020-12-30,99.9035,100.0482,05591F2J8=
2020-12-31,99.9469,100.0916,05591F2J8=
2021-01-04,99.9855,100.1301,05591F2J8=
2021-01-05,99.8796,100.024,05591F2J8=
2021-01-06,99.6301,99.774,05591F2J8=
2021-01-07,99.4825,99.6259,05591F2J8=
2021-01-08,99.3921,99.5353,05591F2J8=
2021-01-11,99.3019,99.4449,05591F2J8=
2021-01-12,99.3404,99.4834,05591F2J8=
2021-01-13,99.4027,99.5457,05591F2J8=
2021-01-14,99.3613,99.5039,05591F2J8=
2021-01-15,99.4661,99.6088,05591F2J8=
2021-01-18,99.4522,99.5949,05591F2J8=
2021-01-19,99.4902,99.6328,05591F2J8=
2021-01-20,99.5189,99.6615,05591F2J8=
2021-01-21,99.4913,99.6336,05591F2J8=
2021-01-22,99.5579,99.7002,05591F2J8=
2021-01-25,99.6435,99.7859,05591F2J8=
2021-01-26,99.6248,99.7671,05591F2J8=
2021-01-27,99.6155,99.7577,05591F2J8=
2021-01-28,99.5639,99.7058,05591F2J8=
2021-01-29,99.5925,99.7344,05591F2J8=
2021-02-01,99.7346,99.8767,05591F2J8=
2021-02-02,99.678,99.8199,05591F2J8=
2021-02-03,99.5555,99.6971,05591F2J8=
2021-02-04,99.5892,99.7306,05591F2J8=
2021-02-05,99.5471,99.6884,05591F2J8=
2021-02-08,99.4721,99.6132,05591F2J8=
2021-02-09,99.5053,99.6463,05591F2J8=
2021-02-10,99.6183,99.7594,05591F2J8=
2021-02-11,99.5583,99.699,05591F2J8=
2021-02-12,99.4228,99.5632,05591F2J8=
2021-02-15,99.3317,99.472,05591F2J8=
2021-02-16,99.1944,99.3344,05591F2J8=
2021-02-17,99.2787,99.4187,05591F2J8=
2021-02-18,99.2753,99.4151,05591F2J8=
2021-02-19,99.1734,99.3129,05591F2J8=
2021-02-22,99.0671,99.2064,05591F2J8=
2021-02-23,99.2069,99.3463,05591F2J8=
2021-02-24,98.9755,99.1145,05591F2J8=
2021-02-25,98.33,98.4676,05591F2J8=
2021-02-26,98.5189,98.6567,05591F2J8=
2021-03-01,98.5748,98.7126,05591F2J8=
2021-03-02,98.6445,98.7823,05591F2J8=
2021-03-03,98.4207,98.5581,05591F2J8=
2021-03-04,98.2865,98.4235,05591F2J8=
2021-03-05,98.1463,98.283,05591F2J8=
2021-03-08,98.0246,98.161,05591F2J8=
2021-03-09,98.1711,98.3076,05591F2J8=
2021-03-10,98.2586,98.3952,05591F2J8=
2021-03-11,98.2298,98.3661,05591F2J8=
2021-03-12,98.0767,98.2127,05591F2J8=
2021-03-15,98.1277,98.2637,05591F2J8=
2021-03-16,98.1287,98.2646,05591F2J8=
2021-03-17,98.2521,98.3881,05591F2J8=
2021-03-18,98.1286,98.2642,05591F2J8=
2021-03-19,97.8728,98.0079,05591F2J8=
2021-03-22,97.982,98.1172,05591F2J8=
2021-03-23,98.195,98.3305,05591F2J8=
2021-03-24,98.2051,98.3405,05591F2J8=
2021-03-25,98.2037,98.3389,05591F2J8=
2021-03-26,98.0744,98.2093,05591F2J8=
2021-03-29,97.859,97.9935,05591F2J8=
2021-03-30,97.9633,98.0979,05591F2J8=
2021-03-31,97.7046,97.8385,05591F2J8=
2021-04-01,97.8487,97.9827,05591F2J8=
2021-04-02,97.5589,97.6925,05591F2J8=
2021-04-05,97.7429,97.8767,05591F2J8=
2021-04-06,97.9226,98.0566,05591F2J8=
2021-04-07,98.0845,98.2187,05591F2J8=
2021-04-08,98.2487,98.3829,05591F2J8=
2021-04-09,98.2586,98.3927,05591F2J8=
2021-04-12,98.0857,98.2195,05591F2J8=
2021-04-13,98.3455,98.4796,05591F2J8=
2021-04-14,98.2439,98.3778,05591F2J8=
2021-04-15,98.3539,98.4877,05591F2J8=
2021-04-16,98.3059,98.4395,05591F2J8=
2021-04-19,98.4093,98.543,05591F2J8=
2021-04-20,98.6598,98.7938,05591F2J8=
2021-04-21,98.6428,98.7767,05591F2J8=
2021-04-22,98.6808,98.8145,05591F2J8=
2021-04-23,98.4504,98.5837,05591F2J8=
2021-04-26,98.3316,98.4646,05591F2J8=
2021-04-27,98.1203,98.2529,05591F2J8=
2021-04-28,98.2938,98.4266,05591F2J8=
