Date,BID,ASK,RIC
2021-05-14,99.7416,100.2297,05591F2K5=
2021-05-17,99.6542,100.1416,05591F2K5=
2021-05-18,99.737,100.2245,05591F2K5=
2021-05-19,99.5479,100.0341,05591F2K5=
2021-05-20,99.9027,100.0486,05591F2K5=
2021-05-21,99.8639,100.0097,05591F2K5=
2021-05-24,99.9125,100.0583,05591F2K5=
2021-05-25,100.0534,100.1993,05591F2K5=
2021-05-26,100.0145,100.1603,05591F2K5=
2021-05-27,99.8595,100.0048,05591F2K5=
2021-05-28,99.9702,100.1156,05591F2K5=
2021-05-31,99.9547,100.1001,05591F2K5=
2021-06-01,99.9612,100.1065,05591F2K5=
2021-06-02,100.0096,100.1549,05591F2K5=
2021-06-03,99.7828,99.9275,05591F2K5=
2021-06-04,99.9275,100.0724,05591F2K5=
2021-06-07,99.8649,100.0096,05591F2K5=
2021-06-08,100.1012,100.2462,05591F2K5=
2021-06-09,100.2171,100.3622,05591F2K5=
2021-06-10,100.4776,100.6229,05591F2K5=
2021-06-11,100.3421,100.4871,05591F2K5=
2021-06-14,100.1346,100.2792,05591F2K5=
2021-06-15,100.173,100.3175,05591F2K5=
2021-06-16,99.8463,99.9902,05591F2K5=
2021-06-17,99.9136,100.0574,05591F2K5=
2021-06-18,99.8993,100.043,05591F2K5=
2021-06-21,99.842,99.9855,05591F2K5=
2021-06-22,99.8086,99.952,05591F2K5=
2021-06-23,99.6418,99.7849,05591F2K5=
2021-06-24,99.6186,99.7614,05591F2K5=
2021-06-25,99.4763,99.6188,05591F2K5=
2021-06-28,99.6475,99.7902,05591F2K5=
2021-06-29,99.6857,99.8283,05591F2K5=
2021-06-30,99.8284,99.9712,05591F2K5=
2021-07-01,99.7719,99.9143,05591F2K5=
2021-07-02,99.8289,99.9713,05591F2K5=
2021-07-05,99.8539,99.9963,05591F2K5=
2021-07-06,100.1376,100.2804,05591F2K5=
2021-07-07,100.2375,100.3804,05591F2K5=
2021-07-08,100.4416,100.5846,05591F2K5=
2021-07-09,100.3224,100.4651,05591F2K5=
2021-07-12,100.1372,100.2795,05591F2K5=
2021-07-13,99.9005,100.0424,05591F2K5=
2021-07-14,100.1891,100.3314,05591F2K5=
2021-07-15,100.2598,100.4019,05591F2K5=
2021-07-16,100.2549,100.3969,05591F2K5=
2021-07-19,100.4583,100.6006,05591F2K5=
2021-07-20,100.6145,100.7569,05591F2K5=
2021-07-21,100.4057,100.5477,05591F2K5=
2021-07-22,100.5421,100.6841,05591F2K5=
2021-07-23,100.5323,100.6742,05591F2K5=
2021-07-26,100.5037,100.6455,05591F2K5=
2021-07-27,100.5884,100.7302,05591F2K5=
2021-07-28,100.6164,100.7582,05591F2K5=
2021-07-29,100.4366,100.578,05591F2K5=
2021-07-30,100.6625,100.8041,05591F2K5=
2021-08-02,100.8934,101.0353,05591F2K5=
2021-08-03,100.8363,100.9781,05591F2K5=
2021-08-04,100.7085,100.85,05591F2K5=
2021-08-05,100.463,100.6038,05591F2K5=
2021-08-06,100.3315,100.4721,05591F2K5=
2021-08-09,100.0324,100.1724,05591F2K5=
2021-08-10,99.9811,100.1209,05591F2K5=
2021-08-11,100.1302,100.2702,05591F2K5=
2021-08-12,99.9858,100.1253,05591F2K5=
2021-08-13,100.1811,100.3209,05591F2K5=
2021-08-16,100.3347,100.4746,05591F2K5=
2021-08-17,100.3019,100.4417,05591F2K5=
2021-08-18,100.2552,100.3948,05591F2K5=
2021-08-19,100.3012,100.4407,05591F2K5=
2021-08-20,100.1943,100.3335,05591F2K5=
2021-08-23,100.3009,100.4402,05591F2K5=
2021-08-24,100.1617,100.3007,05591F2K5=
2021-08-25,100.1014,100.2402,05591F2K5=
2021-08-26,100.0182,100.1567,05591F2K5=
2021-08-27,100.2491,100.3879,05591F2K5=
2021-08-30,100.3553,100.4942,05591F2K5=
2021-08-31,100.3644,100.5032,05591F2K5=
2021-09-01,100.3734,100.5122,05591F2K5=
2021-09-02,100.3495,100.4879,05591F2K5=
2021-09-03,100.2296,100.3678,05591F2K5=
2021-09-06,100.2284,100.3666,05591F2K5=
2021-09-07,100.0962,100.2341,05591F2K5=
2021-09-08,100.1328,100.2706,05591F2K5=
2021-09-09,100.2564,100.3942,05591F2K5=
2021-09-10,100.0867,100.2242,05591F2K5=
2021-09-13,100.1782,100.3157,05591F2K5=
2021-09-14,100.2743,100.4119,05591F2K5=
2021-09-15,100.1597,100.297,05591F2K5=
2021-09-16,100.0226,100.1595,05591F2K5=
2021-09-17,99.8314,99.9679,05591F2K5=
2021-09-20,100.0863,100.2231,05591F2K5=
2021-09-21,100.0499,100.1866,05591F2K5=
2021-09-22,99.9589,100.0954,05591F2K5=
