Date,BID,ASK,RIC
2017-08-01,99.5355,99.9356,059514AE9=
2017-08-02,99.392,99.7912,059514AE9=
2017-08-03,100.3691,100.7729,059514AE9=
2017-08-04,100.0073,100.4093,059514AE9=
2017-08-07,100.0633,100.4654,059514AE9=
2017-08-08,100.3605,100.764,059514AE9=
2017-08-09,99.8066,100.2072,059514AE9=
2017-08-10,100.191,100.5933,059514AE9=
2017-08-11,100.1908,100.593,059514AE9=
2017-08-14,99.9263,100.3272,059514AE9=
2017-08-15,99.5194,99.9182,059514AE9=
2017-08-16,99.9179,100.3184,059514AE9=
2017-08-17,100.0618,100.4629,059514AE9=
2017-08-18,99.9817,100.3823,059514AE9=
2017-08-21,100.0935,100.4945,059514AE9=
2017-08-22,99.8218,100.2215,059514AE9=
2017-08-23,100.2051,100.6063,059514AE9=
2017-08-24,99.9891,100.3892,059514AE9=
2017-08-25,100.2048,100.6058,059514AE9=
2017-08-28,100.2727,100.6741,059514AE9=
2017-08-29,100.1247,100.5253,059514AE9=
2017-08-30,100.0683,100.4683,059514AE9=
2017-08-31,100.436,100.8376,059514AE9=
2017-09-01,100.0681,100.4679,059514AE9=
2017-09-05,100.8938,101.2975,059514AE9=
2017-09-06,100.5559,100.9579,059514AE9=
2017-09-07,101.0618,101.4659,059514AE9=
2017-09-08,100.9648,101.3684,059514AE9=
2017-09-11,100.7233,101.1257,059514AE9=
2017-09-12,100.8597,101.2626,059514AE9=
2017-09-13,100.8835,101.2864,059514AE9=
2017-09-14,100.947,101.35,059514AE9=
2017-09-15,100.8262,101.2285,059514AE9=
2017-09-18,100.5616,100.9626,059514AE9=
2017-09-19,101.0346,101.4377,059514AE9=
2017-09-20,100.4892,100.8896,059514AE9=
2017-09-21,100.4488,100.8488,059514AE9=
2017-09-22,100.6484,101.0492,059514AE9=
2017-09-25,100.7362,101.1374,059514AE9=
2017-09-26,100.704,101.1049,059514AE9=
2017-09-27,100.5918,100.9921,059514AE9=
2017-09-28,100.8311,101.2323,059514AE9=
2017-09-29,100.6789,101.0792,059514AE9=
2017-10-02,100.6628,101.063,059514AE9=
