Date,BID,ASK,RIC
2020-01-28,99.968,100.43,05968LAM4=
2020-01-29,99.665,100.126,05968LAM4=
2020-01-30,99.931,100.161,05968LAM4=
2020-01-31,100.595,100.827,05968LAM4=
2020-02-03,100.701,100.933,05968LAM4=
2020-02-04,100.493,100.724,05968LAM4=
2020-02-05,100.387,100.617,05968LAM4=
2020-02-06,100.806,101.038,05968LAM4=
2020-02-07,100.847,101.079,05968LAM4=
2020-02-10,100.856,101.087,05968LAM4=
2020-02-11,100.791,101.022,05968LAM4=
2020-02-12,100.795,101.026,05968LAM4=
2020-02-13,101.07,101.302,05968LAM4=
2020-02-14,101.389,101.621,05968LAM4=
2020-02-17,101.38,101.612,05968LAM4=
2020-02-18,101.402,101.634,05968LAM4=
2020-02-19,101.549,101.781,05968LAM4=
2020-02-20,101.57,101.802,05968LAM4=
2020-02-21,101.884,102.117,05968LAM4=
2020-02-24,102.424,102.658,05968LAM4=
2020-02-25,101.539,101.771,05968LAM4=
2020-02-26,101.022,101.252,05968LAM4=
2020-02-27,100.566,100.794,05968LAM4=
2020-02-28,100.055,100.282,05968LAM4=
2020-03-02,100.046,100.273,05968LAM4=
2020-03-03,101.825,102.057,05968LAM4=
2020-03-04,101.633,101.864,05968LAM4=
2020-03-05,101.165,101.394,05968LAM4=
2020-03-06,101.012,101.241,05968LAM4=
2020-03-09,97.875,98.25,05968LAM4=
2020-03-10,97.0,97.375,05968LAM4=
2020-03-11,95.125,95.5,05968LAM4=
2020-03-12,89.0,89.375,05968LAM4=
2020-03-13,90.375,90.75,05968LAM4=
2020-03-16,88.5,88.875,05968LAM4=
2020-03-17,88.25,88.75,05968LAM4=
2020-03-18,84.625,85.125,05968LAM4=
2020-03-19,84.0,84.5,05968LAM4=
2020-03-20,84.5,85.0,05968LAM4=
2020-03-23,84.5,85.0,05968LAM4=
2020-03-24,85.5,86.0,05968LAM4=
2020-03-25,85.375,85.875,05968LAM4=
2020-03-26,85.375,85.875,05968LAM4=
2020-03-27,85.375,85.875,05968LAM4=
2020-03-30,89.0,89.5,05968LAM4=
2020-03-31,89.0,89.5,05968LAM4=
2020-04-01,90.25,90.75,05968LAM4=
2020-04-02,90.0,90.5,05968LAM4=
2020-04-03,89.5,90.0,05968LAM4=
2020-04-06,89.5,90.0,05968LAM4=
2020-04-07,89.5,90.0,05968LAM4=
2020-04-08,92.125,92.625,05968LAM4=
2020-04-09,92.125,92.625,05968LAM4=
2020-04-10,92.125,92.625,05968LAM4=
2020-04-13,92.125,92.625,05968LAM4=
2020-04-14,95.125,95.625,05968LAM4=
2020-04-15,94.625,95.125,05968LAM4=
2020-04-16,94.25,94.75,05968LAM4=
2020-04-17,94.5,95.0,05968LAM4=
2020-04-20,94.5,95.0,05968LAM4=
2020-04-21,94.0,94.5,05968LAM4=
2020-04-22,94.125,94.625,05968LAM4=
2020-04-23,94.0,94.5,05968LAM4=
2020-04-24,93.125,93.625,05968LAM4=
2020-04-27,92.25,92.75,05968LAM4=
2020-04-28,92.0,92.5,05968LAM4=
2020-04-29,92.125,92.625,05968LAM4=
2020-04-30,92.5,93.0,05968LAM4=
2020-05-01,92.5,93.0,05968LAM4=
2020-05-04,92.5,93.0,05968LAM4=
2020-05-05,92.625,93.125,05968LAM4=
2020-05-06,93.375,93.875,05968LAM4=
2020-05-07,93.0,93.5,05968LAM4=
2020-05-08,93.375,93.875,05968LAM4=
2020-05-11,94.0,94.5,05968LAM4=
2020-05-12,95.5,96.0,05968LAM4=
2020-05-13,93.75,94.25,05968LAM4=
2020-05-14,93.125,93.625,05968LAM4=
2020-05-15,93.375,93.875,05968LAM4=
2020-05-18,93.375,93.875,05968LAM4=
2020-05-19,94.0,94.5,05968LAM4=
2020-05-20,94.0,94.5,05968LAM4=
2020-05-21,94.0,94.5,05968LAM4=
2020-05-22,95.0,95.5,05968LAM4=
2020-05-25,95.0,95.5,05968LAM4=
2020-05-26,96.5,97.0,05968LAM4=
2020-05-27,95.875,96.375,05968LAM4=
2020-05-28,96.5,97.0,05968LAM4=
2020-05-29,96.75,97.25,05968LAM4=
2020-06-01,97.0,97.5,05968LAM4=
2020-06-02,97.5,98.0,05968LAM4=
2020-06-03,98.5,99.0,05968LAM4=
2020-06-04,98.25,98.75,05968LAM4=
2020-06-05,98.25,98.75,05968LAM4=
2020-06-08,98.25,98.75,05968LAM4=
2020-06-09,99.625,100.125,05968LAM4=
2020-06-10,99.25,99.75,05968LAM4=
2020-06-11,97.5,98.0,05968LAM4=
2020-06-12,98.5,99.0,05968LAM4=
2020-06-15,98.25,98.75,05968LAM4=
2020-06-16,98.75,99.25,05968LAM4=
2020-06-17,99.0,99.5,05968LAM4=
2020-06-18,98.875,99.375,05968LAM4=
2020-06-19,99.125,99.625,05968LAM4=
2020-06-22,99.25,99.75,05968LAM4=
2020-06-23,99.25,99.75,05968LAM4=
2020-06-24,99.25,99.75,05968LAM4=
2020-06-25,98.25,98.75,05968LAM4=
2020-06-26,98.625,99.125,05968LAM4=
2020-06-29,98.0,98.5,05968LAM4=
2020-06-30,98.0,98.5,05968LAM4=
2020-07-01,98.25,98.75,05968LAM4=
