Date,BID,ASK,RIC
2021-10-26,99.9444,100.7986,05970FAD3=
2021-10-27,100.4558,101.3149,05970FAD3=
2021-10-28,100.4501,101.3087,05970FAD3=
2021-10-29,100.5953,101.4552,05970FAD3=
2021-11-01,100.5951,101.4547,05970FAD3=
2021-11-02,100.7147,101.5753,05970FAD3=
2021-11-03,100.2363,101.092,05970FAD3=
2021-11-04,100.8594,101.7206,05970FAD3=
2021-11-05,101.5041,102.3715,05970FAD3=
2021-11-08,101.1936,102.0577,05970FAD3=
2021-11-09,101.6409,102.509,05970FAD3=
2021-11-10,100.516,100.9432,05970FAD3=
2021-11-11,100.2983,100.7244,05970FAD3=
2021-11-12,100.5158,100.9429,05970FAD3=
2021-11-15,100.1246,100.5497,05970FAD3=
2021-11-16,99.9213,100.3453,05970FAD3=
2021-11-17,100.3876,100.8137,05970FAD3=
2021-11-18,101.1671,101.5968,05970FAD3=
2021-11-19,101.5017,101.9329,05970FAD3=
2021-11-22,100.7818,101.2094,05970FAD3=
2021-11-23,100.4069,100.8324,05970FAD3=
2021-11-24,100.6869,101.1135,05970FAD3=
2021-11-25,100.7479,101.1748,05970FAD3=
2021-11-26,102.0675,102.5007,05970FAD3=
2021-11-29,101.8943,102.3266,05970FAD3=
2021-11-30,102.2913,102.7254,05970FAD3=
2021-12-01,102.7422,103.1784,05970FAD3=
2021-12-02,102.3928,102.827,05970FAD3=
2021-12-03,103.1577,103.5955,05970FAD3=
2021-12-06,102.4869,102.9214,05970FAD3=
2021-12-07,102.0627,102.495,05970FAD3=
2021-12-08,101.6664,102.0967,05970FAD3=
2021-12-09,101.9314,102.3626,05970FAD3=
2021-12-10,102.06,102.4918,05970FAD3=
2021-12-13,102.647,103.0815,05970FAD3=
2021-12-14,102.4126,102.8459,05970FAD3=
2021-12-15,102.2652,102.6976,05970FAD3=
2021-12-16,102.5571,102.9907,05970FAD3=
2021-12-17,102.7036,103.1378,05970FAD3=
2021-12-20,102.5212,102.9544,05970FAD3=
2021-12-21,102.1843,102.6157,05970FAD3=
2021-12-22,102.3025,102.7341,05970FAD3=
2021-12-23,101.9497,102.3795,05970FAD3=
2021-12-24,101.961,102.3908,05970FAD3=
2021-12-27,102.095,102.5254,05970FAD3=
2021-12-28,102.0344,102.4644,05970FAD3=
2021-12-29,101.4093,101.8359,05970FAD3=
2021-12-30,101.8355,102.2641,05970FAD3=
2021-12-31,101.7756,102.2039,05970FAD3=
2022-01-03,101.9023,102.3311,05970FAD3=
2022-01-04,101.7866,102.2148,05970FAD3=
2022-01-05,101.3517,101.7776,05970FAD3=
2022-01-06,101.1132,101.5377,05970FAD3=
2022-01-07,100.7917,101.2145,05970FAD3=
2022-01-10,100.8843,101.3075,05970FAD3=
2022-01-11,100.9601,101.3835,05970FAD3=
2022-01-12,100.9092,101.3323,05970FAD3=
2022-01-13,101.3394,101.7642,05970FAD3=
2022-01-14,100.0911,100.5097,05970FAD3=
2022-01-17,99.8666,100.2841,05970FAD3=
2022-01-18,98.8435,99.256,05970FAD3=
2022-01-19,98.9835,99.3966,05970FAD3=
2022-01-20,99.3391,99.7536,05970FAD3=
2022-01-21,99.7371,100.1534,05970FAD3=
2022-01-24,98.5647,98.9753,05970FAD3=
2022-01-25,98.565,98.9755,05970FAD3=
2022-01-26,97.7749,98.1815,05970FAD3=
2022-01-27,98.3366,98.7457,05970FAD3=
2022-01-28,98.5501,98.9601,05970FAD3=
2022-01-31,98.5014,98.9111,05970FAD3=
2022-02-01,99.1512,99.5639,05970FAD3=
2022-02-02,99.3492,99.7627,05970FAD3=
2022-02-03,98.8236,99.2343,05970FAD3=
2022-02-07,98.1552,98.5625,05970FAD3=
2022-02-08,98.7157,99.1256,05970FAD3=
2022-02-09,98.6087,99.018,05970FAD3=
2022-02-10,97.8299,98.2352,05970FAD3=
2022-02-11,99.4366,99.8494,05970FAD3=
2022-02-14,98.3476,98.7551,05970FAD3=
2022-02-15,97.2569,97.6591,05970FAD3=
2022-02-16,97.2817,97.6839,05970FAD3=
2022-02-17,97.8636,98.2682,05970FAD3=
2022-02-18,98.212,98.6182,05970FAD3=
2022-02-21,98.3796,98.7866,05970FAD3=
2022-02-22,98.0162,98.4213,05970FAD3=
2022-02-23,97.5814,97.9844,05970FAD3=
2022-02-24,96.7134,97.1117,05970FAD3=
2022-02-25,96.6966,97.0948,05970FAD3=
2022-02-28,97.8812,98.2849,05970FAD3=
2022-03-01,98.7397,99.1474,05970FAD3=
2022-03-02,97.4327,97.8341,05970FAD3=
2022-03-03,97.7393,98.1418,05970FAD3=
2022-03-04,98.5628,98.9691,05970FAD3=
2022-03-07,98.2315,98.6362,05970FAD3=
2022-03-08,96.6821,97.0793,05970FAD3=
2022-03-09,95.808,96.201,05970FAD3=
2022-03-10,95.4827,95.8738,05970FAD3=
2022-03-11,95.4683,95.8593,05970FAD3=
2022-03-14,96.4127,96.808,05970FAD3=
2022-03-15,96.3584,96.7534,05970FAD3=
2022-03-16,96.0213,96.4146,05970FAD3=
2022-03-17,96.2206,96.6145,05970FAD3=
2022-03-18,96.3316,96.726,05970FAD3=
2022-03-21,95.2074,95.5964,05970FAD3=
2022-03-22,94.5594,94.9452,05970FAD3=
2022-03-23,95.2641,95.6531,05970FAD3=
2022-03-24,94.6495,95.0353,05970FAD3=
2022-03-25,93.7476,94.1291,05970FAD3=
2022-03-28,93.9168,94.299,05970FAD3=
2022-03-29,94.4282,94.8128,05970FAD3=
2022-03-30,94.7459,95.1319,05970FAD3=
2022-03-31,94.85,95.2362,05970FAD3=
2022-04-01,94.5053,94.8898,05970FAD3=
2022-04-04,94.4837,94.868,05970FAD3=
2022-04-05,94.4008,94.7846,05970FAD3=
2022-04-06,94.0661,94.4482,05970FAD3=
2022-04-07,93.5617,93.9412,05970FAD3=
2022-04-08,93.2686,93.6466,05970FAD3=
2022-04-11,92.7442,93.1196,05970FAD3=
2022-04-12,93.0988,93.4758,05970FAD3=
2022-04-13,92.8356,93.211,05970FAD3=
2022-04-14,91.9141,92.2851,05970FAD3=
2022-04-15,92.0529,92.4245,05970FAD3=
2022-04-18,91.6944,92.0643,05970FAD3=
2022-04-19,92.8634,93.2386,05970FAD3=
2022-04-20,93.6777,94.0567,05970FAD3=
2022-04-21,93.1103,93.4863,05970FAD3=
2022-04-22,93.1421,93.5182,05970FAD3=
2022-04-25,93.7914,94.1704,05970FAD3=
2022-04-26,94.4762,94.8583,05970FAD3=
2022-04-27,93.7338,94.1124,05970FAD3=
2022-04-28,93.6928,94.0709,05970FAD3=
2022-04-29,92.9062,93.2805,05970FAD3=
2022-05-02,92.6097,92.9825,05970FAD3=
2022-05-03,92.5965,92.9692,05970FAD3=
2022-05-04,92.8439,93.2177,05970FAD3=
2022-05-05,88.436,88.789,05970FAD3=
2022-05-06,87.6888,88.0383,05970FAD3=
2022-05-09,88.4482,88.8011,05970FAD3=
2022-05-10,88.7683,89.1226,05970FAD3=
2022-05-11,89.2103,89.5665,05970FAD3=
2022-05-12,89.7309,90.0893,05970FAD3=
2022-05-13,89.2131,89.569,05970FAD3=
2022-05-16,89.5,89.8571,05970FAD3=
2022-05-17,88.7439,89.0975,05970FAD3=
2022-05-18,87.2173,87.5637,05970FAD3=
2022-05-19,87.5374,87.885,05970FAD3=
2022-05-20,87.8948,88.244,05970FAD3=
2022-05-23,86.9836,87.3285,05970FAD3=
2022-05-24,87.7195,88.0677,05970FAD3=
2022-05-25,87.7431,88.0913,05970FAD3=
2022-05-26,87.8052,88.1535,05970FAD3=
2022-05-27,87.8099,88.1581,05970FAD3=
2022-05-30,87.3724,87.7186,05970FAD3=
2022-05-31,87.073,87.4177,05970FAD3=
2022-06-01,87.2757,87.6213,05970FAD3=
2022-06-02,87.2844,87.6297,05970FAD3=
2022-06-03,87.0809,87.4252,05970FAD3=
2022-06-06,86.4069,86.748,05970FAD3=
2022-06-07,86.8263,87.1693,05970FAD3=
2022-06-08,87.5306,87.8767,05970FAD3=
2022-06-09,87.4013,87.7466,05970FAD3=
2022-06-10,86.5957,86.9372,05970FAD3=
2022-06-13,85.2687,85.604,05970FAD3=
2022-06-14,84.4935,84.8252,05970FAD3=
2022-06-15,85.7855,86.123,05970FAD3=
2022-06-16,86.4135,86.7536,05970FAD3=
2022-06-17,86.1728,86.5117,05970FAD3=
2022-06-20,85.9407,86.2785,05970FAD3=
2022-06-21,85.8656,86.203,05970FAD3=
2022-06-22,85.0456,85.3792,05970FAD3=
2022-06-23,85.5297,85.8652,05970FAD3=
2022-06-24,85.2057,85.5396,05970FAD3=
2022-06-27,84.784,85.1159,05970FAD3=
2022-06-28,84.9532,85.2858,05970FAD3=
2022-06-29,84.9567,85.2893,05970FAD3=
2022-06-30,85.4495,85.784,05970FAD3=
2022-07-01,84.9607,85.2929,05970FAD3=
2022-07-04,84.7514,85.0826,05970FAD3=
2022-07-05,84.8384,85.1699,05970FAD3=
2022-07-06,84.2884,84.6173,05970FAD3=
2022-07-07,84.3124,84.6412,05970FAD3=
2022-07-08,84.4473,84.7766,05970FAD3=
2022-07-11,84.6944,85.0248,05970FAD3=
2022-07-12,84.2511,84.5794,05970FAD3=
2022-07-13,84.6883,85.0185,05970FAD3=
2022-07-14,84.482,84.811,05970FAD3=
2022-07-15,84.2235,84.5512,05970FAD3=
2022-07-18,84.5352,84.8642,05970FAD3=
2022-07-19,84.2963,84.6242,05970FAD3=
2022-07-20,84.2214,84.5489,05970FAD3=
2022-07-21,85.8035,86.1379,05970FAD3=
2022-07-22,85.3413,85.6735,05970FAD3=
2022-07-25,85.0472,85.378,05970FAD3=
2022-07-26,85.0771,85.4079,05970FAD3=
2022-07-27,84.8697,85.1995,05970FAD3=
2022-07-28,84.9031,85.2329,05970FAD3=
2022-07-29,85.2562,85.5875,05970FAD3=
2022-08-01,85.5245,85.8569,05970FAD3=
2022-08-02,84.4744,84.802,05970FAD3=
2022-08-03,85.8769,86.2107,05970FAD3=
2022-08-04,85.1846,85.5151,05970FAD3=
2022-08-05,87.0914,87.4304,05970FAD3=
2022-08-08,85.8006,86.1337,05970FAD3=
2022-08-09,86.3442,86.6796,05970FAD3=
2022-08-10,85.1789,85.509,05970FAD3=
2022-08-11,86.8268,87.1641,05970FAD3=
2022-08-12,86.2736,86.6083,05970FAD3=
2022-08-15,86.2035,86.5378,05970FAD3=
2022-08-16,86.5075,86.8431,05970FAD3=
2022-08-17,86.4706,86.8059,05970FAD3=
2022-08-18,86.3334,86.6678,05970FAD3=
2022-08-19,86.4035,86.7381,05970FAD3=
2022-08-22,85.5702,85.901,05970FAD3=
2022-08-23,85.2773,85.6067,05970FAD3=
2022-08-24,85.7291,86.0605,05970FAD3=
2022-08-25,86.1236,86.4565,05970FAD3=
2022-08-26,85.8023,86.1336,05970FAD3=
2022-08-29,85.109,85.4373,05970FAD3=
2022-08-30,85.2656,85.5944,05970FAD3=
2022-08-31,84.7201,85.0464,05970FAD3=
2022-09-01,84.9107,85.2375,05970FAD3=
2022-09-02,84.9404,85.2673,05970FAD3=
2022-09-05,84.7062,85.032,05970FAD3=
2022-09-06,84.1914,84.5148,05970FAD3=
2022-09-07,84.9998,85.3268,05970FAD3=
2022-09-08,85.0368,85.3637,05970FAD3=
2022-09-09,84.1911,84.5141,05970FAD3=
2022-09-12,84.8812,85.2072,05970FAD3=
2022-09-13,84.6641,84.9891,05970FAD3=
2022-09-14,84.396,84.7197,05970FAD3=
2022-09-15,84.1174,84.4396,05970FAD3=
2022-09-16,83.9671,84.2885,05970FAD3=
2022-09-19,83.3262,83.6447,05970FAD3=
2022-09-20,83.4892,83.8083,05970FAD3=
2022-09-21,83.0173,83.3342,05970FAD3=
2022-09-22,82.175,82.488,05970FAD3=
2022-09-23,82.6994,83.0146,05970FAD3=
2022-09-26,80.6522,80.9582,05970FAD3=
2022-09-27,81.018,81.3256,05970FAD3=
2022-09-28,80.2899,80.5942,05970FAD3=
2022-09-29,79.7418,80.0434,05970FAD3=
2022-09-30,78.6897,78.9866,05970FAD3=
2022-10-03,79.8055,80.1072,05970FAD3=
2022-10-04,79.2587,79.5579,05970FAD3=
2022-10-05,80.6507,80.956,05970FAD3=
2022-10-06,79.3248,79.6239,05970FAD3=
2022-10-07,79.869,80.1705,05970FAD3=
2022-10-10,79.4309,79.7304,05970FAD3=
2022-10-11,79.7115,80.0122,05970FAD3=
2022-10-12,79.7463,80.047,05970FAD3=
2022-10-13,79.9409,80.2423,05970FAD3=
2022-10-14,78.9785,79.2756,05970FAD3=
2022-10-17,77.925,78.2174,05970FAD3=
2022-10-18,78.4278,78.7223,05970FAD3=
2022-10-19,78.0754,78.3683,05970FAD3=
2022-10-20,78.1903,78.4834,05970FAD3=
2022-10-21,77.6247,77.9153,05970FAD3=
2022-10-24,77.1217,77.41,05970FAD3=
2022-10-25,77.3399,77.6291,05970FAD3=
2022-10-26,77.7791,78.0701,05970FAD3=
2022-10-27,77.641,77.9313,05970FAD3=
2022-10-28,78.114,78.4062,05970FAD3=
2022-10-31,77.5383,77.828,05970FAD3=
2022-11-01,77.9026,78.1938,05970FAD3=
2022-11-02,78.9143,79.2098,05970FAD3=
2022-11-03,78.852,79.147,05970FAD3=
2022-11-04,78.8215,79.1163,05970FAD3=
2022-11-07,78.9853,79.2807,05970FAD3=
2022-11-08,79.2854,79.5821,05970FAD3=
2022-11-09,79.5354,79.8329,05970FAD3=
2022-11-10,80.1841,80.4843,05970FAD3=
2022-11-11,78.5333,78.8263,05970FAD3=
2022-11-14,80.7782,81.0809,05970FAD3=
2022-11-15,81.6089,81.9152,05970FAD3=
2022-11-16,82.3318,82.6412,05970FAD3=
2022-11-17,82.3566,82.6658,05970FAD3=
2022-11-18,82.0468,82.3546,05970FAD3=
2022-11-21,81.9221,82.2293,05970FAD3=
2022-11-22,82.4965,82.806,05970FAD3=
2022-11-23,82.5645,82.8741,05970FAD3=
2022-11-24,82.7242,83.0345,05970FAD3=
2022-11-25,82.9898,83.3011,05970FAD3=
2022-11-28,82.6345,82.9442,05970FAD3=
2022-11-29,82.7561,83.0662,05970FAD3=
2022-11-30,82.9398,83.2507,05970FAD3=
