Date,BID,ASK,RIC
2015-04-02,99.1231,99.6976,05990KAC0=
2015-04-03,99.6899,100.2684,05990KAC0=
2015-04-06,99.2376,99.8128,05990KAC0=
2015-04-07,99.337,99.9128,05990KAC0=
2015-04-08,99.1078,99.6816,05990KAC0=
2015-04-09,98.6745,99.2451,05990KAC0=
2015-04-10,98.7808,99.352,05990KAC0=
2015-04-13,98.9252,99.4973,05990KAC0=
2015-04-14,99.1536,99.7272,05990KAC0=
2015-04-15,99.2222,99.796,05990KAC0=
2015-04-16,99.1917,99.7651,05990KAC0=
2015-04-17,99.4282,100.0032,05990KAC0=
2015-04-20,99.2451,99.8187,05990KAC0=
2015-04-21,99.0776,99.6499,05990KAC0=
2015-04-22,98.5174,99.0854,05990KAC0=
2015-04-23,98.7442,99.3136,05990KAC0=
2015-04-24,99.0475,99.619,05990KAC0=
2015-04-27,98.9565,99.5272,05990KAC0=
2015-04-28,98.3749,98.9414,05990KAC0=
2015-04-29,98.0527,98.6166,05990KAC0=
2015-04-30,98.1354,98.6997,05990KAC0=
2015-05-01,97.5605,98.1207,05990KAC0=
2015-05-04,97.3083,97.8666,05990KAC0=
2015-05-05,97.0421,97.5984,05990KAC0=
2015-05-06,96.5282,97.0806,05990KAC0=
2015-05-07,97.0737,97.6298,05990KAC0=
2015-05-08,97.3405,97.8983,05990KAC0=
2015-05-11,96.2883,96.8386,05990KAC0=
2015-05-12,96.5673,97.1195,05990KAC0=
2015-05-13,96.2252,96.7746,05990KAC0=
2015-05-14,96.6042,97.1562,05990KAC0=
2015-05-15,97.2253,97.7815,05990KAC0=
2015-05-18,96.5856,97.1372,05990KAC0=
2015-05-19,96.1842,96.7329,05990KAC0=
2015-05-20,96.4277,96.9776,05990KAC0=
2015-05-21,96.8826,97.4356,05990KAC0=
2015-05-22,96.7511,97.3031,05990KAC0=
2015-05-26,97.274,97.8295,05990KAC0=
2015-05-27,97.3636,97.9195,05990KAC0=
2015-05-28,97.3271,97.8826,05990KAC0=
2015-05-29,97.4015,97.9574,05990KAC0=
2015-06-01,96.9748,97.5276,05990KAC0=
2015-06-02,96.3681,96.9166,05990KAC0=
2015-06-03,95.6813,96.2246,05990KAC0=
2015-06-04,96.0584,96.6042,05990KAC0=
2015-06-05,95.3374,95.8781,05990KAC0=
2015-06-08,95.5325,96.0744,05990KAC0=
2015-06-09,95.1026,95.6414,05990KAC0=
2015-06-10,94.7841,95.3204,05990KAC0=
2015-06-11,95.5441,96.0856,05990KAC0=
2015-06-12,95.4803,96.0212,05990KAC0=
2015-06-15,95.7042,96.2466,05990KAC0=
2015-06-16,96.0662,96.6109,05990KAC0=
2015-06-17,95.989,96.5329,05990KAC0=
2015-06-18,95.8887,96.4318,05990KAC0=
2015-06-19,96.418,96.9646,05990KAC0=
2015-06-22,95.6024,96.1433,05990KAC0=
2015-06-23,95.3165,95.8552,05990KAC0=
2015-06-24,95.6132,96.1537,05990KAC0=
2015-06-25,95.3346,95.873,05990KAC0=
2015-06-26,94.8934,95.4287,05990KAC0=
2015-06-29,95.9396,96.4819,05990KAC0=
2015-06-30,95.7919,96.3328,05990KAC0=
2015-07-01,95.2415,95.7785,05990KAC0=
2015-07-02,95.5284,96.0672,05990KAC0=
2015-07-06,96.2267,96.7702,05990KAC0=
2015-07-07,96.4662,97.0112,05990KAC0=
2015-07-08,96.8893,97.4369,05990KAC0=
2015-07-09,96.029,96.5706,05990KAC0=
2015-07-10,95.4279,95.9652,05990KAC0=
2015-07-13,95.1084,95.6433,05990KAC0=
2015-07-14,95.4584,95.9957,05990KAC0=
2015-07-15,95.7545,96.2934,05990KAC0=
2015-07-16,95.7697,96.3086,05990KAC0=
2015-07-17,95.8065,96.3455,05990KAC0=
2015-07-20,95.5857,96.1231,05990KAC0=
2015-07-21,95.9373,96.477,05990KAC0=
2015-07-22,95.9687,96.5083,05990KAC0=
2015-07-23,95.4552,95.9911,05990KAC0=
2015-07-24,95.4918,96.0279,05990KAC0=
2015-07-27,95.814,96.3521,05990KAC0=
2015-07-28,95.578,96.1147,05990KAC0=
2015-07-29,95.3253,95.8597,05990KAC0=
2015-07-30,95.5325,96.0682,05990KAC0=
2015-07-31,96.0477,96.5868,05990KAC0=
2015-08-03,96.314,96.8549,05990KAC0=
2015-08-04,95.9994,96.538,05990KAC0=
2015-08-05,95.4605,95.995,05990KAC0=
2015-08-06,95.7675,96.304,05990KAC0=
2015-08-07,96.1901,96.7294,05990KAC0=
