Date,BID,ASK,RIC
2021-06-14,99.6746,99.9133,06048WM31=
2021-06-15,99.6978,99.9365,06048WM31=
2021-06-16,99.1353,99.3723,06048WM31=
2021-06-17,99.1963,99.4331,06048WM31=
2021-06-18,99.1887,99.4253,06048WM31=
2021-06-21,99.1752,99.4117,06048WM31=
2021-06-22,99.3323,99.5691,06048WM31=
2021-06-23,99.2139,99.4502,06048WM31=
2021-06-24,99.1459,99.3817,06048WM31=
2021-06-25,99.0663,99.3017,06048WM31=
2021-06-28,99.2133,99.449,06048WM31=
2021-06-29,99.2382,99.4738,06048WM31=
2021-06-30,99.2375,99.473,06048WM31=
2021-07-01,99.2218,99.4567,06048WM31=
2021-07-02,99.364,99.5992,06048WM31=
2021-07-05,99.402,99.6373,06048WM31=
2021-07-06,99.6815,99.9174,06048WM31=
2021-07-07,99.7308,99.9667,06048WM31=
2021-07-08,99.9278,100.0299,06048WM31=
2021-07-09,99.7152,99.9505,06048WM31=
2021-07-12,99.6814,99.9165,06048WM31=
2021-07-13,99.4445,99.6789,06048WM31=
2021-07-14,99.6802,99.915,06048WM31=
2021-07-15,99.7418,99.9764,06048WM31=
2021-07-16,99.7339,99.9684,06048WM31=
2021-07-19,99.8925,100.0226,06048WM31=
2021-07-20,99.9925,100.0405,06048WM31=
2021-07-21,99.7558,99.9899,06048WM31=
2021-07-22,99.8408,100.0129,06048WM31=
2021-07-23,99.871,100.0182,06048WM31=
2021-07-26,99.8077,100.0069,06048WM31=
2021-07-27,99.9305,100.0286,06048WM31=
2021-07-28,99.9211,100.0268,06048WM31=
2021-07-29,99.8472,100.0137,06048WM31=
2021-07-30,100.0115,100.0522,06048WM31=
2021-08-02,100.1737,100.2143,06048WM31=
2021-08-03,100.2055,100.246,06048WM31=
2021-08-04,100.09,100.1303,06048WM31=
2021-08-05,99.8699,100.0171,06048WM31=
2021-08-06,99.6472,99.8788,06048WM31=
2021-08-09,99.5473,99.7785,06048WM31=
2021-08-10,99.4031,99.6338,06048WM31=
2021-08-11,99.5062,99.7371,06048WM31=
2021-08-12,99.4088,99.639,06048WM31=
2021-08-13,99.6373,99.868,06048WM31=
2021-08-16,99.7034,99.9341,06048WM31=
2021-08-17,99.6731,99.9036,06048WM31=
2021-08-18,99.6725,99.9029,06048WM31=
2021-08-19,99.665,99.895,06048WM31=
2021-08-20,99.602,99.8317,06048WM31=
2021-08-23,99.6715,99.9012,06048WM31=
2021-08-24,99.5375,99.7668,06048WM31=
2021-08-25,99.4401,99.669,06048WM31=
2021-08-26,99.3691,99.5974,06048WM31=
2021-08-27,99.5973,99.8262,06048WM31=
2021-08-30,99.7599,99.9891,06048WM31=
2021-08-31,99.723,99.952,06048WM31=
2021-09-01,99.7302,99.9591,06048WM31=
2021-09-02,99.7468,99.9752,06048WM31=
2021-09-03,99.6739,99.902,06048WM31=
2021-09-06,99.6862,99.9143,06048WM31=
2021-09-07,99.5169,99.7444,06048WM31=
2021-09-08,99.5867,99.8143,06048WM31=
2021-09-09,99.6519,99.8793,06048WM31=
2021-09-10,99.5383,99.7652,06048WM31=
2021-09-13,99.589,99.8159,06048WM31=
2021-09-14,99.6772,99.9042,06048WM31=
2021-09-15,99.6158,99.8425,06048WM31=
2021-09-16,99.4383,99.6642,06048WM31=
2021-09-17,99.3402,99.5657,06048WM31=
2021-09-20,99.4973,99.7231,06048WM31=
2021-09-21,99.4671,99.6927,06048WM31=
2021-09-22,99.3638,99.589,06048WM31=
2021-09-23,98.9526,99.1763,06048WM31=
2021-09-24,98.9543,99.1779,06048WM31=
2021-09-27,98.8032,99.0263,06048WM31=
2021-09-28,98.7307,98.9535,06048WM31=
2021-09-29,98.8707,99.0937,06048WM31=
2021-09-30,98.9646,99.1875,06048WM31=
