Date,BID,ASK,RIC
2021-09-24,99.1118,99.3497,06048WN63=
2021-09-27,98.9341,99.1714,06048WN63=
2021-09-28,98.8392,99.0761,06048WN63=
2021-09-29,98.9819,99.219,06048WN63=
2021-09-30,99.0909,99.3279,06048WN63=
2021-10-01,99.2814,99.5188,06048WN63=
2021-10-04,99.2102,99.4473,06048WN63=
2021-10-05,99.0733,99.3099,06048WN63=
2021-10-06,99.015,99.2513,06048WN63=
2021-10-07,98.8239,99.0592,06048WN63=
2021-10-08,98.6802,98.915,06048WN63=
2021-10-11,98.5088,98.7431,06048WN63=
2021-10-12,98.6234,98.8579,06048WN63=
2021-10-13,98.6051,98.8394,06048WN63=
2021-10-14,98.7014,98.9356,06048WN63=
2021-10-15,98.3633,98.5964,06048WN63=
2021-10-18,98.1819,98.4144,06048WN63=
2021-10-19,98.1833,98.4157,06048WN63=
2021-10-20,98.174,98.4063,06048WN63=
2021-10-21,97.8519,98.0829,06048WN63=
2021-10-22,98.0073,98.2386,06048WN63=
2021-10-25,98.1575,98.3891,06048WN63=
2021-10-26,98.134,98.3654,06048WN63=
2021-10-27,98.2541,98.4857,06048WN63=
2021-10-28,98.1708,98.4019,06048WN63=
2021-10-29,98.1699,98.4009,06048WN63=
2021-11-01,98.199,98.4299,06048WN63=
2021-11-02,98.3732,98.6044,06048WN63=
2021-11-03,98.1528,98.3833,06048WN63=
2021-11-04,98.5118,98.7429,06048WN63=
2021-11-05,98.7627,98.9943,06048WN63=
2021-11-08,98.4617,98.6924,06048WN63=
2021-11-09,98.6372,98.8681,06048WN63=
2021-11-10,97.9657,98.1945,06048WN63=
2021-11-11,97.7757,98.004,06048WN63=
2021-11-12,97.9596,98.1882,06048WN63=
2021-11-15,97.8471,98.0753,06048WN63=
2021-11-16,97.7825,98.0104,06048WN63=
2021-11-17,97.9673,98.1955,06048WN63=
2021-11-18,98.006,98.234,06048WN63=
2021-11-19,97.98,98.2078,06048WN63=
2021-11-22,97.5385,97.765,06048WN63=
2021-11-23,97.4886,97.7147,06048WN63=
2021-11-24,97.472,97.6977,06048WN63=
2021-11-25,97.4579,97.6835,06048WN63=
2021-11-26,98.2779,98.5055,06048WN63=
2021-11-29,98.3442,98.5719,06048WN63=
2021-11-30,98.2833,98.5107,06048WN63=
2021-12-01,98.445,98.6727,06048WN63=
2021-12-02,98.1224,98.3489,06048WN63=
2021-12-03,98.3853,98.6123,06048WN63=
2021-12-06,98.1073,98.3335,06048WN63=
2021-12-07,97.8588,98.0842,06048WN63=
2021-12-08,97.7524,97.9774,06048WN63=
2021-12-09,97.8009,98.0256,06048WN63=
2021-12-10,97.8979,98.1227,06048WN63=
2021-12-13,95.7958,96.0151,06048WN63=
2021-12-14,95.6634,95.8822,06048WN63=
2021-12-15,95.6236,95.8422,06048WN63=
2021-12-16,95.9416,96.1606,06048WN63=
2021-12-17,95.924,96.1429,06048WN63=
2021-12-20,95.9678,96.1867,06048WN63=
2021-12-21,95.7563,95.9745,06048WN63=
2021-12-22,95.7739,95.9916,06048WN63=
2021-12-23,95.6566,95.8739,06048WN63=
2021-12-24,95.6576,95.8749,06048WN63=
2021-12-27,95.6405,95.8576,06048WN63=
2021-12-28,95.6688,95.8859,06048WN63=
2021-12-29,95.4871,95.7033,06048WN63=
2021-12-30,94.9938,95.2087,06048WN63=
2021-12-31,94.9951,95.21,06048WN63=
2022-01-03,94.6165,94.8303,06048WN63=
2022-01-04,94.6304,94.8441,06048WN63=
2022-01-05,94.3449,94.5577,06048WN63=
2022-01-06,94.1352,94.3471,06048WN63=
2022-01-07,94.0024,94.2139,06048WN63=
2022-01-10,93.9601,94.1714,06048WN63=
2022-01-11,93.9964,94.2076,06048WN63=
2022-01-12,93.921,94.1319,06048WN63=
2022-01-13,94.1325,94.3434,06048WN63=
2022-01-14,93.767,93.9769,06048WN63=
2022-01-17,93.5844,93.7938,06048WN63=
2022-01-18,93.3656,93.5744,06048WN63=
2022-01-19,93.4505,93.6594,06048WN63=
2022-01-20,93.6511,93.8601,06048WN63=
2022-01-21,93.778,93.9872,06048WN63=
2022-01-24,93.2153,93.423,06048WN63=
2022-01-25,93.1726,93.38,06048WN63=
2022-01-26,92.6836,92.8897,06048WN63=
2022-01-27,92.767,92.973,06048WN63=
2022-01-28,92.9531,93.1595,06048WN63=
2022-01-31,92.9923,93.1987,06048WN63=
2022-02-01,92.9574,93.1635,06048WN63=
2022-02-02,93.0484,93.2547,06048WN63=
2022-02-03,92.7585,92.9637,06048WN63=
2022-02-07,92.3805,92.5845,06048WN63=
2022-02-08,92.185,92.3884,06048WN63=
2022-02-09,92.1325,92.3356,06048WN63=
2022-02-10,91.5144,91.7156,06048WN63=
2022-02-11,92.0562,92.2586,06048WN63=
2022-02-14,91.7602,91.9618,06048WN63=
2022-02-15,91.6695,91.8707,06048WN63=
2022-02-16,91.7501,91.9514,06048WN63=
2022-02-17,92.0464,92.248,06048WN63=
2022-02-18,92.1784,92.3802,06048WN63=
2022-02-21,92.26,92.462,06048WN63=
2022-02-22,91.966,92.1671,06048WN63=
2022-02-23,91.813,92.0136,06048WN63=
2022-02-24,92.005,92.2055,06048WN63=
2022-02-25,91.9787,92.179,06048WN63=
2022-02-28,92.6034,92.8051,06048WN63=
2022-03-01,93.2036,93.4067,06048WN63=
2022-03-02,92.4401,92.6412,06048WN63=
2022-03-03,92.5324,92.7333,06048WN63=
2022-03-04,92.8602,93.0618,06048WN63=
2022-03-07,92.6511,92.8521,06048WN63=
2022-03-08,92.3575,92.5576,06048WN63=
2022-03-09,91.9379,92.1369,06048WN63=
2022-03-10,91.7754,91.9736,06048WN63=
2022-03-11,91.669,91.8669,06048WN63=
2022-03-14,91.1143,91.3107,06048WN63=
2022-03-15,91.0913,91.2875,06048WN63=
2022-03-16,90.7499,90.9452,06048WN63=
2022-03-17,90.9332,91.1286,06048WN63=
2022-03-18,90.9021,91.0973,06048WN63=
2022-03-21,90.2326,90.426,06048WN63=
2022-03-22,89.9453,90.1379,06048WN63=
2022-03-23,90.2517,90.4449,06048WN63=
2022-03-24,89.9402,90.1323,06048WN63=
2022-03-25,89.3243,89.5148,06048WN63=
2022-03-28,89.2961,89.4864,06048WN63=
2022-03-29,89.5166,89.7075,06048WN63=
2022-03-30,89.7566,89.9479,06048WN63=
2022-03-31,89.6661,89.8569,06048WN63=
2022-04-01,89.2678,89.4575,06048WN63=
2022-04-04,89.3807,89.5705,06048WN63=
2022-04-05,88.8253,89.0137,06048WN63=
2022-04-06,88.9298,89.1183,06048WN63=
2022-04-07,88.8527,89.0407,06048WN63=
2022-04-08,88.6726,88.86,06048WN63=
2022-04-11,88.6149,88.8021,06048WN63=
2022-04-12,88.9776,89.1655,06048WN63=
2022-04-13,89.1306,89.3184,06048WN63=
2022-04-14,88.6996,88.8863,06048WN63=
2022-04-15,88.7756,88.9625,06048WN63=
2022-04-18,88.7133,88.8999,06048WN63=
2022-04-19,88.2101,88.3954,06048WN63=
2022-04-20,88.4093,88.5949,06048WN63=
2022-04-21,88.0444,88.2288,06048WN63=
2022-04-22,88.1366,88.3211,06048WN63=
2022-04-25,88.4322,88.6173,06048WN63=
2022-04-26,88.9214,89.1076,06048WN63=
2022-04-27,88.6132,88.7985,06048WN63=
