Date,BID,ASK,RIC
2022-05-26,100.4783,100.5026,06048WV98=
2022-05-27,100.4557,100.4799,06048WV98=
2022-05-30,100.3748,100.399,06048WV98=
2022-05-31,100.35,100.374,06048WV98=
2022-06-01,100.1477,100.1715,06048WV98=
2022-06-02,100.147,100.1704,06048WV98=
2022-06-03,100.0628,100.086,06048WV98=
2022-06-06,99.8126,99.9941,06048WV98=
2022-06-07,99.9066,100.01,06048WV98=
2022-06-08,99.7818,99.963,06048WV98=
2022-06-09,99.6553,99.8358,06048WV98=
2022-06-10,98.9928,99.1718,06048WV98=
2022-06-13,98.2144,98.3916,06048WV98=
2022-06-14,97.8577,98.0341,06048WV98=
2022-06-15,98.6038,98.7816,06048WV98=
2022-06-16,98.8194,98.9972,06048WV98=
2022-06-17,98.6507,98.8281,06048WV98=
2022-06-20,98.5384,98.7155,06048WV98=
2022-06-21,98.5969,98.774,06048WV98=
2022-06-22,99.0354,99.2134,06048WV98=
2022-06-23,99.2641,99.4422,06048WV98=
2022-06-24,99.1773,99.3551,06048WV98=
2022-06-27,98.9944,99.1717,06048WV98=
2022-06-28,99.024,99.2012,06048WV98=
2022-06-29,99.282,99.4597,06048WV98=
2022-06-30,99.532,99.7097,06048WV98=
2022-07-01,99.8315,99.998,06048WV98=
2022-07-04,99.8227,99.997,06048WV98=
2022-07-05,99.9027,100.0056,06048WV98=
2022-07-06,99.5876,99.7651,06048WV98=
2022-07-07,99.4696,99.6465,06048WV98=
2022-07-08,99.2243,99.4006,06048WV98=
2022-07-11,99.3339,99.5103,06048WV98=
2022-07-12,99.3859,99.5623,06048WV98=
2022-07-13,99.2146,99.3905,06048WV98=
2022-07-14,99.1878,99.3633,06048WV98=
2022-07-15,99.2543,99.4298,06048WV98=
2022-07-18,99.1385,99.3137,06048WV98=
2022-07-19,98.9666,99.1413,06048WV98=
2022-07-20,98.9816,99.1562,06048WV98=
2022-07-21,99.4017,99.5768,06048WV98=
2022-07-22,99.6483,99.8238,06048WV98=
2022-07-25,99.5651,99.7403,06048WV98=
2022-07-26,99.5267,99.7017,06048WV98=
2022-07-27,99.6331,99.8082,06048WV98=
2022-07-28,99.8569,99.9987,06048WV98=
2022-07-29,99.8235,99.9956,06048WV98=
2022-08-01,99.8262,99.9958,06048WV98=
2022-08-02,99.5169,99.6912,06048WV98=
2022-08-03,99.5205,99.6947,06048WV98=
2022-08-04,99.5669,99.7408,06048WV98=
2022-08-05,99.1904,99.3635,06048WV98=
2022-08-08,99.2659,99.439,06048WV98=
2022-08-09,99.13,99.3027,06048WV98=
2022-08-10,99.2197,99.3925,06048WV98=
2022-08-11,99.1659,99.3382,06048WV98=
2022-08-12,99.1587,99.3309,06048WV98=
2022-08-15,99.2909,99.4632,06048WV98=
2022-08-16,99.1141,99.2859,06048WV98=
2022-08-17,98.9525,99.1239,06048WV98=
2022-08-18,99.0574,99.2287,06048WV98=
2022-08-19,98.9511,99.122,06048WV98=
2022-08-22,98.7376,98.908,06048WV98=
2022-08-23,98.7506,98.9209,06048WV98=
2022-08-24,98.6073,98.7772,06048WV98=
2022-08-25,98.714,98.8837,06048WV98=
2022-08-26,98.6663,98.8358,06048WV98=
2022-08-29,98.5304,98.6997,06048WV98=
2022-08-30,98.4917,98.6608,06048WV98=
2022-08-31,98.3074,98.476,06048WV98=
2022-09-01,98.2051,98.373,06048WV98=
2022-09-02,98.4436,98.6119,06048WV98=
2022-09-05,98.3164,98.4844,06048WV98=
2022-09-06,98.0158,98.1831,06048WV98=
2022-09-07,98.2537,98.4213,06048WV98=
2022-09-08,98.0328,98.1996,06048WV98=
2022-09-09,97.9657,98.1323,06048WV98=
2022-09-12,97.9263,98.0927,06048WV98=
2022-09-13,97.514,97.6795,06048WV98=
2022-09-14,97.4205,97.5856,06048WV98=
2022-09-15,97.2566,97.4211,06048WV98=
2022-09-16,97.3288,97.4933,06048WV98=
2022-09-19,97.1351,97.2991,06048WV98=
2022-09-20,97.0032,97.1668,06048WV98=
2022-09-21,96.8451,97.0083,06048WV98=
2022-09-22,96.4161,96.5781,06048WV98=
2022-09-23,96.1715,96.3329,06048WV98=
2022-09-26,95.5255,95.6855,06048WV98=
2022-09-27,95.6165,95.7766,06048WV98=
2022-09-28,96.3612,96.5226,06048WV98=
2022-09-29,96.1904,96.3511,06048WV98=
2022-09-30,95.2141,95.3728,06048WV98=
2022-10-03,95.7757,95.9354,06048WV98=
2022-10-04,95.8259,95.9856,06048WV98=
2022-10-05,95.5477,95.7067,06048WV98=
2022-10-06,95.6352,95.7939,06048WV98=
2022-10-07,95.003,95.1604,06048WV98=
2022-10-10,94.9605,95.1178,06048WV98=
2022-10-11,94.9647,95.1219,06048WV98=
2022-10-12,95.0968,95.2541,06048WV98=
2022-10-13,94.7348,94.8911,06048WV98=
2022-10-14,94.5576,94.7134,06048WV98=
2022-10-17,94.7333,94.8893,06048WV98=
2022-10-18,94.7605,94.9165,06048WV98=
2022-10-19,94.3293,94.4843,06048WV98=
2022-10-21,94.4446,94.5994,06048WV98=
2022-10-24,94.4155,94.5701,06048WV98=
2022-10-25,94.6967,94.8518,06048WV98=
2022-10-26,94.9308,95.0862,06048WV98=
2022-10-27,95.3302,95.4862,06048WV98=
2022-10-28,95.0082,95.1634,06048WV98=
2022-10-31,94.7889,94.9436,06048WV98=
2022-11-01,94.6284,94.7827,06048WV98=
2022-11-02,94.4793,94.6332,06048WV98=
2022-11-03,94.2567,94.4098,06048WV98=
2022-11-04,94.4154,94.5687,06048WV98=
2022-11-07,94.2464,94.3992,06048WV98=
2022-11-08,94.5231,94.6764,06048WV98=
2022-11-09,94.7239,94.8771,06048WV98=
2022-11-10,95.6842,95.8391,06048WV98=
2022-11-11,95.5813,95.736,06048WV98=
2022-11-14,95.5255,95.68,06048WV98=
2022-11-15,95.8236,95.9786,06048WV98=
2022-11-16,95.8543,96.0092,06048WV98=
2022-11-17,95.638,95.7921,06048WV98=
2022-11-18,95.4229,95.5765,06048WV98=
2022-11-21,95.3577,95.5111,06048WV98=
