Date,BID,ASK,RIC
2014-01-21,100.1629,100.9418,06051GFC8=
2014-01-22,99.0216,99.7873,06051GFC8=
2014-01-23,99.1256,99.8925,06051GFC8=
2014-01-24,99.5374,100.309,06051GFC8=
2014-01-27,100.1077,100.8859,06051GFC8=
2014-01-28,99.8067,100.5815,06051GFC8=
2014-01-29,99.9607,100.737,06051GFC8=
2014-01-30,100.2289,101.0083,06051GFC8=
2014-01-31,100.7064,101.4912,06051GFC8=
2014-02-03,101.237,102.0279,06051GFC8=
2014-02-04,100.8524,101.6389,06051GFC8=
2014-02-05,102.0007,102.8002,06051GFC8=
2014-02-06,102.2619,103.0644,06051GFC8=
2014-02-07,102.4684,103.2732,06051GFC8=
2014-02-10,102.8902,103.6999,06051GFC8=
2014-02-11,101.8228,102.6202,06051GFC8=
2014-02-12,100.99,101.7777,06051GFC8=
2014-02-13,100.7838,101.5691,06051GFC8=
2014-02-14,101.4913,102.2847,06051GFC8=
2014-02-18,102.3018,103.1045,06051GFC8=
2014-02-19,102.1496,102.9505,06051GFC8=
2014-02-20,100.9989,101.7865,06051GFC8=
2014-02-21,101.4162,102.2086,06051GFC8=
2014-02-24,101.8162,102.6132,06051GFC8=
2014-02-25,103.1263,103.9378,06051GFC8=
2014-02-26,103.6269,104.4445,06051GFC8=
2014-02-27,103.5534,104.3701,06051GFC8=
2014-02-28,103.6626,104.4805,06051GFC8=
2014-03-03,104.114,104.937,06051GFC8=
2014-03-04,103.2859,104.0994,06051GFC8=
2014-03-05,102.4517,103.2555,06051GFC8=
2014-03-06,101.4498,102.2421,06051GFC8=
2014-03-07,100.9536,101.7401,06051GFC8=
2014-03-10,100.7027,101.4863,06051GFC8=
2014-03-11,101.0123,101.7995,06051GFC8=
2014-03-12,101.0023,101.7893,06051GFC8=
2014-03-13,102.2654,103.0668,06051GFC8=
2014-03-14,101.6931,102.4879,06051GFC8=
2014-03-17,101.2145,102.0038,06051GFC8=
2014-03-18,102.2393,103.0403,06051GFC8=
2014-03-19,102.0731,102.8721,06051GFC8=
2014-03-20,101.5339,102.3267,06051GFC8=
2014-03-21,103.0847,103.8953,06051GFC8=
2014-03-24,104.1644,104.9874,06051GFC8=
2014-03-25,103.0325,103.8424,06051GFC8=
2014-03-26,103.8657,104.6853,06051GFC8=
2014-03-27,102.1975,102.9977,06051GFC8=
2014-03-28,101.8424,102.6385,06051GFC8=
2014-03-31,101.782,102.5774,06051GFC8=
2014-04-01,100.7579,101.5415,06051GFC8=
2014-04-02,102.0354,102.8335,06051GFC8=
2014-04-03,101.7271,102.5217,06051GFC8=
2014-04-04,102.8199,103.627,06051GFC8=
2014-04-07,103.2953,104.1078,06051GFC8=
2014-04-08,103.376,104.1894,06051GFC8=
2014-04-09,102.6771,103.4824,06051GFC8=
2014-04-10,103.6598,104.4763,06051GFC8=
2014-04-11,103.7642,104.5819,06051GFC8=
2014-04-14,103.7217,104.5388,06051GFC8=
2014-04-15,103.8114,104.6294,06051GFC8=
2014-04-16,104.8755,105.7058,06051GFC8=
2014-04-17,102.9657,103.7739,06051GFC8=
2014-04-21,102.9333,103.7412,06051GFC8=
