Date,BID,ASK,RIC
2016-04-19,100.6973,101.1203,06051GFX2=
2016-04-20,100.1251,100.545,06051GFX2=
2016-04-21,100.3682,100.7892,06051GFX2=
2016-04-22,100.3261,100.7468,06051GFX2=
2016-04-25,99.9742,100.3931,06051GFX2=
2016-04-26,99.9825,100.4013,06051GFX2=
2016-04-27,100.8888,101.3117,06051GFX2=
2016-04-28,101.0574,101.4811,06051GFX2=
2016-04-29,100.6272,101.0487,06051GFX2=
2016-05-02,100.5514,100.9724,06051GFX2=
2016-05-03,101.0396,101.4629,06051GFX2=
2016-05-04,101.0302,101.4531,06051GFX2=
2016-05-05,100.8193,101.2411,06051GFX2=
2016-05-06,101.1815,101.605,06051GFX2=
2016-05-09,101.418,101.8425,06051GFX2=
2016-05-10,101.2231,101.6466,06051GFX2=
2016-05-11,101.2136,101.6367,06051GFX2=
2016-05-12,101.2171,101.6402,06051GFX2=
2016-05-13,101.372,101.7957,06051GFX2=
2016-05-16,101.0629,101.485,06051GFX2=
2016-05-17,100.5166,100.936,06051GFX2=
2016-05-18,99.7109,100.1261,06051GFX2=
2016-05-19,99.7143,100.1294,06051GFX2=
2016-05-20,99.7254,100.1404,06051GFX2=
2016-05-23,99.7812,100.1964,06051GFX2=
2016-05-24,100.2892,100.7068,06051GFX2=
2016-05-25,100.7339,101.1534,06051GFX2=
2016-05-26,101.6071,102.0307,06051GFX2=
2016-05-27,101.2764,101.6983,06051GFX2=
2016-05-31,101.1995,101.6209,06051GFX2=
2016-06-01,101.1733,101.5943,06051GFX2=
2016-06-02,101.5095,101.932,06051GFX2=
2016-06-03,101.9908,102.4155,06051GFX2=
2016-06-06,101.8549,102.2789,06051GFX2=
2016-06-07,101.9559,102.3803,06051GFX2=
2016-06-08,101.8192,102.2426,06051GFX2=
2016-06-09,101.8187,102.242,06051GFX2=
2016-06-10,101.4643,101.8858,06051GFX2=
2016-06-13,101.3883,101.8093,06051GFX2=
2016-06-14,101.2034,101.6234,06051GFX2=
2016-06-15,101.6306,102.0524,06051GFX2=
2016-06-16,101.3194,101.7396,06051GFX2=
2016-06-17,101.4029,101.8234,06051GFX2=
2016-06-20,101.5957,102.017,06051GFX2=
2016-06-21,101.8393,102.2617,06051GFX2=
2016-06-22,102.0065,102.4294,06051GFX2=
2016-06-23,101.6273,102.0483,06051GFX2=
2016-06-24,101.9802,102.4028,06051GFX2=
2016-06-27,102.2161,102.6397,06051GFX2=
2016-06-28,102.9622,103.3893,06051GFX2=
2016-06-29,103.036,103.463,06051GFX2=
2016-06-30,103.5649,103.9944,06051GFX2=
2016-07-01,103.9848,104.4162,06051GFX2=
2016-07-05,103.8892,104.32,06051GFX2=
2016-07-06,104.2651,104.6974,06051GFX2=
2016-07-07,103.9713,104.4021,06051GFX2=
2016-07-08,104.7211,105.1554,06051GFX2=
2016-07-11,104.5468,104.9802,06051GFX2=
2016-07-12,103.5399,103.9683,06051GFX2=
2016-07-13,103.657,104.0857,06051GFX2=
2016-07-14,103.2806,103.7074,06051GFX2=
2016-07-15,103.1012,103.527,06051GFX2=
2016-07-18,102.8714,103.296,06051GFX2=
2016-07-19,102.6761,103.0997,06051GFX2=
2016-07-20,102.9957,103.4205,06051GFX2=
2016-07-21,102.8426,103.2666,06051GFX2=
2016-07-22,103.3678,103.7942,06051GFX2=
2016-07-25,103.2904,103.7163,06051GFX2=
2016-07-26,103.6472,104.0747,06051GFX2=
2016-07-27,103.7307,104.1584,06051GFX2=
