Date,BID,ASK,RIC
2023-05-05,98.7022,98.9152,06055JAX7=
2023-05-08,98.5829,98.7955,06055JAX7=
2023-05-09,98.5673,98.7797,06055JAX7=
2023-05-10,98.7671,98.98,06055JAX7=
2023-05-11,98.792,99.0046,06055JAX7=
2023-05-12,98.6793,98.8915,06055JAX7=
2023-05-15,98.8837,99.0963,06055JAX7=
2023-05-16,98.7451,98.9573,06055JAX7=
2023-05-17,98.6209,98.8327,06055JAX7=
2023-05-18,98.4582,98.6692,06055JAX7=
2023-05-19,98.39,98.6008,06055JAX7=
2023-05-22,98.3138,98.5243,06055JAX7=
2023-05-23,98.3399,98.5503,06055JAX7=
2023-05-24,98.1611,98.371,06055JAX7=
2023-05-25,97.9787,98.1877,06055JAX7=
2023-05-26,97.9182,98.1271,06055JAX7=
2023-05-29,97.8912,98.1,06055JAX7=
2023-05-30,98.1878,98.3972,06055JAX7=
2023-05-31,98.3168,98.5265,06055JAX7=
2023-06-01,98.4285,98.6381,06055JAX7=
2023-06-02,98.1316,98.3404,06055JAX7=
2023-06-05,98.2101,98.419,06055JAX7=
2023-06-06,98.1745,98.3832,06055JAX7=
2023-06-07,98.018,98.2262,06055JAX7=
2023-06-08,98.1515,98.3597,06055JAX7=
2023-06-09,97.9981,98.2058,06055JAX7=
2023-06-12,98.0147,98.2224,06055JAX7=
2023-06-13,97.8122,98.0193,06055JAX7=
2023-06-14,97.7838,97.9907,06055JAX7=
2023-06-15,97.9489,98.1558,06055JAX7=
2023-06-16,97.809,98.0154,06055JAX7=
2023-06-19,97.6977,97.9039,06055JAX7=
2023-06-20,97.8723,98.0788,06055JAX7=
2023-06-21,97.8348,98.0411,06055JAX7=
2023-06-22,97.6581,97.8637,06055JAX7=
2023-06-23,97.782,97.9878,06055JAX7=
2023-06-26,97.9503,98.1564,06055JAX7=
2023-06-27,97.7993,98.0049,06055JAX7=
2023-06-28,97.9148,98.1206,06055JAX7=
2023-06-29,97.5508,97.7554,06055JAX7=
2023-06-30,97.4695,97.6737,06055JAX7=
2023-07-03,97.3794,97.5832,06055JAX7=
2023-07-04,97.4286,97.6326,06055JAX7=
2023-07-05,97.2795,97.483,06055JAX7=
2023-07-07,97.0646,97.2671,06055JAX7=
2023-07-10,97.387,97.5902,06055JAX7=
2023-07-11,97.3667,97.5698,06055JAX7=
2023-07-12,97.7489,97.9528,06055JAX7=
2023-07-13,98.0308,98.2351,06055JAX7=
2023-07-14,97.7992,98.0029,06055JAX7=
2023-07-17,97.7932,97.9967,06055JAX7=
2023-07-18,97.8566,98.0602,06055JAX7=
2023-07-19,97.5959,97.7987,06055JAX7=
2023-07-20,97.3547,97.5566,06055JAX7=
2023-07-21,97.3754,97.5773,06055JAX7=
