Date,BID,ASK,RIC
2023-05-19,98.7771,98.9113,06055JBB4=
2023-05-22,98.7251,98.8591,06055JBB4=
2023-05-23,98.7422,98.8761,06055JBB4=
2023-05-24,98.6146,98.7482,06055JBB4=
2023-05-25,98.4324,98.5652,06055JBB4=
2023-05-26,98.3869,98.5197,06055JBB4=
2023-05-29,98.3378,98.4705,06055JBB4=
2023-05-30,98.5287,98.6616,06055JBB4=
2023-05-31,98.6186,98.7515,06055JBB4=
2023-06-01,98.7064,98.8391,06055JBB4=
2023-06-02,98.5137,98.646,06055JBB4=
2023-06-05,98.5744,98.7067,06055JBB4=
2023-06-06,98.5498,98.6819,06055JBB4=
2023-06-07,98.4994,98.6313,06055JBB4=
2023-06-08,98.5649,98.6966,06055JBB4=
2023-06-09,98.4344,98.5658,06055JBB4=
2023-06-12,98.4423,98.5736,06055JBB4=
2023-06-13,98.302,98.4329,06055JBB4=
2023-06-14,98.2596,98.3903,06055JBB4=
2023-06-15,98.3579,98.4883,06055JBB4=
2023-06-16,98.2618,98.392,06055JBB4=
2023-06-19,98.1843,98.3143,06055JBB4=
2023-06-20,98.2982,98.4283,06055JBB4=
2023-06-21,98.2641,98.394,06055JBB4=
2023-06-22,98.15,98.2794,06055JBB4=
2023-06-23,98.2371,98.3665,06055JBB4=
2023-06-26,98.3515,98.481,06055JBB4=
2023-06-27,98.2387,98.3679,06055JBB4=
2023-06-28,98.3179,98.4471,06055JBB4=
2023-06-29,98.0658,98.1943,06055JBB4=
2023-06-30,98.0034,98.1316,06055JBB4=
2023-07-03,97.9464,98.0744,06055JBB4=
2023-07-04,97.9796,98.1076,06055JBB4=
2023-07-05,97.9159,98.0437,06055JBB4=
2023-07-07,97.8578,97.985,06055JBB4=
2023-07-10,98.0498,98.1772,06055JBB4=
2023-07-11,98.0222,98.1495,06055JBB4=
2023-07-12,98.2496,98.3771,06055JBB4=
2023-07-13,98.448,98.5755,06055JBB4=
2023-07-14,98.2581,98.3852,06055JBB4=
2023-07-17,98.2645,98.3915,06055JBB4=
2023-07-18,98.2756,98.4025,06055JBB4=
2023-07-19,98.2811,98.4079,06055JBB4=
2023-07-20,98.1336,98.2598,06055JBB4=
2023-07-21,98.1451,98.2712,06055JBB4=
