Date,BID,ASK,RIC
2023-05-17,100.4223,100.8081,06237MAA1=
2023-05-19,99.5645,99.9462,06237MAA1=
2023-05-22,99.268,99.6482,06237MAA1=
2023-05-23,98.9878,99.3666,06237MAA1=
2023-05-24,98.6409,99.018,06237MAA1=
2023-05-25,98.0346,98.4086,06237MAA1=
2023-05-26,98.1466,98.5211,06237MAA1=
2023-05-29,98.4224,98.7982,06237MAA1=
2023-05-30,99.3967,99.777,06237MAA1=
2023-05-31,99.7692,100.1511,06237MAA1=
2023-06-01,99.9518,100.3344,06237MAA1=
2023-06-02,99.1996,99.5786,06237MAA1=
2023-06-05,99.2979,99.6772,06237MAA1=
2023-06-06,99.8294,100.2112,06237MAA1=
2023-06-07,98.9506,99.3282,06237MAA1=
2023-06-08,99.806,100.1873,06237MAA1=
2023-06-09,99.6312,100.0116,06237MAA1=
2023-06-12,99.3281,99.707,06237MAA1=
2023-06-13,98.6955,99.0714,06237MAA1=
2023-06-14,99.2752,99.6537,06237MAA1=
2023-06-15,99.1998,99.5777,06237MAA1=
2023-06-16,98.8463,99.2224,06237MAA1=
2023-06-19,98.437,98.8112,06237MAA1=
2023-06-20,99.7367,100.1169,06237MAA1=
2023-06-21,99.9037,100.2846,06237MAA1=
2023-06-22,99.3734,99.7516,06237MAA1=
2023-06-23,99.8273,100.2075,06237MAA1=
2023-06-26,99.706,100.0856,06237MAA1=
2023-06-27,99.5622,99.941,06237MAA1=
2023-06-28,100.4589,100.8418,06237MAA1=
2023-06-29,99.9406,100.3209,06237MAA1=
2023-06-30,99.948,100.3282,06237MAA1=
2023-07-03,99.0654,99.4414,06237MAA1=
2023-07-04,99.0473,99.4232,06237MAA1=
2023-07-05,98.4974,98.8707,06237MAA1=
2023-07-07,98.1122,98.4834,06237MAA1=
2023-07-10,98.6027,98.9761,06237MAA1=
2023-07-11,98.3352,98.7072,06237MAA1=
2023-07-12,99.1786,99.5545,06237MAA1=
2023-07-13,99.8261,100.2047,06237MAA1=
2023-07-14,99.5771,99.9545,06237MAA1=
2023-07-17,99.7354,100.1135,06237MAA1=
2023-07-18,100.0376,100.417,06237MAA1=
2023-07-19,100.3484,100.7291,06237MAA1=
2023-07-20,100.0449,100.424,06237MAA1=
2023-07-21,100.2038,100.5835,06237MAA1=
