Date,BID,ASK,RIC
2018-09-25,99.711,99.9387,06279JAA7=
2018-09-26,99.8793,100.1073,06279JAA7=
2018-09-27,99.8154,100.0429,06279JAA7=
2018-09-28,99.829,100.0565,06279JAA7=
2018-10-01,99.7836,100.0108,06279JAA7=
2018-10-02,99.711,99.9379,06279JAA7=
2018-10-03,99.5209,99.7472,06279JAA7=
2018-10-04,99.3771,99.6026,06279JAA7=
2018-10-05,99.2153,99.4403,06279JAA7=
2018-10-08,99.1948,99.4197,06279JAA7=
2018-10-09,99.283,99.508,06279JAA7=
2018-10-10,99.5306,99.7562,06279JAA7=
2018-10-11,99.1718,99.3961,06279JAA7=
2018-10-12,99.3469,99.5716,06279JAA7=
2018-10-15,99.2126,99.4368,06279JAA7=
2018-10-16,99.2039,99.428,06279JAA7=
2018-10-17,99.0388,99.2623,06279JAA7=
2018-10-18,99.2005,99.4242,06279JAA7=
2018-10-19,99.0001,99.2231,06279JAA7=
2018-10-22,99.0005,99.2234,06279JAA7=
2018-10-23,98.9831,99.2059,06279JAA7=
2018-10-24,99.2329,99.4562,06279JAA7=
2018-10-25,99.0113,99.2337,06279JAA7=
2018-10-26,99.4524,99.6759,06279JAA7=
2018-10-29,99.3863,99.6096,06279JAA7=
2018-10-30,98.9544,99.1764,06279JAA7=
2018-10-31,99.0479,99.2701,06279JAA7=
2018-11-01,99.1777,99.3999,06279JAA7=
2018-11-02,98.7753,98.9963,06279JAA7=
2018-11-05,98.8464,99.0675,06279JAA7=
2018-11-06,98.7013,98.9219,06279JAA7=
2018-11-07,98.6402,98.8606,06279JAA7=
2018-11-08,98.5548,98.7745,06279JAA7=
2018-11-09,98.8762,99.0966,06279JAA7=
2018-11-12,99.0629,99.2838,06279JAA7=
2018-11-13,98.9823,99.2029,06279JAA7=
2018-11-14,99.018,99.2386,06279JAA7=
2018-11-15,98.3706,98.5892,06279JAA7=
2018-11-16,98.6073,98.8264,06279JAA7=
2018-11-19,98.2544,98.4725,06279JAA7=
2018-11-20,98.2038,98.4215,06279JAA7=
2018-11-21,97.4325,97.6479,06279JAA7=
2018-11-22,97.4418,97.6572,06279JAA7=
2018-11-23,97.6878,97.9037,06279JAA7=
2018-11-26,97.6329,97.8486,06279JAA7=
2018-11-27,97.6254,97.841,06279JAA7=
2018-11-28,97.7255,97.9412,06279JAA7=
2018-11-29,97.4152,97.6298,06279JAA7=
2018-11-30,97.4464,97.661,06279JAA7=
2018-12-03,97.4776,97.6921,06279JAA7=
2018-12-04,97.5946,97.8093,06279JAA7=
2018-12-05,97.2466,97.4603,06279JAA7=
2018-12-06,97.411,97.6248,06279JAA7=
2018-12-07,97.6345,97.8488,06279JAA7=
2018-12-10,97.358,97.5715,06279JAA7=
2018-12-11,97.5001,97.7139,06279JAA7=
2018-12-12,97.1691,97.3819,06279JAA7=
2018-12-13,97.2879,97.5007,06279JAA7=
2018-12-14,97.3742,97.5871,06279JAA7=
2018-12-17,97.6394,97.8529,06279JAA7=
2018-12-18,97.7642,97.9779,06279JAA7=
2018-12-19,97.7099,97.9233,06279JAA7=
2018-12-20,97.5219,97.7345,06279JAA7=
2018-12-21,97.6687,97.8815,06279JAA7=
2018-12-24,97.9422,98.1556,06279JAA7=
2018-12-26,98.3404,98.5547,06279JAA7=
2018-12-27,97.6566,97.869,06279JAA7=
2018-12-28,97.9814,98.1943,06279JAA7=
2018-12-31,98.1824,98.3957,06279JAA7=
2019-01-02,98.226,98.4393,06279JAA7=
2019-01-03,98.6638,98.8779,06279JAA7=
2019-01-04,97.5392,97.7504,06279JAA7=
2019-01-07,97.8065,98.0182,06279JAA7=
2019-01-08,97.6344,97.8456,06279JAA7=
2019-01-09,97.9313,98.1431,06279JAA7=
2019-01-10,97.85,98.0613,06279JAA7=
2019-01-11,98.0285,98.2401,06279JAA7=
2019-01-14,98.0211,98.2326,06279JAA7=
2019-01-15,98.3479,98.5601,06279JAA7=
2019-01-16,98.3064,98.5184,06279JAA7=
2019-01-17,98.0357,98.2466,06279JAA7=
2019-01-18,98.5944,98.8066,06279JAA7=
2019-01-21,98.6815,98.8939,06279JAA7=
