Date,BID,ASK,RIC
2019-02-05,99.385,99.612,06367WHH9=
2019-02-06,99.463,99.69,06367WHH9=
2019-02-07,99.622,99.849,06367WHH9=
2019-02-08,99.663,99.89,06367WHH9=
2019-02-11,99.495,99.722,06367WHH9=
2019-02-12,99.532,99.758,06367WHH9=
2019-02-13,99.333,99.559,06367WHH9=
2019-02-14,99.578,99.804,06367WHH9=
2019-02-15,99.472,99.698,06367WHH9=
2019-02-18,99.457,99.683,06367WHH9=
2019-02-19,99.641,99.867,06367WHH9=
2019-02-20,99.587,99.813,06367WHH9=
2019-02-21,99.444,99.669,06367WHH9=
2019-02-22,99.633,99.858,06367WHH9=
2019-02-25,99.768,99.994,06367WHH9=
2019-02-26,99.805,100.03,06367WHH9=
2019-02-27,99.8,100.025,06367WHH9=
2019-02-28,99.755,99.98,06367WHH9=
2019-03-01,99.634,99.859,06367WHH9=
2019-03-04,99.733,99.958,06367WHH9=
2019-03-05,99.733,99.958,06367WHH9=
2019-03-06,99.854,100.079,06367WHH9=
2019-03-07,100.07,100.295,06367WHH9=
2019-03-08,100.223,100.448,06367WHH9=
2019-03-11,100.115,100.339,06367WHH9=
2019-03-12,100.245,100.47,06367WHH9=
2019-03-13,100.069,100.294,06367WHH9=
2019-03-14,100.123,100.347,06367WHH9=
2019-03-15,100.37,100.594,06367WHH9=
2019-03-18,100.289,100.513,06367WHH9=
2019-03-19,100.226,100.45,06367WHH9=
2019-03-20,100.643,100.868,06367WHH9=
2019-03-21,100.565,100.79,06367WHH9=
2019-03-22,100.983,101.209,06367WHH9=
2019-03-25,101.231,101.457,06367WHH9=
2019-03-26,101.081,101.307,06367WHH9=
2019-03-27,101.342,101.568,06367WHH9=
2019-03-28,101.025,101.25,06367WHH9=
2019-03-29,101.092,101.317,06367WHH9=
2019-04-01,100.688,100.912,06367WHH9=
2019-04-02,100.831,101.055,06367WHH9=
2019-04-03,100.754,100.978,06367WHH9=
2019-04-04,100.807,101.03,06367WHH9=
2019-04-05,101.07,101.294,06367WHH9=
2019-04-08,100.904,101.128,06367WHH9=
2019-04-09,100.988,101.212,06367WHH9=
2019-04-10,101.153,101.378,06367WHH9=
2019-04-11,101.08,101.304,06367WHH9=
2019-04-12,100.799,101.021,06367WHH9=
2019-04-15,100.82,101.043,06367WHH9=
2019-04-16,100.678,100.9,06367WHH9=
2019-04-17,100.823,101.045,06367WHH9=
2019-04-18,100.929,101.151,06367WHH9=
2019-04-19,100.935,101.157,06367WHH9=
2019-04-22,100.813,101.035,06367WHH9=
2019-04-23,100.928,101.15,06367WHH9=
2019-04-24,101.082,101.305,06367WHH9=
2019-04-25,101.089,101.311,06367WHH9=
2019-04-26,101.275,101.497,06367WHH9=
2019-04-29,101.172,101.394,06367WHH9=
2019-04-30,101.327,101.549,06367WHH9=
2019-05-01,101.207,101.428,06367WHH9=
2019-05-02,100.975,101.196,06367WHH9=
2019-05-03,101.071,101.292,06367WHH9=
2019-05-06,101.301,101.522,06367WHH9=
2019-05-07,101.477,101.699,06367WHH9=
2019-05-08,101.145,101.365,06367WHH9=
2019-05-09,101.253,101.474,06367WHH9=
2019-05-10,101.279,101.499,06367WHH9=
2019-05-13,101.596,101.817,06367WHH9=
2019-05-14,101.484,101.705,06367WHH9=
2019-05-15,101.647,101.868,06367WHH9=
2019-05-16,101.38,101.6,06367WHH9=
2019-05-17,101.445,101.665,06367WHH9=
2019-05-20,101.326,101.546,06367WHH9=
2019-05-21,101.356,101.576,06367WHH9=
2019-05-22,101.649,101.87,06367WHH9=
2019-05-23,101.888,102.108,06367WHH9=
2019-05-24,101.889,102.109,06367WHH9=
2019-05-27,101.889,102.109,06367WHH9=
2019-05-28,101.956,102.177,06367WHH9=
2019-05-29,101.934,102.154,06367WHH9=
2019-05-30,102.16,102.38,06367WHH9=
2019-05-31,102.498,102.72,06367WHH9=
2019-06-03,102.603,102.824,06367WHH9=
2019-06-04,102.672,102.894,06367WHH9=
2019-06-05,102.737,102.959,06367WHH9=
2019-06-06,102.689,102.91,06367WHH9=
2019-06-07,102.722,102.943,06367WHH9=
2019-06-10,102.342,102.562,06367WHH9=
2019-06-11,102.271,102.49,06367WHH9=
2019-06-12,102.405,102.625,06367WHH9=
2019-06-13,102.568,102.788,06367WHH9=
2019-06-14,102.655,102.875,06367WHH9=
2019-06-17,102.759,102.979,06367WHH9=
2019-06-18,102.805,103.026,06367WHH9=
2019-06-19,103.006,103.227,06367WHH9=
2019-06-20,102.953,103.173,06367WHH9=
2019-06-21,102.903,103.123,06367WHH9=
2019-06-24,103.112,103.332,06367WHH9=
2019-06-25,103.203,103.423,06367WHH9=
2019-06-26,103.157,103.377,06367WHH9=
2019-06-27,103.495,103.715,06367WHH9=
2019-06-28,103.669,103.889,06367WHH9=
2019-07-01,103.464,103.684,06367WHH9=
2019-07-02,103.632,103.852,06367WHH9=
2019-07-03,103.722,103.942,06367WHH9=
2019-07-04,103.729,103.949,06367WHH9=
2019-07-05,103.409,103.628,06367WHH9=
2019-07-08,103.11,103.328,06367WHH9=
2019-07-09,102.478,102.695,06367WHH9=
2019-07-10,103.263,103.482,06367WHH9=
2019-07-11,103.001,103.219,06367WHH9=
2019-07-12,103.017,103.234,06367WHH9=
2019-07-15,103.132,103.35,06367WHH9=
2019-07-16,103.074,103.291,06367WHH9=
2019-07-17,103.324,103.542,06367WHH9=
2019-07-18,103.288,103.506,06367WHH9=
2019-07-19,102.949,103.165,06367WHH9=
2019-07-22,102.865,103.081,06367WHH9=
2019-07-23,103.239,103.456,06367WHH9=
2019-07-24,103.333,103.55,06367WHH9=
2019-07-25,103.483,103.7,06367WHH9=
2019-07-26,103.248,103.464,06367WHH9=
2019-07-29,103.325,103.541,06367WHH9=
2019-07-30,103.116,103.332,06367WHH9=
2019-07-31,103.382,103.598,06367WHH9=
2019-08-01,103.718,103.934,06367WHH9=
2019-08-02,104.119,104.336,06367WHH9=
2019-08-05,104.43,104.648,06367WHH9=
2019-08-06,104.392,104.61,06367WHH9=
2019-08-07,104.19,104.407,06367WHH9=
2019-08-08,104.256,104.473,06367WHH9=
2019-08-09,104.184,104.401,06367WHH9=
2019-08-12,104.42,104.637,06367WHH9=
2019-08-13,103.907,104.123,06367WHH9=
2019-08-14,104.302,104.519,06367WHH9=
2019-08-15,104.363,104.58,06367WHH9=
