Date,BID,ASK,RIC
2020-12-10,99.923,100.071,06368EA36=
2020-12-11,100.009,100.157,06368EA36=
2020-12-14,100.015,100.163,06368EA36=
2020-12-15,99.867,100.015,06368EA36=
2020-12-16,99.862,100.009,06368EA36=
2020-12-17,99.897,100.044,06368EA36=
2020-12-18,99.971,100.118,06368EA36=
2020-12-21,99.971,100.118,06368EA36=
2020-12-22,100.0,100.147,06368EA36=
2020-12-23,99.994,100.14,06368EA36=
2020-12-24,100.009,100.155,06368EA36=
2020-12-28,100.009,100.155,06368EA36=
2020-12-29,99.99,100.136,06368EA36=
2020-12-30,100.067,100.212,06368EA36=
2020-12-31,100.064,100.209,06368EA36=
2021-01-04,100.227,100.372,06368EA36=
2021-01-05,100.194,100.34,06368EA36=
2021-01-06,100.11,100.255,06368EA36=
2021-01-07,100.078,100.223,06368EA36=
2021-01-08,100.046,100.191,06368EA36=
2021-01-11,100.046,100.19,06368EA36=
2021-01-12,100.225,100.369,06368EA36=
2021-01-13,100.248,100.392,06368EA36=
2021-01-14,100.247,100.39,06368EA36=
2021-01-15,100.298,100.442,06368EA36=
2021-01-18,100.29,100.433,06368EA36=
2021-01-19,100.318,100.462,06368EA36=
2021-01-20,100.22,100.364,06368EA36=
2021-01-21,100.225,100.368,06368EA36=
2021-01-22,100.234,100.376,06368EA36=
2021-01-25,100.148,100.29,06368EA36=
2021-01-26,100.148,100.29,06368EA36=
2021-01-27,100.213,100.355,06368EA36=
2021-01-28,100.181,100.323,06368EA36=
2021-01-29,100.212,100.354,06368EA36=
2021-02-01,100.218,100.36,06368EA36=
2021-02-02,100.204,100.345,06368EA36=
2021-02-03,100.172,100.314,06368EA36=
2021-02-04,100.18,100.321,06368EA36=
2021-02-05,100.194,100.335,06368EA36=
2021-02-08,100.171,100.312,06368EA36=
2021-02-09,100.177,100.317,06368EA36=
2021-02-10,100.182,100.323,06368EA36=
2021-02-11,100.173,100.313,06368EA36=
2021-02-12,100.151,100.29,06368EA36=
2021-02-15,100.115,100.255,06368EA36=
2021-02-16,100.056,100.195,06368EA36=
2021-02-17,100.114,100.254,06368EA36=
2021-02-18,100.122,100.261,06368EA36=
2021-02-19,100.161,100.3,06368EA36=
2021-02-22,100.116,100.255,06368EA36=
2021-02-23,100.152,100.291,06368EA36=
2021-02-24,100.088,100.227,06368EA36=
2021-02-25,99.767,99.904,06368EA36=
2021-02-26,99.97,100.107,06368EA36=
2021-03-01,100.104,100.242,06368EA36=
2021-03-02,100.11,100.247,06368EA36=
2021-03-03,100.0,100.137,06368EA36=
2021-03-04,99.956,100.093,06368EA36=
2021-03-05,99.94,100.076,06368EA36=
2021-03-08,99.473,99.609,06368EA36=
2021-03-09,99.539,99.674,06368EA36=
