Date,BID,ASK,RIC
2022-03-07,98.886,99.116,06368FAJ8=
2022-03-08,98.164,98.392,06368FAJ8=
2022-03-09,98.102,98.329,06368FAJ8=
2022-03-10,97.661,97.887,06368FAJ8=
2022-03-11,97.527,97.752,06368FAJ8=
2022-03-14,97.096,97.321,06368FAJ8=
2022-03-15,96.861,97.084,06368FAJ8=
2022-03-16,96.778,97.001,06368FAJ8=
2022-03-17,97.372,97.597,06368FAJ8=
2022-03-18,97.522,97.746,06368FAJ8=
2022-03-21,97.169,97.393,06368FAJ8=
2022-03-22,96.912,97.135,06368FAJ8=
2022-03-23,97.319,97.543,06368FAJ8=
2022-03-24,96.967,97.19,06368FAJ8=
2022-03-25,96.64,96.862,06368FAJ8=
2022-03-28,96.381,96.602,06368FAJ8=
2022-03-29,96.732,96.954,06368FAJ8=
2022-03-30,97.007,97.229,06368FAJ8=
2022-03-31,96.768,96.989,06368FAJ8=
2022-04-01,96.122,96.342,06368FAJ8=
2022-04-04,96.427,96.648,06368FAJ8=
2022-04-05,95.689,95.907,06368FAJ8=
2022-04-06,95.591,95.809,06368FAJ8=
2022-04-07,95.589,95.807,06368FAJ8=
2022-04-08,95.375,95.591,06368FAJ8=
2022-04-11,95.07,95.286,06368FAJ8=
2022-04-12,95.146,95.362,06368FAJ8=
2022-04-13,95.152,95.367,06368FAJ8=
2022-04-14,94.896,95.111,06368FAJ8=
2022-04-15,94.993,95.208,06368FAJ8=
2022-04-18,94.77,94.985,06368FAJ8=
2022-04-19,94.287,94.5,06368FAJ8=
2022-04-20,94.23,94.443,06368FAJ8=
2022-04-21,94.426,94.639,06368FAJ8=
2022-04-22,93.6,93.81,06368FAJ8=
2022-04-25,94.245,94.457,06368FAJ8=
2022-04-26,94.694,94.907,06368FAJ8=
2022-04-27,94.259,94.471,06368FAJ8=
2022-04-28,94.399,94.611,06368FAJ8=
2022-04-29,93.464,93.673,06368FAJ8=
2022-05-02,93.609,93.819,06368FAJ8=
2022-05-03,93.274,93.483,06368FAJ8=
2022-05-04,93.918,94.128,06368FAJ8=
2022-05-05,93.747,93.956,06368FAJ8=
2022-05-06,92.943,93.15,06368FAJ8=
2022-05-09,93.628,93.837,06368FAJ8=
2022-05-10,93.544,93.752,06368FAJ8=
2022-05-11,94.137,94.347,06368FAJ8=
2022-05-12,94.121,94.33,06368FAJ8=
2022-05-13,93.936,94.145,06368FAJ8=
2022-05-16,93.98,94.19,06368FAJ8=
2022-05-17,93.617,93.825,06368FAJ8=
2022-05-18,93.6,93.807,06368FAJ8=
2022-05-19,93.547,93.755,06368FAJ8=
2022-05-20,93.912,94.12,06368FAJ8=
2022-05-23,93.761,93.969,06368FAJ8=
2022-05-24,94.006,94.214,06368FAJ8=
2022-05-25,94.209,94.417,06368FAJ8=
2022-05-26,94.377,94.586,06368FAJ8=
2022-05-27,94.337,94.546,06368FAJ8=
2022-05-30,93.978,94.186,06368FAJ8=
2022-05-31,94.186,94.395,06368FAJ8=
2022-06-01,93.912,94.119,06368FAJ8=
2022-06-02,93.909,94.116,06368FAJ8=
2022-06-03,93.772,93.978,06368FAJ8=
2022-06-06,93.233,93.438,06368FAJ8=
2022-06-07,93.454,93.659,06368FAJ8=
2022-06-08,93.293,93.498,06368FAJ8=
2022-06-09,93.328,93.533,06368FAJ8=
2022-06-10,92.341,92.543,06368FAJ8=
2022-06-13,90.926,91.124,06368FAJ8=
2022-06-14,90.39,90.587,06368FAJ8=
2022-06-15,91.249,91.448,06368FAJ8=
2022-06-16,91.283,91.482,06368FAJ8=
2022-06-17,91.315,91.514,06368FAJ8=
2022-06-20,91.175,91.373,06368FAJ8=
2022-06-21,91.527,91.726,06368FAJ8=
2022-06-22,91.853,92.053,06368FAJ8=
2022-06-23,91.958,92.158,06368FAJ8=
2022-06-24,92.17,92.37,06368FAJ8=
2022-06-27,91.692,91.891,06368FAJ8=
2022-06-28,91.633,91.832,06368FAJ8=
2022-06-29,91.943,92.143,06368FAJ8=
2022-06-30,92.462,92.662,06368FAJ8=
2022-07-01,92.943,93.144,06368FAJ8=
2022-07-04,92.888,93.089,06368FAJ8=
2022-07-05,93.188,93.39,06368FAJ8=
2022-07-06,93.208,93.409,06368FAJ8=
2022-07-07,92.662,92.862,06368FAJ8=
2022-07-08,93.054,93.255,06368FAJ8=
2022-07-11,92.73,92.93,06368FAJ8=
2022-07-12,93.154,93.354,06368FAJ8=
2022-07-13,92.794,92.993,06368FAJ8=
2022-07-14,92.873,93.073,06368FAJ8=
2022-07-15,92.857,93.057,06368FAJ8=
2022-07-18,92.917,93.116,06368FAJ8=
2022-07-19,92.738,92.937,06368FAJ8=
2022-07-20,92.964,93.164,06368FAJ8=
2022-07-21,93.354,93.554,06368FAJ8=
2022-07-22,94.011,94.213,06368FAJ8=
2022-07-25,94.325,94.527,06368FAJ8=
2022-07-26,93.721,93.922,06368FAJ8=
2022-07-27,94.061,94.263,06368FAJ8=
2022-07-28,94.826,95.029,06368FAJ8=
2022-07-29,94.655,94.857,06368FAJ8=
2022-08-01,95.417,95.621,06368FAJ8=
2022-08-02,94.867,95.07,06368FAJ8=
2022-08-03,94.511,94.713,06368FAJ8=
2022-08-04,94.568,94.77,06368FAJ8=
2022-08-05,94.291,94.491,06368FAJ8=
2022-08-08,94.17,94.37,06368FAJ8=
2022-08-09,94.441,94.642,06368FAJ8=
2022-08-10,94.14,94.34,06368FAJ8=
2022-08-11,93.582,93.78,06368FAJ8=
2022-08-12,94.082,94.281,06368FAJ8=
2022-08-15,94.636,94.837,06368FAJ8=
