Date,BID,ASK,RIC
2022-08-22,97.581,97.971,06368GZW0=
2022-08-23,97.464,97.853,06368GZW0=
2022-08-24,97.177,97.565,06368GZW0=
2022-08-25,97.529,97.919,06368GZW0=
2022-08-26,97.49,97.879,06368GZW0=
2022-08-29,97.094,97.482,06368GZW0=
2022-08-30,97.083,97.471,06368GZW0=
2022-08-31,96.65,97.035,06368GZW0=
2022-09-01,96.321,96.704,06368GZW0=
2022-09-02,96.764,97.15,06368GZW0=
2022-09-05,96.537,96.921,06368GZW0=
2022-09-06,95.885,96.266,06368GZW0=
2022-09-07,96.369,96.752,06368GZW0=
2022-09-08,96.023,96.404,06368GZW0=
2022-09-09,96.032,96.414,06368GZW0=
2022-09-12,95.833,96.214,06368GZW0=
2022-09-13,95.426,95.805,06368GZW0=
2022-09-14,95.386,95.764,06368GZW0=
2022-09-15,95.068,95.444,06368GZW0=
2022-09-16,95.118,95.495,06368GZW0=
2022-09-19,94.855,95.23,06368GZW0=
2022-09-20,94.443,94.816,06368GZW0=
2022-09-21,94.805,95.179,06368GZW0=
2022-09-22,93.706,94.075,06368GZW0=
2022-09-23,93.757,94.125,06368GZW0=
2022-09-26,92.235,92.597,06368GZW0=
2022-09-27,92.176,92.537,06368GZW0=
2022-09-28,93.537,93.905,06368GZW0=
2022-09-29,93.237,93.603,06368GZW0=
2022-09-30,92.921,93.285,06368GZW0=
2022-10-03,94.141,94.511,06368GZW0=
2022-10-04,94.22,94.59,06368GZW0=
2022-10-05,93.464,93.83,06368GZW0=
2022-10-06,93.077,93.441,06368GZW0=
2022-10-07,92.546,92.908,06368GZW0=
2022-10-10,92.123,92.483,06368GZW0=
2022-10-11,92.214,92.575,06368GZW0=
2022-10-12,92.51,92.872,06368GZW0=
2022-10-13,92.153,92.512,06368GZW0=
2022-10-14,91.702,92.06,06368GZW0=
2022-10-17,91.806,92.163,06368GZW0=
2022-10-18,91.847,92.205,06368GZW0=
2022-10-19,91.002,91.356,06368GZW0=
2022-10-21,90.563,90.914,06368GZW0=
2022-10-24,90.394,90.745,06368GZW0=
2022-10-25,91.33,91.685,06368GZW0=
2022-10-26,91.914,92.271,06368GZW0=
2022-10-27,92.452,92.812,06368GZW0=
2022-10-28,91.905,92.262,06368GZW0=
2022-10-31,91.636,91.992,06368GZW0=
2022-11-01,91.6,91.956,06368GZW0=
2022-11-02,91.311,91.666,06368GZW0=
2022-11-03,90.965,91.317,06368GZW0=
2022-11-04,90.921,91.273,06368GZW0=
2022-11-07,90.566,90.917,06368GZW0=
2022-11-08,91.16,91.513,06368GZW0=
2022-11-09,91.376,91.729,06368GZW0=
2022-11-10,93.256,93.618,06368GZW0=
2022-11-11,93.009,93.37,06368GZW0=
2022-11-14,92.897,93.257,06368GZW0=
2022-11-15,93.458,93.821,06368GZW0=
2022-11-16,93.964,94.329,06368GZW0=
2022-11-17,93.454,93.817,06368GZW0=
2022-11-18,93.092,93.453,06368GZW0=
2022-11-21,93.008,93.368,06368GZW0=
2022-11-22,93.482,93.844,06368GZW0=
2022-11-23,93.945,94.309,06368GZW0=
2022-11-24,94.121,94.486,06368GZW0=
2022-11-25,93.955,94.32,06368GZW0=
2022-11-28,94.0,94.365,06368GZW0=
2022-11-29,93.58,93.943,06368GZW0=
2022-11-30,94.522,94.889,06368GZW0=
2022-12-01,95.142,95.511,06368GZW0=
2022-12-02,95.228,95.598,06368GZW0=
2022-12-05,94.578,94.945,06368GZW0=
