Date,BID,ASK,RIC
2023-01-09,100.929,101.148,06368LGV2=
2023-01-10,100.679,100.897,06368LGV2=
2023-01-11,100.952,101.171,06368LGV2=
2023-01-12,101.498,101.718,06368LGV2=
2023-01-13,101.236,101.455,06368LGV2=
2023-01-16,101.12,101.339,06368LGV2=
2023-01-17,101.129,101.349,06368LGV2=
2023-01-18,102.182,102.404,06368LGV2=
2023-01-19,102.2,102.422,06368LGV2=
2023-01-20,101.855,102.076,06368LGV2=
2023-01-23,101.517,101.736,06368LGV2=
2023-01-24,101.767,101.987,06368LGV2=
2023-01-25,101.881,102.101,06368LGV2=
2023-01-26,101.833,102.052,06368LGV2=
2023-01-27,101.702,101.922,06368LGV2=
2023-01-30,101.587,101.806,06368LGV2=
2023-01-31,101.677,101.897,06368LGV2=
2023-02-01,102.056,102.276,06368LGV2=
2023-02-02,102.457,102.677,06368LGV2=
2023-02-03,101.574,101.793,06368LGV2=
2023-02-06,101.272,101.489,06368LGV2=
2023-02-07,101.241,101.458,06368LGV2=
2023-02-08,101.139,101.356,06368LGV2=
2023-02-09,101.361,101.578,06368LGV2=
2023-02-10,100.974,101.19,06368LGV2=
2023-02-13,100.478,100.693,06368LGV2=
2023-02-14,100.418,100.632,06368LGV2=
2023-02-15,100.29,100.504,06368LGV2=
2023-02-16,100.207,100.421,06368LGV2=
2023-02-17,100.037,100.253,06368LGV2=
2023-02-20,99.845,100.061,06368LGV2=
2023-02-21,99.708,99.923,06368LGV2=
2023-02-22,99.535,99.749,06368LGV2=
2023-02-23,99.584,99.798,06368LGV2=
2023-02-24,98.927,99.139,06368LGV2=
2023-02-27,99.143,99.356,06368LGV2=
2023-02-28,99.13,99.343,06368LGV2=
2023-03-01,98.783,98.995,06368LGV2=
2023-03-02,98.937,99.148,06368LGV2=
2023-03-03,99.031,99.243,06368LGV2=
2023-03-06,99.292,99.504,06368LGV2=
2023-03-07,98.86,99.071,06368LGV2=
2023-03-08,98.738,98.949,06368LGV2=
2023-03-09,98.813,99.024,06368LGV2=
2023-03-10,99.519,99.731,06368LGV2=
2023-03-13,100.173,100.385,06368LGV2=
2023-03-14,99.376,99.588,06368LGV2=
2023-03-15,100.194,100.405,06368LGV2=
2023-03-16,99.473,99.684,06368LGV2=
2023-03-17,99.967,100.179,06368LGV2=
2023-03-20,99.893,100.106,06368LGV2=
2023-03-21,99.831,100.043,06368LGV2=
2023-03-22,100.145,100.356,06368LGV2=
2023-03-23,101.022,101.233,06368LGV2=
2023-03-24,101.381,101.593,06368LGV2=
2023-03-27,100.807,101.018,06368LGV2=
2023-03-28,100.194,100.404,06368LGV2=
2023-03-29,100.058,100.27,06368LGV2=
2023-03-30,100.161,100.371,06368LGV2=
2023-03-31,100.694,100.904,06368LGV2=
2023-04-03,101.129,101.34,06368LGV2=
2023-04-04,101.555,101.767,06368LGV2=
2023-04-05,101.677,101.889,06368LGV2=
2023-04-06,101.656,101.867,06368LGV2=
2023-04-07,101.044,101.254,06368LGV2=
2023-04-10,101.175,101.385,06368LGV2=
2023-04-11,101.119,101.329,06368LGV2=
2023-04-12,101.121,101.331,06368LGV2=
2023-04-13,101.412,101.623,06368LGV2=
2023-04-14,101.134,101.344,06368LGV2=
2023-04-17,100.45,100.658,06368LGV2=
2023-04-18,100.559,100.767,06368LGV2=
2023-04-19,100.257,100.465,06368LGV2=
2023-04-20,100.651,100.858,06368LGV2=
2023-04-21,100.696,100.903,06368LGV2=
2023-04-24,101.118,101.327,06368LGV2=
2023-04-25,101.343,101.552,06368LGV2=
2023-04-26,101.592,101.802,06368LGV2=
2023-04-27,101.394,101.603,06368LGV2=
2023-04-28,101.469,101.678,06368LGV2=
2023-05-01,101.307,101.515,06368LGV2=
2023-05-02,101.282,101.49,06368LGV2=
2023-05-03,101.72,101.929,06368LGV2=
2023-05-04,101.79,101.999,06368LGV2=
2023-05-05,101.66,101.869,06368LGV2=
2023-05-08,101.186,101.396,06368LGV2=
2023-05-09,101.524,101.735,06368LGV2=
2023-05-10,101.49,101.701,06368LGV2=
2023-05-11,101.908,102.12,06368LGV2=
2023-05-12,101.722,101.933,06368LGV2=
2023-05-15,101.504,101.714,06368LGV2=
2023-05-16,101.344,101.554,06368LGV2=
2023-05-17,100.742,100.95,06368LGV2=
2023-05-18,100.615,100.823,06368LGV2=
2023-05-19,100.281,100.487,06368LGV2=
2023-05-22,99.696,99.901,06368LGV2=
2023-05-23,100.232,100.439,06368LGV2=
2023-05-24,100.029,100.235,06368LGV2=
2023-05-25,99.763,99.968,06368LGV2=
2023-05-26,99.384,99.587,06368LGV2=
2023-05-29,99.388,99.591,06368LGV2=
2023-05-30,100.062,100.268,06368LGV2=
2023-05-31,100.233,100.439,06368LGV2=
2023-06-01,100.533,100.739,06368LGV2=
2023-06-02,100.103,100.308,06368LGV2=
2023-06-05,100.219,100.424,06368LGV2=
2023-06-06,100.084,100.288,06368LGV2=
2023-06-07,99.733,99.937,06368LGV2=
2023-06-08,99.794,99.998,06368LGV2=
2023-06-09,99.603,99.805,06368LGV2=
2023-06-12,99.713,99.916,06368LGV2=
2023-06-13,99.254,99.456,06368LGV2=
2023-06-14,99.263,99.465,06368LGV2=
