Date,BID,ASK,RIC
2023-06-01,100.31,100.448,06368LNT9=
2023-06-02,100.071,100.208,06368LNT9=
2023-06-05,100.168,100.306,06368LNT9=
2023-06-06,99.994,100.131,06368LNT9=
2023-06-07,99.736,99.872,06368LNT9=
2023-06-08,99.897,100.033,06368LNT9=
2023-06-09,99.631,99.766,06368LNT9=
2023-06-12,99.688,99.823,06368LNT9=
2023-06-13,99.453,99.588,06368LNT9=
2023-06-14,99.431,99.566,06368LNT9=
2023-06-15,99.619,99.754,06368LNT9=
2023-06-16,99.512,99.647,06368LNT9=
2023-06-20,99.907,100.042,06368LNT9=
2023-06-21,99.871,100.006,06368LNT9=
2023-06-22,99.686,99.82,06368LNT9=
2023-06-23,99.817,99.952,06368LNT9=
2023-06-26,99.902,100.037,06368LNT9=
2023-06-27,99.68,99.814,06368LNT9=
2023-06-28,99.968,100.102,06368LNT9=
2023-06-29,99.717,99.85,06368LNT9=
2023-06-30,99.523,99.656,06368LNT9=
2023-07-03,99.533,99.665,06368LNT9=
2023-07-04,99.595,99.727,06368LNT9=
2023-07-05,99.439,99.572,06368LNT9=
2023-07-07,99.235,99.366,06368LNT9=
2023-07-10,99.554,99.686,06368LNT9=
2023-07-11,99.203,99.334,06368LNT9=
2023-07-12,99.726,99.858,06368LNT9=
2023-07-13,100.321,100.454,06368LNT9=
2023-07-14,99.838,99.97,06368LNT9=
2023-07-17,100.136,100.268,06368LNT9=
2023-07-18,100.008,100.14,06368LNT9=
2023-07-19,100.023,100.155,06368LNT9=
2023-07-20,99.757,99.888,06368LNT9=
2023-07-21,99.862,99.993,06368LNT9=
