Date,BID,ASK,RIC
2023-01-06,99.7172,99.926,06374VC38=
2023-01-09,99.7542,99.963,06374VC38=
2023-01-10,99.6955,99.904,06374VC38=
2023-01-11,99.7356,99.9441,06374VC38=
2023-01-12,99.8517,100.0052,06374VC38=
2023-01-13,99.7921,99.9931,06374VC38=
2023-01-16,99.7624,99.9705,06374VC38=
2023-01-17,99.7764,99.9844,06374VC38=
2023-01-18,99.903,100.015,06374VC38=
2023-01-19,99.8705,100.0081,06374VC38=
2023-01-20,99.8216,99.9983,06374VC38=
2023-01-23,99.7584,99.9658,06374VC38=
2023-01-24,99.8039,99.9946,06374VC38=
2023-01-25,99.8061,99.9949,06374VC38=
2023-01-26,99.7581,99.965,06374VC38=
2023-01-27,99.7663,99.9732,06374VC38=
2023-01-30,99.7047,99.9113,06374VC38=
2023-01-31,99.7521,99.9588,06374VC38=
2023-02-01,99.8416,100.0012,06374VC38=
2023-02-02,99.8496,100.0024,06374VC38=
2023-02-03,99.6492,99.8551,06374VC38=
2023-02-06,99.4377,99.643,06374VC38=
2023-02-07,99.4386,99.6438,06374VC38=
2023-02-08,99.482,99.6872,06374VC38=
2023-02-09,99.2806,99.485,06374VC38=
2023-02-10,99.204,99.4081,06374VC38=
2023-02-13,99.2019,99.4059,06374VC38=
2023-02-14,99.0337,99.2372,06374VC38=
2023-02-15,99.0077,99.211,06374VC38=
2023-02-16,98.96,99.1628,06374VC38=
2023-02-17,99.0231,99.2259,06374VC38=
2023-02-20,98.9592,99.1619,06374VC38=
2023-02-21,98.7932,98.9954,06374VC38=
2023-02-22,98.7905,98.9925,06374VC38=
2023-02-23,98.8448,99.0467,06374VC38=
2023-02-24,98.6609,98.8619,06374VC38=
2023-02-27,98.6913,98.8924,06374VC38=
2023-02-28,98.662,98.8629,06374VC38=
2023-03-01,98.5914,98.792,06374VC38=
2023-03-02,98.5572,98.7575,06374VC38=
2023-03-03,98.6465,98.8469,06374VC38=
2023-03-06,98.6137,98.8139,06374VC38=
2023-03-07,98.3933,98.5929,06374VC38=
2023-03-08,98.317,98.5163,06374VC38=
2023-03-09,98.6703,98.8701,06374VC38=
2023-03-10,99.1356,99.3364,06374VC38=
2023-03-13,99.813,99.9936,06374VC38=
2023-03-14,99.5726,99.7743,06374VC38=
2023-03-15,99.9574,100.0179,06374VC38=
