Date,BID,ASK,RIC
2021-03-01,99.3324,99.5737,0641593U8=
2021-03-02,99.5981,99.84,0641593U8=
2021-03-03,99.2657,99.5066,0641593U8=
2021-03-04,99.027,99.2668,0641593U8=
2021-03-05,98.9271,99.1665,0641593U8=
2021-03-08,98.6556,98.8942,0641593U8=
2021-03-09,98.3805,98.6182,0641593U8=
2021-03-10,98.4716,98.7094,0641593U8=
2021-03-11,98.4883,98.7258,0641593U8=
2021-03-12,98.2335,98.4702,0641593U8=
2021-03-15,98.2864,98.5231,0641593U8=
2021-03-16,98.2873,98.5238,0641593U8=
2021-03-17,98.4158,98.6526,0641593U8=
2021-03-18,98.145,98.3806,0641593U8=
2021-03-19,98.019,98.2542,0641593U8=
2021-03-22,98.1329,98.3683,0641593U8=
2021-03-23,98.4492,98.6853,0641593U8=
2021-03-24,98.3182,98.5538,0641593U8=
2021-03-25,98.2223,98.4572,0641593U8=
2021-03-26,98.0874,98.3219,0641593U8=
2021-03-29,98.0002,98.2344,0641593U8=
2021-03-30,97.8314,98.065,0641593U8=
2021-03-31,98.214,98.4481,0641593U8=
2021-04-01,98.3647,98.5991,0641593U8=
2021-04-02,98.0609,98.2945,0641593U8=
2021-04-05,98.2066,98.4405,0641593U8=
2021-04-06,98.4882,98.7227,0641593U8=
2021-04-07,98.5639,98.7985,0641593U8=
2021-04-08,98.7348,98.9694,0641593U8=
2021-04-09,98.6045,98.8387,0641593U8=
2021-04-12,98.4231,98.6566,0641593U8=
2021-04-13,98.8352,99.0697,0641593U8=
2021-04-14,98.9155,99.1501,0641593U8=
2021-04-15,98.9828,99.2172,0641593U8=
2021-04-16,98.8851,99.1191,0641593U8=
2021-04-19,98.6665,98.8998,0641593U8=
2021-04-20,99.0686,99.3028,0641593U8=
2021-04-21,99.0504,99.2844,0641593U8=
2021-04-22,99.0893,99.323,0641593U8=
2021-04-23,98.7545,98.9872,0641593U8=
2021-04-26,98.9086,99.1416,0641593U8=
2021-04-27,98.7327,98.9651,0641593U8=
2021-04-28,98.868,99.1006,0641593U8=
2021-04-29,98.8003,99.0324,0641593U8=
2021-04-30,98.9308,99.1631,0641593U8=
2021-05-03,99.0428,99.2752,0641593U8=
2021-05-04,98.6082,98.8394,0641593U8=
2021-05-05,98.6828,98.914,0641593U8=
2021-05-06,99.0084,99.2401,0641593U8=
2021-05-07,99.1432,99.3751,0641593U8=
2021-05-10,99.0835,99.3151,0641593U8=
2021-05-11,99.0101,99.2414,0641593U8=
2021-05-12,98.7294,98.9599,0641593U8=
2021-05-13,98.7545,98.9846,0641593U8=
2021-05-14,98.8517,99.0819,0641593U8=
2021-05-17,98.9535,99.1839,0641593U8=
2021-05-18,99.0323,99.2628,0641593U8=
2021-05-19,99.0375,99.2678,0641593U8=
2021-05-20,99.2368,99.4673,0641593U8=
2021-05-21,99.1545,99.3846,0641593U8=
2021-05-24,99.2469,99.4771,0641593U8=
2021-05-25,99.3807,99.6112,0641593U8=
2021-05-26,99.3443,99.5745,0641593U8=
2021-05-27,99.1986,99.4281,0641593U8=
2021-05-28,99.3038,99.5334,0641593U8=
2021-05-31,99.2892,99.5188,0641593U8=
2021-06-01,99.1126,99.3416,0641593U8=
2021-06-02,99.4336,99.6633,0641593U8=
2021-06-03,99.2196,99.4483,0641593U8=
2021-06-04,99.4944,99.7237,0641593U8=
2021-06-07,99.3438,99.5726,0641593U8=
2021-06-08,99.3396,99.5682,0641593U8=
2021-06-09,99.4496,99.6784,0641593U8=
2021-06-10,99.6058,99.8346,0641593U8=
2021-06-11,99.4782,99.7065,0641593U8=
2021-06-14,99.2827,99.5104,0641593U8=
2021-06-15,99.3195,99.5472,0641593U8=
2021-06-16,98.7852,99.0114,0641593U8=
2021-06-17,98.8505,99.0764,0641593U8=
2021-06-18,98.8827,99.1086,0641593U8=
2021-06-21,98.8292,99.0548,0641593U8=
2021-06-22,98.9787,99.2046,0641593U8=
2021-06-23,98.8666,99.0921,0641593U8=
2021-06-24,98.8012,99.0261,0641593U8=
2021-06-25,99.0266,99.2519,0641593U8=
2021-06-28,98.7846,99.0092,0641593U8=
2021-06-29,98.8212,99.0458,0641593U8=
2021-06-30,98.8219,99.0463,0641593U8=
2021-07-01,98.8157,99.0396,0641593U8=
2021-07-02,98.9595,99.1836,0641593U8=
2021-07-05,98.983,99.2072,0641593U8=
2021-07-06,99.2514,99.4761,0641593U8=
2021-07-07,99.3012,99.5259,0641593U8=
2021-07-08,99.4953,99.7201,0641593U8=
2021-07-09,99.2939,99.5181,0641593U8=
2021-07-12,99.254,99.478,0641593U8=
2021-07-13,99.0758,99.2992,0641593U8=
2021-07-14,99.3041,99.5279,0641593U8=
2021-07-15,99.283,99.5064,0641593U8=
2021-07-16,98.9674,99.1898,0641593U8=
2021-07-19,99.1146,99.3373,0641593U8=
2021-07-20,99.2175,99.4403,0641593U8=
2021-07-21,98.9781,99.2002,0641593U8=
2021-07-22,99.0641,99.286,0641593U8=
2021-07-23,99.1444,99.3664,0641593U8=
2021-07-26,99.4734,99.6961,0641593U8=
2021-07-27,99.5983,99.8211,0641593U8=
2021-07-28,99.5363,99.7589,0641593U8=
2021-07-29,99.3682,99.5901,0641593U8=
2021-07-30,99.5371,99.7593,0641593U8=
2021-08-02,99.755,99.9776,0641593U8=
2021-08-03,99.7907,100.0132,0641593U8=
2021-08-04,99.5822,99.8041,0641593U8=
2021-08-05,99.3532,99.5741,0641593U8=
2021-08-06,99.1422,99.3625,0641593U8=
2021-08-09,99.0372,99.2571,0641593U8=
2021-08-10,98.9019,99.1213,0641593U8=
2021-08-11,98.9989,99.2184,0641593U8=
2021-08-12,98.9089,99.1278,0641593U8=
2021-08-13,99.137,99.3563,0641593U8=
2021-08-16,99.1945,99.4138,0641593U8=
2021-08-17,99.1643,99.3834,0641593U8=
2021-08-18,99.4277,99.6473,0641593U8=
2021-08-19,99.2975,99.5164,0641593U8=
2021-08-20,99.2848,99.5036,0641593U8=
2021-08-23,99.342,99.5608,0641593U8=
2021-08-24,99.2115,99.4298,0641593U8=
2021-08-25,99.1118,99.3297,0641593U8=
2021-08-26,98.9918,99.209,0641593U8=
2021-08-27,99.2061,99.4239,0641593U8=
2021-08-30,99.3531,99.5711,0641593U8=
2021-08-31,99.3187,99.5365,0641593U8=
2021-09-01,99.5455,99.7637,0641593U8=
2021-09-02,99.4379,99.6553,0641593U8=
2021-09-03,99.3254,99.5424,0641593U8=
2021-09-06,99.3244,99.5414,0641593U8=
2021-09-07,99.2003,99.4169,0641593U8=
2021-09-08,99.2786,99.4952,0641593U8=
2021-09-09,99.3534,99.5698,0641593U8=
2021-09-10,99.2372,99.4532,0641593U8=
2021-09-13,99.2808,99.4968,0641593U8=
2021-09-14,99.3718,99.5879,0641593U8=
2021-09-15,99.2213,99.4369,0641593U8=
2021-09-16,99.0509,99.2657,0641593U8=
2021-09-17,98.9572,99.1716,0641593U8=
2021-09-20,99.1121,99.3268,0641593U8=
2021-09-21,99.0783,99.2927,0641593U8=
2021-09-22,98.9505,99.1645,0641593U8=
2021-09-23,98.5437,98.7563,0641593U8=
2021-09-24,98.9317,99.1451,0641593U8=
2021-09-27,98.7664,98.9793,0641593U8=
