Date,BID,ASK,RIC
2021-04-19,99.938,100.086,0641593X2=
2021-04-20,100.0,100.147,0641593X2=
2021-04-21,100.029,100.177,0641593X2=
2021-04-22,100.053,100.2,0641593X2=
2021-04-23,100.044,100.191,0641593X2=
2021-04-26,100.026,100.173,0641593X2=
2021-04-27,99.974,100.12,0641593X2=
2021-04-28,100.161,100.307,0641593X2=
2021-04-29,100.006,100.152,0641593X2=
2021-04-30,100.052,100.198,0641593X2=
2021-05-03,99.936,100.082,0641593X2=
2021-05-04,100.119,100.265,0641593X2=
2021-05-05,99.977,100.122,0641593X2=
2021-05-06,100.2,100.345,0641593X2=
2021-05-07,100.255,100.4,0641593X2=
2021-05-10,100.24,100.385,0641593X2=
2021-05-11,100.223,100.368,0641593X2=
2021-05-12,100.072,100.217,0641593X2=
2021-05-13,100.04,100.184,0641593X2=
2021-05-14,100.003,100.147,0641593X2=
2021-05-17,99.98,100.124,0641593X2=
2021-05-18,100.241,100.385,0641593X2=
2021-05-19,100.172,100.316,0641593X2=
2021-05-20,100.298,100.441,0641593X2=
2021-05-21,100.295,100.438,0641593X2=
2021-05-24,100.311,100.455,0641593X2=
2021-05-25,100.363,100.506,0641593X2=
2021-05-26,100.354,100.497,0641593X2=
2021-05-27,100.353,100.495,0641593X2=
2021-05-28,100.247,100.389,0641593X2=
2021-05-31,100.233,100.376,0641593X2=
2021-06-01,100.133,100.275,0641593X2=
2021-06-02,100.133,100.275,0641593X2=
2021-06-03,100.014,100.155,0641593X2=
2021-06-04,100.076,100.217,0641593X2=
2021-06-07,100.003,100.144,0641593X2=
2021-06-08,100.017,100.158,0641593X2=
2021-06-09,99.986,100.127,0641593X2=
2021-06-10,100.017,100.157,0641593X2=
2021-06-11,99.972,100.112,0641593X2=
2021-06-14,99.905,100.045,0641593X2=
2021-06-15,99.897,100.036,0641593X2=
2021-06-16,99.677,99.816,0641593X2=
2021-06-17,99.628,99.766,0641593X2=
2021-06-18,99.531,99.67,0641593X2=
2021-06-21,99.523,99.662,0641593X2=
2021-06-22,99.723,99.861,0641593X2=
2021-06-23,99.856,99.994,0641593X2=
2021-06-24,99.82,99.958,0641593X2=
2021-06-25,99.818,99.956,0641593X2=
2021-06-28,99.854,99.992,0641593X2=
2021-06-29,99.862,100.0,0641593X2=
2021-06-30,99.854,99.992,0641593X2=
2021-07-01,100.038,100.176,0641593X2=
2021-07-02,100.11,100.247,0641593X2=
2021-07-05,100.117,100.254,0641593X2=
2021-07-06,100.211,100.348,0641593X2=
2021-07-07,100.219,100.356,0641593X2=
2021-07-08,100.32,100.457,0641593X2=
2021-07-09,100.232,100.369,0641593X2=
2021-07-12,100.147,100.2834,0641593X2=
2021-07-13,99.9808,100.1168,0641593X2=
2021-07-14,100.0732,100.2093,0641593X2=
2021-07-15,100.0676,100.2032,0641593X2=
2021-07-16,100.0729,100.2084,0641593X2=
2021-07-19,100.0864,100.2218,0641593X2=
2021-07-20,100.1512,100.2866,0641593X2=
2021-07-21,100.0781,100.2132,0641593X2=
2021-07-22,100.121,100.2558,0641593X2=
2021-07-23,100.0402,100.1747,0641593X2=
2021-07-26,99.9784,100.1127,0641593X2=
2021-07-27,100.2308,100.3653,0641593X2=
2021-07-28,100.2225,100.3569,0641593X2=
2021-07-29,100.2086,100.3427,0641593X2=
2021-07-30,100.2861,100.4202,0641593X2=
2021-08-02,100.342,100.476,0641593X2=
2021-08-03,100.3631,100.497,0641593X2=
2021-08-04,100.3119,100.4456,0641593X2=
2021-08-05,100.2124,100.3455,0641593X2=
2021-08-06,100.1246,100.2575,0641593X2=
2021-08-09,100.09,100.2227,0641593X2=
2021-08-10,100.0184,100.1508,0641593X2=
2021-08-11,100.058,100.1903,0641593X2=
2021-08-12,100.0289,100.1608,0641593X2=
2021-08-13,100.1052,100.2371,0641593X2=
2021-08-16,100.1183,100.2501,0641593X2=
2021-08-17,100.1103,100.2419,0641593X2=
2021-08-18,100.1102,100.2417,0641593X2=
2021-08-19,100.0627,100.1937,0641593X2=
2021-08-20,100.0365,100.1673,0641593X2=
2021-08-23,100.0626,100.1933,0641593X2=
2021-08-24,100.0286,100.1591,0641593X2=
2021-08-25,99.9869,100.1172,0641593X2=
2021-08-26,99.9739,100.1038,0641593X2=
2021-08-27,100.0759,100.206,0641593X2=
2021-08-30,100.1401,100.2701,0641593X2=
2021-08-31,99.9818,100.1114,0641593X2=
2021-09-01,99.93,100.0594,0641593X2=
2021-09-02,100.1495,100.2787,0641593X2=
2021-09-03,100.0849,100.2139,0641593X2=
2021-09-06,100.0846,100.2136,0641593X2=
2021-09-07,100.0874,100.2162,0641593X2=
2021-09-08,100.0436,100.1722,0641593X2=
2021-09-09,100.1153,100.2436,0641593X2=
2021-09-10,100.087,100.2152,0641593X2=
2021-09-13,100.0741,100.2021,0641593X2=
2021-09-14,100.0944,100.2223,0641593X2=
2021-09-15,100.1148,100.2426,0641593X2=
2021-09-16,100.0584,100.1857,0641593X2=
2021-09-17,100.0177,100.1448,0641593X2=
2021-09-20,100.0583,100.1853,0641593X2=
2021-09-21,99.9315,100.0582,0641593X2=
2021-09-22,99.9266,100.0531,0641593X2=
2021-09-23,99.8059,99.9319,0641593X2=
2021-09-24,99.8942,100.0202,0641593X2=
2021-09-27,99.8088,99.9345,0641593X2=
2021-09-28,99.7338,99.8592,0641593X2=
2021-09-29,99.9071,100.0327,0641593X2=
2021-09-30,99.9399,100.0651,0641593X2=
2021-10-01,100.0125,100.1377,0641593X2=
2021-10-04,99.9675,100.0925,0641593X2=
2021-10-05,99.9326,100.0574,0641593X2=
2021-10-06,99.8854,100.01,0641593X2=
2021-10-07,99.819,99.9429,0641593X2=
2021-10-08,99.7771,99.9008,0641593X2=
2021-10-11,99.6701,99.7937,0641593X2=
2021-10-12,99.7157,99.8392,0641593X2=
2021-10-13,99.5953,99.7185,0641593X2=
2021-10-14,99.6359,99.7587,0641593X2=
2021-10-15,99.4941,99.6166,0641593X2=
2021-10-18,99.4092,99.5314,0641593X2=
2021-10-19,99.4415,99.5636,0641593X2=
2021-10-20,99.4421,99.5641,0641593X2=
2021-10-21,99.2571,99.3784,0641593X2=
2021-10-22,99.3015,99.4228,0641593X2=
2021-10-25,99.3676,99.4888,0641593X2=
2021-10-26,99.3417,99.4627,0641593X2=
2021-10-27,99.3159,99.4368,0641593X2=
2021-10-28,99.3439,99.4645,0641593X2=
2021-10-29,99.3952,99.5158,0641593X2=
2021-11-01,99.3382,99.4586,0641593X2=
2021-11-02,99.4543,99.5747,0641593X2=
2021-11-03,99.3636,99.4837,0641593X2=
2021-11-04,99.5215,99.6415,0641593X2=
2021-11-05,99.5915,99.7114,0641593X2=
2021-11-08,99.4365,99.5561,0641593X2=
2021-11-09,99.4282,99.5475,0641593X2=
2021-11-10,99.1479,99.2664,0641593X2=
2021-11-11,99.0544,99.1727,0641593X2=
2021-11-12,99.1489,99.2672,0641593X2=
2021-11-15,99.1002,99.2183,0641593X2=
2021-11-16,98.9481,99.0659,0641593X2=
2021-11-17,99.0222,99.1399,0641593X2=
2021-11-18,99.0256,99.1429,0641593X2=
2021-11-19,98.9775,99.0946,0641593X2=
2021-11-22,98.7778,98.8945,0641593X2=
2021-11-23,98.7852,98.9017,0641593X2=
2021-11-24,98.7453,98.8613,0641593X2=
2021-11-25,98.7399,98.8559,0641593X2=
2021-11-26,99.1065,99.2229,0641593X2=
2021-11-29,99.1517,99.268,0641593X2=
2021-11-30,99.0343,99.1503,0641593X2=
2021-12-01,99.098,99.214,0641593X2=
2021-12-02,98.9327,99.048,0641593X2=
2021-12-03,99.0077,99.123,0641593X2=
2021-12-06,98.903,99.018,0641593X2=
2021-12-07,98.7666,98.8813,0641593X2=
2021-12-08,98.6674,98.7818,0641593X2=
2021-12-09,98.6607,98.7747,0641593X2=
2021-12-10,98.7351,98.8491,0641593X2=
2021-12-13,98.8823,98.9963,0641593X2=
2021-12-14,98.8176,98.9314,0641593X2=
2021-12-15,98.819,98.9327,0641593X2=
2021-12-16,98.9909,99.1044,0641593X2=
2021-12-17,98.9445,99.0578,0641593X2=
2021-12-20,99.0612,99.1745,0641593X2=
2021-12-21,98.6403,98.7529,0641593X2=
2021-12-22,98.4901,98.602,0641593X2=
2021-12-23,98.4383,98.55,0641593X2=
2021-12-27,98.4223,98.5338,0641593X2=
2021-12-28,98.4353,98.5467,0641593X2=
2021-12-29,98.4165,98.5275,0641593X2=
2021-12-30,98.4849,98.5958,0641593X2=
2021-12-31,98.4738,98.5847,0641593X2=
2022-01-03,98.3429,98.4535,0641593X2=
2022-01-04,98.8121,98.9232,0641593X2=
2022-01-05,98.6518,98.7625,0641593X2=
2022-01-06,98.542,98.6522,0641593X2=
2022-01-07,98.502,98.612,0641593X2=
2022-01-10,98.4204,98.5302,0641593X2=
2022-01-11,98.6769,98.7869,0641593X2=
2022-01-12,98.5513,98.661,0641593X2=
2022-01-13,98.5147,98.6238,0641593X2=
2022-01-14,98.3468,98.4555,0641593X2=
2022-01-17,98.2675,98.3761,0641593X2=
2022-01-18,98.1797,98.2881,0641593X2=
2022-01-19,98.3682,98.4767,0641593X2=
2022-01-20,98.2145,98.3224,0641593X2=
2022-01-21,98.277,98.3848,0641593X2=
2022-01-24,98.0127,98.12,0641593X2=
2022-01-25,97.8525,97.9595,0641593X2=
2022-01-26,97.627,97.7335,0641593X2=
2022-01-27,97.8563,97.9629,0641593X2=
2022-01-28,97.606,97.7121,0641593X2=
2022-01-31,97.6704,97.7765,0641593X2=
2022-02-01,97.4323,97.5379,0641593X2=
2022-02-02,97.8349,97.9409,0641593X2=
2022-02-03,97.6743,97.7797,0641593X2=
2022-02-07,97.7516,97.8568,0641593X2=
2022-02-08,97.4838,97.5885,0641593X2=
2022-02-09,97.3804,97.4849,0641593X2=
2022-02-10,96.6304,96.7335,0641593X2=
2022-02-11,96.7355,96.8386,0641593X2=
2022-02-14,96.9746,97.0779,0641593X2=
2022-02-15,96.7581,96.861,0641593X2=
2022-02-16,96.6801,96.7827,0641593X2=
2022-02-17,96.7887,96.8909,0641593X2=
2022-02-18,96.6215,96.7234,0641593X2=
2022-02-21,96.6894,96.7914,0641593X2=
2022-02-22,96.6705,96.7723,0641593X2=
2022-02-23,96.6341,96.7357,0641593X2=
2022-02-24,96.333,96.4336,0641593X2=
2022-02-25,96.4583,96.5589,0641593X2=
2022-02-28,96.5553,96.6559,0641593X2=
2022-03-01,97.2071,97.3084,0641593X2=
2022-03-02,96.6725,96.773,0641593X2=
2022-03-03,96.4735,96.5733,0641593X2=
2022-03-04,96.7456,96.8457,0641593X2=
2022-03-07,96.8217,96.9217,0641593X2=
2022-03-08,96.2073,96.3064,0641593X2=
2022-03-09,96.0837,96.1825,0641593X2=
2022-03-10,96.0438,96.1422,0641593X2=
2022-03-11,95.9508,96.0489,0641593X2=
2022-03-14,95.9189,96.0169,0641593X2=
2022-03-15,95.6315,95.729,0641593X2=
2022-03-16,96.0018,96.0996,0641593X2=
2022-03-17,96.033,96.1304,0641593X2=
2022-03-18,95.9974,96.0947,0641593X2=
2022-03-21,95.6597,95.7564,0641593X2=
2022-03-22,95.6577,95.7543,0641593X2=
2022-03-23,95.5594,95.6557,0641593X2=
2022-03-24,95.7862,95.8824,0641593X2=
2022-03-25,95.2006,95.2959,0641593X2=
2022-03-28,94.8424,94.9372,0641593X2=
2022-03-29,94.778,94.8727,0641593X2=
2022-03-30,95.847,95.9429,0641593X2=
2022-03-31,95.8272,95.9227,0641593X2=
2022-04-01,95.7071,95.8023,0641593X2=
2022-04-04,95.5667,95.6616,0641593X2=
2022-04-05,95.3872,95.4817,0641593X2=
2022-04-06,95.3688,95.4632,0641593X2=
2022-04-07,95.4758,95.5699,0641593X2=
2022-04-08,95.2605,95.3542,0641593X2=
2022-04-11,95.2275,95.3211,0641593X2=
2022-04-12,95.1948,95.2882,0641593X2=
2022-04-13,95.3804,95.4735,0641593X2=
2022-04-14,95.1936,95.2863,0641593X2=
2022-04-15,95.2053,95.298,0641593X2=
2022-04-18,95.226,95.3186,0641593X2=
2022-04-19,95.0109,95.1031,0641593X2=
2022-04-20,94.8668,94.9587,0641593X2=
2022-04-21,94.6939,94.7852,0641593X2=
2022-04-22,94.838,94.9294,0641593X2=
2022-04-25,94.9271,95.0185,0641593X2=
2022-04-26,95.2484,95.34,0641593X2=
2022-04-27,95.2531,95.3446,0641593X2=
2022-04-28,95.1779,95.2689,0641593X2=
2022-04-29,94.8365,94.927,0641593X2=
2022-05-02,95.0027,95.0932,0641593X2=
2022-05-03,94.7966,94.8868,0641593X2=
2022-05-04,94.8164,94.9065,0641593X2=
2022-05-05,95.1613,95.2514,0641593X2=
2022-05-06,94.8934,94.983,0641593X2=
2022-05-09,95.261,95.3509,0641593X2=
2022-05-10,94.9988,95.0883,0641593X2=
2022-05-11,95.2186,95.3082,0641593X2=
2022-05-12,95.1638,95.253,0641593X2=
2022-05-13,95.2222,95.3113,0641593X2=
2022-05-16,95.2574,95.3464,0641593X2=
2022-05-17,94.9396,95.0281,0641593X2=
2022-05-18,94.975,95.0634,0641593X2=
2022-05-19,94.9962,95.0843,0641593X2=
2022-05-20,95.1652,95.2533,0641593X2=
2022-05-23,95.0842,95.1721,0641593X2=
2022-05-24,95.1193,95.2071,0641593X2=
2022-05-25,95.4689,95.557,0641593X2=
2022-05-26,95.539,95.6268,0641593X2=
2022-05-27,95.5894,95.6771,0641593X2=
2022-05-30,95.4342,95.5217,0641593X2=
2022-05-31,95.636,95.7236,0641593X2=
2022-06-01,95.1419,95.2288,0641593X2=
2022-06-02,95.2772,95.3639,0641593X2=
2022-06-03,95.2581,95.3447,0641593X2=
2022-06-06,95.3393,95.4258,0641593X2=
2022-06-07,95.1029,95.189,0641593X2=
2022-06-08,95.215,95.3011,0641593X2=
2022-06-09,95.0493,95.1348,0641593X2=
2022-06-10,94.5122,94.597,0641593X2=
2022-06-13,94.0546,94.1387,0641593X2=
2022-06-14,93.9022,93.986,0641593X2=
2022-06-15,94.3575,94.4417,0641593X2=
2022-06-16,94.1333,94.2168,0641593X2=
2022-06-17,94.5026,94.5863,0641593X2=
2022-06-20,94.4216,94.5053,0641593X2=
2022-06-21,94.3655,94.449,0641593X2=
2022-06-22,94.5272,94.6107,0641593X2=
2022-06-23,94.4851,94.5682,0641593X2=
2022-06-24,94.4916,94.5746,0641593X2=
2022-06-27,94.3031,94.3857,0641593X2=
2022-06-28,94.4106,94.4932,0641593X2=
2022-06-29,94.5989,94.6816,0641593X2=
2022-06-30,94.7201,94.8024,0641593X2=
2022-07-01,94.8596,94.9419,0641593X2=
2022-07-04,94.7827,94.8649,0641593X2=
2022-07-05,94.8625,94.9447,0641593X2=
2022-07-06,94.7653,94.8473,0641593X2=
2022-07-07,94.6458,94.7272,0641593X2=
2022-07-08,94.5061,94.5873,0641593X2=
2022-07-11,94.701,94.7822,0641593X2=
2022-07-12,94.714,94.7951,0641593X2=
2022-07-13,94.428,94.5087,0641593X2=
2022-07-14,94.2468,94.3269,0641593X2=
2022-07-15,94.8705,94.9512,0641593X2=
2022-07-18,94.7257,94.8061,0641593X2=
2022-07-19,94.3882,94.4681,0641593X2=
2022-07-20,94.7276,94.8077,0641593X2=
2022-07-21,94.8542,94.9341,0641593X2=
2022-07-22,94.9915,95.0714,0641593X2=
2022-07-25,95.0089,95.0887,0641593X2=
2022-07-26,94.8879,94.9674,0641593X2=
2022-07-27,94.9356,95.015,0641593X2=
2022-07-28,95.1829,95.2623,0641593X2=
2022-07-29,95.3016,95.381,0641593X2=
2022-08-01,95.138,95.2171,0641593X2=
2022-08-02,94.8982,94.9769,0641593X2=
2022-08-03,95.0227,95.1014,0641593X2=
2022-08-04,95.106,95.1844,0641593X2=
2022-08-05,94.9434,95.0215,0641593X2=
2022-08-08,94.8704,94.9483,0641593X2=
2022-08-09,94.8351,94.9129,0641593X2=
2022-08-10,94.9987,95.0765,0641593X2=
2022-08-11,94.8605,94.9378,0641593X2=
2022-08-12,95.0904,95.1678,0641593X2=
2022-08-15,94.8719,94.9489,0641593X2=
