Date,BID,ASK,RIC
2021-06-23,100.048,100.29,0641594A1=
2021-06-24,99.88,100.12,0641594A1=
2021-06-25,99.545,99.784,0641594A1=
2021-06-28,99.573,99.813,0641594A1=
2021-06-29,99.947,100.187,0641594A1=
2021-06-30,99.995,100.235,0641594A1=
2021-07-01,99.651,99.89,0641594A1=
2021-07-02,100.091,100.331,0641594A1=
2021-07-05,100.116,100.356,0641594A1=
2021-07-06,100.403,100.643,0641594A1=
2021-07-07,100.263,100.503,0641594A1=
2021-07-08,100.517,100.757,0641594A1=
2021-07-09,100.205,100.445,0641594A1=
2021-07-12,100.162,100.4011,0641594A1=
2021-07-13,99.9236,100.162,0641594A1=
2021-07-14,100.0712,100.3098,0641594A1=
2021-07-15,100.1425,100.3809,0641594A1=
2021-07-16,100.3282,100.567,0641594A1=
2021-07-19,100.581,100.8203,0641594A1=
2021-07-20,100.6907,100.9302,0641594A1=
2021-07-21,100.2896,100.5279,0641594A1=
2021-07-22,100.3699,100.608,0641594A1=
2021-07-23,100.5124,100.7508,0641594A1=
2021-07-26,100.436,100.6741,0641594A1=
2021-07-27,100.4643,100.7023,0641594A1=
2021-07-28,100.4118,100.6495,0641594A1=
2021-07-29,100.3212,100.5584,0641594A1=
2021-07-30,100.7388,100.977,0641594A1=
2021-08-02,100.924,101.1626,0641594A1=
2021-08-03,100.9616,101.2001,0641594A1=
2021-08-04,100.8326,101.0707,0641594A1=
2021-08-05,100.632,100.8691,0641594A1=
2021-08-06,100.4992,100.7359,0641594A1=
2021-08-09,100.3856,100.6218,0641594A1=
2021-08-10,100.2299,100.4656,0641594A1=
2021-08-11,100.3428,100.5786,0641594A1=
2021-08-12,100.2435,100.4787,0641594A1=
2021-08-13,100.4925,100.7282,0641594A1=
2021-08-16,100.6005,100.8364,0641594A1=
2021-08-17,100.572,100.8077,0641594A1=
2021-08-18,100.5622,100.7977,0641594A1=
2021-08-19,100.6083,100.8435,0641594A1=
2021-08-20,100.5,100.7348,0641594A1=
2021-08-23,100.5653,100.8002,0641594A1=
2021-08-24,100.2327,100.4666,0641594A1=
2021-08-25,100.4476,100.6819,0641594A1=
2021-08-26,100.3301,100.5637,0641594A1=
2021-08-27,100.5506,100.7848,0641594A1=
2021-08-30,100.7085,100.943,0641594A1=
2021-08-31,100.6706,100.9048,0641594A1=
2021-09-01,100.6796,100.9137,0641594A1=
2021-09-02,100.7061,100.9398,0641594A1=
2021-09-03,100.8644,101.0984,0641594A1=
2021-09-06,100.8586,101.0925,0641594A1=
2021-09-07,100.4864,100.7192,0641594A1=
2021-09-08,100.5745,100.8074,0641594A1=
2021-09-09,100.5085,100.7409,0641594A1=
2021-09-10,100.397,100.6289,0641594A1=
2021-09-13,100.2395,100.4709,0641594A1=
2021-09-14,100.3364,100.5679,0641594A1=
2021-09-15,100.2392,100.4703,0641594A1=
2021-09-16,100.05,100.2803,0641594A1=
2021-09-17,99.9397,100.1695,0641594A1=
2021-09-20,100.1189,100.3491,0641594A1=
2021-09-21,100.0637,100.2936,0641594A1=
2021-09-22,100.1142,100.3441,0641594A1=
2021-09-23,99.6795,99.9079,0641594A1=
2021-09-24,99.9125,100.1414,0641594A1=
2021-09-27,99.5979,99.8258,0641594A1=
2021-09-28,99.4844,99.7119,0641594A1=
2021-09-29,99.612,99.8397,0641594A1=
2021-09-30,99.7217,99.9493,0641594A1=
2021-10-01,99.9083,100.1362,0641594A1=
2021-10-04,99.8311,100.0587,0641594A1=
2021-10-05,99.6995,99.9267,0641594A1=
2021-10-06,99.6543,99.8812,0641594A1=
2021-10-07,99.6506,99.877,0641594A1=
2021-10-08,99.5108,99.7367,0641594A1=
2021-10-11,99.3424,99.5679,0641594A1=
2021-10-12,99.4615,99.6871,0641594A1=
2021-10-13,99.4393,99.6647,0641594A1=
2021-10-14,99.5572,99.7826,0641594A1=
2021-10-15,99.2073,99.4316,0641594A1=
2021-10-18,99.0332,99.257,0641594A1=
2021-10-19,99.0338,99.2574,0641594A1=
2021-10-20,99.0254,99.2489,0641594A1=
2021-10-21,98.7246,98.9469,0641594A1=
2021-10-22,98.8764,99.099,0641594A1=
2021-10-25,99.0104,99.2332,0641594A1=
2021-10-26,98.9888,99.2114,0641594A1=
2021-10-27,99.105,99.3278,0641594A1=
2021-10-28,98.7379,98.9595,0641594A1=
2021-10-29,98.7298,98.9512,0641594A1=
2021-11-01,98.7526,98.974,0641594A1=
2021-11-02,98.917,99.1387,0641594A1=
2021-11-03,99.1614,99.3835,0641594A1=
2021-11-04,99.3579,99.5802,0641594A1=
2021-11-05,99.7942,100.0174,0641594A1=
2021-11-08,99.5896,99.8122,0641594A1=
2021-11-09,99.7724,99.9952,0641594A1=
2021-11-10,99.131,99.3518,0641594A1=
2021-11-11,98.9449,99.1652,0641594A1=
2021-11-12,99.1183,99.3389,0641594A1=
2021-11-15,99.0044,99.2246,0641594A1=
2021-11-16,98.7635,98.983,0641594A1=
2021-11-17,98.9441,99.1639,0641594A1=
2021-11-18,98.981,99.2005,0641594A1=
2021-11-19,98.9641,99.1834,0641594A1=
2021-11-22,98.3234,98.541,0641594A1=
2021-11-23,98.2299,98.447,0641594A1=
2021-11-24,98.2331,98.4498,0641594A1=
2021-11-25,98.2049,98.4216,0641594A1=
2021-11-26,98.9946,99.2131,0641594A1=
2021-11-29,99.0432,99.2617,0641594A1=
2021-11-30,99.0001,99.2183,0641594A1=
2021-12-01,99.1577,99.3762,0641594A1=
2021-12-02,98.8591,99.0765,0641594A1=
2021-12-03,99.1249,99.3428,0641594A1=
2021-12-06,98.8518,99.0689,0641594A1=
2021-12-07,98.6058,98.8222,0641594A1=
2021-12-08,98.5246,98.7406,0641594A1=
2021-12-09,98.5746,98.7904,0641594A1=
2021-12-10,98.4937,98.7091,0641594A1=
2021-12-13,98.684,98.8998,0641594A1=
2021-12-14,98.5471,98.7624,0641594A1=
2021-12-15,98.505,98.7201,0641594A1=
2021-12-16,98.8084,99.0238,0641594A1=
2021-12-17,98.8005,99.0158,0641594A1=
2021-12-20,98.7454,98.9604,0641594A1=
2021-12-21,98.7848,98.9998,0641594A1=
2021-12-22,98.6378,98.8519,0641594A1=
2021-12-23,98.5148,98.7285,0641594A1=
2021-12-27,98.4943,98.7078,0641594A1=
2021-12-28,98.508,98.7214,0641594A1=
2021-12-29,98.2854,98.4979,0641594A1=
2021-12-30,98.4435,98.6562,0641594A1=
2021-12-31,98.435,98.6477,0641594A1=
2022-01-03,98.0334,98.245,0641594A1=
2022-01-04,98.0388,98.2503,0641594A1=
2022-01-05,97.7364,97.947,0641594A1=
2022-01-06,97.56,97.7698,0641594A1=
2022-01-07,97.4359,97.6453,0641594A1=
2022-01-10,97.3747,97.5838,0641594A1=
2022-01-11,97.4682,97.6774,0641594A1=
2022-01-12,97.4947,97.7039,0641594A1=
2022-01-13,97.6968,97.9059,0641594A1=
2022-01-14,97.3357,97.5438,0641594A1=
2022-01-17,97.1491,97.3568,0641594A1=
2022-01-18,96.9228,97.1298,0641594A1=
2022-01-19,96.7017,96.9081,0641594A1=
2022-01-20,97.0705,97.2774,0641594A1=
2022-01-21,97.1755,97.3825,0641594A1=
2022-01-24,96.9832,97.1896,0641594A1=
2022-01-25,97.2119,97.4187,0641594A1=
2022-01-26,96.5391,96.7442,0641594A1=
2022-01-27,96.6009,96.8059,0641594A1=
2022-01-28,96.8197,97.0251,0641594A1=
2022-01-31,96.7684,96.9735,0641594A1=
2022-02-01,96.6516,96.8563,0641594A1=
2022-02-02,96.7477,96.9525,0641594A1=
