Date,BID,ASK,RIC
2020-06-08,100.097,100.387,064159VL7=
2020-06-09,100.203,100.494,064159VL7=
2020-06-10,100.411,100.702,064159VL7=
2020-06-11,99.952,100.241,064159VL7=
2020-06-12,99.889,100.178,064159VL7=
2020-06-15,99.846,100.135,064159VL7=
2020-06-16,100.212,100.501,064159VL7=
2020-06-17,100.173,100.462,064159VL7=
2020-06-18,100.413,100.703,064159VL7=
2020-06-19,100.457,100.746,064159VL7=
2020-06-22,100.389,100.678,064159VL7=
2020-06-23,100.427,100.716,064159VL7=
2020-06-24,100.494,100.784,064159VL7=
2020-06-25,100.421,100.71,064159VL7=
2020-06-26,100.565,100.854,064159VL7=
2020-06-29,100.7,100.989,064159VL7=
2020-06-30,100.632,100.921,064159VL7=
2020-07-01,100.702,100.991,064159VL7=
2020-07-02,100.822,101.111,064159VL7=
2020-07-03,100.583,100.87,064159VL7=
2020-07-06,100.52,100.807,064159VL7=
2020-07-07,100.591,100.879,064159VL7=
2020-07-08,101.08,101.369,064159VL7=
2020-07-09,100.795,101.083,064159VL7=
2020-07-10,100.695,100.982,064159VL7=
2020-07-13,100.78,101.067,064159VL7=
2020-07-14,100.756,101.043,064159VL7=
2020-07-15,100.77,101.057,064159VL7=
2020-07-16,100.811,101.098,064159VL7=
2020-07-17,100.806,101.092,064159VL7=
2020-07-20,101.523,101.811,064159VL7=
2020-07-21,101.575,101.863,064159VL7=
2020-07-22,101.54,101.829,064159VL7=
2020-07-23,101.801,102.09,064159VL7=
2020-07-24,101.776,102.065,064159VL7=
2020-07-27,101.526,101.814,064159VL7=
2020-07-28,101.626,101.914,064159VL7=
2020-07-29,101.779,102.067,064159VL7=
2020-07-30,101.896,102.184,064159VL7=
2020-07-31,102.091,102.38,064159VL7=
2020-08-03,102.038,102.326,064159VL7=
2020-08-04,102.171,102.459,064159VL7=
2020-08-05,102.165,102.453,064159VL7=
2020-08-06,102.199,102.487,064159VL7=
2020-08-07,102.938,103.18,064159VL7=
2020-08-10,102.912,103.154,064159VL7=
2020-08-11,102.713,102.954,064159VL7=
2020-08-12,102.414,102.654,064159VL7=
2020-08-13,102.31,102.549,064159VL7=
2020-08-14,102.428,102.667,064159VL7=
2020-08-17,102.45,102.69,064159VL7=
2020-08-18,102.511,102.75,064159VL7=
2020-08-19,102.352,102.591,064159VL7=
2020-08-20,102.434,102.673,064159VL7=
2020-08-21,102.452,102.69,064159VL7=
2020-08-24,102.241,102.479,064159VL7=
2020-08-25,102.173,102.411,064159VL7=
2020-08-26,102.215,102.452,064159VL7=
2020-08-27,102.089,102.326,064159VL7=
