Date,BID,ASK,RIC
2020-09-16,99.959,100.107,064159YM2=
2020-09-17,99.973,100.121,064159YM2=
2020-09-18,99.95,100.098,064159YM2=
2020-09-21,99.973,100.121,064159YM2=
2020-09-22,99.988,100.136,064159YM2=
2020-09-23,99.818,99.965,064159YM2=
2020-09-24,99.827,99.974,064159YM2=
2020-09-25,99.842,99.988,064159YM2=
2020-09-28,99.857,100.003,064159YM2=
2020-09-29,99.857,100.003,064159YM2=
2020-09-30,99.833,99.98,064159YM2=
2020-10-01,99.828,99.974,064159YM2=
2020-10-02,99.802,99.948,064159YM2=
2020-10-05,99.741,99.886,064159YM2=
2020-10-06,99.765,99.91,064159YM2=
2020-10-07,99.861,100.006,064159YM2=
2020-10-08,99.867,100.012,064159YM2=
2020-10-09,99.76,99.905,064159YM2=
2020-10-12,99.774,99.919,064159YM2=
2020-10-13,99.864,100.009,064159YM2=
2020-10-14,99.951,100.095,064159YM2=
2020-10-15,99.942,100.086,064159YM2=
2020-10-16,99.928,100.072,064159YM2=
2020-10-19,99.911,100.055,064159YM2=
2020-10-20,99.911,100.055,064159YM2=
2020-10-21,99.897,100.04,064159YM2=
2020-10-22,99.86,100.003,064159YM2=
2020-10-23,99.88,100.023,064159YM2=
2020-10-26,99.903,100.046,064159YM2=
2020-10-27,99.926,100.068,064159YM2=
2020-10-28,99.934,100.077,064159YM2=
2020-10-29,99.903,100.045,064159YM2=
2020-10-30,99.889,100.031,064159YM2=
2020-11-02,99.889,100.031,064159YM2=
2020-11-03,99.85,99.991,064159YM2=
2020-11-04,99.926,100.068,064159YM2=
2020-11-05,99.918,100.059,064159YM2=
2020-11-06,99.879,100.02,064159YM2=
2020-11-09,99.789,99.93,064159YM2=
2020-11-10,99.739,99.879,064159YM2=
2020-11-12,99.798,99.938,064159YM2=
2020-11-13,99.784,99.924,064159YM2=
2020-11-16,99.793,99.933,064159YM2=
2020-11-17,99.821,99.961,064159YM2=
2020-11-18,100.311,100.451,064159YM2=
2020-11-19,100.341,100.481,064159YM2=
2020-11-20,100.368,100.508,064159YM2=
2020-11-23,100.34,100.48,064159YM2=
2020-11-24,100.339,100.479,064159YM2=
2020-11-25,100.36,100.499,064159YM2=
2020-11-26,100.381,100.521,064159YM2=
2020-11-27,100.396,100.535,064159YM2=
2020-11-30,100.426,100.565,064159YM2=
2020-12-01,100.329,100.467,064159YM2=
2020-12-02,100.345,100.484,064159YM2=
2020-12-03,100.38,100.518,064159YM2=
2020-12-04,100.344,100.482,064159YM2=
2020-12-07,100.305,100.443,064159YM2=
2020-12-08,100.283,100.42,064159YM2=
2020-12-09,100.258,100.395,064159YM2=
2020-12-10,100.312,100.449,064159YM2=
2020-12-11,100.363,100.5,064159YM2=
2020-12-14,100.286,100.423,064159YM2=
2020-12-15,100.286,100.423,064159YM2=
2020-12-16,100.28,100.417,064159YM2=
2020-12-17,100.258,100.394,064159YM2=
2020-12-18,100.271,100.407,064159YM2=
2020-12-21,100.271,100.406,064159YM2=
2020-12-22,100.298,100.433,064159YM2=
2020-12-23,100.291,100.426,064159YM2=
2020-12-24,100.304,100.439,064159YM2=
2020-12-28,100.304,100.439,064159YM2=
2020-12-29,100.288,100.423,064159YM2=
2020-12-30,100.303,100.437,064159YM2=
2020-12-31,100.3,100.434,064159YM2=
2021-01-04,100.315,100.449,064159YM2=
2021-01-05,100.286,100.419,064159YM2=
2021-01-06,100.208,100.342,064159YM2=
2021-01-07,100.178,100.311,064159YM2=
2021-01-08,100.149,100.282,064159YM2=
2021-01-11,100.148,100.281,064159YM2=
2021-01-12,100.127,100.26,064159YM2=
2021-01-13,100.148,100.281,064159YM2=
2021-01-14,100.148,100.28,064159YM2=
2021-01-15,100.195,100.327,064159YM2=
2021-01-18,100.187,100.319,064159YM2=
2021-01-19,100.213,100.345,064159YM2=
2021-01-20,100.229,100.36,064159YM2=
2021-01-21,100.233,100.364,064159YM2=
2021-01-22,100.162,100.293,064159YM2=
2021-01-25,100.319,100.45,064159YM2=
2021-01-26,100.319,100.45,064159YM2=
2021-01-27,100.352,100.483,064159YM2=
2021-01-28,100.323,100.454,064159YM2=
2021-01-29,100.351,100.482,064159YM2=
2021-02-01,100.356,100.487,064159YM2=
2021-02-02,100.343,100.473,064159YM2=
2021-02-03,100.236,100.366,064159YM2=
2021-02-04,100.243,100.372,064159YM2=
2021-02-05,100.256,100.385,064159YM2=
2021-02-08,100.235,100.364,064159YM2=
2021-02-09,100.24,100.369,064159YM2=
2021-02-10,100.244,100.373,064159YM2=
2021-02-11,100.236,100.364,064159YM2=
2021-02-12,100.215,100.343,064159YM2=
2021-02-15,100.182,100.311,064159YM2=
2021-02-16,100.128,100.256,064159YM2=
2021-02-17,100.181,100.309,064159YM2=
2021-02-18,100.188,100.316,064159YM2=
2021-02-19,100.173,100.3,064159YM2=
2021-02-22,100.132,100.259,064159YM2=
2021-02-23,100.165,100.292,064159YM2=
2021-02-24,100.36,100.487,064159YM2=
2021-02-25,100.063,100.189,064159YM2=
2021-02-26,100.249,100.376,064159YM2=
