Date,BID,ASK,RIC
2022-01-05,99.0287,99.4684,06417XAE1=
2022-01-06,98.7834,99.2219,06417XAE1=
2022-01-07,98.452,98.8887,06417XAE1=
2022-01-10,98.461,98.8977,06417XAE1=
2022-01-11,98.5397,98.9766,06417XAE1=
2022-01-12,98.4878,98.9244,06417XAE1=
2022-01-13,98.934,99.3724,06417XAE1=
2022-01-14,97.9777,98.4112,06417XAE1=
2022-01-17,97.7452,98.1775,06417XAE1=
2022-01-18,97.2549,97.6847,06417XAE1=
2022-01-19,97.4357,97.8663,06417XAE1=
2022-01-20,97.7211,98.1528,06417XAE1=
2022-01-21,97.6184,98.0495,06417XAE1=
2022-01-24,97.5072,97.9376,06417XAE1=
2022-01-25,97.1651,97.5937,06417XAE1=
2022-01-26,95.582,96.0026,06417XAE1=
2022-01-27,96.7596,97.1859,06417XAE1=
2022-01-28,96.9799,97.4072,06417XAE1=
2022-01-31,97.0147,97.442,06417XAE1=
2022-02-01,96.9984,97.4255,06417XAE1=
2022-02-02,96.6929,97.1184,06417XAE1=
2022-02-03,96.6613,97.0863,06417XAE1=
2022-02-07,95.3842,95.8027,06417XAE1=
2022-02-08,95.1602,95.5775,06417XAE1=
2022-02-09,95.2279,95.6454,06417XAE1=
2022-02-10,94.3535,94.7663,06417XAE1=
2022-02-11,95.224,95.6411,06417XAE1=
2022-02-14,94.4962,94.9096,06417XAE1=
2022-02-15,93.3756,93.7833,06417XAE1=
2022-02-16,93.7276,94.1369,06417XAE1=
2022-02-17,93.3427,93.7497,06417XAE1=
2022-02-18,94.1028,94.5135,06417XAE1=
2022-02-21,94.2723,94.6838,06417XAE1=
2022-02-22,93.7037,94.1123,06417XAE1=
2022-02-23,93.2662,93.6726,06417XAE1=
2022-02-24,92.0659,92.4658,06417XAE1=
2022-02-25,92.6948,93.0977,06417XAE1=
2022-02-28,94.3855,94.7967,06417XAE1=
2022-03-01,95.0951,95.5097,06417XAE1=
2022-03-02,94.0934,94.5029,06417XAE1=
2022-03-03,93.2689,93.6741,06417XAE1=
2022-03-04,94.5082,94.9194,06417XAE1=
2022-03-07,93.361,93.7664,06417XAE1=
2022-03-08,91.7531,92.1505,06417XAE1=
2022-03-09,92.0488,92.4476,06417XAE1=
2022-03-10,90.5578,90.949,06417XAE1=
2022-03-11,90.857,91.2495,06417XAE1=
2022-03-14,89.6393,90.0258,06417XAE1=
2022-03-15,89.9739,90.3619,06417XAE1=
2022-03-16,90.1854,90.5743,06417XAE1=
2022-03-17,90.3786,90.7682,06417XAE1=
2022-03-18,89.9855,90.3731,06417XAE1=
2022-03-21,89.71,90.0961,06417XAE1=
2022-03-22,89.4587,89.8435,06417XAE1=
2022-03-23,89.2006,89.584,06417XAE1=
2022-03-24,89.0325,89.4148,06417XAE1=
2022-03-25,89.3713,89.7552,06417XAE1=
2022-03-28,88.2108,88.5889,06417XAE1=
2022-03-29,90.7185,91.1089,06417XAE1=
2022-03-30,91.2902,91.6833,06417XAE1=
2022-03-31,91.7207,92.1156,06417XAE1=
2022-04-01,91.2984,91.6911,06417XAE1=
2022-04-04,91.6302,92.0245,06417XAE1=
2022-04-05,90.4611,90.8495,06417XAE1=
2022-04-06,89.0123,89.3936,06417XAE1=
2022-04-07,89.0124,89.3934,06417XAE1=
2022-04-08,88.3943,88.7722,06417XAE1=
2022-04-11,87.7215,88.096,06417XAE1=
2022-04-12,87.7767,88.1514,06417XAE1=
2022-04-13,87.5866,87.96,06417XAE1=
2022-04-14,86.9737,87.344,06417XAE1=
2022-04-15,87.1123,87.4833,06417XAE1=
2022-04-18,86.5348,86.9029,06417XAE1=
2022-04-19,85.5095,85.8726,06417XAE1=
2022-04-20,85.905,86.2699,06417XAE1=
2022-04-21,85.704,86.0676,06417XAE1=
2022-04-22,84.6628,85.0213,06417XAE1=
2022-04-25,85.4717,85.834,06417XAE1=
2022-04-26,86.1429,86.5084,06417XAE1=
2022-04-27,85.0604,85.4206,06417XAE1=
2022-04-28,85.662,86.0248,06417XAE1=
2022-04-29,84.019,84.3738,06417XAE1=
2022-05-02,84.0439,84.3987,06417XAE1=
2022-05-03,84.2602,84.616,06417XAE1=
2022-05-04,84.1433,84.4984,06417XAE1=
2022-05-05,83.5196,83.8715,06417XAE1=
2022-05-06,83.1733,83.5234,06417XAE1=
2022-05-09,83.1632,83.5132,06417XAE1=
2022-05-10,83.8051,84.1581,06417XAE1=
2022-05-11,84.2325,84.5874,06417XAE1=
2022-05-12,84.3283,84.6834,06417XAE1=
2022-05-13,83.8096,84.1621,06417XAE1=
2022-05-16,83.9753,84.3285,06417XAE1=
2022-05-17,83.2358,83.5854,06417XAE1=
2022-05-18,83.7716,84.1237,06417XAE1=
2022-05-19,83.2024,83.5515,06417XAE1=
2022-05-20,83.9834,84.3361,06417XAE1=
2022-05-23,83.6922,84.0435,06417XAE1=
2022-05-24,84.2304,84.5841,06417XAE1=
2022-05-25,84.609,84.9645,06417XAE1=
2022-05-26,85.8205,86.1815,06417XAE1=
2022-05-27,85.3211,85.6796,06417XAE1=
2022-05-30,84.0928,84.4454,06417XAE1=
2022-05-31,84.0271,84.3793,06417XAE1=
2022-06-01,85.128,85.4854,06417XAE1=
2022-06-02,84.7121,85.0672,06417XAE1=
2022-06-03,84.2215,84.5742,06417XAE1=
2022-06-06,83.6365,83.9863,06417XAE1=
2022-06-07,84.5602,84.9143,06417XAE1=
2022-06-08,83.8537,84.2044,06417XAE1=
2022-06-09,84.0611,84.4125,06417XAE1=
2022-06-10,82.9793,83.3255,06417XAE1=
2022-06-13,80.8805,81.2166,06417XAE1=
2022-06-14,79.5106,79.8401,06417XAE1=
2022-06-15,80.6951,81.0301,06417XAE1=
2022-06-16,80.7529,81.0879,06417XAE1=
2022-06-17,81.7261,82.0656,06417XAE1=
2022-06-20,81.4937,81.8321,06417XAE1=
2022-06-21,81.4195,81.7575,06417XAE1=
2022-06-22,81.8091,82.1488,06417XAE1=
