Date,BID,ASK,RIC
2023-01-26,99.698,99.836,06417XAN1=
2023-01-27,99.693,99.831,06417XAN1=
2023-01-30,99.545,99.683,06417XAN1=
2023-01-31,99.687,99.825,06417XAN1=
2023-02-01,100.028,100.167,06417XAN1=
2023-02-02,100.034,100.172,06417XAN1=
2023-02-03,99.549,99.686,06417XAN1=
2023-02-06,99.021,99.157,06417XAN1=
2023-02-07,99.074,99.21,06417XAN1=
2023-02-08,99.151,99.287,06417XAN1=
2023-02-09,98.957,99.092,06417XAN1=
2023-02-10,98.798,98.933,06417XAN1=
2023-02-13,99.137,99.272,06417XAN1=
2023-02-14,98.803,98.938,06417XAN1=
2023-02-15,98.744,98.878,06417XAN1=
2023-02-16,98.609,98.743,06417XAN1=
2023-02-17,98.848,98.982,06417XAN1=
2023-02-20,98.735,98.869,06417XAN1=
2023-02-21,98.46,98.594,06417XAN1=
2023-02-22,98.446,98.58,06417XAN1=
2023-02-23,98.501,98.634,06417XAN1=
2023-02-24,98.295,98.427,06417XAN1=
2023-02-27,98.261,98.393,06417XAN1=
2023-02-28,98.258,98.39,06417XAN1=
2023-03-01,98.169,98.301,06417XAN1=
2023-03-02,97.8,97.931,06417XAN1=
2023-03-03,98.015,98.146,06417XAN1=
2023-03-06,98.148,98.279,06417XAN1=
2023-03-07,97.935,98.066,06417XAN1=
2023-03-08,97.633,97.763,06417XAN1=
2023-03-09,97.926,98.056,06417XAN1=
2023-03-10,98.631,98.762,06417XAN1=
2023-03-13,99.152,99.284,06417XAN1=
2023-03-14,98.6,98.731,06417XAN1=
2023-03-15,99.023,99.155,06417XAN1=
2023-03-16,98.715,98.846,06417XAN1=
2023-03-17,98.457,98.587,06417XAN1=
2023-03-20,98.526,98.656,06417XAN1=
2023-03-21,98.362,98.491,06417XAN1=
2023-03-22,99.187,99.318,06417XAN1=
2023-03-23,99.646,99.778,06417XAN1=
2023-03-24,100.045,100.177,06417XAN1=
2023-03-27,99.326,99.457,06417XAN1=
2023-03-28,99.18,99.31,06417XAN1=
2023-03-29,99.068,99.198,06417XAN1=
2023-03-30,99.07,99.2,06417XAN1=
2023-03-31,99.574,99.704,06417XAN1=
2023-04-03,99.759,99.889,06417XAN1=
2023-04-04,99.822,99.952,06417XAN1=
2023-04-05,100.192,100.322,06417XAN1=
2023-04-06,99.971,100.101,06417XAN1=
2023-04-07,99.552,99.681,06417XAN1=
2023-04-10,99.337,99.466,06417XAN1=
2023-04-11,99.479,99.608,06417XAN1=
2023-04-12,99.567,99.696,06417XAN1=
2023-04-13,99.531,99.66,06417XAN1=
2023-04-14,99.365,99.494,06417XAN1=
2023-04-17,99.282,99.41,06417XAN1=
2023-04-18,99.263,99.391,06417XAN1=
2023-04-19,99.167,99.295,06417XAN1=
2023-04-20,99.499,99.627,06417XAN1=
2023-04-21,99.393,99.521,06417XAN1=
2023-04-24,99.475,99.602,06417XAN1=
2023-04-25,99.76,99.888,06417XAN1=
2023-04-26,99.819,99.947,06417XAN1=
2023-04-27,99.554,99.682,06417XAN1=
2023-04-28,99.72,99.847,06417XAN1=
2023-05-01,99.353,99.48,06417XAN1=
2023-05-02,99.626,99.753,06417XAN1=
2023-05-03,99.891,100.018,06417XAN1=
2023-05-04,100.009,100.136,06417XAN1=
2023-05-05,99.875,100.001,06417XAN1=
2023-05-08,99.716,99.842,06417XAN1=
2023-05-09,99.749,99.875,06417XAN1=
2023-05-10,99.837,99.964,06417XAN1=
2023-05-11,100.034,100.16,06417XAN1=
2023-05-12,99.834,99.959,06417XAN1=
2023-05-15,99.838,99.963,06417XAN1=
2023-05-16,99.69,99.815,06417XAN1=
2023-05-17,99.414,99.539,06417XAN1=
2023-05-18,99.189,99.313,06417XAN1=
2023-05-19,99.237,99.361,06417XAN1=
2023-05-22,99.1,99.224,06417XAN1=
2023-05-23,99.225,99.349,06417XAN1=
2023-05-24,98.876,98.999,06417XAN1=
2023-05-25,98.795,98.917,06417XAN1=
2023-05-26,98.521,98.643,06417XAN1=
2023-05-30,99.123,99.246,06417XAN1=
2023-05-31,99.101,99.224,06417XAN1=
2023-06-01,99.469,99.592,06417XAN1=
2023-06-02,99.155,99.277,06417XAN1=
2023-06-05,98.822,98.943,06417XAN1=
2023-06-06,98.804,98.926,06417XAN1=
2023-06-07,98.613,98.734,06417XAN1=
2023-06-08,98.639,98.76,06417XAN1=
2023-06-09,98.605,98.725,06417XAN1=
2023-06-12,98.533,98.654,06417XAN1=
2023-06-13,98.219,98.339,06417XAN1=
2023-06-14,98.259,98.379,06417XAN1=
2023-06-15,98.414,98.534,06417XAN1=
