Date,BID,ASK,RIC
2023-01-26,100.249,100.545,06417XAP6=
2023-01-27,100.2,100.495,06417XAP6=
2023-01-30,99.929,100.223,06417XAP6=
2023-01-31,100.153,100.448,06417XAP6=
2023-02-01,100.773,101.07,06417XAP6=
2023-02-02,100.842,101.139,06417XAP6=
2023-02-03,100.358,100.653,06417XAP6=
2023-02-06,99.409,99.701,06417XAP6=
2023-02-07,99.52,99.812,06417XAP6=
2023-02-08,99.853,100.146,06417XAP6=
2023-02-09,99.443,99.734,06417XAP6=
2023-02-10,99.033,99.322,06417XAP6=
2023-02-13,98.883,99.172,06417XAP6=
2023-02-14,98.216,98.503,06417XAP6=
2023-02-15,98.057,98.343,06417XAP6=
2023-02-16,97.817,98.102,06417XAP6=
2023-02-17,97.706,97.991,06417XAP6=
2023-02-20,97.481,97.765,06417XAP6=
2023-02-21,97.006,97.288,06417XAP6=
2023-02-22,97.114,97.396,06417XAP6=
2023-02-23,96.958,97.239,06417XAP6=
2023-02-24,96.839,97.12,06417XAP6=
2023-02-27,96.902,97.183,06417XAP6=
2023-02-28,96.834,97.115,06417XAP6=
2023-03-01,96.395,96.674,06417XAP6=
2023-03-02,95.829,96.106,06417XAP6=
2023-03-03,96.536,96.815,06417XAP6=
2023-03-06,96.358,96.636,06417XAP6=
2023-03-07,96.373,96.652,06417XAP6=
2023-03-08,96.03,96.307,06417XAP6=
2023-03-09,96.076,96.353,06417XAP6=
2023-03-10,96.81,97.09,06417XAP6=
2023-03-13,97.652,97.934,06417XAP6=
2023-03-14,96.235,96.512,06417XAP6=
2023-03-15,96.471,96.749,06417XAP6=
2023-03-16,95.648,95.922,06417XAP6=
2023-03-17,97.019,97.298,06417XAP6=
2023-03-20,96.871,97.15,06417XAP6=
2023-03-21,97.703,97.985,06417XAP6=
2023-03-22,98.234,98.517,06417XAP6=
2023-03-23,98.816,99.1,06417XAP6=
2023-03-24,99.132,99.418,06417XAP6=
2023-03-27,98.566,98.85,06417XAP6=
2023-03-28,98.138,98.42,06417XAP6=
2023-03-29,98.323,98.605,06417XAP6=
2023-03-30,98.368,98.651,06417XAP6=
2023-03-31,99.223,99.508,06417XAP6=
2023-04-03,99.551,99.837,06417XAP6=
2023-04-04,99.687,99.974,06417XAP6=
2023-04-05,100.16,100.448,06417XAP6=
2023-04-06,100.118,100.406,06417XAP6=
2023-04-07,99.472,99.757,06417XAP6=
2023-04-10,99.265,99.55,06417XAP6=
2023-04-11,99.271,99.556,06417XAP6=
2023-04-12,99.228,99.512,06417XAP6=
2023-04-13,99.666,99.952,06417XAP6=
2023-04-14,99.071,99.355,06417XAP6=
2023-04-17,98.695,98.978,06417XAP6=
2023-04-18,98.52,98.802,06417XAP6=
2023-04-19,98.689,98.971,06417XAP6=
2023-04-20,99.151,99.435,06417XAP6=
2023-04-21,98.87,99.152,06417XAP6=
2023-04-24,99.215,99.498,06417XAP6=
2023-04-25,99.452,99.736,06417XAP6=
2023-04-26,99.805,100.09,06417XAP6=
2023-04-27,98.759,99.041,06417XAP6=
2023-04-28,99.339,99.622,06417XAP6=
2023-05-01,98.706,98.986,06417XAP6=
2023-05-02,99.332,99.615,06417XAP6=
2023-05-03,99.825,100.11,06417XAP6=
2023-05-04,99.545,99.829,06417XAP6=
2023-05-05,99.586,99.869,06417XAP6=
2023-05-08,98.658,98.939,06417XAP6=
2023-05-09,98.744,99.025,06417XAP6=
2023-05-10,99.371,99.653,06417XAP6=
2023-05-11,99.92,100.204,06417XAP6=
2023-05-12,99.411,99.693,06417XAP6=
2023-05-15,98.504,98.783,06417XAP6=
2023-05-16,98.814,99.094,06417XAP6=
2023-05-17,98.647,98.927,06417XAP6=
2023-05-18,97.643,97.919,06417XAP6=
2023-05-19,97.281,97.555,06417XAP6=
2023-05-22,97.172,97.446,06417XAP6=
2023-05-23,97.282,97.556,06417XAP6=
2023-05-24,97.112,97.386,06417XAP6=
2023-05-25,96.443,96.714,06417XAP6=
2023-05-26,96.506,96.777,06417XAP6=
2023-05-29,96.593,96.865,06417XAP6=
2023-05-30,96.9,97.172,06417XAP6=
2023-05-31,97.59,97.864,06417XAP6=
2023-06-01,97.888,98.163,06417XAP6=
2023-06-02,97.341,97.615,06417XAP6=
2023-06-05,97.575,97.849,06417XAP6=
2023-06-06,97.352,97.625,06417XAP6=
2023-06-07,96.482,96.752,06417XAP6=
2023-06-08,97.072,97.344,06417XAP6=
2023-06-09,96.691,96.961,06417XAP6=
2023-06-12,96.812,97.082,06417XAP6=
2023-06-13,96.465,96.735,06417XAP6=
2023-06-14,96.449,96.718,06417XAP6=
2023-06-15,96.608,96.877,06417XAP6=
2023-06-16,96.61,96.879,06417XAP6=
2023-06-20,96.905,97.175,06417XAP6=
2023-06-21,96.683,96.953,06417XAP6=
2023-06-22,96.514,96.782,06417XAP6=
2023-06-23,96.686,96.955,06417XAP6=
2023-06-26,96.481,96.75,06417XAP6=
2023-06-27,96.416,96.684,06417XAP6=
2023-06-28,96.61,96.878,06417XAP6=
2023-06-29,96.163,96.429,06417XAP6=
2023-06-30,96.276,96.543,06417XAP6=
2023-07-03,96.544,96.811,06417XAP6=
2023-07-04,96.619,96.887,06417XAP6=
2023-07-05,96.341,96.608,06417XAP6=
2023-07-07,94.998,95.26,06417XAP6=
2023-07-10,95.759,96.023,06417XAP6=
2023-07-11,95.939,96.204,06417XAP6=
2023-07-12,96.756,97.023,06417XAP6=
2023-07-13,97.324,97.593,06417XAP6=
2023-07-14,97.156,97.425,06417XAP6=
2023-07-17,96.964,97.232,06417XAP6=
2023-07-18,97.2,97.468,06417XAP6=
2023-07-19,97.42,97.689,06417XAP6=
2023-07-20,96.833,97.099,06417XAP6=
2023-07-21,96.814,97.08,06417XAP6=
