Date,BID,ASK,RIC
2014-06-11,101.1363,101.3004,064255AW2=
2014-06-12,101.4893,101.6541,064255AW2=
2014-06-13,101.3984,101.563,064255AW2=
2014-06-16,101.8845,102.05,064255AW2=
2014-06-17,101.4389,101.6035,064255AW2=
2014-06-18,102.1225,102.2883,064255AW2=
2014-06-19,101.8575,102.0227,064255AW2=
2014-06-20,101.9561,102.1215,064255AW2=
2014-06-23,101.8236,101.9887,064255AW2=
2014-06-24,102.2282,102.394,064255AW2=
2014-06-25,102.3591,102.5251,064255AW2=
2014-06-26,102.5993,102.7656,064255AW2=
2014-06-27,102.5654,102.7317,064255AW2=
2014-06-30,102.598,102.7643,064255AW2=
2014-07-01,102.2974,102.4629,064255AW2=
2014-07-02,101.8022,101.9668,064255AW2=
2014-07-03,101.695,101.8593,064255AW2=
2014-07-07,101.9165,102.0812,064255AW2=
2014-07-08,102.3779,102.5435,064255AW2=
2014-07-09,102.3928,102.5583,064255AW2=
2014-07-10,102.5577,102.7234,064255AW2=
2014-07-11,102.7643,102.9303,064255AW2=
2014-07-14,102.4655,102.631,064255AW2=
2014-07-15,102.4237,102.589,064255AW2=
2014-07-16,102.6121,102.7776,064255AW2=
2014-07-17,103.3339,103.5008,064255AW2=
2014-07-18,103.0003,103.1665,064255AW2=
2014-07-21,103.1076,103.274,064255AW2=
2014-07-22,103.1318,103.2982,064255AW2=
2014-07-23,103.1047,103.271,064255AW2=
2014-07-24,102.8305,102.9962,064255AW2=
2014-07-25,103.1199,103.2861,064255AW2=
2014-07-28,102.9436,103.1095,064255AW2=
2014-07-29,103.1773,103.3436,064255AW2=
2014-07-30,102.3492,102.5137,064255AW2=
2014-07-31,102.3486,102.5132,064255AW2=
2014-08-01,102.8921,103.0576,064255AW2=
2014-08-04,102.9659,103.1315,064255AW2=
2014-08-05,102.9321,103.0976,064255AW2=
2014-08-06,103.0955,103.2612,064255AW2=
2014-08-07,104.2525,104.4203,064255AW2=
2014-08-08,104.1343,104.3018,064255AW2=
2014-08-11,104.0915,104.2589,064255AW2=
2014-08-12,103.9067,104.0738,064255AW2=
2014-08-13,104.1629,104.3303,064255AW2=
2014-08-14,104.3041,104.4718,064255AW2=
2014-08-15,104.8321,105.0007,064255AW2=
2014-08-18,104.3859,104.5536,064255AW2=
2014-08-19,104.7289,104.8972,064255AW2=
2014-08-20,104.5074,104.6751,064255AW2=
2014-08-21,104.6657,104.8337,064255AW2=
2014-08-22,104.6981,104.8662,064255AW2=
2014-08-25,104.8734,105.0417,064255AW2=
2014-08-26,104.7379,104.9059,064255AW2=
2014-08-27,105.0622,105.2307,064255AW2=
2014-08-28,105.2548,105.4236,064255AW2=
2014-08-29,105.1945,105.3632,064255AW2=
2014-09-02,104.5554,104.7228,064255AW2=
2014-09-03,104.7279,104.8955,064255AW2=
2014-09-04,104.2842,104.451,064255AW2=
2014-09-05,104.2499,104.4166,064255AW2=
2014-09-08,104.1323,104.2987,064255AW2=
2014-09-09,103.874,104.0398,064255AW2=
2014-09-10,103.532,103.6971,064255AW2=
2014-09-11,103.4651,103.63,064255AW2=
2014-09-12,102.9876,103.1516,064255AW2=
2014-09-15,103.1344,103.2986,064255AW2=
2014-09-16,103.1089,103.2731,064255AW2=
2014-09-17,102.8935,103.0572,064255AW2=
2014-09-18,102.5013,102.6642,064255AW2=
2014-09-19,102.8266,102.99,064255AW2=
2014-09-22,102.932,103.0956,064255AW2=
2014-09-23,103.2422,103.4064,064255AW2=
2014-09-24,102.9206,103.084,064255AW2=
2014-09-25,103.4273,103.5916,064255AW2=
2014-09-26,103.2214,103.3854,064255AW2=
2014-09-29,103.6308,103.7954,064255AW2=
2014-09-30,103.4984,103.6627,064255AW2=
2014-10-01,104.3694,104.5352,064255AW2=
2014-10-02,103.9798,104.1449,064255AW2=
2014-10-03,103.9952,104.1603,064255AW2=
2014-10-06,104.1014,104.2666,064255AW2=
2014-10-07,104.7794,104.9459,064255AW2=
2014-10-08,104.949,105.1155,064255AW2=
2014-10-09,104.8728,105.0392,064255AW2=
2014-10-10,105.2129,105.3799,064255AW2=
2014-10-14,105.9567,106.1251,064255AW2=
2014-10-15,105.6836,105.8513,064255AW2=
2014-10-16,105.4897,105.657,064255AW2=
2014-10-17,105.0964,105.2629,064255AW2=
2014-10-20,105.1283,105.2949,064255AW2=
2014-10-21,104.8612,105.0272,064255AW2=
2014-10-22,104.9154,105.0814,064255AW2=
2014-10-23,104.4429,104.6079,064255AW2=
2014-10-24,104.5324,104.6976,064255AW2=
2014-10-27,104.589,104.7543,064255AW2=
2014-10-28,104.2407,104.4054,064255AW2=
2014-10-29,104.0754,104.2396,064255AW2=
2014-10-30,104.181,104.3453,064255AW2=
2014-10-31,103.9586,104.1225,064255AW2=
2014-11-03,103.8675,104.0312,064255AW2=
2014-11-04,103.9565,104.1203,064255AW2=
2014-11-05,103.8635,104.027,064255AW2=
2014-11-06,103.568,103.7309,064255AW2=
2014-11-07,104.2285,104.3925,064255AW2=
2014-11-10,103.7452,103.9084,064255AW2=
2014-11-12,103.6365,103.7993,064255AW2=
2014-11-13,103.8635,104.0267,064255AW2=
2014-11-14,104.0747,104.2382,064255AW2=
2014-11-17,103.9023,104.0654,064255AW2=
2014-11-18,104.0889,104.2524,064255AW2=
2014-11-19,103.7517,103.9145,064255AW2=
2014-11-20,103.9135,104.0765,064255AW2=
2014-11-21,104.1244,104.2877,064255AW2=
2014-11-24,104.1712,104.3345,064255AW2=
2014-11-25,104.5519,104.7159,064255AW2=
2014-11-26,104.6572,104.8213,064255AW2=
2014-11-28,105.2727,105.4378,064255AW2=
2014-12-01,104.7368,104.9009,064255AW2=
2014-12-02,104.2451,104.6536,064255AW2=
2014-12-03,104.3559,104.7646,064255AW2=
2014-12-04,104.7306,105.141,064255AW2=
2014-12-05,104.1501,104.5577,064255AW2=
2014-12-08,103.0981,103.5009,064255AW2=
2014-12-09,103.4354,103.8396,064255AW2=
2014-12-10,103.7719,104.1772,064255AW2=
2014-12-11,103.8032,104.2086,064255AW2=
2014-12-12,104.5005,104.909,064255AW2=
2014-12-15,104.239,104.6461,064255AW2=
2014-12-16,104.6776,105.0867,064255AW2=
2014-12-17,104.0643,104.4703,064255AW2=
2014-12-18,103.4821,103.8853,064255AW2=
2014-12-19,103.8681,104.273,064255AW2=
2014-12-22,103.8823,104.287,064255AW2=
2014-12-23,102.996,103.3965,064255AW2=
2014-12-24,103.0273,103.4277,064255AW2=
2014-12-26,103.1128,103.5137,064255AW2=
2014-12-29,103.5062,103.9086,064255AW2=
2014-12-30,103.5999,104.0024,064255AW2=
2014-12-31,103.7758,104.179,064255AW2=
2015-01-02,104.2265,104.6316,064255AW2=
2015-01-05,104.8662,105.2741,064255AW2=
2015-01-06,105.6578,106.0692,064255AW2=
2015-01-07,105.3831,105.793,064255AW2=
2015-01-08,104.9983,105.4063,064255AW2=
2015-01-09,105.5522,105.9626,064255AW2=
2015-01-12,105.8788,106.2906,064255AW2=
2015-01-13,105.9184,106.3302,064255AW2=
2015-01-14,106.3237,106.7369,064255AW2=
2015-01-15,107.3751,107.793,064255AW2=
2015-01-16,106.5184,106.9323,064255AW2=
