Date,BID,ASK,RIC
2014-03-10,100.6423,100.966,064255AX0=
2014-03-11,100.5616,100.8849,064255AX0=
2014-03-12,100.9075,101.2323,064255AX0=
2014-03-13,102.7648,103.0983,064255AX0=
2014-03-14,102.2684,102.5996,064255AX0=
2014-03-17,102.6549,102.9879,064255AX0=
2014-03-18,101.7471,102.0758,064255AX0=
2014-03-19,102.24,102.571,064255AX0=
2014-03-20,101.1586,101.4845,064255AX0=
2014-03-21,101.9431,102.2726,064255AX0=
2014-03-24,102.5537,102.8861,064255AX0=
2014-03-25,102.7195,103.0526,064255AX0=
2014-03-26,103.5752,103.9124,064255AX0=
2014-03-27,103.0018,103.3362,064255AX0=
2014-03-28,103.9925,104.3315,064255AX0=
2014-03-31,103.5875,103.9246,064255AX0=
2014-04-01,103.3354,103.6713,064255AX0=
2014-04-02,101.8424,102.1713,064255AX0=
2014-04-03,101.6784,102.0065,064255AX0=
2014-04-04,102.2369,102.5676,064255AX0=
2014-04-07,101.9568,102.2862,064255AX0=
2014-04-08,102.253,102.5838,064255AX0=
2014-04-09,102.5334,102.8655,064255AX0=
2014-04-10,102.6991,103.0319,064255AX0=
2014-04-11,103.8029,104.1409,064255AX0=
2014-04-14,104.1237,104.4631,064255AX0=
2014-04-15,103.5325,103.8691,064255AX0=
2014-04-16,104.8026,105.1452,064255AX0=
2014-04-17,103.9868,104.3255,064255AX0=
2014-04-21,103.9528,104.2913,064255AX0=
2014-04-22,103.7165,104.0539,064255AX0=
2014-04-23,103.5309,103.8674,064255AX0=
2014-04-24,104.1713,104.5108,064255AX0=
2014-04-25,104.0527,104.3916,064255AX0=
2014-04-28,104.0355,104.3743,064255AX0=
2014-04-29,104.1706,104.51,064255AX0=
2014-04-30,103.9839,104.3224,064255AX0=
2014-05-01,103.6299,103.9667,064255AX0=
2014-05-02,105.3608,105.7057,064255AX0=
2014-05-05,104.7096,105.0515,064255AX0=
2014-05-06,105.034,105.3774,064255AX0=
2014-05-07,104.7085,105.0503,064255AX0=
2014-05-08,104.2494,104.589,064255AX0=
2014-05-09,103.7698,104.1071,064255AX0=
2014-05-12,103.2672,103.6022,064255AX0=
2014-05-13,103.5197,103.8559,064255AX0=
2014-05-14,105.3236,105.6682,064255AX0=
2014-05-15,106.243,106.5918,064255AX0=
2014-05-16,105.8245,106.1714,064255AX0=
2014-05-19,105.1173,105.4609,064255AX0=
2014-05-20,105.1054,105.4489,064255AX0=
2014-05-21,104.6676,105.009,064255AX0=
2014-05-22,104.4453,104.7857,064255AX0=
2014-05-23,105.0451,105.3882,064255AX0=
2014-05-27,105.4945,105.8397,064255AX0=
2014-05-28,106.7118,107.0626,064255AX0=
2014-05-29,106.1203,106.4684,064255AX0=
2014-05-30,106.1536,106.5018,064255AX0=
2014-06-02,105.4388,105.7837,064255AX0=
2014-06-03,104.227,104.5661,064255AX0=
2014-06-04,104.3836,104.7235,064255AX0=
2014-06-05,104.266,104.6053,064255AX0=
2014-06-06,104.2138,104.5528,064255AX0=
2014-06-09,104.1243,104.4629,064255AX0=
2014-06-10,103.6355,103.9718,064255AX0=
2014-06-11,103.7384,104.0751,064255AX0=
2014-06-12,104.6327,104.9736,064255AX0=
2014-06-13,104.5971,104.9378,064255AX0=
2014-06-16,104.9321,105.2744,064255AX0=
2014-06-17,104.1494,104.488,064255AX0=
2014-06-18,104.8184,105.1601,064255AX0=
2014-06-19,103.8075,104.1444,064255AX0=
2014-06-20,104.2941,104.6333,064255AX0=
2014-06-23,103.9859,104.3237,064255AX0=
2014-06-24,104.9344,105.2765,064255AX0=
2014-06-25,105.1774,105.5206,064255AX0=
2014-06-26,105.6242,105.9695,064255AX0=
2014-06-27,105.436,105.7804,064255AX0=
2014-06-30,105.5344,105.8793,064255AX0=
2014-07-01,104.9063,105.2482,064255AX0=
2014-07-02,103.8235,104.1603,064255AX0=
2014-07-03,103.7215,104.0578,064255AX0=
2014-07-07,104.2705,104.6094,064255AX0=
2014-07-08,105.3079,105.6516,064255AX0=
2014-07-09,105.2608,105.6042,064255AX0=
2014-07-10,105.3825,105.7265,064255AX0=
2014-07-11,105.9669,106.3136,064255AX0=
2014-07-14,105.3769,105.7208,064255AX0=
2014-07-15,105.3759,105.7198,064255AX0=
2014-07-16,105.9114,106.2578,064255AX0=
2014-07-17,107.238,107.5905,064255AX0=
2014-07-18,106.8141,107.1647,064255AX0=
2014-07-21,107.3336,107.6865,064255AX0=
2014-07-22,107.4211,107.7744,064255AX0=
2014-07-23,107.2145,107.5668,064255AX0=
2014-07-24,106.7228,107.0728,064255AX0=
2014-07-25,107.6681,108.0225,064255AX0=
2014-07-28,107.4014,107.7546,064255AX0=
2014-07-29,107.8739,108.2292,064255AX0=
2014-07-30,106.3654,106.7136,064255AX0=
2014-07-31,106.2792,106.6271,064255AX0=
2014-08-01,106.9114,107.2622,064255AX0=
2014-08-04,106.7705,107.1206,064255AX0=
2014-08-05,106.8389,107.1893,064255AX0=
2014-08-06,107.1577,107.5095,064255AX0=
2014-08-07,107.9889,108.3446,064255AX0=
2014-08-08,107.7932,108.148,064255AX0=
2014-08-11,107.6132,107.9671,064255AX0=
2014-08-12,107.0172,107.3683,064255AX0=
2014-08-13,107.5658,107.9194,064255AX0=
2014-08-14,108.4836,108.8414,064255AX0=
2014-08-15,109.7916,110.1556,064255AX0=
2014-08-18,108.5662,108.9244,064255AX0=
2014-08-19,108.2658,108.6227,064255AX0=
2014-08-20,108.207,108.5635,064255AX0=
2014-08-21,108.7028,109.0615,064255AX0=
2014-08-22,109.2448,109.6061,064255AX0=
2014-08-25,109.6948,110.0582,064255AX0=
2014-08-26,109.1758,109.5367,064255AX0=
2014-08-27,110.2401,110.606,064255AX0=
2014-08-28,110.7863,111.1548,064255AX0=
2014-08-29,110.5981,110.9656,064255AX0=
2014-09-02,108.9179,109.2775,064255AX0=
2014-09-03,109.5103,109.8726,064255AX0=
2014-09-04,108.3487,108.7056,064255AX0=
2014-09-05,108.0478,108.4033,064255AX0=
2014-09-08,108.094,108.4497,064255AX0=
2014-09-09,107.9429,108.2978,064255AX0=
2014-09-10,107.2225,107.5741,064255AX0=
2014-09-11,107.1162,107.4672,064255AX0=
2014-09-12,105.9685,106.3142,064255AX0=
2014-09-15,105.958,106.3036,064255AX0=
2014-09-16,105.6872,106.0315,064255AX0=
2014-09-17,105.5624,105.9061,064255AX0=
2014-09-18,105.8989,106.2442,064255AX0=
2014-09-19,106.9452,107.2953,064255AX0=
2014-09-22,106.9497,107.2998,064255AX0=
2014-09-23,107.6849,108.0384,064255AX0=
2014-09-24,107.0366,107.387,064255AX0=
2014-09-25,108.2667,108.6229,064255AX0=
2014-09-26,108.2011,108.5569,064255AX0=
2014-09-29,109.0758,109.4357,064255AX0=
2014-09-30,108.4394,108.7963,064255AX0=
2014-10-01,110.3343,110.7,064255AX0=
2014-10-02,109.4104,109.7718,064255AX0=
2014-10-03,109.8138,110.1771,064255AX0=
2014-10-06,109.7833,110.1465,064255AX0=
2014-10-07,111.2639,111.6339,064255AX0=
2014-10-08,111.1132,111.4824,064255AX0=
2014-10-09,110.965,111.3335,064255AX0=
2014-10-10,111.864,112.2367,064255AX0=
2014-10-14,113.0335,113.4117,064255AX0=
2014-10-15,112.0458,112.4194,064255AX0=
2014-10-16,112.0744,112.448,064255AX0=
2014-10-17,111.7496,112.1217,064255AX0=
2014-10-20,111.8055,112.1778,064255AX0=
2014-10-21,110.1317,110.4962,064255AX0=
2014-10-22,110.6272,110.994,064255AX0=
2014-10-23,109.7884,110.1513,064255AX0=
2014-10-24,109.9853,110.3491,064255AX0=
2014-10-27,109.876,110.2392,064255AX0=
2014-10-28,109.7543,110.117,064255AX0=
