Date,BID,ASK,RIC
2014-09-10,98.5473,98.7139,064255BJ0=
2014-09-11,98.481,98.6475,064255BJ0=
2014-09-12,98.0005,98.166,064255BJ0=
2014-09-15,98.1498,98.3155,064255BJ0=
2014-09-16,98.1253,98.291,064255BJ0=
2014-09-17,97.9117,98.0768,064255BJ0=
2014-09-18,97.7638,97.9286,064255BJ0=
2014-09-19,98.0941,98.2595,064255BJ0=
2014-09-22,98.2019,98.3675,064255BJ0=
2014-09-23,98.5171,98.6832,064255BJ0=
2014-09-24,98.1951,98.3605,064255BJ0=
2014-09-25,98.7092,98.8755,064255BJ0=
2014-09-26,98.502,98.6679,064255BJ0=
2014-09-29,98.9176,99.0843,064255BJ0=
2014-09-30,98.7847,98.9511,064255BJ0=
2014-10-01,99.0849,99.2518,064255BJ0=
2014-10-02,98.6943,98.8604,064255BJ0=
2014-10-03,99.0436,99.2103,064255BJ0=
2014-10-06,98.9024,99.0688,064255BJ0=
2014-10-07,99.5867,99.7544,064255BJ0=
2014-10-08,99.7628,99.9307,064255BJ0=
2014-10-09,99.6874,99.8551,064255BJ0=
2014-10-10,100.0314,100.1998,064255BJ0=
2014-10-14,100.7827,100.9525,064255BJ0=
2014-10-15,100.5113,100.6804,064255BJ0=
2014-10-16,100.3172,100.4859,064255BJ0=
2014-10-17,99.9221,100.09,064255BJ0=
2014-10-20,99.8718,100.0395,064255BJ0=
2014-10-21,99.7713,99.9388,064255BJ0=
2014-10-22,99.8299,99.9974,064255BJ0=
2014-10-23,99.3545,99.521,064255BJ0=
2014-10-24,99.4461,99.6128,064255BJ0=
2014-10-27,99.5045,99.6713,064255BJ0=
2014-10-28,99.1547,99.3208,064255BJ0=
2014-10-29,98.9903,99.1559,064255BJ0=
2014-10-30,99.0981,99.2639,064255BJ0=
2014-10-31,98.8751,99.0404,064255BJ0=
2014-11-03,98.7845,98.9496,064255BJ0=
2014-11-04,98.8755,99.0408,064255BJ0=
2014-11-05,98.7856,98.9505,064255BJ0=
2014-11-06,98.4902,98.6544,064255BJ0=
2014-11-07,99.1577,99.3232,064255BJ0=
2014-11-10,98.6715,98.8361,064255BJ0=
2014-11-12,98.5657,98.7299,064255BJ0=
2014-11-13,98.796,98.9606,064255BJ0=
2014-11-14,99.0103,99.1753,064255BJ0=
2014-11-17,98.8376,99.0023,064255BJ0=
2014-11-18,99.0272,99.1922,064255BJ0=
2014-11-19,98.6909,98.8551,064255BJ0=
2014-11-20,98.8554,99.0199,064255BJ0=
2014-11-21,99.0695,99.2343,064255BJ0=
2014-11-24,99.1193,99.2842,064255BJ0=
2014-11-25,99.5076,99.6731,064255BJ0=
2014-11-26,99.6152,99.7809,064255BJ0=
2014-11-28,100.2381,100.4049,064255BJ0=
2014-12-01,99.6982,99.8639,064255BJ0=
2014-12-02,99.203,99.6155,064255BJ0=
2014-12-03,99.3188,99.7315,064255BJ0=
2014-12-04,99.6985,100.113,064255BJ0=
2014-12-05,99.1136,99.5251,064255BJ0=
2014-12-08,99.5253,99.9387,064255BJ0=
2014-12-09,99.8724,100.2874,064255BJ0=
2014-12-10,100.2208,100.6371,064255BJ0=
2014-12-11,100.2539,100.6704,064255BJ0=
2014-12-12,100.9712,101.391,064255BJ0=
2014-12-15,100.7034,101.1218,064255BJ0=
2014-12-16,101.1551,101.5755,064255BJ0=
2014-12-17,100.5278,100.945,064255BJ0=
2014-12-18,99.9307,100.3448,064255BJ0=
2014-12-19,100.3282,100.7441,064255BJ0=
2014-12-22,99.3547,99.7658,064255BJ0=
2014-12-23,98.4583,98.8648,064255BJ0=
2014-12-24,98.4911,98.8977,064255BJ0=
2014-12-26,98.5795,98.9865,064255BJ0=
2014-12-29,98.9798,99.3885,064255BJ0=
2014-12-30,99.0784,99.4873,064255BJ0=
2014-12-31,99.2583,99.6679,064255BJ0=
2015-01-02,99.7173,100.129,064255BJ0=
2015-01-05,100.3687,100.7834,064255BJ0=
2015-01-06,101.3419,101.7612,064255BJ0=
2015-01-07,101.0656,101.4832,064255BJ0=
2015-01-08,100.6747,101.0903,064255BJ0=
2015-01-09,100.4096,100.8239,064255BJ0=
2015-01-12,100.7407,101.1565,064255BJ0=
2015-01-13,101.1979,101.6158,064255BJ0=
2015-01-14,101.6143,102.0337,064255BJ0=
2015-01-15,102.6829,103.1073,064255BJ0=
2015-01-16,101.8145,102.2347,064255BJ0=
2015-01-20,101.9064,102.3269,064255BJ0=
2015-01-21,101.1953,101.6121,064255BJ0=
2015-01-22,101.0538,101.4698,064255BJ0=
2015-01-23,102.1643,102.5855,064255BJ0=
2015-01-26,101.4192,101.8367,064255BJ0=
2015-01-27,101.4272,101.8447,064255BJ0=
2015-01-28,102.3304,102.752,064255BJ0=
2015-01-29,102.0192,102.4392,064255BJ0=
2015-01-30,103.0044,103.429,064255BJ0=
2015-02-02,102.7078,103.1308,064255BJ0=
2015-02-03,101.6669,102.0849,064255BJ0=
2015-02-04,102.0918,102.5115,064255BJ0=
2015-02-05,101.5072,101.924,064255BJ0=
2015-02-06,100.3505,100.7617,064255BJ0=
2015-02-09,100.1783,100.5887,064255BJ0=
2015-02-10,100.7862,101.1993,064255BJ0=
2015-02-11,100.6457,101.0577,064255BJ0=
2015-02-12,100.9173,101.3305,064255BJ0=
2015-02-13,100.4321,100.8429,064255BJ0=
2015-02-17,99.8929,100.301,064255BJ0=
2015-02-18,99.471,99.8769,064255BJ0=
2015-02-19,99.1721,99.5765,064255BJ0=
2015-02-20,99.2289,99.6334,064255BJ0=
2015-02-23,99.666,100.0725,064255BJ0=
2015-02-24,100.3908,100.8006,064255BJ0=
2015-02-25,101.4588,101.8731,064255BJ0=
2015-02-26,100.9722,101.3841,064255BJ0=
2015-02-27,101.2601,101.6733,064255BJ0=
2015-03-02,100.4967,100.9062,064255BJ0=
2015-03-03,100.2276,100.6356,064255BJ0=
2015-03-04,100.2519,100.6598,064255BJ0=
2015-03-05,100.6759,101.0857,064255BJ0=
2015-03-06,99.6194,100.0241,064255BJ0=
2015-03-09,100.056,100.462,064255BJ0=
2015-03-10,100.642,101.051,064255BJ0=
2015-03-11,100.739,101.148,064255BJ0=
2015-03-12,100.731,101.14,064255BJ0=
2015-03-13,100.673,101.081,064255BJ0=
2015-03-16,101.033,101.443,064255BJ0=
2015-03-17,101.213,101.624,064255BJ0=
2015-03-18,102.309,102.725,064255BJ0=
2015-03-19,101.878,102.291,064255BJ0=
2015-03-20,103.025,103.444,064255BJ0=
2015-03-23,103.216,103.636,064255BJ0=
2015-03-24,103.518,103.939,064255BJ0=
2015-03-25,102.979,103.397,064255BJ0=
2015-03-26,102.395,102.81,064255BJ0=
2015-03-27,102.695,103.112,064255BJ0=
2015-03-30,102.76,103.177,064255BJ0=
2015-03-31,102.974,103.391,064255BJ0=
2015-04-01,103.29,103.709,064255BJ0=
2015-04-02,102.831,103.247,064255BJ0=
2015-04-03,103.449,103.868,064255BJ0=
2015-04-06,102.955,103.372,064255BJ0=
2015-04-07,103.062,103.479,064255BJ0=
2015-04-08,102.893,103.309,064255BJ0=
2015-04-09,102.42,102.834,064255BJ0=
2015-04-10,102.535,102.949,064255BJ0=
2015-04-13,101.867,102.278,064255BJ0=
2015-04-14,102.113,102.525,064255BJ0=
2015-04-15,102.185,102.597,064255BJ0=
2015-04-16,102.152,102.564,064255BJ0=
2015-04-17,103.144,103.56,064255BJ0=
2015-04-20,102.952,103.367,064255BJ0=
2015-04-21,102.769,103.184,064255BJ0=
2015-04-22,102.156,102.567,064255BJ0=
2015-04-23,102.403,102.815,064255BJ0=
2015-04-24,102.732,103.146,064255BJ0=
2015-04-27,102.632,103.045,064255BJ0=
2015-04-28,101.998,102.408,064255BJ0=
2015-04-29,101.645,102.053,064255BJ0=
2015-04-30,101.734,102.143,064255BJ0=
2015-05-01,101.108,101.514,064255BJ0=
2015-05-04,100.832,101.236,064255BJ0=
2015-05-05,100.542,100.945,064255BJ0=
2015-05-06,99.981,100.381,064255BJ0=
2015-05-07,100.574,100.976,064255BJ0=
2015-05-08,100.863,101.267,064255BJ0=
2015-05-11,99.717,100.115,064255BJ0=
2015-05-12,100.02,100.42,064255BJ0=
2015-05-13,99.646,100.044,064255BJ0=
2015-05-14,100.524,100.926,064255BJ0=
2015-05-15,101.217,101.622,064255BJ0=
2015-05-18,100.524,100.925,064255BJ0=
2015-05-19,99.917,100.315,064255BJ0=
2015-05-20,100.18,100.579,064255BJ0=
2015-05-21,100.675,101.076,064255BJ0=
