Date,BID,ASK,RIC
2015-11-17,99.0413,99.6243,06652KAA1=
2015-11-18,98.9873,99.5695,06652KAA1=
2015-11-19,98.9796,99.5616,06652KAA1=
2015-11-20,99.305,99.8892,06652KAA1=
2015-11-23,99.4681,100.0532,06652KAA1=
2015-11-24,99.4991,100.0841,06652KAA1=
2015-11-25,99.5224,100.1074,06652KAA1=
2015-11-27,99.6312,100.2169,06652KAA1=
2015-11-30,99.7402,100.3265,06652KAA1=
2015-12-01,100.2322,100.8219,06652KAA1=
2015-12-02,99.9737,100.5612,06652KAA1=
2015-12-03,98.8651,99.4446,06652KAA1=
2015-12-04,99.2356,99.8176,06652KAA1=
2015-12-07,99.7552,100.3407,06652KAA1=
2015-12-08,99.8641,100.4503,06652KAA1=
2015-12-09,99.9495,100.5359,06652KAA1=
2015-12-10,99.7704,100.3554,06652KAA1=
2015-12-11,100.1755,100.7633,06652KAA1=
2015-12-14,99.4524,100.0349,06652KAA1=
2015-12-15,99.1203,99.7003,06652KAA1=
2015-12-16,98.8745,99.4524,06652KAA1=
2015-12-17,99.4524,100.0343,06652KAA1=
2015-12-18,99.6149,100.1978,06652KAA1=
2015-12-21,99.6846,100.2679,06652KAA1=
2015-12-22,99.3446,99.925,06652KAA1=
2015-12-23,99.1906,99.7698,06652KAA1=
2015-12-24,99.2984,99.8782,06652KAA1=
2015-12-28,99.3851,99.9656,06652KAA1=
2015-12-29,98.8076,99.3834,06652KAA1=
2015-12-30,98.9226,99.4991,06652KAA1=
2015-12-31,99.1144,99.6921,06652KAA1=
2016-01-04,99.3143,99.8933,06652KAA1=
2016-01-05,99.3452,99.9243,06652KAA1=
2016-01-06,99.8777,100.4602,06652KAA1=
2016-01-07,97.8976,98.466,06652KAA1=
2016-01-08,98.1627,98.7329,06652KAA1=
2016-01-11,97.7024,98.2692,06652KAA1=
2016-01-12,98.2316,98.802,06652KAA1=
2016-01-13,98.339,98.9097,06652KAA1=
2016-01-14,99.1162,99.6922,06652KAA1=
2016-01-15,99.5229,100.1016,06652KAA1=
2016-01-19,98.5296,99.1012,06652KAA1=
2016-01-20,98.0612,98.6292,06652KAA1=
2016-01-21,97.7603,98.326,06652KAA1=
2016-01-22,97.5431,98.1072,06652KAA1=
2016-01-25,97.9342,98.5009,06652KAA1=
2016-01-26,97.9497,98.5164,06652KAA1=
2016-01-27,97.9505,98.5169,06652KAA1=
2016-01-28,98.1091,98.6765,06652KAA1=
2016-01-29,99.0877,99.6618,06652KAA1=
2016-02-01,98.8822,99.4548,06652KAA1=
2016-02-02,99.6312,100.2089,06652KAA1=
2016-02-03,99.394,99.9696,06652KAA1=
2016-02-04,99.6775,100.255,06652KAA1=
2016-02-05,99.7006,100.2781,06652KAA1=
