Date,BID,ASK,RIC
2015-08-12,101.704,102.4787,06738EAJ4=
2015-08-13,100.4974,101.2584,06738EAJ4=
2015-08-14,100.2253,100.9833,06738EAJ4=
2015-08-17,101.2274,101.9966,06738EAJ4=
2015-08-18,100.6635,101.4263,06738EAJ4=
2015-08-19,101.2724,102.042,06738EAJ4=
2015-08-20,102.0572,102.8357,06738EAJ4=
2015-08-21,101.5787,102.3517,06738EAJ4=
2015-08-24,100.254,101.012,06738EAJ4=
2015-08-25,99.878,100.6318,06738EAJ4=
2015-08-26,98.0008,98.7335,06738EAJ4=
2015-08-27,99.5784,100.3287,06738EAJ4=
2015-08-28,99.8474,100.6007,06738EAJ4=
2015-08-31,99.8473,100.6006,06738EAJ4=
2015-09-01,100.7672,101.5308,06738EAJ4=
2015-09-02,100.2371,100.9946,06738EAJ4=
2015-09-03,101.1012,101.8685,06738EAJ4=
2015-09-04,101.7912,102.5663,06738EAJ4=
2015-09-08,100.7508,101.5141,06738EAJ4=
2015-09-09,100.8415,101.6057,06738EAJ4=
2015-09-10,100.3115,101.0697,06738EAJ4=
2015-09-11,101.4824,102.2538,06738EAJ4=
2015-09-14,101.4363,102.2071,06738EAJ4=
2015-09-15,99.8602,100.6132,06738EAJ4=
2015-09-16,100.2353,100.9925,06738EAJ4=
2015-09-17,102.1441,102.9228,06738EAJ4=
2015-09-18,103.1422,103.9322,06738EAJ4=
2015-09-21,102.0354,102.8128,06738EAJ4=
2015-09-22,102.221,103.0005,06738EAJ4=
2015-09-23,102.0501,102.8276,06738EAJ4=
2015-09-24,101.5569,102.3288,06738EAJ4=
2015-09-25,101.0521,101.8182,06738EAJ4=
2015-09-28,100.657,101.4187,06738EAJ4=
2015-09-29,100.93,101.6947,06738EAJ4=
2015-09-30,101.6021,102.3743,06738EAJ4=
2015-10-01,100.7018,101.4638,06738EAJ4=
2015-10-02,100.8382,101.6017,06738EAJ4=
2015-10-05,100.7774,101.5402,06738EAJ4=
2015-10-06,101.3256,102.0946,06738EAJ4=
2015-10-07,101.9241,102.6997,06738EAJ4=
2015-10-08,102.1867,102.9652,06738EAJ4=
2015-10-09,102.5903,103.3734,06738EAJ4=
2015-10-13,103.2001,103.9901,06738EAJ4=
2015-10-14,103.7673,104.5636,06738EAJ4=
2015-10-15,104.4034,105.2069,06738EAJ4=
2015-10-16,103.6246,104.4192,06738EAJ4=
2015-10-19,103.8459,104.643,06738EAJ4=
2015-10-20,103.0106,103.7982,06738EAJ4=
2015-10-21,104.6741,105.4805,06738EAJ4=
2015-10-22,104.4338,105.2374,06738EAJ4=
2015-10-23,104.6576,105.4637,06738EAJ4=
2015-10-26,105.9679,106.7889,06738EAJ4=
2015-10-27,105.3175,106.1311,06738EAJ4=
2015-10-28,104.9619,105.7713,06738EAJ4=
2015-10-29,103.3228,104.1136,06738EAJ4=
2015-10-30,103.9387,104.7365,06738EAJ4=
2015-11-02,103.7484,104.544,06738EAJ4=
2015-11-03,103.0869,103.875,06738EAJ4=
2015-11-04,103.3376,104.1284,06738EAJ4=
2015-11-05,103.3375,104.1283,06738EAJ4=
2015-11-06,102.4931,103.2743,06738EAJ4=
2015-11-09,102.6797,103.4629,06738EAJ4=
2015-11-10,102.9134,103.6992,06738EAJ4=
2015-11-12,102.6948,103.4781,06738EAJ4=
2015-11-13,103.2578,104.0474,06738EAJ4=
2015-11-16,103.1478,103.9361,06738EAJ4=
2015-11-17,103.1477,103.936,06738EAJ4=
2015-11-18,102.074,102.8501,06738EAJ4=
2015-11-19,103.257,104.0464,06738EAJ4=
2015-11-20,102.554,103.3354,06738EAJ4=
2015-11-23,103.3823,104.173,06738EAJ4=
2015-11-24,102.3674,103.1466,06738EAJ4=
2015-11-25,102.6779,103.4605,06738EAJ4=
2015-11-27,103.3975,104.1882,06738EAJ4=
2015-11-30,103.1462,103.9341,06738EAJ4=
2015-12-01,102.8647,103.6493,06738EAJ4=
2015-12-02,103.7279,104.5222,06738EAJ4=
2015-12-03,102.104,102.8799,06738EAJ4=
2015-12-04,102.584,103.3653,06738EAJ4=
2015-12-07,103.1299,103.9173,06738EAJ4=
2015-12-08,102.7706,103.554,06738EAJ4=
2015-12-09,102.3666,103.1453,06738EAJ4=
2015-12-10,102.2892,103.067,06738EAJ4=
2015-12-11,102.8015,103.585,06738EAJ4=
2015-12-14,100.6537,101.413,06738EAJ4=
2015-12-15,99.8133,100.5632,06738EAJ4=
2015-12-16,101.4283,102.1962,06738EAJ4=
2015-12-17,102.7856,103.5688,06738EAJ4=
2015-12-18,102.5834,103.3642,06738EAJ4=
2015-12-21,101.4437,102.2117,06738EAJ4=
2015-12-22,102.0265,102.8009,06738EAJ4=
2015-12-23,101.2151,101.9804,06738EAJ4=
2015-12-24,100.6845,101.4438,06738EAJ4=
2015-12-28,102.1661,102.9422,06738EAJ4=
2015-12-29,101.2457,102.0111,06738EAJ4=
2015-12-30,101.5509,102.3197,06738EAJ4=
2015-12-31,101.8882,102.6608,06738EAJ4=
2016-01-04,101.7194,102.4901,06738EAJ4=
2016-01-05,100.3087,101.0635,06738EAJ4=
2016-01-06,100.9424,101.7042,06738EAJ4=
2016-01-07,101.0638,101.8269,06738EAJ4=
2016-01-08,101.9806,102.754,06738EAJ4=
2016-01-11,101.064,101.8271,06738EAJ4=
2016-01-12,102.2581,103.0345,06738EAJ4=
2016-01-13,101.9962,102.7696,06738EAJ4=
2016-01-14,101.6588,102.4283,06738EAJ4=
2016-01-15,101.5365,102.3046,06738EAJ4=
2016-01-19,101.6895,102.4593,06738EAJ4=
2016-01-20,101.4147,102.1813,06738EAJ4=
2016-01-21,101.3691,102.1352,06738EAJ4=
2016-01-22,101.0803,101.8431,06738EAJ4=
2016-01-25,101.5065,102.2741,06738EAJ4=
2016-01-26,101.1108,101.8739,06738EAJ4=
2016-01-27,101.187,101.9509,06738EAJ4=
2016-01-28,101.2327,101.9971,06738EAJ4=
2016-01-29,101.5528,102.3207,06738EAJ4=
2016-02-01,101.8897,102.6614,06738EAJ4=
2016-02-02,102.879,103.6617,06738EAJ4=
2016-02-03,102.1205,102.8946,06738EAJ4=
2016-02-04,99.5672,100.3127,06738EAJ4=
2016-02-05,99.6564,100.4029,06738EAJ4=
2016-02-08,97.3945,98.1158,06738EAJ4=
2016-02-09,94.1365,94.8217,06738EAJ4=
2016-02-10,95.2241,95.9212,06738EAJ4=
2016-02-11,91.4848,92.1408,06738EAJ4=
2016-02-12,92.2465,92.9108,06738EAJ4=
2016-02-16,91.7596,92.4186,06738EAJ4=
2016-02-17,94.9478,95.6417,06738EAJ4=
2016-02-18,97.784,98.5092,06738EAJ4=
2016-02-19,96.2867,96.9953,06738EAJ4=
2016-02-22,97.138,97.856,06738EAJ4=
2016-02-23,96.9525,97.6684,06738EAJ4=
2016-02-24,96.5411,97.2522,06738EAJ4=
2016-02-25,95.7253,96.4276,06738EAJ4=
2016-02-26,95.391,96.0895,06738EAJ4=
2016-02-29,95.5858,96.2865,06738EAJ4=
2016-03-01,95.0446,95.7393,06738EAJ4=
2016-03-02,96.4133,97.123,06738EAJ4=
2016-03-03,96.1175,96.8239,06738EAJ4=
2016-03-04,95.4467,96.1457,06738EAJ4=
2016-03-07,96.2864,96.9946,06738EAJ4=
2016-03-08,96.0193,96.7246,06738EAJ4=
2016-03-09,96.5687,97.28,06738EAJ4=
2016-03-10,96.1035,96.8096,06738EAJ4=
2016-03-11,95.4191,96.1176,06738EAJ4=
2016-03-14,95.9212,96.6252,06738EAJ4=
2016-03-15,99.5348,100.2788,06738EAJ4=
2016-03-16,99.2245,99.965,06738EAJ4=
2016-03-17,101.0608,101.8217,06738EAJ4=
2016-03-18,101.3488,102.1129,06738EAJ4=
2016-03-21,100.9244,101.6838,06738EAJ4=
2016-03-22,101.1508,101.9126,06738EAJ4=
2016-03-23,101.8511,102.6207,06738EAJ4=
