Date,BID,ASK,RIC
2017-01-05,101.1442,101.5851,06738EAU9=
2017-01-06,100.3301,100.7666,06738EAU9=
2017-01-09,100.7751,101.2139,06738EAU9=
2017-01-10,100.3297,100.766,06738EAU9=
2017-01-11,100.6689,101.1067,06738EAU9=
2017-01-12,100.6599,101.0975,06738EAU9=
2017-01-13,100.4243,100.8606,06738EAU9=
2017-01-17,100.7991,101.2373,06738EAU9=
2017-01-18,99.8169,100.2497,06738EAU9=
2017-01-19,99.3692,99.7996,06738EAU9=
2017-01-20,99.653,100.0848,06738EAU9=
2017-01-23,100.31,100.7451,06738EAU9=
2017-01-24,99.6701,100.1018,06738EAU9=
2017-01-25,99.3264,99.7561,06738EAU9=
2017-01-26,99.5118,99.9425,06738EAU9=
2017-01-27,99.7474,100.1792,06738EAU9=
2017-01-30,99.541,99.9716,06738EAU9=
2017-01-31,99.7473,100.1789,06738EAU9=
2017-02-01,99.6526,100.0835,06738EAU9=
2017-02-02,99.5925,100.023,06738EAU9=
2017-02-03,99.9107,100.3427,06738EAU9=
2017-02-06,100.256,100.6898,06738EAU9=
2017-02-07,100.4291,100.8637,06738EAU9=
2017-02-08,100.316,100.7497,06738EAU9=
2017-02-09,100.0137,100.4458,06738EAU9=
2017-02-10,99.9791,100.4109,06738EAU9=
2017-02-13,99.7469,100.1774,06738EAU9=
2017-02-14,99.6953,100.1255,06738EAU9=
2017-02-15,99.4812,99.9099,06738EAU9=
2017-02-16,100.0733,100.505,06738EAU9=
2017-02-17,100.5741,101.0083,06738EAU9=
2017-02-21,100.0473,100.4787,06738EAU9=
2017-02-22,99.9268,100.3573,06738EAU9=
2017-02-23,100.8915,101.3266,06738EAU9=
2017-02-24,101.0497,101.4857,06738EAU9=
2017-02-27,100.7023,101.1364,06738EAU9=
2017-02-28,100.771,101.206,06738EAU9=
2017-03-01,100.762,101.196,06738EAU9=
2017-03-02,100.391,100.823,06738EAU9=
2017-03-03,100.554,100.987,06738EAU9=
2017-03-06,100.192,100.623,06738EAU9=
2017-03-07,99.73,100.158,06738EAU9=
2017-03-08,99.202,99.627,06738EAU9=
2017-03-09,98.872,99.295,06738EAU9=
2017-03-10,99.066,99.491,06738EAU9=
2017-03-13,98.56,98.982,06738EAU9=
2017-03-14,98.09,98.51,06738EAU9=
2017-03-15,99.203,99.627,06738EAU9=
2017-03-16,98.89,99.313,06738EAU9=
2017-03-17,99.457,99.883,06738EAU9=
2017-03-20,99.679,100.106,06738EAU9=
2017-03-21,100.174,100.604,06738EAU9=
2017-03-22,100.029,100.457,06738EAU9=
2017-03-23,99.9,100.328,06738EAU9=
2017-03-24,99.986,100.414,06738EAU9=
2017-03-27,100.1,100.528,06738EAU9=
2017-03-28,99.957,100.385,06738EAU9=
2017-03-29,100.311,100.74,06738EAU9=
2017-03-30,99.688,100.114,06738EAU9=
2017-03-31,100.233,100.662,06738EAU9=
2017-04-03,100.886,101.318,06738EAU9=
2017-04-04,100.105,100.533,06738EAU9=
2017-04-05,100.49,100.92,06738EAU9=
2017-04-06,100.473,100.902,06738EAU9=
2017-04-07,99.952,100.378,06738EAU9=
2017-04-10,100.173,100.601,06738EAU9=
2017-04-11,100.755,101.185,06738EAU9=
2017-04-12,101.039,101.47,06738EAU9=
2017-04-13,100.836,101.267,06738EAU9=
2017-04-17,102.488,102.927,06738EAU9=
2017-04-18,103.156,103.598,06738EAU9=
