Date,BID,ASK,RIC
2020-04-23,99.0599,99.2869,06747PML0=
2020-04-24,99.0566,99.2834,06747PML0=
2020-04-27,98.9724,99.1988,06747PML0=
2020-04-28,99.0482,99.2746,06747PML0=
2020-04-29,99.0934,99.3198,06747PML0=
2020-04-30,99.1053,99.3312,06747PML0=
2020-05-01,101.2431,101.377,06747PML0=
2020-05-04,101.2681,101.4018,06747PML0=
2020-05-05,101.2521,101.3856,06747PML0=
2020-05-06,101.2765,101.4099,06747PML0=
2020-05-07,101.3424,101.4753,06747PML0=
2020-05-08,101.2969,101.4296,06747PML0=
2020-05-11,101.2664,101.3988,06747PML0=
2020-05-12,101.2928,101.4251,06747PML0=
2020-05-13,101.2871,101.4192,06747PML0=
2020-05-14,101.3091,101.4407,06747PML0=
2020-05-15,101.3086,101.44,06747PML0=
2020-05-18,101.2543,101.3854,06747PML0=
2020-05-19,101.2752,101.4062,06747PML0=
2020-05-20,101.2645,101.3953,06747PML0=
2020-05-21,101.2522,101.3822,06747PML0=
2020-05-22,101.253,101.3828,06747PML0=
2020-05-26,101.239,101.3686,06747PML0=
2020-05-27,101.2211,101.3505,06747PML0=
2020-05-28,101.2388,101.3679,06747PML0=
2020-05-29,101.2592,101.3881,06747PML0=
2020-06-01,101.2653,101.394,06747PML0=
2020-06-02,101.2576,101.3861,06747PML0=
2020-06-03,101.2062,101.3345,06747PML0=
2020-06-04,101.2012,101.3289,06747PML0=
2020-06-05,101.1735,101.301,06747PML0=
2020-06-08,101.1485,101.2758,06747PML0=
2020-06-09,101.178,101.3051,06747PML0=
2020-06-10,101.2275,101.3545,06747PML0=
2020-06-11,101.1658,101.2922,06747PML0=
2020-06-12,101.1896,101.3158,06747PML0=
2020-06-15,101.1832,101.3092,06747PML0=
2020-06-16,101.1731,101.2989,06747PML0=
2020-06-17,101.1654,101.291,06747PML0=
2020-06-18,101.1636,101.2887,06747PML0=
2020-06-19,101.1769,101.3018,06747PML0=
2020-06-22,101.1662,101.2909,06747PML0=
2020-06-23,101.177,101.3015,06747PML0=
2020-06-24,101.1687,101.293,06747PML0=
2020-06-25,101.1738,101.2976,06747PML0=
2020-06-26,101.2091,101.3328,06747PML0=
2020-06-29,101.229,101.3525,06747PML0=
2020-06-30,101.2202,101.3435,06747PML0=
2020-07-01,101.1918,101.3143,06747PML0=
2020-07-02,101.2203,101.3427,06747PML0=
2020-07-03,101.2212,101.3436,06747PML0=
2020-07-06,101.1966,101.3188,06747PML0=
2020-07-07,101.1948,101.3168,06747PML0=
2020-07-08,101.1936,101.3154,06747PML0=
2020-07-09,101.2096,101.3308,06747PML0=
2020-07-10,101.1957,101.3167,06747PML0=
2020-07-13,101.19,101.3108,06747PML0=
2020-07-14,101.1815,101.3021,06747PML0=
2020-07-15,101.1857,101.3062,06747PML0=
2020-07-16,101.2001,101.32,06747PML0=
2020-07-17,101.201,101.3208,06747PML0=
2020-07-20,101.1857,101.3052,06747PML0=
2020-07-21,101.2037,101.3231,06747PML0=
2020-07-22,101.1806,101.2998,06747PML0=
2020-07-23,101.1871,101.3057,06747PML0=
2020-07-24,101.1856,101.304,06747PML0=
2020-07-27,101.1649,101.2831,06747PML0=
2020-07-28,101.1902,101.3083,06747PML0=
2020-07-29,101.1603,101.2783,06747PML0=
2020-07-30,101.1911,101.3086,06747PML0=
2020-07-31,101.1993,101.3166,06747PML0=
2020-08-03,101.1975,101.3146,06747PML0=
2020-08-04,101.1979,101.3149,06747PML0=
2020-08-05,101.1839,101.3006,06747PML0=
2020-08-06,101.176,101.259,06747PML0=
2020-08-07,101.1372,101.22,06747PML0=
2020-08-10,101.1291,101.2117,06747PML0=
2020-08-11,101.1036,101.1861,06747PML0=
2020-08-12,101.0947,101.177,06747PML0=
2020-08-13,101.0786,101.1605,06747PML0=
2020-08-14,101.1062,101.188,06747PML0=
2020-08-17,101.0995,101.1812,06747PML0=
2020-08-18,101.1128,101.1944,06747PML0=
2020-08-19,101.113,101.1944,06747PML0=
2020-08-20,101.1018,101.1828,06747PML0=
2020-08-21,101.0977,101.1786,06747PML0=
2020-08-24,101.0827,101.1634,06747PML0=
2020-08-25,101.085,101.1656,06747PML0=
2020-08-26,101.0755,101.156,06747PML0=
2020-08-27,101.0782,101.1584,06747PML0=
2020-08-28,101.1106,101.1907,06747PML0=
2020-08-31,101.1039,101.1839,06747PML0=
2020-09-01,101.1087,101.1885,06747PML0=
2020-09-02,101.0976,101.1773,06747PML0=
2020-09-03,101.1008,101.18,06747PML0=
2020-09-04,101.0712,101.1502,06747PML0=
2020-09-07,101.0844,101.1634,06747PML0=
2020-09-08,101.0714,101.1503,06747PML0=
2020-09-09,101.0602,101.1389,06747PML0=
2020-09-10,101.067,101.1453,06747PML0=
2020-09-11,101.0776,101.1558,06747PML0=
2020-09-14,101.0728,101.1509,06747PML0=
2020-09-15,101.0711,101.149,06747PML0=
2020-09-16,101.0496,101.1274,06747PML0=
2020-09-17,101.0515,101.1289,06747PML0=
2020-09-18,101.0468,101.124,06747PML0=
2020-09-21,101.0471,101.1242,06747PML0=
2020-09-22,101.0456,101.1226,06747PML0=
2020-09-23,101.0366,101.1134,06747PML0=
2020-09-24,101.0394,101.1158,06747PML0=
2020-09-25,101.0487,101.125,06747PML0=
2020-09-28,101.0423,101.1184,06747PML0=
2020-09-29,101.0447,101.1207,06747PML0=
2020-09-30,101.0323,101.1082,06747PML0=
2020-10-01,101.0349,101.1104,06747PML0=
2020-10-02,101.0295,101.1048,06747PML0=
2020-10-05,101.0094,101.0846,06747PML0=
2020-10-06,101.0109,101.0859,06747PML0=
2020-10-07,100.9983,101.0732,06747PML0=
2020-10-08,100.9941,101.0685,06747PML0=
2020-10-09,100.9888,101.063,06747PML0=
2020-10-12,100.9879,101.0621,06747PML0=
2020-10-13,101.0006,101.0747,06747PML0=
2020-10-14,100.9976,101.0716,06747PML0=
2020-10-15,100.9939,101.0675,06747PML0=
2020-10-16,100.9898,101.0632,06747PML0=
2020-10-19,100.9845,101.0578,06747PML0=
2020-10-20,100.9832,101.0563,06747PML0=
2020-10-21,100.9828,101.0558,06747PML0=
2020-10-22,100.9707,101.0433,06747PML0=
2020-10-23,100.9721,101.0446,06747PML0=
2020-10-26,100.9691,101.0414,06747PML0=
2020-10-27,100.968,101.0402,06747PML0=
2020-10-28,100.9697,101.0418,06747PML0=
2020-10-29,100.9682,101.04,06747PML0=
2020-10-30,100.9578,101.0295,06747PML0=
2020-11-02,100.9592,101.0307,06747PML0=
2020-11-03,100.9528,101.0242,06747PML0=
2020-11-04,100.9584,101.0297,06747PML0=
2020-11-05,100.9556,101.0265,06747PML0=
2020-11-06,100.9513,101.022,06747PML0=
2020-11-09,101.0293,101.0998,06747PML0=
2020-11-10,101.0283,101.0987,06747PML0=
2020-11-12,101.0279,101.0979,06747PML0=
2020-11-13,101.0191,101.089,06747PML0=
2020-11-16,101.0262,101.0959,06747PML0=
2020-11-17,101.0317,101.1013,06747PML0=
2020-11-18,101.0279,101.0974,06747PML0=
2020-11-19,101.0364,101.1055,06747PML0=
2020-11-20,101.0387,101.1077,06747PML0=
2020-11-23,101.0355,101.1043,06747PML0=
2020-11-24,101.0264,101.0949,06747PML0=
2020-11-25,101.0213,101.0894,06747PML0=
2020-11-26,101.0234,101.0915,06747PML0=
2020-11-27,101.024,101.092,06747PML0=
2020-11-30,101.0274,101.0953,06747PML0=
2020-12-01,101.015,101.0827,06747PML0=
2020-12-02,101.0127,101.0803,06747PML0=
2020-12-03,101.0446,101.1118,06747PML0=
2020-12-04,101.0419,101.109,06747PML0=
2020-12-07,101.0449,101.1119,06747PML0=
2020-12-08,101.0416,101.1084,06747PML0=
2020-12-09,101.0402,101.1069,06747PML0=
2020-12-10,101.0383,101.1046,06747PML0=
2020-12-11,101.0572,101.1234,06747PML0=
2020-12-14,101.0605,101.1265,06747PML0=
2020-12-15,101.0522,101.1181,06747PML0=
2020-12-16,101.0535,101.1193,06747PML0=
2020-12-17,101.0402,101.1056,06747PML0=
2020-12-18,101.0415,101.1067,06747PML0=
2020-12-21,101.0401,101.1052,06747PML0=
2020-12-22,101.0385,101.1034,06747PML0=
2020-12-23,101.025,101.0894,06747PML0=
2020-12-24,101.0203,101.0846,06747PML0=
2020-12-28,101.0303,101.0944,06747PML0=
2020-12-29,101.0257,101.0898,06747PML0=
2020-12-30,101.0175,101.0811,06747PML0=
2020-12-31,101.0168,101.0803,06747PML0=
2021-01-04,101.0307,101.094,06747PML0=
2021-01-05,101.0254,101.0886,06747PML0=
2021-01-06,101.075,101.1381,06747PML0=
2021-01-07,101.0686,101.1313,06747PML0=
2021-01-08,101.0731,101.1357,06747PML0=
2021-01-11,101.0634,101.1258,06747PML0=
2021-01-12,101.0647,101.127,06747PML0=
2021-01-13,101.0677,101.1299,06747PML0=
2021-01-14,101.0582,101.1198,06747PML0=
2021-01-15,101.0583,101.1198,06747PML0=
2021-01-18,101.0569,101.1184,06747PML0=
2021-01-19,101.0549,101.1162,06747PML0=
2021-01-20,101.0555,101.1167,06747PML0=
2021-01-21,101.0489,101.1097,06747PML0=
2021-01-22,101.0528,101.1135,06747PML0=
2021-01-25,101.0539,101.1144,06747PML0=
2021-01-26,101.0492,101.1096,06747PML0=
2021-01-27,101.058,101.1183,06747PML0=
2021-01-28,101.0575,101.1175,06747PML0=
2021-01-29,101.057,101.1169,06747PML0=
2021-02-01,101.0612,101.1209,06747PML0=
2021-02-02,101.0549,101.1145,06747PML0=
2021-02-03,101.0541,101.1136,06747PML0=
2021-02-04,101.0547,101.1138,06747PML0=
2021-02-05,101.0568,101.1157,06747PML0=
2021-02-08,101.046,101.1048,06747PML0=
2021-02-09,101.04,101.0986,06747PML0=
2021-02-10,101.0439,101.1024,06747PML0=
2021-02-11,101.0338,101.0918,06747PML0=
2021-02-12,101.0345,101.0923,06747PML0=
2021-02-15,101.0366,101.0944,06747PML0=
2021-02-16,101.0232,101.0809,06747PML0=
2021-02-17,101.0315,101.089,06747PML0=
2021-02-18,101.0237,101.0808,06747PML0=
2021-02-19,101.0187,101.0757,06747PML0=
2021-02-22,101.0126,101.0695,06747PML0=
2021-02-23,101.007,101.0637,06747PML0=
2021-02-24,102.0024,102.0598,06747PML0=
2021-02-25,102.0253,102.082,06747PML0=
2021-02-26,102.0002,102.0568,06747PML0=
2021-03-01,101.9988,102.0552,06747PML0=
2021-03-02,101.9922,102.0485,06747PML0=
2021-03-03,101.9793,102.0354,06747PML0=
2021-03-04,101.964,102.0197,06747PML0=
2021-03-05,101.9603,102.0159,06747PML0=
2021-03-08,101.949,102.0044,06747PML0=
2021-03-09,101.9352,101.9905,06747PML0=
2021-03-10,101.9355,101.9907,06747PML0=
2021-03-11,101.9238,101.9785,06747PML0=
2021-03-12,101.9266,101.9812,06747PML0=
2021-03-15,101.9242,101.9787,06747PML0=
