Date,BID,ASK,RIC
2021-06-09,100.2255,100.2713,06748EPV9=
2021-06-10,100.2428,100.2882,06748EPV9=
2021-06-11,100.1385,100.1837,06748EPV9=
2021-06-14,100.1808,100.2259,06748EPV9=
2021-06-15,100.1776,100.2225,06748EPV9=
2021-06-16,100.1091,100.1539,06748EPV9=
2021-06-17,100.0941,100.1384,06748EPV9=
2021-06-18,100.0616,100.1058,06748EPV9=
2021-06-21,100.0587,100.1027,06748EPV9=
2021-06-22,100.086,100.1299,06748EPV9=
2021-06-23,100.0667,100.1105,06748EPV9=
2021-06-24,100.0564,100.0998,06748EPV9=
2021-06-25,100.0548,100.098,06748EPV9=
2021-06-28,100.0659,100.109,06748EPV9=
2021-06-29,100.0726,100.1156,06748EPV9=
2021-06-30,100.0716,100.1144,06748EPV9=
2021-07-01,100.0309,100.0731,06748EPV9=
2021-07-02,100.1088,100.151,06748EPV9=
2021-07-05,100.0428,100.0849,06748EPV9=
2021-07-06,100.1124,100.1544,06748EPV9=
2021-07-07,100.0837,100.1256,06748EPV9=
2021-07-08,100.0841,100.1255,06748EPV9=
2021-07-09,100.1023,100.1436,06748EPV9=
2021-07-12,100.0926,100.1338,06748EPV9=
2021-07-13,100.0562,100.0972,06748EPV9=
2021-07-14,100.0834,100.1243,06748EPV9=
2021-07-15,100.0821,100.1226,06748EPV9=
2021-07-16,100.0887,100.1291,06748EPV9=
2021-07-19,100.12,100.1602,06748EPV9=
2021-07-20,100.0966,100.1367,06748EPV9=
2021-07-21,100.1677,100.2077,06748EPV9=
2021-07-22,100.1784,100.218,06748EPV9=
2021-07-23,100.1773,100.2167,06748EPV9=
2021-07-26,100.175,100.2143,06748EPV9=
2021-07-27,100.1838,100.223,06748EPV9=
2021-07-28,100.166,100.205,06748EPV9=
2021-07-29,100.1624,100.2011,06748EPV9=
2021-07-30,100.1818,100.2204,06748EPV9=
2021-08-02,100.196,100.2345,06748EPV9=
2021-08-03,100.2017,100.2401,06748EPV9=
2021-08-04,100.1814,100.2196,06748EPV9=
2021-08-05,100.1545,100.1923,06748EPV9=
2021-08-06,100.1314,100.169,06748EPV9=
2021-08-09,100.1216,100.1591,06748EPV9=
2021-08-10,100.1024,100.1397,06748EPV9=
2021-08-11,100.1172,100.1544,06748EPV9=
2021-08-12,100.11,100.1468,06748EPV9=
2021-08-13,100.1143,100.151,06748EPV9=
2021-08-16,100.1211,100.1576,06748EPV9=
2021-08-17,100.1183,100.1547,06748EPV9=
2021-08-18,100.1012,100.1374,06748EPV9=
2021-08-19,100.0956,100.1314,06748EPV9=
2021-08-20,100.0884,100.1241,06748EPV9=
2021-08-23,100.1166,100.1522,06748EPV9=
2021-08-24,100.0744,100.1098,06748EPV9=
2021-08-25,100.0658,100.101,06748EPV9=
2021-08-26,100.0679,100.1027,06748EPV9=
2021-08-27,100.0906,100.1255,06748EPV9=
2021-08-30,100.1069,100.1416,06748EPV9=
2021-08-31,100.1236,100.1582,06748EPV9=
2021-09-01,100.116,100.1505,06748EPV9=
2021-09-02,100.1172,100.1511,06748EPV9=
2021-09-03,100.1329,100.1667,06748EPV9=
2021-09-07,100.1248,100.1584,06748EPV9=
2021-09-08,100.1316,100.1651,06748EPV9=
2021-09-09,100.1364,100.1695,06748EPV9=
2021-09-10,100.1002,100.1331,06748EPV9=
2021-09-13,100.081,100.1138,06748EPV9=
2021-09-14,100.0941,100.1267,06748EPV9=
2021-09-15,100.1216,100.1541,06748EPV9=
2021-09-16,100.1071,100.1392,06748EPV9=
2021-09-17,100.0909,100.1229,06748EPV9=
2021-09-20,100.1107,100.1425,06748EPV9=
2021-09-21,100.057,100.0887,06748EPV9=
2021-09-22,100.0559,100.0874,06748EPV9=
2021-09-23,100.0329,100.064,06748EPV9=
2021-09-24,100.0259,100.0569,06748EPV9=
2021-09-27,100.0139,100.0447,06748EPV9=
2021-09-28,100.0382,100.0689,06748EPV9=
2021-09-29,100.0414,100.072,06748EPV9=
2021-09-30,100.056,100.0861,06748EPV9=
2021-10-01,100.0798,100.1098,06748EPV9=
2021-10-04,100.0652,100.0951,06748EPV9=
2021-10-05,100.0582,100.0879,06748EPV9=
2021-10-06,100.049,100.0786,06748EPV9=
2021-10-07,100.0401,100.0691,06748EPV9=
2021-10-08,100.0277,100.0566,06748EPV9=
2021-10-11,100.007,100.0359,06748EPV9=
2021-10-12,100.0147,100.0434,06748EPV9=
2021-10-13,100.0024,100.031,06748EPV9=
2021-10-14,100.0068,100.035,06748EPV9=
2021-10-15,99.9779,100.0059,06748EPV9=
2021-10-18,99.9659,99.9938,06748EPV9=
2021-10-19,99.9499,99.9776,06748EPV9=
2021-10-20,99.954,99.9816,06748EPV9=
2021-10-21,99.9149,99.9421,06748EPV9=
2021-10-22,99.917,99.944,06748EPV9=
2021-10-25,99.9394,99.9663,06748EPV9=
2021-10-26,99.9204,99.9472,06748EPV9=
2021-10-27,99.9157,99.9423,06748EPV9=
2021-10-28,99.9252,99.9516,06748EPV9=
2021-10-29,99.9424,99.9686,06748EPV9=
2021-11-01,99.9408,99.9669,06748EPV9=
2021-11-02,99.9691,99.9951,06748EPV9=
2021-11-03,99.9559,99.9817,06748EPV9=
2021-11-04,99.9793,100.0047,06748EPV9=
2021-11-05,99.9843,100.0096,06748EPV9=
2021-11-08,99.9727,99.9978,06748EPV9=
2021-11-09,100.0049,100.0298,06748EPV9=
2021-11-10,99.9368,99.9612,06748EPV9=
2021-11-11,99.9283,99.9527,06748EPV9=
2021-11-12,99.9412,99.9655,06748EPV9=
2021-11-15,99.917,99.9411,06748EPV9=
2021-11-16,99.9171,99.9411,06748EPV9=
2021-11-17,99.9266,99.9505,06748EPV9=
2021-11-18,99.9206,99.9441,06748EPV9=
2021-11-19,99.9143,99.9376,06748EPV9=
2021-11-22,99.8284,99.8515,06748EPV9=
2021-11-23,99.8598,99.8827,06748EPV9=
2021-11-24,99.8573,99.8798,06748EPV9=
2021-11-25,99.8484,99.8709,06748EPV9=
2021-11-26,99.9158,99.9382,06748EPV9=
2021-11-29,99.9269,99.9491,06748EPV9=
2021-11-30,99.8686,99.8907,06748EPV9=
2021-12-01,99.8664,99.8883,06748EPV9=
2021-12-02,99.8663,99.8878,06748EPV9=
2021-12-03,99.8682,99.8896,06748EPV9=
2021-12-06,99.8503,99.8715,06748EPV9=
2021-12-07,99.8563,99.8774,06748EPV9=
2021-12-08,99.8453,99.8662,06748EPV9=
2021-12-09,99.8303,99.8508,06748EPV9=
