Date,BID,ASK,RIC
2022-11-15,98.7382,98.8297,06748XZU8=
2022-11-16,98.6987,98.79,06748XZU8=
2022-11-17,98.5437,98.6345,06748XZU8=
2022-11-18,98.4329,98.5235,06748XZU8=
2022-11-21,98.3812,98.4716,06748XZU8=
2022-11-22,98.413,98.5032,06748XZU8=
2022-11-23,98.5026,98.5925,06748XZU8=
2022-11-24,98.5561,98.6461,06748XZU8=
2022-11-25,98.5019,98.5917,06748XZU8=
2022-11-28,98.535,98.6247,06748XZU8=
2022-11-29,98.4961,98.5857,06748XZU8=
2022-11-30,98.6774,98.7671,06748XZU8=
2022-12-01,98.8196,98.9091,06748XZU8=
2022-12-02,98.7596,98.8489,06748XZU8=
2022-12-05,98.5933,98.6823,06748XZU8=
2022-12-06,98.652,98.7409,06748XZU8=
2022-12-07,98.7898,98.8788,06748XZU8=
2022-12-08,98.7328,98.8213,06748XZU8=
2022-12-09,98.6966,98.785,06748XZU8=
2022-12-12,98.6412,98.7294,06748XZU8=
2022-12-13,98.8755,98.9638,06748XZU8=
2022-12-14,98.875,98.9632,06748XZU8=
2022-12-15,98.8453,98.9331,06748XZU8=
2022-12-16,98.9277,99.0155,06748XZU8=
2022-12-19,98.8278,98.9154,06748XZU8=
2022-12-20,98.8368,98.9242,06748XZU8=
2022-12-21,98.9031,98.9905,06748XZU8=
2022-12-22,98.818,98.9048,06748XZU8=
2022-12-23,98.7583,98.8449,06748XZU8=
2022-12-27,98.6754,98.7618,06748XZU8=
2022-12-28,98.6801,98.7664,06748XZU8=
2022-12-29,98.6892,98.7752,06748XZU8=
2022-12-30,98.6104,98.6961,06748XZU8=
2023-01-02,98.6244,98.7102,06748XZU8=
2023-01-03,98.6627,98.7484,06748XZU8=
2023-01-04,98.711,98.7966,06748XZU8=
2023-01-05,98.5561,98.6412,06748XZU8=
2023-01-06,98.8066,98.8918,06748XZU8=
2023-01-09,98.8613,98.9465,06748XZU8=
2023-01-10,98.9476,99.0328,06748XZU8=
2023-01-11,98.9671,99.0522,06748XZU8=
2023-01-12,99.0584,99.1431,06748XZU8=
2023-01-13,98.999,99.0835,06748XZU8=
2023-01-16,98.9727,99.0572,06748XZU8=
2023-01-17,99.0068,99.0912,06748XZU8=
2023-01-18,99.1271,99.2115,06748XZU8=
2023-01-19,99.0909,99.1749,06748XZU8=
2023-01-20,99.0592,99.143,06748XZU8=
2023-01-23,98.9947,99.0783,06748XZU8=
2023-01-24,99.0337,99.1173,06748XZU8=
2023-01-25,99.0501,99.1335,06748XZU8=
2023-01-26,99.0025,99.0855,06748XZU8=
2023-01-27,98.9986,99.0816,06748XZU8=
2023-01-30,98.9398,99.0226,06748XZU8=
2023-01-31,99.0039,99.0867,06748XZU8=
2023-02-01,99.0835,99.1663,06748XZU8=
2023-02-02,99.0967,99.1791,06748XZU8=
2023-02-03,98.8774,98.9594,06748XZU8=
2023-02-06,98.9216,99.0036,06748XZU8=
2023-02-07,98.948,99.0299,06748XZU8=
2023-02-08,98.9878,99.0696,06748XZU8=
2023-02-09,98.9389,99.0203,06748XZU8=
2023-02-10,98.9018,98.983,06748XZU8=
2023-02-13,98.8876,98.9687,06748XZU8=
2023-02-14,98.7782,98.859,06748XZU8=
2023-02-15,98.7789,98.8596,06748XZU8=
2023-02-16,98.8971,98.9774,06748XZU8=
2023-02-17,98.92,99.0002,06748XZU8=
2023-02-20,99.0449,99.1253,06748XZU8=
2023-02-21,98.9613,99.0415,06748XZU8=
2023-02-22,98.9529,99.0329,06748XZU8=
2023-02-23,98.9611,99.0408,06748XZU8=
2023-02-24,99.2415,99.3211,06748XZU8=
2023-02-27,99.2417,99.3212,06748XZU8=
2023-02-28,99.2189,99.2982,06748XZU8=
2023-03-01,99.1686,99.2477,06748XZU8=
2023-03-02,99.1781,99.2569,06748XZU8=
2023-03-03,99.2036,99.2823,06748XZU8=
2023-03-06,99.1662,99.2447,06748XZU8=
2023-03-07,98.967,99.0452,06748XZU8=
2023-03-08,98.9016,98.9796,06748XZU8=
2023-03-09,99.1272,99.2051,06748XZU8=
2023-03-10,99.3122,99.3901,06748XZU8=
2023-03-13,99.8191,99.8974,06748XZU8=
2023-03-14,99.6665,99.7446,06748XZU8=
2023-03-15,99.8027,99.8808,06748XZU8=
2023-03-16,99.603,99.6805,06748XZU8=
2023-03-17,99.7801,99.8576,06748XZU8=
2023-03-20,99.675,99.7523,06748XZU8=
2023-03-21,99.5094,99.5864,06748XZU8=
2023-03-22,99.573,99.65,06748XZU8=
2023-03-23,99.6831,99.7598,06748XZU8=
2023-03-24,99.5521,99.6285,06748XZU8=
2023-03-27,99.3749,99.451,06748XZU8=
2023-03-28,99.3125,99.3884,06748XZU8=
2023-03-29,99.2924,99.3683,06748XZU8=
2023-03-30,99.2733,99.3488,06748XZU8=
2023-03-31,99.2996,99.375,06748XZU8=
2023-04-03,99.3415,99.4168,06748XZU8=
2023-04-04,99.4548,99.5301,06748XZU8=
2023-04-05,99.4727,99.5475,06748XZU8=
2023-04-06,99.4442,99.5189,06748XZU8=
2023-04-07,99.3182,99.3928,06748XZU8=
2023-04-10,99.2823,99.3567,06748XZU8=
2023-04-11,99.2709,99.3452,06748XZU8=
2023-04-12,99.3036,99.3778,06748XZU8=
2023-04-13,99.2998,99.3736,06748XZU8=
2023-04-14,99.1797,99.2532,06748XZU8=
2023-04-17,99.1027,99.176,06748XZU8=
2023-04-18,99.2377,99.311,06748XZU8=
2023-04-19,99.192,99.2652,06748XZU8=
2023-04-20,99.2723,99.3452,06748XZU8=
2023-04-21,99.2513,99.324,06748XZU8=
2023-04-24,99.2779,99.3505,06748XZU8=
2023-04-25,99.4009,99.4735,06748XZU8=
2023-04-26,99.3549,99.4274,06748XZU8=
2023-04-27,99.263,99.335,06748XZU8=
2023-04-28,99.276,99.3479,06748XZU8=
2023-05-01,99.1682,99.2398,06748XZU8=
2023-05-02,99.296,99.3676,06748XZU8=
2023-05-03,99.353,99.4246,06748XZU8=
2023-05-04,99.4118,99.483,06748XZU8=
