Date,BID,ASK,RIC
2022-12-20,98.9059,98.9557,06749NBX9=
2022-12-21,98.9423,98.992,06749NBX9=
2022-12-22,98.9035,98.9527,06749NBX9=
2022-12-23,98.8804,98.9294,06749NBX9=
2022-12-27,98.8415,98.8904,06749NBX9=
2022-12-28,98.8379,98.8867,06749NBX9=
2022-12-29,98.8559,98.9043,06749NBX9=
2022-12-30,98.8361,98.8844,06749NBX9=
2023-01-02,98.8269,98.8751,06749NBX9=
2023-01-03,98.8414,98.8895,06749NBX9=
2023-01-04,98.8739,98.9219,06749NBX9=
2023-01-05,98.7991,98.8467,06749NBX9=
2023-01-06,98.8611,98.9086,06749NBX9=
2023-01-09,98.882,98.9294,06749NBX9=
2023-01-10,98.8562,98.9035,06749NBX9=
2023-01-11,98.8578,98.9049,06749NBX9=
2023-01-12,98.9251,98.9718,06749NBX9=
2023-01-13,98.9132,98.9597,06749NBX9=
2023-01-16,98.9031,98.9496,06749NBX9=
2023-01-17,98.9094,98.9558,06749NBX9=
2023-01-18,98.9647,99.011,06749NBX9=
2023-01-19,98.9464,98.9923,06749NBX9=
2023-01-20,98.9391,98.9849,06749NBX9=
2023-01-23,99.0526,99.0983,06749NBX9=
2023-01-24,99.0802,99.1258,06749NBX9=
2023-01-25,99.0665,99.112,06749NBX9=
2023-01-26,99.0573,99.1024,06749NBX9=
2023-01-27,99.0621,99.1072,06749NBX9=
2023-01-30,99.0555,99.1005,06749NBX9=
2023-01-31,99.0734,99.1183,06749NBX9=
2023-02-01,99.0952,99.1399,06749NBX9=
2023-02-02,99.1111,99.1555,06749NBX9=
2023-02-03,99.0028,99.047,06749NBX9=
2023-02-06,99.0813,99.1254,06749NBX9=
2023-02-07,99.0829,99.1269,06749NBX9=
2023-02-08,99.0975,99.1413,06749NBX9=
2023-02-09,99.096,99.1395,06749NBX9=
2023-02-10,99.0903,99.1336,06749NBX9=
2023-02-13,99.0721,99.1153,06749NBX9=
2023-02-14,99.0131,99.0561,06749NBX9=
2023-02-15,99.0263,99.0692,06749NBX9=
2023-02-16,99.1559,99.1984,06749NBX9=
2023-02-17,99.1521,99.1944,06749NBX9=
2023-02-20,99.2324,99.2748,06749NBX9=
2023-02-21,99.2138,99.256,06749NBX9=
2023-02-22,99.1598,99.2019,06749NBX9=
2023-02-23,99.1947,99.2364,06749NBX9=
2023-02-24,99.2694,99.3108,06749NBX9=
2023-02-27,99.2607,99.3019,06749NBX9=
2023-02-28,99.2323,99.2734,06749NBX9=
2023-03-01,99.2225,99.2635,06749NBX9=
2023-03-02,99.2534,99.294,06749NBX9=
2023-03-03,99.2636,99.3041,06749NBX9=
2023-03-06,99.2399,99.2802,06749NBX9=
2023-03-07,99.1075,99.1476,06749NBX9=
2023-03-08,99.0944,99.1344,06749NBX9=
2023-03-09,99.1756,99.2152,06749NBX9=
2023-03-10,99.2549,99.2945,06749NBX9=
2023-03-13,99.6428,99.6825,06749NBX9=
2023-03-14,99.5136,99.5531,06749NBX9=
2023-03-15,99.6318,99.6712,06749NBX9=
2023-03-16,99.4461,99.485,06749NBX9=
2023-03-17,99.6076,99.6465,06749NBX9=
2023-03-20,99.4911,99.5298,06749NBX9=
2023-03-21,99.3303,99.3687,06749NBX9=
2023-03-22,99.3626,99.4009,06749NBX9=
2023-03-23,99.4866,99.5246,06749NBX9=
2023-03-24,99.2773,99.315,06749NBX9=
2023-03-27,99.1496,99.1871,06749NBX9=
2023-03-28,99.0808,99.1182,06749NBX9=
2023-03-29,99.0695,99.1069,06749NBX9=
2023-03-30,99.1027,99.1397,06749NBX9=
2023-03-31,99.1146,99.1515,06749NBX9=
2023-04-03,99.1494,99.1861,06749NBX9=
2023-04-04,99.2009,99.2375,06749NBX9=
2023-04-05,99.2075,99.2436,06749NBX9=
2023-04-06,99.1879,99.2239,06749NBX9=
2023-04-07,99.1012,99.1371,06749NBX9=
2023-04-10,99.0799,99.1157,06749NBX9=
2023-04-11,99.0675,99.1031,06749NBX9=
2023-04-12,99.087,99.1225,06749NBX9=
2023-04-13,99.1083,99.1434,06749NBX9=
2023-04-14,99.0465,99.0815,06749NBX9=
2023-04-17,99.0388,99.0736,06749NBX9=
2023-04-18,99.0788,99.1135,06749NBX9=
2023-04-19,99.0636,99.0982,06749NBX9=
2023-04-20,99.1289,99.1631,06749NBX9=
2023-04-21,99.1287,99.1628,06749NBX9=
2023-04-24,99.1541,99.1881,06749NBX9=
2023-04-25,99.1903,99.2242,06749NBX9=
2023-04-26,99.1567,99.1904,06749NBX9=
2023-04-27,99.1213,99.1546,06749NBX9=
2023-04-28,99.1545,99.1877,06749NBX9=
2023-05-01,99.1029,99.1359,06749NBX9=
2023-05-02,99.1479,99.1808,06749NBX9=
2023-05-03,99.1596,99.1924,06749NBX9=
2023-05-04,99.1726,99.205,06749NBX9=
2023-05-05,99.1239,99.1562,06749NBX9=
2023-05-08,99.1038,99.1359,06749NBX9=
2023-05-09,99.0603,99.0923,06749NBX9=
2023-05-10,99.0983,99.1301,06749NBX9=
2023-05-11,99.2169,99.2484,06749NBX9=
2023-05-12,99.1998,99.2312,06749NBX9=
2023-05-15,99.1969,99.2281,06749NBX9=
2023-05-16,99.2195,99.2506,06749NBX9=
2023-05-17,99.1778,99.2088,06749NBX9=
2023-05-18,99.1616,99.1922,06749NBX9=
2023-05-19,99.1915,99.2219,06749NBX9=
2023-05-22,99.1854,99.2157,06749NBX9=
2023-05-23,99.1413,99.1714,06749NBX9=
2023-05-24,99.1058,99.1358,06749NBX9=
2023-05-25,99.1173,99.1468,06749NBX9=
2023-05-26,99.1297,99.1592,06749NBX9=
2023-05-29,99.1333,99.1628,06749NBX9=
2023-05-30,99.1482,99.1775,06749NBX9=
2023-05-31,99.1314,99.1606,06749NBX9=
2023-06-01,99.1579,99.1867,06749NBX9=
2023-06-02,99.1229,99.1516,06749NBX9=
2023-06-05,99.1494,99.178,06749NBX9=
2023-06-06,99.162,99.1904,06749NBX9=
2023-06-07,99.1573,99.1856,06749NBX9=
2023-06-08,99.2078,99.2357,06749NBX9=
2023-06-09,99.2111,99.2389,06749NBX9=
2023-06-12,99.2163,99.244,06749NBX9=
2023-06-13,99.2078,99.2353,06749NBX9=
2023-06-14,99.1963,99.2237,06749NBX9=
2023-06-15,99.2494,99.2763,06749NBX9=
2023-06-16,99.2425,99.2692,06749NBX9=
2023-06-20,99.2401,99.2667,06749NBX9=
2023-06-21,99.2159,99.2424,06749NBX9=
2023-06-22,99.2216,99.2477,06749NBX9=
2023-06-23,99.2287,99.2546,06749NBX9=
2023-06-26,99.2294,99.2552,06749NBX9=
2023-06-27,99.2143,99.24,06749NBX9=
2023-06-28,99.2103,99.2358,06749NBX9=
2023-06-29,99.2063,99.2314,06749NBX9=
2023-06-30,99.2278,99.2527,06749NBX9=
2023-07-03,99.2214,99.2462,06749NBX9=
2023-07-04,99.2133,99.2381,06749NBX9=
2023-07-05,99.2225,99.2471,06749NBX9=
2023-07-07,99.232,99.2561,06749NBX9=
2023-07-10,99.2744,99.2984,06749NBX9=
2023-07-11,99.2683,99.2922,06749NBX9=
2023-07-12,99.2883,99.312,06749NBX9=
2023-07-13,99.3075,99.3309,06749NBX9=
2023-07-14,99.3019,99.3344,06749NBX9=
2023-07-17,99.3104,99.3427,06749NBX9=
2023-07-18,99.3085,99.3407,06749NBX9=
2023-07-19,99.3134,99.3454,06749NBX9=
2023-07-20,99.3224,99.3538,06749NBX9=
2023-07-21,99.3246,99.3559,06749NBX9=
