Date,BID,ASK,RIC
2023-01-31,99.767,99.8142,06749NHE5=
2023-02-01,99.7735,99.8206,06749NHE5=
2023-02-02,99.7914,99.8381,06749NHE5=
2023-02-03,99.7012,99.7477,06749NHE5=
2023-02-06,99.6242,99.6706,06749NHE5=
2023-02-07,99.627,99.6732,06749NHE5=
2023-02-08,99.6393,99.6854,06749NHE5=
2023-02-09,99.6297,99.6754,06749NHE5=
2023-02-10,99.6221,99.6677,06749NHE5=
2023-02-13,99.6039,99.6493,06749NHE5=
2023-02-14,99.5495,99.5948,06749NHE5=
2023-02-15,99.5599,99.6051,06749NHE5=
2023-02-16,99.5467,99.5913,06749NHE5=
2023-02-17,99.5424,99.5869,06749NHE5=
2023-02-20,99.5387,99.5832,06749NHE5=
2023-02-21,99.5179,99.5622,06749NHE5=
2023-02-22,99.4691,99.5133,06749NHE5=
2023-02-23,99.4983,99.5421,06749NHE5=
2023-02-24,99.49,99.5334,06749NHE5=
2023-02-27,99.4803,99.5236,06749NHE5=
2023-02-28,99.4618,99.5049,06749NHE5=
2023-03-01,99.4486,99.4916,06749NHE5=
2023-03-02,99.4734,99.516,06749NHE5=
2023-03-03,99.4825,99.525,06749NHE5=
2023-03-06,99.4581,99.5005,06749NHE5=
2023-03-07,98.7899,98.8317,06749NHE5=
2023-03-08,98.7737,98.8154,06749NHE5=
2023-03-09,98.8634,98.9047,06749NHE5=
2023-03-10,98.9621,99.0034,06749NHE5=
2023-03-13,99.4164,99.4578,06749NHE5=
2023-03-14,99.2621,99.3033,06749NHE5=
2023-03-15,99.3955,99.4367,06749NHE5=
2023-03-16,99.1747,99.2153,06749NHE5=
2023-03-17,99.3465,99.3871,06749NHE5=
2023-03-20,99.2292,99.2696,06749NHE5=
2023-03-21,99.0544,99.0946,06749NHE5=
2023-03-22,99.0954,99.1355,06749NHE5=
2023-03-23,99.221,99.2607,06749NHE5=
2023-03-24,99.0823,99.1218,06749NHE5=
2023-03-27,98.9356,98.9749,06749NHE5=
2023-03-28,98.8747,98.9138,06749NHE5=
2023-03-29,98.862,98.9011,06749NHE5=
2023-03-30,98.8856,98.9244,06749NHE5=
2023-03-31,98.8953,98.9339,06749NHE5=
2023-04-03,98.9301,98.9686,06749NHE5=
2023-04-04,98.9946,99.033,06749NHE5=
2023-04-05,99.0065,99.0444,06749NHE5=
2023-04-06,98.9856,99.0234,06749NHE5=
2023-04-07,98.8915,98.9292,06749NHE5=
2023-04-10,98.8678,98.9054,06749NHE5=
2023-04-11,98.857,98.8944,06749NHE5=
2023-04-12,98.8779,98.9152,06749NHE5=
2023-04-13,98.8972,98.9341,06749NHE5=
2023-04-14,98.8293,98.8661,06749NHE5=
2023-04-17,98.8165,98.8531,06749NHE5=
2023-04-18,98.8658,98.9023,06749NHE5=
2023-04-19,98.8472,98.8836,06749NHE5=
2023-04-20,98.9168,98.9528,06749NHE5=
2023-04-21,98.9152,98.9511,06749NHE5=
2023-04-24,98.9421,98.9779,06749NHE5=
2023-04-25,98.9829,99.0186,06749NHE5=
2023-04-26,98.9454,98.9809,06749NHE5=
2023-04-27,98.9074,98.9425,06749NHE5=
2023-04-28,98.9439,98.9789,06749NHE5=
2023-05-01,98.889,98.9238,06749NHE5=
2023-05-02,98.9369,98.9716,06749NHE5=
2023-05-03,98.9505,98.9851,06749NHE5=
2023-05-04,98.9671,99.0013,06749NHE5=
2023-05-05,98.9147,98.9488,06749NHE5=
2023-05-08,98.8898,98.9237,06749NHE5=
2023-05-09,98.8441,98.8779,06749NHE5=
2023-05-10,98.8859,98.9196,06749NHE5=
2023-05-11,99.0147,99.048,06749NHE5=
2023-05-12,99.0069,99.0401,06749NHE5=
2023-05-15,98.9955,99.0286,06749NHE5=
2023-05-16,99.0152,99.0481,06749NHE5=
2023-05-17,98.96,98.9928,06749NHE5=
2023-05-18,98.956,98.9884,06749NHE5=
2023-05-19,98.9921,99.0244,06749NHE5=
2023-05-22,98.9826,99.0147,06749NHE5=
2023-05-23,98.9323,98.9643,06749NHE5=
2023-05-24,98.8942,98.926,06749NHE5=
2023-05-25,98.9097,98.941,06749NHE5=
2023-05-26,98.9224,98.9537,06749NHE5=
2023-05-29,98.9266,98.9579,06749NHE5=
2023-05-30,98.9403,98.9715,06749NHE5=
2023-05-31,98.9216,98.9527,06749NHE5=
2023-06-01,98.9511,98.9818,06749NHE5=
2023-06-02,98.9156,98.9461,06749NHE5=
2023-06-05,98.9469,98.9773,06749NHE5=
2023-06-06,98.9568,98.9871,06749NHE5=
2023-06-07,98.9628,98.9929,06749NHE5=
2023-06-08,99.0108,99.0406,06749NHE5=
2023-06-09,99.0144,99.044,06749NHE5=
2023-06-12,99.0185,99.048,06749NHE5=
2023-06-13,99.006,99.0354,06749NHE5=
2023-06-14,98.9884,99.0176,06749NHE5=
2023-06-15,99.0516,99.0803,06749NHE5=
2023-06-16,99.0449,99.0735,06749NHE5=
2023-06-20,99.0421,99.0706,06749NHE5=
2023-06-21,99.0169,99.0452,06749NHE5=
2023-06-22,99.0264,99.0543,06749NHE5=
2023-06-23,99.0367,99.0645,06749NHE5=
