Date,BID,ASK,RIC
2020-10-26,100.433,100.678,13607GRR7=
2020-10-27,100.282,100.526,13607GRR7=
2020-10-28,100.379,100.623,13607GRR7=
2020-10-29,100.17,100.413,13607GRR7=
2020-10-30,99.971,100.213,13607GRR7=
2020-11-02,100.0,100.242,13607GRR7=
2020-11-03,99.981,100.223,13607GRR7=
2020-11-04,100.281,100.524,13607GRR7=
2020-11-05,100.684,100.927,13607GRR7=
2020-11-06,100.528,100.771,13607GRR7=
2020-11-09,100.348,100.59,13607GRR7=
2020-11-10,100.222,100.464,13607GRR7=
2020-11-12,100.371,100.613,13607GRR7=
2020-11-13,99.947,100.188,13607GRR7=
2020-11-16,99.961,100.202,13607GRR7=
2020-11-17,100.38,100.622,13607GRR7=
2020-11-18,100.312,100.554,13607GRR7=
2020-11-19,100.669,100.91,13607GRR7=
2020-11-20,100.562,100.803,13607GRR7=
2020-11-23,100.49,100.731,13607GRR7=
2020-11-24,100.431,100.672,13607GRR7=
2020-11-25,100.469,100.709,13607GRR7=
2020-11-26,100.505,100.745,13607GRR7=
2020-11-27,100.579,100.819,13607GRR7=
2020-11-30,100.603,100.843,13607GRR7=
2020-12-01,100.339,100.578,13607GRR7=
2020-12-02,100.353,100.592,13607GRR7=
2020-12-03,100.448,100.687,13607GRR7=
2020-12-04,100.319,100.558,13607GRR7=
2020-12-07,100.471,100.71,13607GRR7=
2020-12-08,100.18,100.419,13607GRR7=
2020-12-09,100.347,100.585,13607GRR7=
2020-12-10,100.451,100.689,13607GRR7=
2020-12-11,100.551,100.789,13607GRR7=
2020-12-14,100.56,100.798,13607GRR7=
2020-12-15,100.536,100.774,13607GRR7=
2020-12-16,100.526,100.764,13607GRR7=
2020-12-17,100.482,100.72,13607GRR7=
2020-12-18,100.468,100.705,13607GRR7=
2020-12-21,100.468,100.705,13607GRR7=
2020-12-22,100.543,100.78,13607GRR7=
2020-12-23,100.698,100.935,13607GRR7=
2020-12-24,100.731,100.968,13607GRR7=
2020-12-28,100.768,101.005,13607GRR7=
2020-12-29,100.652,100.889,13607GRR7=
2020-12-30,100.705,100.942,13607GRR7=
2020-12-31,100.747,100.984,13607GRR7=
2021-01-04,100.974,101.21,13607GRR7=
2021-01-05,101.011,101.248,13607GRR7=
2021-01-06,100.765,101.001,13607GRR7=
2021-01-07,100.618,100.853,13607GRR7=
2021-01-08,100.481,100.716,13607GRR7=
2021-01-11,100.392,100.627,13607GRR7=
2021-01-12,100.429,100.664,13607GRR7=
2021-01-13,100.63,100.865,13607GRR7=
2021-01-14,100.587,100.821,13607GRR7=
2021-01-15,100.736,100.971,13607GRR7=
2021-01-18,100.722,100.957,13607GRR7=
2021-01-19,100.712,100.947,13607GRR7=
2021-01-20,100.88,101.115,13607GRR7=
2021-01-21,100.851,101.085,13607GRR7=
2021-01-22,100.916,101.15,13607GRR7=
2021-01-25,100.673,100.906,13607GRR7=
2021-01-26,100.654,100.887,13607GRR7=
2021-01-27,100.924,101.157,13607GRR7=
