Date,BID,ASK,RIC
2022-08-02,99.411,99.55,13607H6M9=
2022-08-03,99.731,99.871,13607H6M9=
2022-08-04,99.726,99.866,13607H6M9=
2022-08-05,99.288,99.427,13607H6M9=
2022-08-08,99.327,99.466,13607H6M9=
2022-08-09,99.085,99.223,13607H6M9=
2022-08-10,99.314,99.453,13607H6M9=
2022-08-11,99.088,99.225,13607H6M9=
2022-08-12,99.36,99.498,13607H6M9=
2022-08-15,99.813,99.952,13607H6M9=
2022-08-16,99.571,99.708,13607H6M9=
2022-08-17,99.571,99.709,13607H6M9=
2022-08-18,99.701,99.838,13607H6M9=
2022-08-19,99.328,99.465,13607H6M9=
2022-08-22,99.067,99.203,13607H6M9=
2022-08-23,99.234,99.37,13607H6M9=
2022-08-24,98.856,98.992,13607H6M9=
2022-08-25,99.03,99.165,13607H6M9=
2022-08-26,99.025,99.161,13607H6M9=
2022-08-29,98.968,99.104,13607H6M9=
2022-08-30,98.796,98.931,13607H6M9=
2022-08-31,98.714,98.849,13607H6M9=
2022-09-01,98.554,98.688,13607H6M9=
2022-09-02,98.775,98.91,13607H6M9=
2022-09-05,98.646,98.78,13607H6M9=
2022-09-06,98.49,98.624,13607H6M9=
2022-09-07,98.719,98.852,13607H6M9=
2022-09-08,98.455,98.588,13607H6M9=
2022-09-09,98.531,98.664,13607H6M9=
2022-09-12,98.447,98.58,13607H6M9=
2022-09-13,98.065,98.197,13607H6M9=
2022-09-14,98.011,98.143,13607H6M9=
2022-09-15,97.867,97.998,13607H6M9=
2022-09-16,97.706,97.837,13607H6M9=
2022-09-19,97.747,97.878,13607H6M9=
2022-09-20,97.726,97.856,13607H6M9=
2022-09-21,97.704,97.835,13607H6M9=
2022-09-22,97.212,97.341,13607H6M9=
2022-09-23,96.828,96.956,13607H6M9=
2022-09-26,96.712,96.841,13607H6M9=
2022-09-27,96.472,96.6,13607H6M9=
2022-09-28,96.752,96.88,13607H6M9=
2022-09-29,96.436,96.564,13607H6M9=
2022-09-30,96.587,96.715,13607H6M9=
2022-10-03,96.978,97.106,13607H6M9=
2022-10-04,97.257,97.386,13607H6M9=
2022-10-05,97.078,97.206,13607H6M9=
2022-10-06,96.766,96.893,13607H6M9=
2022-10-07,96.425,96.551,13607H6M9=
2022-10-10,96.396,96.522,13607H6M9=
2022-10-11,96.552,96.678,13607H6M9=
2022-10-12,96.293,96.419,13607H6M9=
2022-10-13,96.112,96.238,13607H6M9=
2022-10-14,96.039,96.164,13607H6M9=
2022-10-17,96.167,96.292,13607H6M9=
2022-10-18,96.148,96.273,13607H6M9=
2022-10-19,95.831,95.955,13607H6M9=
2022-10-20,95.498,95.622,13607H6M9=
2022-10-21,95.796,95.92,13607H6M9=
2022-10-24,95.721,95.845,13607H6M9=
2022-10-25,95.982,96.106,13607H6M9=
2022-10-26,96.137,96.261,13607H6M9=
2022-10-27,96.497,96.621,13607H6M9=
2022-10-28,96.123,96.246,13607H6M9=
2022-10-31,96.018,96.141,13607H6M9=
2022-11-01,95.938,96.061,13607H6M9=
2022-11-02,95.687,95.809,13607H6M9=
2022-11-03,95.601,95.723,13607H6M9=
2022-11-04,95.591,95.713,13607H6M9=
2022-11-07,95.6,95.721,13607H6M9=
2022-11-08,95.789,95.911,13607H6M9=
2022-11-09,96.065,96.187,13607H6M9=
2022-11-10,96.829,96.952,13607H6M9=
2022-11-11,96.74,96.863,13607H6M9=
2022-11-14,96.842,96.965,13607H6M9=
2022-11-15,97.022,97.145,13607H6M9=
2022-11-16,97.118,97.242,13607H6M9=
2022-11-17,96.887,97.009,13607H6M9=
2022-11-18,96.609,96.731,13607H6M9=
2022-11-21,96.746,96.868,13607H6M9=
2022-11-22,96.714,96.835,13607H6M9=
2022-11-23,96.961,97.083,13607H6M9=
2022-11-24,97.078,97.199,13607H6M9=
2022-11-25,97.023,97.144,13607H6M9=
2022-11-28,97.174,97.295,13607H6M9=
2022-11-29,97.002,97.123,13607H6M9=
2022-11-30,97.25,97.371,13607H6M9=
2022-12-01,97.498,97.62,13607H6M9=
2022-12-02,97.841,97.963,13607H6M9=
2022-12-05,97.53,97.651,13607H6M9=
2022-12-06,97.539,97.661,13607H6M9=
2022-12-07,97.828,97.95,13607H6M9=
2022-12-08,97.757,97.878,13607H6M9=
2022-12-09,97.781,97.902,13607H6M9=
2022-12-12,97.639,97.759,13607H6M9=
2022-12-13,98.142,98.263,13607H6M9=
2022-12-14,97.991,98.112,13607H6M9=
2022-12-15,97.918,98.038,13607H6M9=
2022-12-16,97.989,98.11,13607H6M9=
2022-12-19,97.763,97.883,13607H6M9=
2022-12-20,97.778,97.898,13607H6M9=
2022-12-21,97.967,98.087,13607H6M9=
2022-12-22,97.923,98.042,13607H6M9=
2022-12-23,97.875,97.994,13607H6M9=
2022-12-27,97.767,97.886,13607H6M9=
2022-12-28,97.765,97.884,13607H6M9=
2022-12-29,97.639,97.758,13607H6M9=
2022-12-30,97.665,97.784,13607H6M9=
2023-01-02,97.746,97.865,13607H6M9=
2023-01-03,97.836,97.954,13607H6M9=
2023-01-04,97.751,97.869,13607H6M9=
2023-01-05,97.194,97.311,13607H6M9=
2023-01-06,97.591,97.708,13607H6M9=
2023-01-09,97.892,98.01,13607H6M9=
2023-01-10,97.791,97.908,13607H6M9=
2023-01-11,97.805,97.922,13607H6M9=
2023-01-12,97.851,97.968,13607H6M9=
2023-01-13,97.858,97.975,13607H6M9=
2023-01-16,97.8,97.917,13607H6M9=
2023-01-17,97.886,98.003,13607H6M9=
2023-01-18,98.305,98.422,13607H6M9=
2023-01-19,98.259,98.376,13607H6M9=
2023-01-20,98.079,98.196,13607H6M9=
2023-01-23,97.972,98.088,13607H6M9=
2023-01-24,98.135,98.251,13607H6M9=
2023-01-25,98.106,98.223,13607H6M9=
2023-01-26,98.129,98.245,13607H6M9=
2023-01-27,98.018,98.134,13607H6M9=
2023-01-30,98.075,98.191,13607H6M9=
2023-01-31,98.05,98.165,13607H6M9=
2023-02-01,98.385,98.5,13607H6M9=
2023-02-02,98.604,98.72,13607H6M9=
2023-02-03,98.288,98.403,13607H6M9=
2023-02-06,97.684,97.799,13607H6M9=
2023-02-07,97.732,97.846,13607H6M9=
2023-02-08,97.562,97.675,13607H6M9=
2023-02-09,97.796,97.91,13607H6M9=
2023-02-10,97.596,97.71,13607H6M9=
2023-02-13,97.432,97.545,13607H6M9=
2023-02-14,97.364,97.477,13607H6M9=
2023-02-15,97.241,97.353,13607H6M9=
2023-02-16,97.23,97.342,13607H6M9=
2023-02-17,97.273,97.385,13607H6M9=
2023-02-20,97.179,97.29,13607H6M9=
2023-02-21,97.102,97.213,13607H6M9=
2023-02-22,97.096,97.207,13607H6M9=
2023-02-23,97.029,97.14,13607H6M9=
2023-02-24,96.773,96.883,13607H6M9=
2023-02-27,96.772,96.883,13607H6M9=
2023-02-28,96.709,96.819,13607H6M9=
2023-03-01,96.656,96.766,13607H6M9=
2023-03-02,96.554,96.663,13607H6M9=
2023-03-03,96.645,96.755,13607H6M9=
2023-03-06,96.762,96.872,13607H6M9=
2023-03-07,96.459,96.567,13607H6M9=
2023-03-08,96.123,96.231,13607H6M9=
2023-03-09,96.556,96.664,13607H6M9=
2023-03-10,97.028,97.137,13607H6M9=
2023-03-13,97.752,97.862,13607H6M9=
2023-03-14,97.115,97.223,13607H6M9=
2023-03-15,97.039,97.147,13607H6M9=
2023-03-16,96.589,96.696,13607H6M9=
2023-03-17,96.886,96.994,13607H6M9=
2023-03-20,96.755,96.862,13607H6M9=
2023-03-21,96.736,96.843,13607H6M9=
2023-03-22,96.798,96.905,13607H6M9=
2023-03-23,97.268,97.375,13607H6M9=
2023-03-24,97.661,97.769,13607H6M9=
2023-03-27,97.233,97.34,13607H6M9=
2023-03-28,96.935,97.042,13607H6M9=
2023-03-29,97.192,97.299,13607H6M9=
2023-03-30,96.83,96.937,13607H6M9=
2023-03-31,97.114,97.221,13607H6M9=
2023-04-03,97.584,97.692,13607H6M9=
2023-04-04,97.808,97.915,13607H6M9=
2023-04-05,98.192,98.299,13607H6M9=
2023-04-06,97.936,98.043,13607H6M9=
2023-04-07,97.759,97.866,13607H6M9=
2023-04-10,97.473,97.579,13607H6M9=
2023-04-11,97.582,97.688,13607H6M9=
2023-04-12,97.666,97.772,13607H6M9=
2023-04-13,97.893,97.999,13607H6M9=
2023-04-14,97.626,97.731,13607H6M9=
2023-04-17,97.369,97.474,13607H6M9=
2023-04-18,97.529,97.634,13607H6M9=
2023-04-19,97.548,97.654,13607H6M9=
2023-04-20,97.67,97.774,13607H6M9=
2023-04-21,97.747,97.851,13607H6M9=
2023-04-24,97.574,97.678,13607H6M9=
2023-04-25,97.888,97.993,13607H6M9=
2023-04-26,97.826,97.931,13607H6M9=
2023-04-27,97.584,97.688,13607H6M9=
2023-04-28,97.683,97.787,13607H6M9=
2023-05-01,97.491,97.594,13607H6M9=
2023-05-02,97.871,97.975,13607H6M9=
2023-05-03,97.998,98.102,13607H6M9=
2023-05-04,98.043,98.146,13607H6M9=
2023-05-05,97.887,97.99,13607H6M9=
2023-05-08,97.761,97.865,13607H6M9=
2023-05-09,97.62,97.723,13607H6M9=
2023-05-10,97.847,97.95,13607H6M9=
2023-05-11,98.041,98.143,13607H6M9=
2023-05-12,97.764,97.867,13607H6M9=
2023-05-15,97.752,97.854,13607H6M9=
2023-05-16,97.517,97.618,13607H6M9=
2023-05-17,97.376,97.478,13607H6M9=
2023-05-18,97.189,97.29,13607H6M9=
2023-05-19,97.085,97.186,13607H6M9=
2023-05-22,96.985,97.085,13607H6M9=
2023-05-23,96.949,97.049,13607H6M9=
2023-05-24,96.831,96.931,13607H6M9=
2023-05-25,96.681,96.78,13607H6M9=
2023-05-26,96.396,96.495,13607H6M9=
2023-05-29,96.317,96.416,13607H6M9=
2023-05-30,96.82,96.919,13607H6M9=
2023-05-31,96.895,96.994,13607H6M9=
2023-06-01,97.031,97.13,13607H6M9=
2023-06-02,97.015,97.114,13607H6M9=
2023-06-05,96.793,96.892,13607H6M9=
2023-06-06,96.789,96.887,13607H6M9=
2023-06-07,96.771,96.869,13607H6M9=
2023-06-08,96.875,96.973,13607H6M9=
2023-06-09,96.603,96.701,13607H6M9=
