Date,BID,ASK,RIC
2023-01-02,99.8879,99.9393,13607XEA1=
2023-01-03,99.8615,99.9128,13607XEA1=
2023-01-04,99.8928,99.944,13607XEA1=
2023-01-05,99.8073,99.858,13607XEA1=
2023-01-06,99.8699,99.9205,13607XEA1=
2023-01-09,99.889,99.9395,13607XEA1=
2023-01-10,99.8598,99.9102,13607XEA1=
2023-01-11,99.86,99.9102,13607XEA1=
2023-01-12,99.9186,99.9666,13607XEA1=
2023-01-13,99.903,99.9521,13607XEA1=
2023-01-16,99.8923,99.9419,13607XEA1=
2023-01-17,99.8965,99.946,13607XEA1=
2023-01-18,99.9479,99.9934,13607XEA1=
2023-01-19,99.9212,99.9683,13607XEA1=
2023-01-20,99.9108,99.9586,13607XEA1=
2023-01-23,99.8847,99.9334,13607XEA1=
2023-01-24,99.9097,99.9573,13607XEA1=
2023-01-25,99.8935,99.942,13607XEA1=
2023-01-26,99.8772,99.9253,13607XEA1=
2023-01-27,99.8936,99.9417,13607XEA1=
2023-01-30,99.869,99.9169,13607XEA1=
2023-01-31,99.8857,99.9335,13607XEA1=
2023-02-01,99.9057,99.9528,13607XEA1=
2023-02-02,99.9143,99.9604,13607XEA1=
2023-02-03,99.8002,99.8473,13607XEA1=
2023-02-06,99.7126,99.7595,13607XEA1=
2023-02-07,99.7168,99.7636,13607XEA1=
2023-02-08,99.7303,99.777,13607XEA1=
2023-02-09,99.7204,99.7667,13607XEA1=
2023-02-10,99.712,99.7581,13607XEA1=
2023-02-13,99.6913,99.7373,13607XEA1=
2023-02-14,99.6304,99.6762,13607XEA1=
2023-02-15,99.6416,99.6873,13607XEA1=
2023-02-16,99.6269,99.6721,13607XEA1=
2023-02-17,99.6219,99.6669,13607XEA1=
2023-02-20,99.6172,99.6622,13607XEA1=
2023-02-21,99.5951,99.64,13607XEA1=
2023-02-22,99.5432,99.5879,13607XEA1=
2023-02-23,99.5734,99.6178,13607XEA1=
2023-02-24,99.5644,99.6083,13607XEA1=
2023-02-27,99.5037,99.5475,13607XEA1=
2023-02-28,99.4815,99.5251,13607XEA1=
2023-03-01,99.4698,99.5133,13607XEA1=
2023-03-02,99.4962,99.5393,13607XEA1=
2023-03-03,99.5057,99.5487,13607XEA1=
2023-03-06,99.4801,99.523,13607XEA1=
2023-03-07,99.3403,99.3829,13607XEA1=
2023-03-08,99.3228,99.3653,13607XEA1=
2023-03-09,99.4075,99.4497,13607XEA1=
2023-03-10,99.6207,99.6629,13607XEA1=
2023-03-13,100.0364,100.0748,13607XEA1=
2023-03-14,99.8882,99.9303,13607XEA1=
2023-03-15,100.1339,100.1721,13607XEA1=
2023-03-16,99.88,99.9216,13607XEA1=
2023-03-17,100.0811,100.1188,13607XEA1=
2023-03-20,99.9609,99.9984,13607XEA1=
2023-03-21,99.795,99.8361,13607XEA1=
2023-03-22,99.8252,99.8662,13607XEA1=
2023-03-23,99.9457,99.983,13607XEA1=
2023-03-24,99.9924,100.0291,13607XEA1=
2023-03-27,99.8649,99.9053,13607XEA1=
2023-03-28,99.7902,99.8304,13607XEA1=
2023-03-29,99.7915,99.8317,13607XEA1=
2023-03-30,99.8052,99.845,13607XEA1=
2023-03-31,99.8152,99.8549,13607XEA1=
2023-04-03,99.8486,99.8882,13607XEA1=
2023-04-04,99.8983,99.9378,13607XEA1=
2023-04-05,99.8949,99.9339,13607XEA1=
2023-04-06,99.874,99.9128,13607XEA1=
2023-04-07,99.7879,99.8267,13607XEA1=
2023-04-10,99.7649,99.8035,13607XEA1=
2023-04-11,99.7513,99.7898,13607XEA1=
2023-04-12,99.7686,99.8069,13607XEA1=
2023-04-13,99.7809,99.8189,13607XEA1=
2023-04-14,99.7134,99.7512,13607XEA1=
2023-04-17,99.698,99.7356,13607XEA1=
2023-04-18,99.671,99.7085,13607XEA1=
2023-04-19,99.651,99.6883,13607XEA1=
2023-04-20,99.7104,99.7474,13607XEA1=
2023-04-21,99.7063,99.7432,13607XEA1=
2023-04-24,99.7295,99.7662,13607XEA1=
2023-04-25,99.7673,99.8039,13607XEA1=
2023-04-26,99.7301,99.7666,13607XEA1=
2023-04-27,99.6843,99.7203,13607XEA1=
2023-04-28,99.7159,99.7518,13607XEA1=
2023-05-01,99.6602,99.696,13607XEA1=
2023-05-02,99.7053,99.741,13607XEA1=
2023-05-03,99.7153,99.7508,13607XEA1=
2023-05-04,99.7222,99.7573,13607XEA1=
2023-05-05,99.6694,99.7044,13607XEA1=
2023-05-08,99.5212,99.556,13607XEA1=
2023-05-09,99.5165,99.5511,13607XEA1=
2023-05-10,99.5144,99.5489,13607XEA1=
2023-05-11,99.7297,99.7639,13607XEA1=
2023-05-12,99.7066,99.7407,13607XEA1=
2023-05-15,99.5932,99.6271,13607XEA1=
2023-05-16,99.4908,99.5245,13607XEA1=
2023-05-17,99.4915,99.525,13607XEA1=
2023-05-18,99.4532,99.4863,13607XEA1=
2023-05-19,99.3735,99.4064,13607XEA1=
2023-05-22,99.3704,99.4032,13607XEA1=
2023-05-23,99.3774,99.4101,13607XEA1=
2023-05-24,99.4614,99.494,13607XEA1=
2023-05-25,99.3407,99.3727,13607XEA1=
2023-05-26,99.3265,99.3585,13607XEA1=
2023-05-30,99.4702,99.5021,13607XEA1=
2023-05-31,99.4686,99.5004,13607XEA1=
2023-06-01,99.446,99.4774,13607XEA1=
2023-06-02,99.4397,99.471,13607XEA1=
2023-06-05,99.3188,99.3499,13607XEA1=
2023-06-06,99.432,99.463,13607XEA1=
