Date,BID,ASK,RIC
2021-07-20,99.5,100.5,171653AA6=
2021-07-21,99.5,100.5,171653AA6=
2021-07-22,97.5,98.5,171653AA6=
2021-07-23,97.5,98.5,171653AA6=
2021-07-26,97.5,98.5,171653AA6=
2021-07-27,97.5,98.5,171653AA6=
2021-07-28,97.5,98.5,171653AA6=
2021-07-29,97.5,98.5,171653AA6=
2021-07-30,97.5,98.5,171653AA6=
2021-08-02,97.5,98.5,171653AA6=
2021-08-03,97.5,98.5,171653AA6=
2021-08-04,97.5,98.5,171653AA6=
2021-08-05,97.5,98.5,171653AA6=
2021-08-06,97.5,98.5,171653AA6=
2021-08-09,97.5,98.5,171653AA6=
2021-08-10,97.5,98.5,171653AA6=
2021-08-11,97.5,98.5,171653AA6=
2021-08-12,97.5,98.5,171653AA6=
2021-08-13,97.5,98.5,171653AA6=
2021-08-16,97.5,98.5,171653AA6=
2021-08-17,97.5,98.5,171653AA6=
2021-08-18,97.5,98.5,171653AA6=
2021-08-19,97.5,98.5,171653AA6=
2021-08-20,97.5,98.5,171653AA6=
2021-08-23,97.5,98.5,171653AA6=
2021-08-24,97.5,98.5,171653AA6=
2021-08-26,97.5,98.5,171653AA6=
2021-08-27,97.5,98.5,171653AA6=
2021-08-30,97.5,98.5,171653AA6=
2021-08-31,97.5,98.5,171653AA6=
2021-09-01,97.5,98.5,171653AA6=
2021-09-02,97.5,98.5,171653AA6=
2021-09-03,97.5,98.5,171653AA6=
2021-09-06,98.125,99.125,171653AA6=
2021-09-07,98.125,99.125,171653AA6=
2021-09-08,98.125,99.125,171653AA6=
2021-09-09,98.125,99.125,171653AA6=
2021-09-10,98.125,99.125,171653AA6=
2021-09-13,98.125,99.125,171653AA6=
2021-09-14,98.125,99.125,171653AA6=
2021-09-15,98.125,99.125,171653AA6=
2021-09-16,98.125,99.125,171653AA6=
2021-09-17,97.75,98.75,171653AA6=
2021-09-20,97.75,98.75,171653AA6=
2021-09-21,97.75,98.75,171653AA6=
2021-09-22,97.75,98.75,171653AA6=
2021-09-23,97.5,98.5,171653AA6=
2021-09-24,97.5,98.5,171653AA6=
2021-09-27,97.625,98.625,171653AA6=
2021-09-28,97.125,98.125,171653AA6=
2021-09-29,96.875,97.875,171653AA6=
2021-09-30,96.5,97.5,171653AA6=
2021-10-01,96.625,97.625,171653AA6=
2021-10-04,96.75,97.75,171653AA6=
2021-10-05,96.5,97.5,171653AA6=
2021-10-06,96.25,97.25,171653AA6=
2021-10-07,96.5,97.5,171653AA6=
2021-10-08,96.25,97.25,171653AA6=
2021-10-11,96.75,97.75,171653AA6=
2021-10-12,96.375,97.375,171653AA6=
2021-10-13,96.375,97.375,171653AA6=
2021-10-14,96.25,97.25,171653AA6=
2021-10-15,96.375,97.375,171653AA6=
2021-10-18,96.25,97.25,171653AA6=
2021-10-19,96.375,97.375,171653AA6=
2021-10-20,96.125,97.125,171653AA6=
2021-10-21,95.75,96.75,171653AA6=
2021-10-22,95.75,96.75,171653AA6=
2021-10-25,95.75,96.75,171653AA6=
2021-10-26,95.75,96.75,171653AA6=
2021-10-27,95.875,96.875,171653AA6=
2021-10-28,96.0,97.0,171653AA6=
2021-10-29,95.75,96.75,171653AA6=
2021-11-01,95.875,96.875,171653AA6=
2021-11-02,95.75,96.75,171653AA6=
2021-11-03,95.75,96.75,171653AA6=
2021-11-04,95.75,96.75,171653AA6=
2021-11-05,95.875,96.875,171653AA6=
2021-11-08,96.625,97.625,171653AA6=
2021-11-09,96.5,97.5,171653AA6=
2021-11-10,96.5,97.5,171653AA6=
2021-11-11,96.5,97.5,171653AA6=
2021-11-12,96.5,97.5,171653AA6=
2021-11-15,96.375,97.375,171653AA6=
2021-11-16,97.0,98.0,171653AA6=
2021-11-17,96.5,97.5,171653AA6=
2021-11-18,96.25,97.25,171653AA6=
2021-11-19,96.625,97.625,171653AA6=
2021-11-22,96.5,97.5,171653AA6=
2021-11-23,96.375,97.375,171653AA6=
2021-11-24,96.375,97.375,171653AA6=
2021-11-25,96.375,97.375,171653AA6=
2021-11-26,96.375,97.375,171653AA6=
2021-11-29,95.75,96.75,171653AA6=
2021-11-30,95.625,96.625,171653AA6=
2021-12-01,95.625,96.625,171653AA6=
2021-12-02,95.625,96.625,171653AA6=
2021-12-03,96.25,97.25,171653AA6=
2021-12-06,96.0,97.0,171653AA6=
2021-12-07,95.5,96.5,171653AA6=
2021-12-08,95.75,96.75,171653AA6=
2021-12-09,96.0,97.0,171653AA6=
2021-12-10,95.875,96.875,171653AA6=
2021-12-13,95.875,96.875,171653AA6=
