Date,BID,ASK,RIC
2019-01-17,99.5692,99.7919,17325FAS7=
2019-01-18,99.356,99.5781,17325FAS7=
2019-01-21,99.4472,99.6696,17325FAS7=
2019-01-22,99.5516,99.7741,17325FAS7=
2019-01-23,99.5384,99.7608,17325FAS7=
2019-01-24,100.1441,100.3677,17325FAS7=
2019-01-25,99.9166,100.1395,17325FAS7=
2019-01-28,99.9922,100.2152,17325FAS7=
2019-01-29,100.5406,100.765,17325FAS7=
2019-01-30,100.8286,101.0536,17325FAS7=
2019-01-31,101.3086,101.5345,17325FAS7=
2019-02-01,101.0152,101.2402,17325FAS7=
2019-02-04,100.862,101.0865,17325FAS7=
2019-02-05,100.9601,101.1848,17325FAS7=
2019-02-06,100.9909,101.2155,17325FAS7=
2019-02-07,101.2809,101.5059,17325FAS7=
2019-02-08,101.3655,101.5906,17325FAS7=
2019-02-11,101.2435,101.4682,17325FAS7=
2019-02-12,101.1441,101.3684,17325FAS7=
2019-02-13,100.9824,101.2062,17325FAS7=
2019-02-14,101.2302,101.4542,17325FAS7=
2019-02-15,101.1247,101.3483,17325FAS7=
2019-02-18,101.1096,101.3332,17325FAS7=
2019-02-19,101.2914,101.5153,17325FAS7=
2019-02-20,101.3264,101.5503,17325FAS7=
2019-02-21,101.1368,101.2706,17325FAS7=
2019-02-22,101.3234,101.4574,17325FAS7=
2019-02-25,101.2781,101.4119,17325FAS7=
2019-02-26,101.6663,101.8005,17325FAS7=
2019-02-27,101.4845,101.6184,17325FAS7=
2019-02-28,101.5265,101.6602,17325FAS7=
2019-03-01,101.5835,101.7172,17325FAS7=
2019-03-04,101.7252,101.8591,17325FAS7=
2019-03-05,101.7242,101.858,17325FAS7=
2019-03-06,101.8436,101.9775,17325FAS7=
2019-03-07,102.0992,102.2333,17325FAS7=
2019-03-08,102.1606,102.2947,17325FAS7=
2019-03-11,102.0969,102.2309,17325FAS7=
2019-03-12,102.0467,102.1805,17325FAS7=
2019-03-13,102.0589,102.1927,17325FAS7=
2019-03-14,102.1891,102.3228,17325FAS7=
2019-03-15,102.3438,102.4777,17325FAS7=
2019-03-18,102.2623,102.396,17325FAS7=
2019-03-19,102.2433,102.3769,17325FAS7=
2019-03-20,102.7013,102.8355,17325FAS7=
2019-03-21,102.621,102.7549,17325FAS7=
2019-03-22,103.0799,103.2144,17325FAS7=
2019-03-25,103.3248,103.4596,17325FAS7=
2019-03-26,103.2198,103.3544,17325FAS7=
2019-03-27,103.3885,103.5233,17325FAS7=
2019-03-28,103.2055,103.3399,17325FAS7=
2019-03-29,103.092,103.2261,17325FAS7=
2019-04-01,102.6894,102.8228,17325FAS7=
2019-04-02,103.0975,103.2315,17325FAS7=
2019-04-03,103.0646,103.1985,17325FAS7=
2019-04-04,103.1129,103.2466,17325FAS7=
2019-04-05,103.2047,103.3385,17325FAS7=
2019-04-08,103.1184,103.252,17325FAS7=
2019-04-09,103.1522,103.2877,17325FAS7=
2019-04-10,103.2685,103.4041,17325FAS7=
2019-04-11,103.0596,103.1947,17325FAS7=
2019-04-12,102.7924,102.927,17325FAS7=
2019-04-15,103.1443,103.2794,17325FAS7=
2019-04-16,102.6203,102.7545,17325FAS7=
2019-04-17,102.5994,102.7333,17325FAS7=
2019-04-18,102.6149,102.7487,17325FAS7=
2019-04-19,102.6195,102.7533,17325FAS7=
2019-04-22,102.5181,102.6517,17325FAS7=
2019-04-23,102.6334,102.7671,17325FAS7=
2019-04-24,102.9151,103.0492,17325FAS7=
2019-04-25,102.6283,102.7617,17325FAS7=
2019-04-26,102.8665,103.0002,17325FAS7=
2019-04-29,102.8281,102.9617,17325FAS7=
2019-04-30,102.9965,103.1303,17325FAS7=
2019-05-01,103.1637,103.2976,17325FAS7=
2019-05-02,102.9773,103.1107,17325FAS7=
2019-05-03,102.7443,102.8773,17325FAS7=
2019-05-06,102.9894,103.1227,17325FAS7=
2019-05-07,103.014,103.1473,17325FAS7=
2019-05-08,103.3629,103.4966,17325FAS7=
2019-05-09,103.5154,103.6492,17325FAS7=
2019-05-10,102.8806,103.0133,17325FAS7=
2019-05-13,103.1078,103.2408,17325FAS7=
2019-05-14,103.4014,103.5348,17325FAS7=
2019-05-15,103.2842,103.4173,17325FAS7=
2019-05-16,103.2211,103.3539,17325FAS7=
2019-05-17,102.9843,103.1167,17325FAS7=
2019-05-20,102.9462,103.0784,17325FAS7=
2019-05-21,102.9767,103.1089,17325FAS7=
2019-05-22,103.0092,103.1414,17325FAS7=
2019-05-23,103.5999,103.7327,17325FAS7=
2019-05-24,103.2082,103.3403,17325FAS7=
2019-05-27,103.2082,103.3403,17325FAS7=
2019-05-28,103.4053,103.5376,17325FAS7=
2019-05-29,103.186,103.318,17325FAS7=
2019-05-30,103.4448,103.577,17325FAS7=
2019-05-31,103.808,103.9407,17325FAS7=
2019-06-03,104.237,104.3702,17325FAS7=
2019-06-04,104.0803,104.2132,17325FAS7=
2019-06-05,104.1853,104.3183,17325FAS7=
2019-06-06,104.0949,104.2275,17325FAS7=
2019-06-07,104.3117,104.4446,17325FAS7=
2019-06-10,104.018,104.1504,17325FAS7=
2019-06-11,103.9972,104.1295,17325FAS7=
2019-06-12,104.3544,104.4871,17325FAS7=
2019-06-13,104.4358,104.5684,17325FAS7=
2019-06-14,104.3822,104.5147,17325FAS7=
2019-06-17,104.3425,104.4748,17325FAS7=
2019-06-18,104.4286,104.561,17325FAS7=
2019-06-19,104.7227,104.8555,17325FAS7=
2019-06-20,104.831,104.9637,17325FAS7=
2019-06-21,104.7406,104.8731,17325FAS7=
2019-06-24,105.1051,105.238,17325FAS7=
2019-06-25,105.0898,105.2226,17325FAS7=
2019-06-26,104.8749,105.0074,17325FAS7=
2019-06-27,105.0175,105.1499,17325FAS7=
2019-06-28,105.0632,105.1956,17325FAS7=
2019-07-01,105.0899,105.2223,17325FAS7=
2019-07-02,105.2843,105.4168,17325FAS7=
2019-07-03,105.3682,105.5006,17325FAS7=
2019-07-04,105.3706,105.503,17325FAS7=
2019-07-05,104.9131,105.0448,17325FAS7=
2019-07-08,104.8076,104.9391,17325FAS7=
2019-07-09,104.5998,104.7309,17325FAS7=
2019-07-10,104.9083,105.0398,17325FAS7=
2019-07-11,104.5807,104.7115,17325FAS7=
2019-07-12,104.7318,104.8627,17325FAS7=
2019-07-15,104.7706,104.9015,17325FAS7=
2019-07-16,104.5812,104.7117,17325FAS7=
2019-07-17,104.8662,104.9971,17325FAS7=
2019-07-18,104.962,105.0928,17325FAS7=
2019-07-19,104.8783,105.0089,17325FAS7=
2019-07-22,104.8507,104.9812,17325FAS7=
2019-07-23,104.7866,104.9169,17325FAS7=
2019-07-24,104.7968,104.9271,17325FAS7=
2019-07-25,104.6779,104.8078,17325FAS7=
2019-07-26,104.8105,104.9405,17325FAS7=
2019-07-29,104.7731,104.903,17325FAS7=
2019-07-30,104.7558,104.8856,17325FAS7=
2019-07-31,104.8419,104.9718,17325FAS7=
2019-08-01,105.3008,105.4311,17325FAS7=
2019-08-02,105.3744,105.5048,17325FAS7=
2019-08-05,105.8607,105.9917,17325FAS7=
2019-08-06,105.8124,105.9432,17325FAS7=
2019-08-07,105.7963,105.927,17325FAS7=
2019-08-08,105.8192,105.9497,17325FAS7=
2019-08-09,105.8772,106.0078,17325FAS7=
2019-08-12,106.1113,106.2421,17325FAS7=
2019-08-13,105.7041,105.8343,17325FAS7=
2019-08-14,106.2856,106.4165,17325FAS7=
2019-08-15,106.4444,106.5753,17325FAS7=
2019-08-16,106.2415,106.3721,17325FAS7=
2019-08-19,106.1801,106.3105,17325FAS7=
2019-08-20,106.5876,106.7185,17325FAS7=
2019-08-21,106.3074,106.4378,17325FAS7=
2019-08-22,106.1771,106.3071,17325FAS7=
2019-08-23,106.3369,106.4671,17325FAS7=
2019-08-26,106.2603,106.3903,17325FAS7=
2019-08-27,106.5081,106.6384,17325FAS7=
2019-08-28,106.6534,106.7838,17325FAS7=
2019-08-29,106.4492,106.5791,17325FAS7=
2019-08-30,106.467,106.5968,17325FAS7=
2019-09-02,106.4711,106.6009,17325FAS7=
2019-09-03,106.549,106.6789,17325FAS7=
2019-09-04,106.8235,106.9537,17325FAS7=
2019-09-05,106.2716,106.4008,17325FAS7=
2019-09-06,106.3202,106.4494,17325FAS7=
