Date,BID,ASK,RIC
2019-02-13,99.7251,100.0207,17401QAU5=
2019-02-14,100.1031,100.3996,17401QAU5=
2019-02-15,99.9642,100.2601,17401QAU5=
2019-02-18,99.9443,100.2401,17401QAU5=
2019-02-19,100.1857,100.4822,17401QAU5=
2019-02-20,100.1145,100.4107,17401QAU5=
2019-02-21,99.5724,99.8664,17401QAU5=
2019-02-22,99.8193,100.1141,17401QAU5=
2019-02-25,99.9959,100.2911,17401QAU5=
2019-02-26,100.217,100.5126,17401QAU5=
2019-02-27,99.9897,100.2845,17401QAU5=
2019-02-28,99.7899,100.0837,17401QAU5=
2019-03-01,99.5264,99.8192,17401QAU5=
2019-03-04,99.7137,100.007,17401QAU5=
2019-03-05,99.7137,100.0069,17401QAU5=
2019-03-06,99.8719,100.1656,17401QAU5=
2019-03-07,100.2122,100.5067,17401QAU5=
2019-03-08,100.2826,100.5772,17401QAU5=
2019-03-11,100.2119,100.5062,17401QAU5=
2019-03-12,100.4411,100.7361,17401QAU5=
2019-03-13,100.2704,100.5647,17401QAU5=
2019-03-14,100.2934,100.5874,17401QAU5=
2019-03-15,100.4871,100.7817,17401QAU5=
2019-03-18,100.3811,100.6752,17401QAU5=
2019-03-19,100.2987,100.5924,17401QAU5=
2019-03-20,100.9045,101.2002,17401QAU5=
2019-03-21,100.8149,101.1099,17401QAU5=
2019-03-22,101.2898,101.5962,17401QAU5=
2019-03-25,101.5426,101.8498,17401QAU5=
2019-03-26,101.6086,101.9159,17401QAU5=
2019-03-27,101.9649,102.2733,17401QAU5=
2019-03-28,101.8451,102.1529,17401QAU5=
2019-03-29,101.8546,102.1623,17401QAU5=
2019-04-01,101.3963,101.7023,17401QAU5=
2019-04-02,101.6423,101.9491,17401QAU5=
2019-04-03,101.3272,101.6327,17401QAU5=
2019-04-04,101.4092,101.7147,17401QAU5=
2019-04-05,101.6327,101.9389,17401QAU5=
2019-04-08,101.6034,101.9094,17401QAU5=
2019-04-09,101.7552,102.0616,17401QAU5=
2019-04-10,102.0742,102.3816,17401QAU5=
2019-04-11,101.8451,102.1514,17401QAU5=
