Date,BID,ASK,RIC
2018-07-31,100.049,100.275,200340AS6=
2018-08-01,99.849,100.075,200340AS6=
2018-08-02,100.011,100.237,200340AS6=
2018-08-03,100.105,100.332,200340AS6=
2018-08-06,100.116,100.342,200340AS6=
2018-08-07,100.017,100.243,200340AS6=
2018-08-08,99.921,100.146,200340AS6=
2018-08-09,100.038,100.263,200340AS6=
2018-08-10,100.326,100.552,200340AS6=
2018-08-13,100.352,100.578,200340AS6=
2018-08-14,100.211,100.437,200340AS6=
2018-08-15,100.389,100.615,200340AS6=
2018-08-16,100.415,100.641,200340AS6=
2018-08-17,100.523,100.749,200340AS6=
2018-08-20,100.712,100.938,200340AS6=
2018-08-21,100.59,100.816,200340AS6=
2018-08-22,100.68,100.906,200340AS6=
2018-08-23,100.602,100.827,200340AS6=
2018-08-24,100.629,100.854,200340AS6=
2018-08-27,100.377,100.601,200340AS6=
2018-08-28,100.234,100.458,200340AS6=
2018-08-29,100.187,100.411,200340AS6=
2018-08-30,100.316,100.54,200340AS6=
2018-08-31,100.375,100.599,200340AS6=
2018-09-03,100.376,100.6,200340AS6=
2018-09-04,100.049,100.272,200340AS6=
2018-09-05,100.179,100.402,200340AS6=
2018-09-06,100.263,100.486,200340AS6=
2018-09-07,99.955,100.177,200340AS6=
2018-09-10,99.926,100.147,200340AS6=
2018-09-11,99.731,99.952,200340AS6=
2018-09-12,99.69,99.911,200340AS6=
2018-09-13,99.816,100.037,200340AS6=
2018-09-14,99.669,99.89,200340AS6=
2018-09-17,99.743,99.963,200340AS6=
2018-09-18,99.492,99.712,200340AS6=
2018-09-19,99.49,99.709,200340AS6=
2018-09-20,99.459,99.679,200340AS6=
2018-09-21,99.481,99.7,200340AS6=
2018-09-24,99.407,99.626,200340AS6=
2018-09-25,99.34,99.559,200340AS6=
2018-09-26,99.542,99.761,200340AS6=
2018-09-27,99.579,99.797,200340AS6=
2018-09-28,99.569,99.787,200340AS6=
2018-10-01,99.533,99.752,200340AS6=
2018-10-02,99.705,99.923,200340AS6=
2018-10-03,99.284,99.501,200340AS6=
2018-10-04,99.277,99.494,200340AS6=
2018-10-05,98.981,99.198,200340AS6=
2018-10-08,99.062,99.278,200340AS6=
2018-10-09,99.055,99.272,200340AS6=
2018-10-10,99.219,99.436,200340AS6=
2018-10-11,99.281,99.498,200340AS6=
2018-10-12,99.19,99.406,200340AS6=
2018-10-15,99.244,99.46,200340AS6=
2018-10-16,99.19,99.406,200340AS6=
2018-10-17,99.032,99.247,200340AS6=
2018-10-18,99.199,99.414,200340AS6=
2018-10-19,99.091,99.306,200340AS6=
2018-10-22,99.091,99.306,200340AS6=
2018-10-23,99.236,99.452,200340AS6=
2018-10-24,99.519,99.734,200340AS6=
2018-10-25,99.4,99.615,200340AS6=
2018-10-26,99.57,99.785,200340AS6=
2018-10-29,99.516,99.732,200340AS6=
2018-10-30,99.389,99.604,200340AS6=
2018-10-31,99.264,99.479,200340AS6=
2018-11-01,99.326,99.54,200340AS6=
2018-11-02,98.997,99.21,200340AS6=
2018-11-05,99.056,99.269,200340AS6=
2018-11-06,98.918,99.131,200340AS6=
2018-11-07,98.803,99.016,200340AS6=
2018-11-08,98.776,98.987,200340AS6=
2018-11-09,99.005,99.217,200340AS6=
2018-11-12,99.177,99.39,200340AS6=
2018-11-13,99.233,99.445,200340AS6=
2018-11-14,99.366,99.579,200340AS6=
2018-11-15,99.447,99.66,200340AS6=
2018-11-16,99.657,99.87,200340AS6=
2018-11-19,99.7,99.913,200340AS6=
2018-11-20,99.652,99.865,200340AS6=
2018-11-21,99.618,99.83,200340AS6=
2018-11-22,99.617,99.83,200340AS6=
2018-11-23,99.69,99.903,200340AS6=
2018-11-26,99.645,99.858,200340AS6=
2018-11-27,99.638,99.85,200340AS6=
2018-11-28,99.741,99.953,200340AS6=
2018-11-29,99.071,99.281,200340AS6=
2018-11-30,99.162,99.372,200340AS6=
2018-12-03,99.201,99.411,200340AS6=
2018-12-04,99.099,99.309,200340AS6=
2018-12-05,99.056,99.266,200340AS6=
2018-12-06,99.234,99.444,200340AS6=
2018-12-07,98.884,99.093,200340AS6=
2018-12-10,98.857,99.066,200340AS6=
2018-12-11,98.758,98.966,200340AS6=
2018-12-12,99.479,99.689,200340AS6=
2018-12-13,98.934,99.142,200340AS6=
2018-12-14,99.015,99.224,200340AS6=
2018-12-17,99.184,99.392,200340AS6=
2018-12-18,99.312,99.521,200340AS6=
2018-12-19,99.442,99.651,200340AS6=
2018-12-20,99.249,99.458,200340AS6=
2018-12-21,99.41,99.619,200340AS6=
2018-12-24,99.692,99.901,200340AS6=
2018-12-26,99.37,99.578,200340AS6=
