Date,BID,ASK,RIC
2016-05-19,98.7394,98.9098,2027A0HT9=
2016-05-20,98.7652,98.9356,2027A0HT9=
2016-05-23,98.842,99.0125,2027A0HT9=
2016-05-24,98.5872,98.7572,2027A0HT9=
2016-05-25,98.6056,98.7755,2027A0HT9=
2016-05-26,99.2952,99.4664,2027A0HT9=
2016-05-27,99.0478,99.2185,2027A0HT9=
2016-05-31,99.2186,99.3896,2027A0HT9=
2016-06-01,99.5782,99.7498,2027A0HT9=
2016-06-02,99.5782,99.7497,2027A0HT9=
2016-06-03,100.4131,100.5862,2027A0HT9=
2016-06-06,99.8442,100.0162,2027A0HT9=
2016-06-07,100.0333,100.2056,2027A0HT9=
2016-06-08,100.1537,100.3261,2027A0HT9=
2016-06-09,100.2397,100.4122,2027A0HT9=
2016-06-10,100.8275,101.0011,2027A0HT9=
2016-06-13,100.4034,100.5762,2027A0HT9=
2016-06-14,100.119,100.2912,2027A0HT9=
2016-06-15,100.5668,100.7397,2027A0HT9=
2016-06-16,100.4199,100.5925,2027A0HT9=
2016-06-17,100.3336,100.506,2027A0HT9=
2016-06-20,100.1873,100.3594,2027A0HT9=
2016-06-21,99.7587,99.9299,2027A0HT9=
2016-06-22,100.0069,100.1784,2027A0HT9=
2016-06-23,99.7929,99.964,2027A0HT9=
2016-06-24,100.3242,100.4963,2027A0HT9=
2016-06-27,101.6052,101.7797,2027A0HT9=
2016-06-28,101.4132,101.5873,2027A0HT9=
2016-06-29,101.1428,101.3162,2027A0HT9=
2016-06-30,101.5069,101.681,2027A0HT9=
2016-07-01,101.5852,101.7594,2027A0HT9=
2016-07-05,102.0992,102.2744,2027A0HT9=
2016-07-06,102.2288,102.4041,2027A0HT9=
2016-07-07,102.4474,102.6231,2027A0HT9=
2016-07-08,102.4204,102.596,2027A0HT9=
2016-07-11,101.9824,102.1571,2027A0HT9=
2016-07-12,101.4861,101.6598,2027A0HT9=
2016-07-13,101.6063,101.7801,2027A0HT9=
2016-07-14,100.8971,101.0695,2027A0HT9=
2016-07-15,100.7851,100.9572,2027A0HT9=
2016-07-18,100.9914,101.1639,2027A0HT9=
2016-07-19,101.6481,101.8218,2027A0HT9=
2016-07-20,101.4563,101.6295,2027A0HT9=
2016-07-21,101.6464,101.8199,2027A0HT9=
2016-07-22,101.3173,101.4901,2027A0HT9=
2016-07-25,101.3256,101.4984,2027A0HT9=
2016-07-26,100.9979,101.17,2027A0HT9=
2016-07-27,102.4705,102.6454,2027A0HT9=
2016-07-28,102.1646,102.3389,2027A0HT9=
2016-07-29,102.7579,102.9333,2027A0HT9=
2016-08-01,102.0592,102.2332,2027A0HT9=
2016-08-02,101.6772,101.8504,2027A0HT9=
2016-08-03,101.3308,101.5032,2027A0HT9=
2016-08-04,102.1956,102.3696,2027A0HT9=
2016-08-05,101.4335,101.606,2027A0HT9=
2016-08-08,101.5193,101.6919,2027A0HT9=
2016-08-09,101.7174,101.8904,2027A0HT9=
2016-08-10,102.4617,102.636,2027A0HT9=
2016-08-11,101.526,101.6984,2027A0HT9=
2016-08-12,102.1391,102.3127,2027A0HT9=
2016-08-15,101.974,102.1472,2027A0HT9=
2016-08-16,101.9216,102.0947,2027A0HT9=
2016-08-17,102.1451,102.3185,2027A0HT9=
2016-08-18,102.1013,102.2745,2027A0HT9=
2016-08-19,101.6864,101.8588,2027A0HT9=
2016-08-22,102.3601,102.5338,2027A0HT9=
2016-08-23,101.9874,102.1603,2027A0HT9=
2016-08-24,102.0204,102.1932,2027A0HT9=
2016-08-25,102.0631,102.236,2027A0HT9=
2016-08-26,101.5385,101.7104,2027A0HT9=
2016-08-29,102.123,102.2959,2027A0HT9=
2016-08-30,101.8724,102.0448,2027A0HT9=
2016-08-31,101.8877,102.06,2027A0HT9=
2016-09-01,101.9561,102.1285,2027A0HT9=
2016-09-02,101.3722,101.5434,2027A0HT9=
2016-09-06,102.0929,102.2654,2027A0HT9=
2016-09-07,101.3026,101.4735,2027A0HT9=
2016-09-08,101.0806,101.251,2027A0HT9=
2016-09-09,100.4613,100.6305,2027A0HT9=
2016-09-12,100.0397,100.208,2027A0HT9=
2016-09-13,99.7376,99.9053,2027A0HT9=
2016-09-14,99.8384,100.0062,2027A0HT9=
2016-09-15,99.7631,99.9307,2027A0HT9=
2016-09-16,99.7966,99.9642,2027A0HT9=
2016-09-19,99.7716,99.9391,2027A0HT9=
2016-09-20,99.9727,100.1406,2027A0HT9=
2016-09-21,100.1405,100.3086,2027A0HT9=
2016-09-22,100.8399,101.0093,2027A0HT9=
2016-09-23,100.8397,101.009,2027A0HT9=
2016-09-26,100.8903,101.0597,2027A0HT9=
2016-09-27,101.0086,101.1782,2027A0HT9=
2016-09-28,101.4151,101.5853,2027A0HT9=
2016-09-29,101.2788,101.4487,2027A0HT9=
2016-09-30,100.9398,101.109,2027A0HT9=
2016-10-03,100.6106,100.7791,2027A0HT9=
2016-10-04,99.9982,100.1655,2027A0HT9=
2016-10-05,99.8649,100.0318,2027A0HT9=
2016-10-06,100.0903,100.2576,2027A0HT9=
2016-10-07,100.0569,100.2241,2027A0HT9=
2016-10-10,99.923,100.0899,2027A0HT9=
2016-10-11,99.8651,100.0319,2027A0HT9=
2016-10-12,99.7239,99.8903,2027A0HT9=
2016-10-13,99.8653,100.0319,2027A0HT9=
2016-10-14,99.6245,99.7906,2027A0HT9=
2016-10-17,99.9321,100.0987,2027A0HT9=
2016-10-18,100.0737,100.2406,2027A0HT9=
2016-10-19,100.0238,100.1905,2027A0HT9=
2016-10-20,100.1154,100.2822,2027A0HT9=
2016-10-21,100.1154,100.2821,2027A0HT9=
2016-10-24,100.0988,100.2655,2027A0HT9=
2016-10-25,100.0156,100.1821,2027A0HT9=
2016-10-26,100.066,100.2325,2027A0HT9=
2016-10-27,99.6675,99.8332,2027A0HT9=
2016-10-28,99.2631,99.428,2027A0HT9=
