Date,BID,ASK,RIC
2017-09-18,99.5411,99.7107,2027A0JT7=
2017-09-19,99.448,99.6174,2027A0JT7=
2017-09-20,99.0429,99.2115,2027A0JT7=
2017-09-21,99.0855,99.2541,2027A0JT7=
2017-09-22,99.2963,99.4652,2027A0JT7=
2017-09-25,99.9825,100.1527,2027A0JT7=
2017-09-26,99.8635,100.0335,2027A0JT7=
2017-09-27,99.2376,99.4063,2027A0JT7=
2017-09-28,99.238,99.4066,2027A0JT7=
2017-09-29,98.8266,98.9943,2027A0JT7=
2017-10-02,98.81,98.9777,2027A0JT7=
2017-10-03,98.9443,99.1122,2027A0JT7=
2017-10-04,98.9613,99.1292,2027A0JT7=
2017-10-05,98.7528,98.9201,2027A0JT7=
2017-10-06,98.6362,98.8032,2027A0JT7=
2017-10-10,98.6949,98.862,2027A0JT7=
2017-10-11,98.9542,99.1218,2027A0JT7=
2017-10-12,99.2313,99.3993,2027A0JT7=
2017-10-13,99.7026,99.8715,2027A0JT7=
2017-10-16,99.3659,99.5341,2027A0JT7=
2017-10-17,99.3072,99.4752,2027A0JT7=
2017-10-18,99.0309,99.1984,2027A0JT7=
2017-10-19,99.2574,99.4252,2027A0JT7=
2017-10-20,98.6314,98.7979,2027A0JT7=
2017-10-23,98.99,99.1572,2027A0JT7=
2017-10-24,98.3995,98.5655,2027A0JT7=
2017-10-25,98.375,98.5409,2027A0JT7=
2017-10-26,98.1362,98.3015,2027A0JT7=
2017-10-27,98.5164,98.6825,2027A0JT7=
2017-10-30,98.9079,99.0747,2027A0JT7=
2017-10-31,98.8415,99.0081,2027A0JT7=
2017-11-01,98.975,99.1418,2027A0JT7=
2017-11-02,99.3512,99.5186,2027A0JT7=
2017-11-03,99.3095,99.4768,2027A0JT7=
2017-11-06,99.2595,99.4267,2027A0JT7=
2017-11-07,99.4435,99.611,2027A0JT7=
2017-11-08,99.043,99.2097,2027A0JT7=
2017-11-09,98.8276,98.9938,2027A0JT7=
2017-11-10,98.1501,98.3149,2027A0JT7=
2017-11-13,98.2823,98.4473,2027A0JT7=
2017-11-14,98.5468,98.7123,2027A0JT7=
2017-11-15,98.5306,98.696,2027A0JT7=
2017-11-16,98.5398,98.7051,2027A0JT7=
2017-11-17,98.5567,98.722,2027A0JT7=
2017-11-20,98.2685,98.4332,2027A0JT7=
2017-11-21,98.5164,98.6815,2027A0JT7=
2017-11-22,99.0714,99.2375,2027A0JT7=
2017-11-23,98.939,99.1048,2027A0JT7=
2017-11-24,98.5837,98.7488,2027A0JT7=
2017-11-27,98.8234,98.9889,2027A0JT7=
2017-11-28,98.9478,99.1135,2027A0JT7=
2017-11-29,98.19,98.3542,2027A0JT7=
2017-11-30,98.2979,98.4622,2027A0JT7=
2017-12-01,98.6436,98.8085,2027A0JT7=
2017-12-04,98.7346,98.8997,2027A0JT7=
2017-12-05,98.8834,99.0487,2027A0JT7=
2017-12-06,98.9993,99.1648,2027A0JT7=
2017-12-07,98.736,98.9009,2027A0JT7=
2017-12-08,98.6705,98.8352,2027A0JT7=
2017-12-11,98.8355,99.0005,2027A0JT7=
2017-12-12,98.3838,98.5479,2027A0JT7=
2017-12-13,98.9349,99.1,2027A0JT7=
2017-12-14,98.9274,99.0923,2027A0JT7=
2017-12-15,99.0761,99.2413,2027A0JT7=
2017-12-18,98.6402,98.8045,2027A0JT7=
2017-12-19,98.0273,98.1904,2027A0JT7=
2017-12-20,97.8,97.9626,2027A0JT7=
2017-12-21,97.7292,97.8915,2027A0JT7=
2017-12-22,98.0627,98.2256,2027A0JT7=
2017-12-26,98.2342,98.3974,2027A0JT7=
2017-12-27,98.7415,98.9056,2027A0JT7=
2017-12-28,98.4807,98.6442,2027A0JT7=
2017-12-29,98.5591,98.7227,2027A0JT7=
2018-01-02,98.2531,98.4161,2027A0JT7=
2018-01-03,98.3921,98.5553,2027A0JT7=
2018-01-04,98.2386,98.4014,2027A0JT7=
2018-01-05,98.2228,98.3856,2027A0JT7=
2018-01-08,98.0933,98.2558,2027A0JT7=
2018-01-09,97.3747,97.5358,2027A0JT7=
2018-01-10,97.7866,97.9484,2027A0JT7=
2018-01-11,97.813,97.9747,2027A0JT7=
2018-01-12,97.4671,97.6281,2027A0JT7=
2018-01-16,97.8141,97.9757,2027A0JT7=
2018-01-17,97.4121,97.5729,2027A0JT7=
2018-01-18,96.9578,97.1176,2027A0JT7=
2018-01-19,96.7433,96.9027,2027A0JT7=
2018-01-22,96.8556,97.0152,2027A0JT7=
2018-01-23,97.0958,97.2558,2027A0JT7=
2018-01-24,96.8492,97.0087,2027A0JT7=
2018-01-25,96.8835,97.0429,2027A0JT7=
2018-01-26,96.757,96.9161,2027A0JT7=
2018-01-29,97.0747,97.2344,2027A0JT7=
2018-01-30,96.2507,96.4088,2027A0JT7=
2018-01-31,96.1727,96.3306,2027A0JT7=
2018-02-01,95.9552,96.1126,2027A0JT7=
2018-02-02,94.9482,95.1037,2027A0JT7=
2018-02-05,96.217,96.3748,2027A0JT7=
2018-02-06,95.3944,95.5506,2027A0JT7=
2018-02-07,95.084,95.2396,2027A0JT7=
2018-02-08,95.516,95.6723,2027A0JT7=
2018-02-09,94.9028,95.0579,2027A0JT7=
2018-02-12,94.7493,94.9041,2027A0JT7=
2018-02-13,95.0216,95.1769,2027A0JT7=
2018-02-14,94.7133,94.8679,2027A0JT7=
2018-02-15,94.6954,94.8498,2027A0JT7=
2018-02-16,94.7199,94.8744,2027A0JT7=
2018-02-20,94.5055,94.6595,2027A0JT7=
2018-02-21,94.5762,94.7303,2027A0JT7=
2018-02-22,94.5264,94.6803,2027A0JT7=
2018-02-23,94.8435,94.998,2027A0JT7=
2018-02-26,95.0348,95.1895,2027A0JT7=
2018-02-27,94.8257,94.98,2027A0JT7=
2018-02-28,95.0507,95.2053,2027A0JT7=
2018-03-01,95.1395,95.2942,2027A0JT7=
2018-03-02,94.9324,95.0867,2027A0JT7=
2018-03-05,94.8875,95.0416,2027A0JT7=
2018-03-06,94.7964,94.9503,2027A0JT7=
2018-03-07,94.6825,94.8362,2027A0JT7=
2018-03-08,94.8709,95.0248,2027A0JT7=
2018-03-09,94.9569,95.1109,2027A0JT7=
2018-03-12,94.8813,95.0352,2027A0JT7=
2018-03-13,94.8211,94.9748,2027A0JT7=
2018-03-14,94.7074,94.8609,2027A0JT7=
2018-03-15,94.5049,94.6579,2027A0JT7=
2018-03-16,94.2164,94.3688,2027A0JT7=
2018-03-19,94.4998,94.6527,2027A0JT7=
2018-03-20,93.7941,93.9456,2027A0JT7=
2018-03-21,93.8943,94.046,2027A0JT7=
2018-03-22,94.6817,94.8347,2027A0JT7=
2018-03-23,94.6829,94.8359,2027A0JT7=
2018-03-26,94.1662,94.3182,2027A0JT7=
2018-03-27,94.7695,94.9226,2027A0JT7=
2018-03-28,94.6204,94.7731,2027A0JT7=
2018-03-29,94.9239,95.0771,2027A0JT7=
2018-04-02,95.0816,95.2351,2027A0JT7=
2018-04-03,94.5632,94.7157,2027A0JT7=
2018-04-04,94.5111,94.6634,2027A0JT7=
2018-04-05,94.5454,94.6977,2027A0JT7=
2018-04-06,95.0731,95.2263,2027A0JT7=
2018-04-09,94.7992,94.9519,2027A0JT7=
2018-04-10,94.8767,95.0295,2027A0JT7=
2018-04-11,95.0459,95.199,2027A0JT7=
2018-04-12,94.486,94.6379,2027A0JT7=
2018-04-13,94.837,94.9895,2027A0JT7=
2018-04-16,94.8915,95.0441,2027A0JT7=
2018-04-17,94.6492,94.8013,2027A0JT7=
2018-04-18,94.4002,94.5518,2027A0JT7=
2018-04-19,93.9589,94.1096,2027A0JT7=
2018-04-20,93.6899,93.84,2027A0JT7=
2018-04-23,93.6389,93.7889,2027A0JT7=
2018-04-24,93.2444,93.3936,2027A0JT7=
2018-04-25,93.2385,93.3877,2027A0JT7=
2018-04-26,93.3626,93.5119,2027A0JT7=
2018-04-27,93.5582,93.7078,2027A0JT7=
2018-04-30,93.7393,93.8892,2027A0JT7=
2018-05-01,93.4941,93.6435,2027A0JT7=
2018-05-02,93.436,93.5853,2027A0JT7=
2018-05-03,93.5152,93.6645,2027A0JT7=
2018-05-04,93.2636,93.4124,2027A0JT7=
2018-05-07,93.3247,93.4736,2027A0JT7=
2018-05-08,93.1035,93.2519,2027A0JT7=
2018-05-09,93.0014,93.1496,2027A0JT7=
2018-05-10,93.2584,93.407,2027A0JT7=
2018-05-11,93.4235,93.5723,2027A0JT7=
2018-05-14,92.9655,93.1135,2027A0JT7=
2018-05-15,92.525,92.6721,2027A0JT7=
2018-05-16,92.292,92.4387,2027A0JT7=
2018-05-17,92.071,92.2171,2027A0JT7=
2018-05-18,92.6883,92.8355,2027A0JT7=
2018-05-21,92.6386,92.7857,2027A0JT7=
2018-05-22,92.7507,92.898,2027A0JT7=
2018-05-23,92.8849,93.0324,2027A0JT7=
2018-05-24,93.2459,93.3939,2027A0JT7=
2018-05-25,93.6535,93.8022,2027A0JT7=
2018-05-28,93.9378,94.087,2027A0JT7=
2018-05-29,94.3326,94.4826,2027A0JT7=
2018-05-30,93.7829,93.9318,2027A0JT7=
2018-05-31,93.5352,93.6835,2027A0JT7=
2018-06-01,93.1451,93.2927,2027A0JT7=
2018-06-04,93.0584,93.2058,2027A0JT7=
2018-06-05,93.3403,93.4882,2027A0JT7=
2018-06-06,92.8413,92.9882,2027A0JT7=
2018-06-07,93.111,93.2583,2027A0JT7=
2018-06-08,93.0245,93.1716,2027A0JT7=
2018-06-11,93.085,93.2322,2027A0JT7=
2018-06-12,92.8519,92.9986,2027A0JT7=
2018-06-13,93.0737,93.2208,2027A0JT7=
2018-06-14,92.8516,92.9981,2027A0JT7=
2018-06-15,93.0072,93.154,2027A0JT7=
2018-06-18,92.9723,93.119,2027A0JT7=
2018-06-19,93.2088,93.3559,2027A0JT7=
2018-06-20,92.8441,92.9905,2027A0JT7=
2018-06-21,93.3405,93.4877,2027A0JT7=
2018-06-22,93.0121,93.1586,2027A0JT7=
2018-06-25,93.1823,93.3291,2027A0JT7=
2018-06-26,93.2941,93.4411,2027A0JT7=
2018-06-27,93.671,93.8186,2027A0JT7=
2018-06-28,93.4403,93.5874,2027A0JT7=
2018-06-29,93.2805,93.4273,2027A0JT7=
2018-07-02,93.1301,93.2765,2027A0JT7=
2018-07-03,93.5571,93.7042,2027A0JT7=
2018-07-04,93.4786,93.6256,2027A0JT7=
2018-07-05,93.4298,93.5766,2027A0JT7=
2018-07-06,93.3289,93.4755,2027A0JT7=
2018-07-09,93.0894,93.2355,2027A0JT7=
2018-07-10,93.5375,93.6844,2027A0JT7=
2018-07-11,93.9583,94.1059,2027A0JT7=
2018-07-12,94.0441,94.1917,2027A0JT7=
2018-07-13,93.619,93.7658,2027A0JT7=
2018-07-16,93.3352,93.4815,2027A0JT7=
2018-07-17,93.4538,93.6003,2027A0JT7=
2018-07-18,93.3459,93.4921,2027A0JT7=
2018-07-19,93.8415,93.9885,2027A0JT7=
2018-07-20,93.0613,93.2069,2027A0JT7=
2018-07-23,93.0994,93.245,2027A0JT7=
2018-07-24,93.1739,93.3196,2027A0JT7=
2018-07-25,92.791,92.936,2027A0JT7=
2018-07-26,93.0937,93.2391,2027A0JT7=
2018-07-27,93.4052,93.5512,2027A0JT7=
2018-07-30,93.7297,93.8762,2027A0JT7=
2018-07-31,93.4611,93.6071,2027A0JT7=
2018-08-01,93.2953,93.4409,2027A0JT7=
2018-08-02,93.2206,93.366,2027A0JT7=
2018-08-03,93.6226,93.7687,2027A0JT7=
2018-08-06,93.6681,93.8142,2027A0JT7=
2018-08-07,93.2912,93.4366,2027A0JT7=
2018-08-08,93.4601,93.6058,2027A0JT7=
2018-08-09,93.7931,93.9392,2027A0JT7=
