Date,BID,ASK,RIC
2019-02-28,99.8889,100.3673,2027A0KB4=
2019-03-01,99.665,100.1419,2027A0KB4=
2019-03-04,100.0081,100.4867,2027A0KB4=
2019-03-05,100.008,100.4863,2027A0KB4=
2019-03-06,99.9936,100.4716,2027A0KB4=
2019-03-07,100.2699,100.7487,2027A0KB4=
2019-03-08,100.3366,100.8156,2027A0KB4=
2019-03-11,100.2695,100.7479,2027A0KB4=
2019-03-12,100.4555,100.9347,2027A0KB4=
2019-03-13,100.3168,100.46,2027A0KB4=
2019-03-14,100.3257,100.4687,2027A0KB4=
2019-03-15,100.4922,100.6354,2027A0KB4=
2019-03-18,100.4062,100.5492,2027A0KB4=
2019-03-19,100.3393,100.4821,2027A0KB4=
2019-03-20,100.8301,100.9736,2027A0KB4=
2019-03-21,100.7476,100.8908,2027A0KB4=
2019-03-22,101.2395,101.3834,2027A0KB4=
2019-03-25,101.5028,101.6471,2027A0KB4=
2019-03-26,101.3916,101.5356,2027A0KB4=
2019-03-27,101.5732,101.7175,2027A0KB4=
2019-03-28,101.6196,101.7638,2027A0KB4=
2019-03-29,101.4988,101.6427,2027A0KB4=
2019-04-01,101.0679,101.2111,2027A0KB4=
2019-04-02,101.2199,101.3632,2027A0KB4=
2019-04-03,100.9953,101.1382,2027A0KB4=
2019-04-04,101.0507,101.1935,2027A0KB4=
2019-04-05,101.1024,101.2452,2027A0KB4=
2019-04-08,101.0116,101.1542,2027A0KB4=
2019-04-09,101.1013,101.244,2027A0KB4=
2019-04-10,101.2766,101.4195,2027A0KB4=
2019-04-11,101.0563,101.1986,2027A0KB4=
2019-04-12,100.7578,100.8995,2027A0KB4=
2019-04-15,101.112,101.2542,2027A0KB4=
2019-04-16,100.96,101.1019,2027A0KB4=
2019-04-17,100.9721,101.1138,2027A0KB4=
2019-04-18,101.132,101.2739,2027A0KB4=
2019-04-19,101.139,101.2809,2027A0KB4=
2019-04-22,101.0512,101.1929,2027A0KB4=
2019-04-23,101.1781,101.3199,2027A0KB4=
2019-04-24,101.2955,101.4374,2027A0KB4=
2019-04-25,101.3974,101.5393,2027A0KB4=
2019-04-26,101.5952,101.7373,2027A0KB4=
2019-04-29,102.2926,102.4358,2027A0KB4=
2019-04-30,102.4583,102.6017,2027A0KB4=
2019-05-01,102.3283,102.4714,2027A0KB4=
2019-05-02,102.1251,102.2676,2027A0KB4=
2019-05-03,102.2284,102.371,2027A0KB4=
2019-05-06,102.3794,102.5222,2027A0KB4=
2019-05-07,101.8567,101.9986,2027A0KB4=
2019-05-08,101.6906,101.8322,2027A0KB4=
2019-05-09,101.8529,101.9945,2027A0KB4=
2019-05-10,101.786,101.9274,2027A0KB4=
2019-05-13,102.1719,102.3139,2027A0KB4=
2019-05-14,102.1472,102.2891,2027A0KB4=
2019-05-15,102.321,102.4631,2027A0KB4=
2019-05-16,102.2229,102.3646,2027A0KB4=
2019-05-17,101.7748,101.9157,2027A0KB4=
2019-05-20,101.788,101.9289,2027A0KB4=
2019-05-21,101.6793,101.8199,2027A0KB4=
2019-05-22,101.5708,101.7112,2027A0KB4=
2019-05-23,101.8713,102.0119,2027A0KB4=
2019-05-24,101.9195,102.0601,2027A0KB4=
2019-05-27,101.9195,102.0601,2027A0KB4=
2019-05-28,102.1317,102.2725,2027A0KB4=
2019-05-29,102.0146,102.1553,2027A0KB4=
2019-05-30,102.2549,102.3957,2027A0KB4=
2019-05-31,102.4274,102.5684,2027A0KB4=
