Date,BID,ASK,RIC
2021-09-10,99.1146,99.3847,2027A0KF5=
2021-09-13,99.2675,99.5381,2027A0KF5=
2021-09-14,99.6466,99.9183,2027A0KF5=
2021-09-15,99.4661,99.7372,2027A0KF5=
2021-09-16,99.1784,99.4484,2027A0KF5=
2021-09-17,98.9364,99.2056,2027A0KF5=
2021-09-20,99.3946,99.6651,2027A0KF5=
2021-09-21,99.2508,99.5208,2027A0KF5=
2021-09-22,99.4669,99.7375,2027A0KF5=
2021-09-23,98.2961,98.5629,2027A0KF5=
2021-09-24,98.1368,98.4031,2027A0KF5=
2021-09-27,98.155,98.4213,2027A0KF5=
2021-09-28,97.6695,97.9342,2027A0KF5=
2021-09-29,97.8641,98.1294,2027A0KF5=
2021-09-30,98.1484,98.4143,2027A0KF5=
2021-10-01,98.4058,98.6724,2027A0KF5=
2021-10-04,98.2378,98.5039,2027A0KF5=
2021-10-05,97.8407,98.1055,2027A0KF5=
2021-10-06,97.8324,98.0971,2027A0KF5=
2021-10-07,97.3255,97.5884,2027A0KF5=
2021-10-08,97.0118,97.2737,2027A0KF5=
2021-10-11,97.0913,97.3534,2027A0KF5=
2021-10-12,97.6247,97.8884,2027A0KF5=
2021-10-13,97.3624,97.6252,2027A0KF5=
2021-10-14,97.5744,97.8377,2027A0KF5=
2021-10-15,97.0858,97.3475,2027A0KF5=
2021-10-18,96.9386,97.1998,2027A0KF5=
2021-10-19,96.5145,96.7744,2027A0KF5=
2021-10-20,96.3512,96.6105,2027A0KF5=
2021-10-21,96.0354,96.2936,2027A0KF5=
2021-10-22,96.5361,96.7957,2027A0KF5=
2021-10-25,96.5974,96.8571,2027A0KF5=
2021-10-26,96.7799,97.0401,2027A0KF5=
2021-10-27,97.3018,97.5635,2027A0KF5=
2021-10-28,97.0597,97.3205,2027A0KF5=
2021-10-29,97.2081,97.4693,2027A0KF5=
2021-11-01,97.2088,97.47,2027A0KF5=
2021-11-02,97.3312,97.5927,2027A0KF5=
2021-11-03,96.846,97.1059,2027A0KF5=
2021-11-04,97.4818,97.7434,2027A0KF5=
2021-11-05,98.1378,98.4013,2027A0KF5=
2021-11-08,98.2611,98.5249,2027A0KF5=
2021-11-09,98.1129,98.3761,2027A0KF5=
2021-11-10,96.9661,97.2257,2027A0KF5=
2021-11-11,96.7455,97.0045,2027A0KF5=
2021-11-12,96.9669,97.2265,2027A0KF5=
2021-11-15,96.5713,96.8296,2027A0KF5=
2021-11-16,96.3661,96.6237,2027A0KF5=
2021-11-17,96.8398,97.0988,2027A0KF5=
2021-11-18,96.8249,97.0836,2027A0KF5=
2021-11-19,97.1621,97.4218,2027A0KF5=
2021-11-22,96.6975,96.9557,2027A0KF5=
2021-11-23,96.322,96.579,2027A0KF5=
2021-11-24,96.6073,96.8649,2027A0KF5=
2021-11-25,96.6687,96.9265,2027A0KF5=
2021-11-26,97.7385,97.9994,2027A0KF5=
2021-11-29,97.5656,97.8259,2027A0KF5=
2021-11-30,97.6182,97.8786,2027A0KF5=
2021-12-01,98.0705,98.3322,2027A0KF5=
2021-12-02,97.7246,97.9851,2027A0KF5=
2021-12-03,98.4999,98.7626,2027A0KF5=
2021-12-06,97.8124,98.073,2027A0KF5=
2021-12-07,97.3977,97.657,2027A0KF5=
2021-12-08,97.0024,97.2605,2027A0KF5=
2021-12-09,97.2711,97.5298,2027A0KF5=
2021-12-10,97.401,97.66,2027A0KF5=
2021-12-13,97.9897,98.2503,2027A0KF5=
2021-12-14,97.7563,98.0162,2027A0KF5=
2021-12-15,98.0427,98.3034,2027A0KF5=
2021-12-16,98.3395,98.6008,2027A0KF5=
2021-12-17,98.4879,98.7496,2027A0KF5=
2021-12-20,97.6044,97.8634,2027A0KF5=
2021-12-21,97.2781,97.5361,2027A0KF5=
2021-12-22,97.4011,97.6592,2027A0KF5=
2021-12-23,97.0504,97.3074,2027A0KF5=
2021-12-27,97.1966,97.454,2027A0KF5=
2021-12-28,97.1374,97.3945,2027A0KF5=
2021-12-29,97.1995,97.4566,2027A0KF5=
2021-12-30,97.8874,98.1465,2027A0KF5=
2021-12-31,97.827,98.0859,2027A0KF5=
2022-01-03,97.0301,97.2866,2027A0KF5=
2022-01-04,96.9285,97.1846,2027A0KF5=
2022-01-05,96.4364,96.691,2027A0KF5=
2022-01-06,96.2615,96.5154,2027A0KF5=
2022-01-07,95.9337,96.1865,2027A0KF5=
2022-01-10,95.9768,96.2297,2027A0KF5=
2022-01-11,96.1969,96.4504,2027A0KF5=
2022-01-12,96.063,96.316,2027A0KF5=
2022-01-13,96.455,96.7089,2027A0KF5=
2022-01-14,95.7407,95.9924,2027A0KF5=
2022-01-17,95.1819,95.432,2027A0KF5=
2022-01-18,94.7093,94.958,2027A0KF5=
2022-01-19,94.7934,95.0422,2027A0KF5=
2022-01-20,94.6899,94.9382,2027A0KF5=
2022-01-21,95.064,95.3134,2027A0KF5=
2022-01-24,94.9575,95.2065,2027A0KF5=
2022-01-25,95.0168,95.2659,2027A0KF5=
2022-01-26,94.1603,94.4068,2027A0KF5=
2022-01-27,94.7394,94.9875,2027A0KF5=
2022-01-28,94.9888,95.2376,2027A0KF5=
2022-01-31,94.9157,95.1642,2027A0KF5=
2022-02-01,94.8096,95.0577,2027A0KF5=
2022-02-02,94.9348,95.1832,2027A0KF5=
2022-02-03,94.4938,94.7407,2027A0KF5=
2022-02-07,93.9889,94.2342,2027A0KF5=
2022-02-08,93.1053,93.348,2027A0KF5=
2022-02-09,93.2687,93.5118,2027A0KF5=
2022-02-10,92.7098,92.9511,2027A0KF5=
2022-02-11,93.4618,93.7052,2027A0KF5=
2022-02-14,92.5051,92.7457,2027A0KF5=
2022-02-15,91.6945,91.9326,2027A0KF5=
2022-02-16,91.7046,91.9427,2027A0KF5=
2022-02-17,91.8478,92.0861,2027A0KF5=
2022-02-18,92.1279,92.3669,2027A0KF5=
2022-02-21,92.3323,92.5719,2027A0KF5=
2022-02-22,92.0186,92.2572,2027A0KF5=
2022-02-23,91.672,91.9096,2027A0KF5=
2022-02-24,91.8445,92.0824,2027A0KF5=
2022-02-25,91.3774,91.6137,2027A0KF5=
2022-02-28,91.7738,92.0112,2027A0KF5=
2022-03-01,93.4761,93.7184,2027A0KF5=
2022-03-02,91.3605,91.5966,2027A0KF5=
2022-03-03,91.6267,91.8634,2027A0KF5=
2022-03-04,92.19,92.4282,2027A0KF5=
2022-03-07,91.5917,91.8282,2027A0KF5=
2022-03-08,89.9965,90.2283,2027A0KF5=
2022-03-09,89.9528,90.1844,2027A0KF5=
2022-03-10,90.1379,90.3699,2027A0KF5=
2022-03-11,90.1018,90.3336,2027A0KF5=
2022-03-14,88.3269,88.5535,2027A0KF5=
2022-03-15,88.0963,88.3222,2027A0KF5=
2022-03-16,87.6046,87.829,2027A0KF5=
2022-03-17,87.8155,88.0404,2027A0KF5=
2022-03-18,88.5629,88.7899,2027A0KF5=
2022-03-21,87.6944,87.9188,2027A0KF5=
2022-03-22,86.932,87.1542,2027A0KF5=
2022-03-23,87.6482,87.8724,2027A0KF5=
2022-03-24,86.7455,86.9669,2027A0KF5=
2022-03-25,85.9717,86.1908,2027A0KF5=
2022-03-28,86.1352,86.3547,2027A0KF5=
2022-03-29,87.4402,87.6635,2027A0KF5=
2022-03-30,87.7853,88.0095,2027A0KF5=
2022-03-31,87.6679,87.8916,2027A0KF5=
2022-04-01,87.5353,87.7585,2027A0KF5=
2022-04-04,87.4878,87.7108,2027A0KF5=
2022-04-05,86.2326,86.452,2027A0KF5=
2022-04-06,85.9341,86.1526,2027A0KF5=
2022-04-07,85.7904,86.0083,2027A0KF5=
2022-04-08,85.0487,85.2645,2027A0KF5=
2022-04-11,84.7981,85.0131,2027A0KF5=
2022-04-12,84.963,85.1784,2027A0KF5=
2022-04-13,84.9511,85.1662,2027A0KF5=
2022-04-14,84.5437,84.7576,2027A0KF5=
2022-04-15,84.6843,84.8986,2027A0KF5=
2022-04-18,83.8175,84.0293,2027A0KF5=
2022-04-19,83.2615,83.4717,2027A0KF5=
2022-04-20,83.8345,84.0462,2027A0KF5=
2022-04-21,83.395,83.6053,2027A0KF5=
2022-04-22,83.4527,83.6631,2027A0KF5=
2022-04-25,83.2821,83.492,2027A0KF5=
2022-04-26,84.2308,84.4433,2027A0KF5=
2022-04-27,83.671,83.8819,2027A0KF5=
2022-04-28,83.4716,83.6817,2027A0KF5=
2022-04-29,82.78,82.9881,2027A0KF5=
2022-05-02,82.1106,82.3168,2027A0KF5=
2022-05-03,82.2984,82.5051,2027A0KF5=
2022-05-04,82.5346,82.7419,2027A0KF5=
2022-05-05,82.1707,82.3768,2027A0KF5=
2022-05-06,81.0986,81.3016,2027A0KF5=
2022-05-09,81.9184,82.1237,2027A0KF5=
2022-05-10,81.9948,82.2002,2027A0KF5=
2022-05-11,82.4582,82.6649,2027A0KF5=
2022-05-12,82.8706,83.0783,2027A0KF5=
2022-05-13,82.5444,82.7511,2027A0KF5=
2022-05-16,82.5273,82.7339,2027A0KF5=
2022-05-17,81.6893,81.8935,2027A0KF5=
2022-05-18,82.1968,82.4024,2027A0KF5=
2022-05-19,82.3517,82.5575,2027A0KF5=
2022-05-20,82.6583,82.8649,2027A0KF5=
2022-05-23,82.2299,82.4353,2027A0KF5=
2022-05-24,83.1826,83.3906,2027A0KF5=
2022-05-25,83.323,83.5313,2027A0KF5=
2022-05-26,83.5418,83.7506,2027A0KF5=
2022-05-27,83.6516,83.8606,2027A0KF5=
2022-05-30,83.2002,83.4079,2027A0KF5=
2022-05-31,83.0238,83.231,2027A0KF5=
2022-06-01,82.7498,82.9562,2027A0KF5=
2022-06-02,82.8898,83.0964,2027A0KF5=
2022-06-03,82.3663,82.5714,2027A0KF5=
