Date,BID,ASK,RIC
2022-03-07,100.0,100.468,2027A0KK4=
2022-03-08,99.655,100.121,2027A0KK4=
2022-03-09,99.206,99.437,2027A0KK4=
2022-03-10,98.966,99.197,2027A0KK4=
2022-03-11,98.851,99.081,2027A0KK4=
2022-03-14,97.995,98.223,2027A0KK4=
2022-03-15,97.86,98.088,2027A0KK4=
2022-03-16,97.63,97.856,2027A0KK4=
2022-03-17,97.887,98.114,2027A0KK4=
2022-03-18,97.87,98.097,2027A0KK4=
2022-03-21,97.428,97.654,2027A0KK4=
2022-03-22,96.953,97.177,2027A0KK4=
2022-03-23,97.471,97.697,2027A0KK4=
2022-03-24,97.013,97.237,2027A0KK4=
2022-03-25,96.288,96.51,2027A0KK4=
2022-03-28,96.064,96.286,2027A0KK4=
2022-03-29,96.162,96.383,2027A0KK4=
2022-03-30,96.865,97.089,2027A0KK4=
2022-03-31,96.946,97.169,2027A0KK4=
2022-04-01,96.769,96.992,2027A0KK4=
2022-04-04,96.505,96.727,2027A0KK4=
2022-04-05,95.718,95.937,2027A0KK4=
2022-04-06,95.874,96.093,2027A0KK4=
2022-04-07,95.805,96.025,2027A0KK4=
2022-04-08,95.458,95.676,2027A0KK4=
2022-04-11,95.299,95.517,2027A0KK4=
2022-04-12,95.681,95.899,2027A0KK4=
2022-04-13,95.711,95.929,2027A0KK4=
2022-04-14,95.665,95.883,2027A0KK4=
2022-04-15,95.755,95.973,2027A0KK4=
2022-04-18,95.637,95.855,2027A0KK4=
2022-04-19,94.821,95.037,2027A0KK4=
2022-04-20,94.807,95.022,2027A0KK4=
2022-04-21,94.318,94.532,2027A0KK4=
2022-04-22,94.569,94.783,2027A0KK4=
2022-04-25,94.576,94.79,2027A0KK4=
2022-04-26,95.188,95.404,2027A0KK4=
2022-04-27,94.813,95.027,2027A0KK4=
2022-04-28,94.637,94.851,2027A0KK4=
2022-04-29,94.281,94.494,2027A0KK4=
2022-05-02,94.28,94.493,2027A0KK4=
2022-05-03,93.8,94.012,2027A0KK4=
2022-05-04,94.401,94.614,2027A0KK4=
2022-05-05,94.151,94.363,2027A0KK4=
2022-05-06,93.556,93.766,2027A0KK4=
2022-05-09,94.22,94.432,2027A0KK4=
2022-05-10,94.367,94.579,2027A0KK4=
2022-05-11,94.328,94.54,2027A0KK4=
2022-05-12,94.591,94.803,2027A0KK4=
2022-05-13,94.568,94.78,2027A0KK4=
2022-05-16,94.609,94.821,2027A0KK4=
2022-05-17,94.097,94.308,2027A0KK4=
2022-05-18,94.222,94.433,2027A0KK4=
2022-05-19,94.067,94.277,2027A0KK4=
2022-05-20,94.327,94.537,2027A0KK4=
2022-05-23,94.204,94.414,2027A0KK4=
2022-05-24,94.556,94.766,2027A0KK4=
2022-05-25,94.968,95.18,2027A0KK4=
2022-05-26,94.891,95.103,2027A0KK4=
2022-05-27,94.818,95.029,2027A0KK4=
2022-05-30,94.455,94.665,2027A0KK4=
2022-05-31,94.623,94.834,2027A0KK4=
2022-06-01,94.312,94.521,2027A0KK4=
2022-06-02,94.216,94.425,2027A0KK4=
2022-06-03,94.236,94.445,2027A0KK4=
2022-06-06,93.657,93.865,2027A0KK4=
2022-06-07,94.017,94.225,2027A0KK4=
2022-06-08,93.838,94.045,2027A0KK4=
2022-06-09,93.744,93.951,2027A0KK4=
2022-06-10,93.155,93.36,2027A0KK4=
2022-06-13,92.189,92.392,2027A0KK4=
2022-06-14,91.713,91.914,2027A0KK4=
2022-06-15,91.951,92.153,2027A0KK4=
2022-06-16,92.359,92.562,2027A0KK4=
2022-06-17,92.117,92.319,2027A0KK4=
2022-06-20,91.975,92.176,2027A0KK4=
2022-06-21,92.21,92.412,2027A0KK4=
2022-06-22,92.541,92.744,2027A0KK4=
2022-06-23,92.93,93.133,2027A0KK4=
2022-06-24,92.901,93.104,2027A0KK4=
2022-06-27,92.577,92.779,2027A0KK4=
2022-06-28,92.597,92.799,2027A0KK4=
2022-06-29,93.034,93.237,2027A0KK4=
2022-06-30,93.154,93.357,2027A0KK4=
2022-07-01,93.805,94.009,2027A0KK4=
2022-07-04,93.749,93.954,2027A0KK4=
2022-07-05,93.849,94.053,2027A0KK4=
2022-07-06,93.787,93.991,2027A0KK4=
2022-07-07,93.354,93.557,2027A0KK4=
2022-07-08,93.103,93.305,2027A0KK4=
2022-07-11,93.139,93.341,2027A0KK4=
2022-07-12,93.244,93.446,2027A0KK4=
2022-07-13,93.535,93.737,2027A0KK4=
2022-07-14,93.162,93.364,2027A0KK4=
2022-07-15,93.186,93.387,2027A0KK4=
2022-07-18,93.085,93.286,2027A0KK4=
2022-07-19,92.949,93.149,2027A0KK4=
2022-07-20,92.92,93.121,2027A0KK4=
2022-07-21,93.445,93.647,2027A0KK4=
