Date,BID,ASK,RIC
2021-01-08,99.8243,100.1222,21688AAQ5=
2021-01-11,99.8245,99.9732,21688AAQ5=
2021-01-12,99.8009,99.9494,21688AAQ5=
2021-01-13,99.8248,99.9732,21688AAQ5=
2021-01-14,99.8255,99.9734,21688AAQ5=
2021-01-15,99.8788,100.0266,21688AAQ5=
2021-01-18,99.8701,100.0179,21688AAQ5=
2021-01-19,99.8996,100.0473,21688AAQ5=
2021-01-20,99.9173,100.0649,21688AAQ5=
2021-01-21,99.9235,100.0707,21688AAQ5=
2021-01-22,99.9323,100.0794,21688AAQ5=
2021-01-25,99.9618,100.1088,21688AAQ5=
2021-01-26,99.9618,100.1087,21688AAQ5=
2021-01-27,99.9765,100.1233,21688AAQ5=
2021-01-28,99.9385,100.0849,21688AAQ5=
2021-01-29,99.9707,100.1171,21688AAQ5=
2021-02-01,99.9766,100.1228,21688AAQ5=
2021-02-02,99.962,100.1081,21688AAQ5=
2021-02-03,99.93,100.0759,21688AAQ5=
2021-02-04,99.9389,100.0844,21688AAQ5=
2021-02-05,99.9535,100.0989,21688AAQ5=
2021-02-08,99.9303,100.0755,21688AAQ5=
2021-02-09,99.9362,100.0813,21688AAQ5=
2021-02-10,99.942,100.0869,21688AAQ5=
2021-02-11,99.9336,100.078,21688AAQ5=
2021-02-12,99.9106,100.0548,21688AAQ5=
2021-02-15,99.874,100.0181,21688AAQ5=
2021-02-16,99.8129,99.9568,21688AAQ5=
2021-02-17,99.8734,100.0173,21688AAQ5=
2021-02-18,99.8824,100.0259,21688AAQ5=
2021-02-19,99.8939,100.0372,21688AAQ5=
2021-02-22,99.8482,99.9913,21688AAQ5=
2021-02-23,99.8855,100.0286,21688AAQ5=
2021-02-24,99.82,99.9628,21688AAQ5=
2021-02-25,99.6025,99.7443,21688AAQ5=
2021-02-26,99.8125,99.9545,21688AAQ5=
2021-03-01,99.8949,100.0369,21688AAQ5=
2021-03-02,99.9007,100.0425,21688AAQ5=
2021-03-03,99.7876,99.9291,21688AAQ5=
2021-03-04,99.7431,99.8841,21688AAQ5=
2021-03-05,99.7265,99.8674,21688AAQ5=
2021-03-08,99.6368,99.7774,21688AAQ5=
2021-03-09,99.7045,99.8451,21688AAQ5=
2021-03-10,99.688,99.8284,21688AAQ5=
2021-03-11,99.7113,99.8513,21688AAQ5=
2021-03-12,99.6529,99.7927,21688AAQ5=
2021-03-15,99.6588,99.7985,21688AAQ5=
2021-03-16,99.6536,99.7931,21688AAQ5=
2021-03-17,99.7486,99.8881,21688AAQ5=
2021-03-18,99.691,99.83,21688AAQ5=
2021-03-19,99.6691,99.808,21688AAQ5=
2021-03-22,99.7055,99.8443,21688AAQ5=
2021-03-23,99.7501,99.8888,21688AAQ5=
2021-03-24,99.7504,99.889,21688AAQ5=
2021-03-25,99.7787,99.9169,21688AAQ5=
2021-03-26,99.7431,99.8811,21688AAQ5=
2021-03-29,99.7117,99.8497,21688AAQ5=
2021-03-30,99.691,99.8288,21688AAQ5=
2021-03-31,99.6346,99.7717,21688AAQ5=
2021-04-01,99.6624,99.7995,21688AAQ5=
2021-04-02,99.5447,99.6816,21688AAQ5=
2021-04-05,99.6108,99.7476,21688AAQ5=
2021-04-06,99.6685,99.8053,21688AAQ5=
2021-04-07,99.6771,99.8138,21688AAQ5=
2021-04-08,99.7134,99.8497,21688AAQ5=
2021-04-09,99.6974,99.8336,21688AAQ5=
2021-04-12,99.6542,99.7901,21688AAQ5=
2021-04-13,99.6573,99.7931,21688AAQ5=
2021-04-14,99.6414,99.7771,21688AAQ5=
2021-04-15,99.6857,99.821,21688AAQ5=
2021-04-16,99.6725,99.8077,21688AAQ5=
2021-04-19,99.6863,99.8213,21688AAQ5=
2021-04-20,99.7433,99.8783,21688AAQ5=
2021-04-21,99.7435,99.8784,21688AAQ5=
2021-04-22,99.7658,99.9003,21688AAQ5=
2021-04-23,99.7043,99.8385,21688AAQ5=
2021-04-26,99.6886,99.8227,21688AAQ5=
2021-04-27,99.6407,99.7746,21688AAQ5=
2021-04-28,99.7052,99.839,21688AAQ5=
2021-04-29,99.6981,99.8315,21688AAQ5=
2021-04-30,99.7144,99.8477,21688AAQ5=
2021-05-03,99.7413,99.8745,21688AAQ5=
2021-05-04,99.7496,99.8827,21688AAQ5=
2021-05-05,99.7791,99.9121,21688AAQ5=
2021-05-06,99.7718,99.9044,21688AAQ5=
2021-05-07,99.8223,99.9548,21688AAQ5=
2021-05-10,99.8093,99.9417,21688AAQ5=
2021-05-11,99.7937,99.9259,21688AAQ5=
2021-05-12,99.6567,99.7885,21688AAQ5=
2021-05-13,99.7077,99.8392,21688AAQ5=
2021-05-14,99.7264,99.8578,21688AAQ5=
2021-05-17,99.6795,99.8107,21688AAQ5=
