Date,BID,ASK,RIC
2022-06-13,98.3221,98.4059,222213BA7=
2022-06-14,97.8767,97.96,222213BA7=
2022-06-15,98.6421,98.7261,222213BA7=
2022-06-16,99.1083,99.1925,222213BA7=
2022-06-17,98.7817,98.8655,222213BA7=
2022-06-20,98.6877,98.7714,222213BA7=
2022-06-21,98.7157,98.7994,222213BA7=
2022-06-22,99.1021,99.1861,222213BA7=
2022-06-23,99.4399,99.524,222213BA7=
2022-06-24,99.2138,99.2976,222213BA7=
2022-06-27,98.986,99.0695,222213BA7=
2022-06-28,99.1845,99.2681,222213BA7=
2022-06-29,99.3858,99.4696,222213BA7=
2022-06-30,99.7165,99.8003,222213BA7=
2022-07-01,100.0717,100.1558,222213BA7=
2022-07-04,99.9795,100.0635,222213BA7=
2022-07-05,100.1472,100.2313,222213BA7=
2022-07-06,99.6031,99.6865,222213BA7=
2022-07-07,99.4572,99.5403,222213BA7=
2022-07-08,99.3084,99.3913,222213BA7=
2022-07-11,99.3283,99.4111,222213BA7=
2022-07-12,99.3206,99.4033,222213BA7=
2022-07-13,99.2496,99.3322,222213BA7=
2022-07-14,99.3806,99.4631,222213BA7=
2022-07-15,99.2768,99.3591,222213BA7=
2022-07-18,99.1816,99.2637,222213BA7=
2022-07-19,98.8114,98.8931,222213BA7=
2022-07-20,98.9512,99.033,222213BA7=
2022-07-21,99.3788,99.4607,222213BA7=
2022-07-22,99.773,99.8553,222213BA7=
2022-07-25,99.6446,99.7267,222213BA7=
2022-07-26,99.5384,99.6203,222213BA7=
2022-07-27,99.7735,99.8555,222213BA7=
2022-07-28,100.1375,100.2197,222213BA7=
2022-07-29,100.1867,100.2689,222213BA7=
2022-08-01,100.1318,100.2139,222213BA7=
2022-08-02,99.3294,99.4106,222213BA7=
2022-08-03,99.6415,99.723,222213BA7=
2022-08-04,99.6911,99.7724,222213BA7=
2022-08-05,99.1843,99.265,222213BA7=
2022-08-08,99.2765,99.3572,222213BA7=
2022-08-09,99.1214,99.2019,222213BA7=
2022-08-10,99.1302,99.2106,222213BA7=
2022-08-11,99.1513,99.2315,222213BA7=
2022-08-12,99.1227,99.2028,222213BA7=
2022-08-15,99.2676,99.3478,222213BA7=
2022-08-16,99.087,99.1669,222213BA7=
2022-08-17,98.9283,99.008,222213BA7=
2022-08-18,99.0558,99.1354,222213BA7=
2022-08-19,98.882,98.9614,222213BA7=
2022-08-22,98.6035,98.6825,222213BA7=
2022-08-23,98.6522,98.7312,222213BA7=
2022-08-24,98.5063,98.5851,222213BA7=
2022-08-25,98.5969,98.6755,222213BA7=
2022-08-26,98.5668,98.6453,222213BA7=
2022-08-29,98.3917,98.4701,222213BA7=
2022-08-30,98.3462,98.4244,222213BA7=
2022-08-31,98.2151,98.2931,222213BA7=
2022-09-01,98.1933,98.271,222213BA7=
2022-09-02,98.4853,98.5632,222213BA7=
2022-09-05,98.36,98.4378,222213BA7=
2022-09-06,98.1321,98.2096,222213BA7=
2022-09-07,98.3535,98.4312,222213BA7=
2022-09-08,98.152,98.2292,222213BA7=
2022-09-09,98.0716,98.1487,222213BA7=
2022-09-12,98.0426,98.1196,222213BA7=
2022-09-13,97.6865,97.7631,222213BA7=
2022-09-14,97.648,97.7245,222213BA7=
2022-09-15,97.505,97.5811,222213BA7=
2022-09-16,97.5479,97.624,222213BA7=
2022-09-19,97.3707,97.4465,222213BA7=
2022-09-20,97.2748,97.3505,222213BA7=
2022-09-21,97.1039,97.1793,222213BA7=
2022-09-22,96.8071,96.882,222213BA7=
2022-09-23,96.4617,96.5362,222213BA7=
2022-09-26,95.9804,96.0544,222213BA7=
2022-09-27,96.2433,96.3175,222213BA7=
2022-09-28,96.7871,96.8617,222213BA7=
2022-09-29,96.6528,96.7271,222213BA7=
2022-09-30,96.4068,96.4808,222213BA7=
2022-10-03,96.8349,96.9092,222213BA7=
2022-10-04,96.8652,96.9394,222213BA7=
2022-10-05,96.7102,96.7842,222213BA7=
2022-10-06,96.3383,96.4117,222213BA7=
2022-10-07,96.1565,96.2296,222213BA7=
2022-10-10,96.1286,96.2017,222213BA7=
2022-10-11,96.2553,96.3285,222213BA7=
2022-10-12,96.3467,96.4199,222213BA7=
2022-10-13,96.076,96.1487,222213BA7=
2022-10-14,95.9565,96.029,222213BA7=
2022-10-17,96.0572,96.1297,222213BA7=
2022-10-18,96.0876,96.1601,222213BA7=
2022-10-19,95.8049,95.8771,222213BA7=
2022-10-20,95.6354,95.7072,222213BA7=
2022-10-21,95.9174,95.9894,222213BA7=
2022-10-24,95.8688,95.9407,222213BA7=
2022-10-25,96.0501,96.122,222213BA7=
2022-10-26,96.2483,96.3204,222213BA7=
2022-10-27,96.3445,96.4165,222213BA7=
2022-10-28,96.3075,96.3794,222213BA7=
2022-10-31,96.1105,96.1821,222213BA7=
2022-11-01,95.9619,96.0333,222213BA7=
2022-11-02,95.6244,95.6954,222213BA7=
2022-11-03,95.6613,95.7322,222213BA7=
2022-11-04,95.8475,95.9185,222213BA7=
2022-11-07,95.6842,95.7549,222213BA7=
2022-11-08,95.9385,96.0094,222213BA7=
2022-11-09,96.0893,96.16,222213BA7=
2022-11-10,96.8051,96.8764,222213BA7=
2022-11-11,96.7186,96.7898,222213BA7=
2022-11-14,96.6046,96.6756,222213BA7=
2022-11-15,96.9446,97.0159,222213BA7=
2022-11-16,96.943,97.0142,222213BA7=
2022-11-17,96.8627,96.9336,222213BA7=
2022-11-18,96.5246,96.5951,222213BA7=
2022-11-21,96.3758,96.4461,222213BA7=
2022-11-22,96.5799,96.6502,222213BA7=
2022-11-23,96.7029,96.7731,222213BA7=
2022-11-24,96.8148,96.8851,222213BA7=
2022-11-25,96.7625,96.8327,222213BA7=
2022-11-28,96.7916,96.8618,222213BA7=
2022-11-29,96.6504,96.7204,222213BA7=
2022-11-30,97.1936,97.264,222213BA7=
2022-12-01,97.4812,97.5516,222213BA7=
2022-12-02,97.1799,97.25,222213BA7=
2022-12-05,96.8827,96.9524,222213BA7=
2022-12-06,97.0789,97.1487,222213BA7=
2022-12-07,97.3101,97.38,222213BA7=
2022-12-08,97.1586,97.2282,222213BA7=
2022-12-09,97.0136,97.083,222213BA7=
2022-12-12,96.9776,97.0469,222213BA7=
2022-12-13,97.4526,97.5222,222213BA7=
2022-12-14,97.4716,97.5412,222213BA7=
2022-12-15,97.3109,97.3801,222213BA7=
2022-12-16,97.4035,97.4727,222213BA7=
2022-12-19,97.1647,97.2336,222213BA7=
2022-12-20,97.2939,97.3629,222213BA7=
2022-12-21,97.1774,97.2462,222213BA7=
2022-12-22,97.025,97.0934,222213BA7=
2022-12-23,97.1169,97.1853,222213BA7=
2022-12-27,96.811,96.879,222213BA7=
