Date,BID,ASK,RIC
2014-09-09,98.7854,99.1965,22546QAP2=
2014-09-10,98.614,99.024,22546QAP2=
2014-09-11,98.4672,98.8764,22546QAP2=
2014-09-12,97.9954,98.4022,22546QAP2=
2014-09-15,98.0607,98.4677,22546QAP2=
2014-09-16,98.4435,98.8523,22546QAP2=
2014-09-17,98.1514,98.5585,22546QAP2=
2014-09-18,98.6567,99.0662,22546QAP2=
2014-09-19,98.8205,99.2306,22546QAP2=
2014-09-22,98.8452,99.2554,22546QAP2=
2014-09-23,99.1569,99.5684,22546QAP2=
2014-09-24,98.7561,99.1654,22546QAP2=
2014-09-25,98.691,99.0999,22546QAP2=
2014-09-26,98.1627,98.5689,22546QAP2=
2014-09-29,98.5692,98.9774,22546QAP2=
2014-09-30,98.602,99.0103,22546QAP2=
2014-10-01,99.47,99.8822,22546QAP2=
2014-10-02,98.921,99.3304,22546QAP2=
2014-10-03,99.8408,100.2546,22546QAP2=
2014-10-06,99.3716,99.783,22546QAP2=
2014-10-07,99.882,100.2958,22546QAP2=
2014-10-08,100.0553,100.4695,22546QAP2=
2014-10-09,100.2289,100.6439,22546QAP2=
2014-10-10,100.4858,100.9019,22546QAP2=
2014-10-14,100.9851,101.4035,22546QAP2=
2014-10-15,101.2934,101.7131,22546QAP2=
2014-10-16,100.4352,100.8506,22546QAP2=
2014-10-17,100.9587,101.3765,22546QAP2=
2014-10-20,101.0001,101.418,22546QAP2=
2014-10-21,100.7251,101.1416,22546QAP2=
2014-10-22,101.1157,101.5337,22546QAP2=
2014-10-23,100.8073,101.2238,22546QAP2=
2014-10-24,100.8985,101.3154,22546QAP2=
2014-10-27,100.9565,101.3735,22546QAP2=
2014-10-28,100.4404,100.855,22546QAP2=
2014-10-29,100.1118,100.5244,22546QAP2=
2014-10-30,100.227,100.6402,22546QAP2=
2014-10-31,100.0787,100.4911,22546QAP2=
2014-11-03,99.9883,100.4,22546QAP2=
2014-11-04,99.9143,100.3257,22546QAP2=
2014-11-05,100.0703,100.4821,22546QAP2=
2014-11-06,99.775,100.1852,22546QAP2=
