Date,BID,ASK,RIC
2021-01-29,100.014,100.163,22550L2E0=
2021-02-01,99.99,100.138,22550L2E0=
2021-02-02,100.004,100.153,22550L2E0=
2021-02-03,100.0,100.149,22550L2E0=
2021-02-04,99.911,100.059,22550L2E0=
2021-02-05,100.112,100.26,22550L2E0=
2021-02-08,100.117,100.265,22550L2E0=
2021-02-09,99.996,100.144,22550L2E0=
2021-02-10,100.106,100.253,22550L2E0=
2021-02-11,100.117,100.264,22550L2E0=
2021-02-12,100.094,100.241,22550L2E0=
2021-02-15,100.108,100.255,22550L2E0=
2021-02-16,100.047,100.194,22550L2E0=
2021-02-17,100.134,100.281,22550L2E0=
2021-02-18,100.126,100.272,22550L2E0=
2021-02-19,100.254,100.4,22550L2E0=
2021-02-22,100.004,100.15,22550L2E0=
2021-02-23,100.011,100.157,22550L2E0=
2021-02-24,100.004,100.15,22550L2E0=
2021-02-25,99.766,99.911,22550L2E0=
2021-02-26,99.859,100.003,22550L2E0=
2021-03-01,99.824,99.968,22550L2E0=
2021-03-02,99.743,99.887,22550L2E0=
2021-03-03,99.746,99.89,22550L2E0=
2021-03-04,99.619,99.762,22550L2E0=
2021-03-05,99.63,99.773,22550L2E0=
2021-03-08,99.226,99.369,22550L2E0=
2021-03-09,99.264,99.407,22550L2E0=
2021-03-10,99.393,99.535,22550L2E0=
2021-03-11,99.385,99.527,22550L2E0=
2021-03-12,99.511,99.653,22550L2E0=
2021-03-15,99.374,99.516,22550L2E0=
2021-03-16,99.341,99.483,22550L2E0=
2021-03-17,99.065,99.206,22550L2E0=
2021-03-18,99.237,99.377,22550L2E0=
2021-03-19,99.245,99.385,22550L2E0=
2021-03-22,99.25,99.391,22550L2E0=
2021-03-23,99.376,99.516,22550L2E0=
2021-03-24,99.315,99.455,22550L2E0=
2021-03-25,99.348,99.488,22550L2E0=
2021-03-26,99.313,99.453,22550L2E0=
2021-03-29,99.284,99.424,22550L2E0=
2021-03-30,99.265,99.404,22550L2E0=
2021-03-31,98.718,98.857,22550L2E0=
2021-04-01,98.745,98.883,22550L2E0=
2021-04-02,98.636,98.773,22550L2E0=
2021-04-05,98.586,98.723,22550L2E0=
2021-04-06,98.865,99.002,22550L2E0=
2021-04-07,99.234,99.373,22550L2E0=
2021-04-08,99.134,99.272,22550L2E0=
2021-04-09,99.091,99.229,22550L2E0=
2021-04-12,99.05,99.187,22550L2E0=
2021-04-13,99.092,99.23,22550L2E0=
2021-04-14,99.08,99.217,22550L2E0=
2021-04-15,99.12,99.257,22550L2E0=
2021-04-16,99.108,99.245,22550L2E0=
2021-04-19,99.386,99.523,22550L2E0=
2021-04-20,99.117,99.254,22550L2E0=
2021-04-21,99.122,99.258,22550L2E0=
2021-04-22,99.252,99.388,22550L2E0=
2021-04-23,99.195,99.33,22550L2E0=
2021-04-26,99.258,99.394,22550L2E0=
2021-04-27,99.221,99.357,22550L2E0=
2021-04-28,99.174,99.309,22550L2E0=
2021-04-29,99.147,99.282,22550L2E0=
2021-04-30,99.24,99.375,22550L2E0=
2021-05-03,99.262,99.397,22550L2E0=
2021-05-04,99.377,99.512,22550L2E0=
2021-05-05,99.378,99.513,22550L2E0=
2021-05-06,99.375,99.509,22550L2E0=
2021-05-07,99.418,99.552,22550L2E0=
2021-05-10,99.378,99.512,22550L2E0=
2021-05-11,99.63,99.765,22550L2E0=
2021-05-12,99.545,99.679,22550L2E0=
2021-05-13,99.73,99.864,22550L2E0=
2021-05-14,99.64,99.774,22550L2E0=
2021-05-17,99.622,99.755,22550L2E0=
2021-05-18,99.645,99.778,22550L2E0=
2021-05-19,99.383,99.516,22550L2E0=
2021-05-20,99.627,99.76,22550L2E0=
2021-05-21,99.618,99.751,22550L2E0=
2021-05-24,99.632,99.764,22550L2E0=
2021-05-25,99.671,99.804,22550L2E0=
2021-05-26,99.672,99.804,22550L2E0=
2021-05-27,99.757,99.889,22550L2E0=
2021-05-28,99.781,99.913,22550L2E0=
2021-05-31,99.767,99.899,22550L2E0=
2021-06-01,99.775,99.907,22550L2E0=
2021-06-02,99.774,99.906,22550L2E0=
2021-06-03,99.765,99.896,22550L2E0=
2021-06-04,99.864,99.995,22550L2E0=
2021-06-07,99.742,99.873,22550L2E0=
2021-06-08,99.753,99.884,22550L2E0=
2021-06-09,99.753,99.884,22550L2E0=
2021-06-10,100.01,100.141,22550L2E0=
2021-06-11,99.981,100.112,22550L2E0=
2021-06-14,99.699,99.829,22550L2E0=
2021-06-15,99.693,99.823,22550L2E0=
2021-06-16,99.752,99.882,22550L2E0=
2021-06-17,99.746,99.875,22550L2E0=
2021-06-18,99.649,99.778,22550L2E0=
2021-06-21,99.641,99.77,22550L2E0=
2021-06-22,99.552,99.68,22550L2E0=
2021-06-23,99.576,99.704,22550L2E0=
2021-06-24,99.554,99.682,22550L2E0=
2021-06-25,99.554,99.682,22550L2E0=
2021-06-28,99.625,99.753,22550L2E0=
2021-06-29,99.51,99.638,22550L2E0=
2021-06-30,99.628,99.755,22550L2E0=
2021-07-01,99.754,99.882,22550L2E0=
2021-07-02,99.803,99.93,22550L2E0=
2021-07-05,99.641,99.768,22550L2E0=
2021-07-06,99.685,99.812,22550L2E0=
2021-07-07,100.118,100.246,22550L2E0=
2021-07-08,99.68,99.806,22550L2E0=
2021-07-09,99.85,99.977,22550L2E0=
2021-07-12,99.7335,99.8597,22550L2E0=
2021-07-13,99.6085,99.7344,22550L2E0=
2021-07-14,99.6627,99.7886,22550L2E0=
2021-07-15,99.5535,99.6788,22550L2E0=
2021-07-16,99.5531,99.6782,22550L2E0=
2021-07-19,99.5527,99.6777,22550L2E0=
2021-07-20,99.6822,99.8073,22550L2E0=
2021-07-21,99.6082,99.733,22550L2E0=
2021-07-22,99.6901,99.8146,22550L2E0=
2021-07-23,99.6904,99.8148,22550L2E0=
2021-07-26,99.6168,99.7409,22550L2E0=
2021-07-27,99.7634,99.8876,22550L2E0=
2021-07-28,99.8545,99.9787,22550L2E0=
2021-07-29,99.7608,99.8846,22550L2E0=
2021-07-30,99.8651,99.9889,22550L2E0=
2021-08-02,100.0057,100.1296,22550L2E0=
2021-08-03,99.8873,100.0109,22550L2E0=
2021-08-04,99.7494,99.8726,22550L2E0=
2021-08-05,99.7309,99.8537,22550L2E0=
2021-08-06,99.6012,99.7237,22550L2E0=
2021-08-09,99.5733,99.6956,22550L2E0=
2021-08-10,99.5207,99.6428,22550L2E0=
2021-08-11,99.568,99.69,22550L2E0=
2021-08-12,99.6257,99.7474,22550L2E0=
2021-08-13,99.7549,99.8767,22550L2E0=
2021-08-16,99.6104,99.7318,22550L2E0=
2021-08-17,99.6265,99.7478,22550L2E0=
2021-08-18,99.627,99.7482,22550L2E0=
2021-08-19,99.6155,99.7362,22550L2E0=
2021-08-20,99.5966,99.7172,22550L2E0=
2021-08-23,99.6303,99.7508,22550L2E0=
2021-08-24,99.6207,99.741,22550L2E0=
2021-08-25,99.6124,99.7326,22550L2E0=
2021-08-26,99.6096,99.7294,22550L2E0=
2021-08-27,99.6833,99.8032,22550L2E0=
2021-08-30,99.7538,99.8736,22550L2E0=
2021-08-31,99.8754,99.9953,22550L2E0=
2021-09-01,99.725,99.8445,22550L2E0=
2021-09-02,99.7347,99.8537,22550L2E0=
2021-09-03,99.7781,99.897,22550L2E0=
2021-09-06,99.7666,99.8855,22550L2E0=
2021-09-07,99.7202,99.8389,22550L2E0=
2021-09-08,99.8009,99.9196,22550L2E0=
2021-09-09,99.8368,99.9551,22550L2E0=
2021-09-10,99.8126,99.9307,22550L2E0=
2021-09-13,99.7408,99.8587,22550L2E0=
2021-09-14,99.7549,99.8727,22550L2E0=
2021-09-15,99.7449,99.8625,22550L2E0=
2021-09-16,99.6241,99.7412,22550L2E0=
2021-09-17,99.6207,99.7376,22550L2E0=
2021-09-20,99.7477,99.8647,22550L2E0=
2021-09-21,99.6146,99.7312,22550L2E0=
2021-09-22,99.5778,99.6942,22550L2E0=
2021-09-23,99.5089,99.6248,22550L2E0=
2021-09-24,99.4834,99.5992,22550L2E0=
2021-09-27,99.4628,99.5784,22550L2E0=
2021-09-28,99.6354,99.7511,22550L2E0=
2021-09-29,99.632,99.7476,22550L2E0=
2021-09-30,99.6188,99.7339,22550L2E0=
2021-10-01,99.6388,99.7538,22550L2E0=
2021-10-04,99.6056,99.7204,22550L2E0=
2021-10-05,99.5844,99.6991,22550L2E0=
2021-10-06,99.6205,99.7351,22550L2E0=
2021-10-07,99.6931,99.8072,22550L2E0=
2021-10-08,99.6557,99.7697,22550L2E0=
2021-10-11,99.5714,99.6852,22550L2E0=
2021-10-12,99.5037,99.6173,22550L2E0=
2021-10-13,99.4338,99.5472,22550L2E0=
2021-10-14,99.443,99.556,22550L2E0=
2021-10-15,99.3998,99.5126,22550L2E0=
2021-10-18,99.3341,99.4466,22550L2E0=
2021-10-19,99.3765,99.489,22550L2E0=
2021-10-20,99.2176,99.3297,22550L2E0=
2021-10-21,99.0716,99.1831,22550L2E0=
2021-10-22,99.0724,99.1838,22550L2E0=
2021-10-25,99.2397,99.3512,22550L2E0=
2021-10-26,99.2117,99.323,22550L2E0=
2021-10-27,99.1062,99.2172,22550L2E0=
2021-10-28,99.1388,99.2496,22550L2E0=
2021-10-29,99.0668,99.1773,22550L2E0=
2021-11-01,99.06,99.1704,22550L2E0=
2021-11-02,99.2116,99.3221,22550L2E0=
2021-11-03,99.1289,99.2391,22550L2E0=
2021-11-04,99.2294,99.3393,22550L2E0=
2021-11-05,99.4994,99.6096,22550L2E0=
2021-11-08,99.3505,99.4603,22550L2E0=
2021-11-09,99.322,99.4315,22550L2E0=
2021-11-10,99.0811,99.1899,22550L2E0=
2021-11-11,99.0829,99.1917,22550L2E0=
2021-11-12,99.031,99.1396,22550L2E0=
2021-11-15,99.0065,99.1149,22550L2E0=
2021-11-16,99.0018,99.1101,22550L2E0=
2021-11-17,99.0576,99.1658,22550L2E0=
2021-11-18,99.0089,99.1166,22550L2E0=
2021-11-19,98.9807,99.0883,22550L2E0=
2021-11-22,98.7189,98.826,22550L2E0=
2021-11-23,98.7926,98.8995,22550L2E0=
