Date,BID,ASK,RIC
2021-08-05,99.8907,99.99,22550L2F7=
2021-08-06,99.987,100.0863,22550L2F7=
2021-08-09,100.0067,100.1058,22550L2F7=
2021-08-10,99.9746,100.0736,22550L2F7=
2021-08-11,100.0855,100.1845,22550L2F7=
2021-08-12,99.8809,99.9792,22550L2F7=
2021-08-13,99.8753,99.9735,22550L2F7=
2021-08-16,99.9856,100.0838,22550L2F7=
2021-08-17,99.88,99.9779,22550L2F7=
2021-08-18,99.8802,99.978,22550L2F7=
2021-08-19,99.9899,100.0874,22550L2F7=
2021-08-20,99.9428,100.0401,22550L2F7=
2021-08-23,99.9958,100.093,22550L2F7=
2021-08-24,100.0029,100.1,22550L2F7=
2021-08-25,100.0141,100.1111,22550L2F7=
2021-08-26,100.1289,100.2256,22550L2F7=
2021-08-27,100.1168,100.2135,22550L2F7=
2021-08-30,100.125,100.2215,22550L2F7=
2021-08-31,100.1215,100.2179,22550L2F7=
2021-09-01,100.1852,100.2815,22550L2F7=
2021-09-02,100.2477,100.3436,22550L2F7=
2021-09-03,100.2486,100.3443,22550L2F7=
2021-09-06,100.1908,100.2865,22550L2F7=
2021-09-07,100.1009,100.1963,22550L2F7=
2021-09-08,100.1085,100.2038,22550L2F7=
2021-09-09,100.1183,100.2132,22550L2F7=
2021-09-10,100.1151,100.2098,22550L2F7=
2021-09-13,100.1809,100.2756,22550L2F7=
2021-09-14,100.131,100.2255,22550L2F7=
2021-09-15,100.1241,100.2184,22550L2F7=
2021-09-16,100.1111,100.205,22550L2F7=
2021-09-17,100.1193,100.2131,22550L2F7=
2021-09-20,100.0993,100.1929,22550L2F7=
2021-09-21,100.2153,100.3089,22550L2F7=
2021-09-22,100.0938,100.1871,22550L2F7=
2021-09-23,100.1145,100.2075,22550L2F7=
2021-09-24,100.1263,100.2191,22550L2F7=
2021-09-27,100.0048,100.0974,22550L2F7=
2021-09-28,100.1219,100.2145,22550L2F7=
2021-09-29,100.1109,100.2033,22550L2F7=
2021-09-30,100.1258,100.2178,22550L2F7=
2021-10-01,100.129,100.2209,22550L2F7=
2021-10-04,99.9968,100.0884,22550L2F7=
2021-10-05,99.9869,100.0783,22550L2F7=
2021-10-06,100.0062,100.0975,22550L2F7=
2021-10-07,99.9911,100.0819,22550L2F7=
2021-10-08,99.9891,100.0797,22550L2F7=
2021-10-11,99.9373,100.0279,22550L2F7=
2021-10-12,100.0089,100.0994,22550L2F7=
2021-10-13,99.873,99.9632,22550L2F7=
2021-10-14,99.8523,99.9421,22550L2F7=
2021-10-15,99.8006,99.8902,22550L2F7=
2021-10-18,99.8867,99.9762,22550L2F7=
2021-10-19,99.9224,100.0118,22550L2F7=
2021-10-20,99.9415,100.0308,22550L2F7=
2021-10-21,99.8396,99.9284,22550L2F7=
2021-10-22,99.6158,99.7042,22550L2F7=
2021-10-25,99.6509,99.7392,22550L2F7=
2021-10-26,99.8791,99.9675,22550L2F7=
2021-10-27,99.8352,99.9234,22550L2F7=
2021-10-28,99.8583,99.9463,22550L2F7=
2021-10-29,99.7055,99.7932,22550L2F7=
2021-11-01,99.5249,99.6122,22550L2F7=
2021-11-02,99.7742,99.8617,22550L2F7=
2021-11-03,99.6251,99.7123,22550L2F7=
2021-11-04,99.7371,99.824,22550L2F7=
2021-11-05,99.7823,99.8691,22550L2F7=
2021-11-08,99.8625,99.9493,22550L2F7=
2021-11-09,99.8676,99.9541,22550L2F7=
2021-11-10,99.7322,99.8181,22550L2F7=
2021-11-11,99.7018,99.7877,22550L2F7=
2021-11-12,99.629,99.7147,22550L2F7=
2021-11-15,99.6269,99.7124,22550L2F7=
2021-11-16,99.5571,99.6424,22550L2F7=
2021-11-17,99.6402,99.7255,22550L2F7=
2021-11-18,99.5907,99.6755,22550L2F7=
2021-11-19,99.5756,99.6603,22550L2F7=
2021-11-22,99.4211,99.5054,22550L2F7=
2021-11-23,99.472,99.5561,22550L2F7=
2021-11-24,99.4416,99.5253,22550L2F7=
2021-11-25,99.4372,99.5209,22550L2F7=
2021-11-26,99.5752,99.6589,22550L2F7=
2021-11-29,99.515,99.5985,22550L2F7=
2021-11-30,99.4377,99.521,22550L2F7=
2021-12-01,99.39,99.4731,22550L2F7=
2021-12-02,99.3731,99.4558,22550L2F7=
2021-12-03,99.2558,99.3382,22550L2F7=
2021-12-06,99.2063,99.2885,22550L2F7=
2021-12-07,99.2521,99.3342,22550L2F7=
2021-12-08,99.1416,99.2235,22550L2F7=
2021-12-09,99.2716,99.3532,22550L2F7=
2021-12-10,99.359,99.4405,22550L2F7=
2021-12-13,99.2765,99.3578,22550L2F7=
2021-12-14,99.2498,99.331,22550L2F7=
2021-12-15,99.2291,99.3101,22550L2F7=
2021-12-16,99.2971,99.3778,22550L2F7=
2021-12-17,99.2549,99.3354,22550L2F7=
2021-12-20,99.2767,99.3571,22550L2F7=
2021-12-21,99.2536,99.3338,22550L2F7=
2021-12-22,99.2518,99.3315,22550L2F7=
2021-12-23,99.2115,99.291,22550L2F7=
2021-12-24,99.2145,99.294,22550L2F7=
2021-12-27,99.2071,99.2864,22550L2F7=
2021-12-28,99.2312,99.3104,22550L2F7=
2021-12-29,99.2654,99.3442,22550L2F7=
2021-12-30,99.3087,99.3875,22550L2F7=
2021-12-31,99.2433,99.322,22550L2F7=
2022-01-03,99.1819,99.2604,22550L2F7=
2022-01-04,99.3724,99.4509,22550L2F7=
