Date,BID,ASK,RIC
2022-08-22,99.902,99.9944,22550L2J9=
2022-08-23,99.9242,100.0165,22550L2J9=
2022-08-24,99.7383,99.8302,22550L2J9=
2022-08-25,99.7993,99.8909,22550L2J9=
2022-08-26,99.7775,99.869,22550L2J9=
2022-08-29,99.6748,99.7662,22550L2J9=
2022-08-30,99.639,99.7302,22550L2J9=
2022-08-31,99.572,99.663,22550L2J9=
2022-09-01,99.5322,99.6227,22550L2J9=
2022-09-02,99.7533,99.8439,22550L2J9=
2022-09-05,99.6312,99.7217,22550L2J9=
2022-09-06,99.301,99.3909,22550L2J9=
2022-09-07,99.37,99.4599,22550L2J9=
2022-09-08,99.3311,99.4206,22550L2J9=
2022-09-09,99.1481,99.2372,22550L2J9=
2022-09-12,99.2008,99.2899,22550L2J9=
2022-09-13,98.9019,98.9905,22550L2J9=
2022-09-14,98.8272,98.9156,22550L2J9=
2022-09-15,98.7139,98.8018,22550L2J9=
2022-09-16,98.6875,98.7753,22550L2J9=
2022-09-19,98.5754,98.6629,22550L2J9=
2022-09-20,98.5162,98.6035,22550L2J9=
2022-09-21,98.3476,98.4346,22550L2J9=
2022-09-22,98.2175,98.304,22550L2J9=
2022-09-23,97.9699,98.056,22550L2J9=
2022-09-26,97.6777,97.7633,22550L2J9=
2022-09-27,97.8177,97.9034,22550L2J9=
2022-09-28,97.6294,97.7147,22550L2J9=
2022-09-29,97.6816,97.7666,22550L2J9=
2022-09-30,97.4797,97.5644,22550L2J9=
2022-10-03,96.9107,96.9946,22550L2J9=
2022-10-04,94.7105,94.7918,22550L2J9=
2022-10-05,94.0439,94.1244,22550L2J9=
2022-10-06,93.3604,93.4396,22550L2J9=
2022-10-07,94.2801,94.3602,22550L2J9=
2022-10-10,94.2632,94.3433,22550L2J9=
2022-10-11,94.4771,94.5573,22550L2J9=
2022-10-12,94.3904,94.4704,22550L2J9=
2022-10-13,94.0944,94.1737,22550L2J9=
2022-10-14,94.1027,94.1819,22550L2J9=
