Date,BID,ASK,RIC
2022-08-22,99.4383,99.651,22550L2K6=
2022-08-23,98.6521,98.8628,22550L2K6=
2022-08-24,98.3252,98.5349,22550L2K6=
2022-08-25,98.6541,98.8643,22550L2K6=
2022-08-26,98.5204,98.7302,22550L2K6=
2022-08-29,98.2137,98.4228,22550L2K6=
2022-08-30,98.1824,98.3912,22550L2K6=
2022-08-31,97.8461,98.054,22550L2K6=
2022-09-01,97.6387,97.8457,22550L2K6=
2022-09-02,98.0789,98.2869,22550L2K6=
2022-09-05,97.8719,98.0793,22550L2K6=
2022-09-06,96.6147,96.8189,22550L2K6=
2022-09-07,96.7141,96.9184,22550L2K6=
2022-09-08,96.6452,96.8491,22550L2K6=
2022-09-09,96.602,96.8056,22550L2K6=
2022-09-12,96.5832,96.7867,22550L2K6=
2022-09-13,96.0462,96.2483,22550L2K6=
2022-09-14,95.9553,96.157,22550L2K6=
2022-09-15,95.7921,95.9931,22550L2K6=
2022-09-16,95.8181,96.0191,22550L2K6=
2022-09-19,95.5677,95.768,22550L2K6=
2022-09-20,95.4339,95.6337,22550L2K6=
2022-09-21,95.2965,95.4959,22550L2K6=
2022-09-22,94.8234,95.0213,22550L2K6=
2022-09-23,94.4396,94.6365,22550L2K6=
2022-09-26,93.5744,93.769,22550L2K6=
2022-09-27,93.2827,93.4765,22550L2K6=
2022-09-28,93.3013,93.4951,22550L2K6=
2022-09-29,93.064,93.2569,22550L2K6=
2022-09-30,92.6755,92.8673,22550L2K6=
2022-10-03,89.2886,89.472,22550L2K6=
2022-10-04,89.3963,89.5799,22550L2K6=
2022-10-05,87.845,88.0247,22550L2K6=
2022-10-06,88.5229,88.7039,22550L2K6=
2022-10-07,88.9815,89.1635,22550L2K6=
2022-10-10,88.8672,89.0489,22550L2K6=
2022-10-11,89.4753,89.6584,22550L2K6=
2022-10-12,89.3744,89.5572,22550L2K6=
2022-10-13,89.0766,89.2584,22550L2K6=
2022-10-14,88.9658,89.1472,22550L2K6=
2022-10-17,89.1452,89.327,22550L2K6=
2022-10-18,89.1794,89.3611,22550L2K6=
2022-10-19,89.8919,90.0753,22550L2K6=
2022-10-20,90.2108,90.3947,22550L2K6=
2022-10-21,90.4288,90.6131,22550L2K6=
2022-10-24,90.3672,90.5512,22550L2K6=
2022-10-25,91.0252,91.2107,22550L2K6=
2022-10-26,91.3674,91.5537,22550L2K6=
2022-10-27,91.6301,91.8168,22550L2K6=
2022-10-28,90.9984,91.1835,22550L2K6=
2022-10-31,90.5643,90.7482,22550L2K6=
2022-11-01,89.7579,89.9398,22550L2K6=
2022-11-02,89.0328,89.2129,22550L2K6=
2022-11-03,88.3623,88.5405,22550L2K6=
2022-11-04,88.4926,88.671,22550L2K6=
2022-11-07,88.3772,88.5552,22550L2K6=
2022-11-08,88.7678,88.9467,22550L2K6=
2022-11-09,89.194,89.3735,22550L2K6=
2022-11-10,90.8589,91.0423,22550L2K6=
2022-11-11,90.7704,90.9536,22550L2K6=
2022-11-14,91.4553,91.64,22550L2K6=
2022-11-15,91.7626,91.948,22550L2K6=
2022-11-16,91.9484,92.1341,22550L2K6=
2022-11-17,91.8015,91.9866,22550L2K6=
2022-11-18,91.6174,91.8019,22550L2K6=
2022-11-21,91.7839,91.9687,22550L2K6=
2022-11-22,91.7333,91.9178,22550L2K6=
2022-11-23,91.3166,91.4998,22550L2K6=
2022-11-24,91.4508,91.6343,22550L2K6=
2022-11-25,91.4565,91.6399,22550L2K6=
2022-11-28,90.7209,90.9025,22550L2K6=
2022-11-29,89.3886,89.5669,22550L2K6=
2022-11-30,90.4085,90.5892,22550L2K6=
2022-12-01,90.7409,90.922,22550L2K6=
2022-12-02,89.5863,89.7646,22550L2K6=
2022-12-05,90.0523,90.2316,22550L2K6=
2022-12-06,90.9941,91.1756,22550L2K6=
2022-12-07,91.26,91.442,22550L2K6=
2022-12-08,90.9331,91.114,22550L2K6=
2022-12-09,91.1838,91.3652,22550L2K6=
2022-12-12,91.1269,91.3081,22550L2K6=
2022-12-13,91.6505,91.8328,22550L2K6=
2022-12-14,92.2029,92.3864,22550L2K6=
2022-12-15,92.2335,92.4168,22550L2K6=
2022-12-16,92.2705,92.4538,22550L2K6=
2022-12-19,91.8476,92.0298,22550L2K6=
2022-12-20,91.4348,91.6159,22550L2K6=
2022-12-21,90.9562,91.1361,22550L2K6=
2022-12-22,90.8749,91.0542,22550L2K6=
2022-12-23,91.5052,91.6859,22550L2K6=
2022-12-27,91.2109,91.3908,22550L2K6=
2022-12-28,90.9001,91.0792,22550L2K6=
2022-12-29,91.269,91.4486,22550L2K6=
2022-12-30,91.0373,91.2163,22550L2K6=
2023-01-02,91.161,91.3403,22550L2K6=
2023-01-03,91.4147,91.5945,22550L2K6=
2023-01-04,91.6313,91.8115,22550L2K6=
2023-01-05,90.812,90.99,22550L2K6=
2023-01-06,91.3335,91.5126,22550L2K6=
2023-01-09,91.9409,92.1213,22550L2K6=
2023-01-10,91.7758,91.9557,22550L2K6=
2023-01-11,92.2989,92.4799,22550L2K6=
2023-01-12,92.5057,92.6868,22550L2K6=
2023-01-13,92.981,93.1631,22550L2K6=
2023-01-16,92.8936,93.0755,22550L2K6=
2023-01-17,92.7957,92.9773,22550L2K6=
2023-01-18,93.8579,94.0419,22550L2K6=
2023-01-19,93.9149,94.0987,22550L2K6=
2023-01-20,93.4825,93.6652,22550L2K6=
2023-01-23,93.504,93.6866,22550L2K6=
2023-01-24,93.752,93.9351,22550L2K6=
2023-01-25,94.2577,94.4419,22550L2K6=
2023-01-26,94.2444,94.4282,22550L2K6=
2023-01-27,94.3776,94.5618,22550L2K6=
2023-01-30,94.3686,94.5526,22550L2K6=
2023-01-31,94.666,94.8506,22550L2K6=
2023-02-01,95.1753,95.361,22550L2K6=
2023-02-02,95.2976,95.4833,22550L2K6=
2023-02-03,94.7054,94.8896,22550L2K6=
2023-02-06,94.4218,94.6052,22550L2K6=
2023-02-07,94.575,94.7587,22550L2K6=
2023-02-08,94.9049,95.0893,22550L2K6=
2023-02-09,94.6192,94.8026,22550L2K6=
2023-02-10,93.8568,94.0383,22550L2K6=
2023-02-13,94.1432,94.3253,22550L2K6=
2023-02-14,93.7003,93.8813,22550L2K6=
2023-02-15,93.3791,93.5592,22550L2K6=
2023-02-16,93.2459,93.4253,22550L2K6=
2023-02-17,93.4252,93.6049,22550L2K6=
2023-02-20,93.2702,93.4496,22550L2K6=
