Date,BID,ASK,RIC
2023-01-10,100.324,100.414,22550L2L4=
2023-01-11,100.372,100.463,22550L2L4=
2023-01-12,100.501,100.591,22550L2L4=
2023-01-13,100.362,100.452,22550L2L4=
2023-01-16,100.317,100.407,22550L2L4=
2023-01-17,100.395,100.485,22550L2L4=
2023-01-18,100.611,100.702,22550L2L4=
2023-01-19,100.526,100.615,22550L2L4=
2023-01-20,100.441,100.531,22550L2L4=
2023-01-23,101.767,101.858,22550L2L4=
2023-01-24,101.874,101.965,22550L2L4=
2023-01-25,101.954,102.045,22550L2L4=
2023-01-26,102.079,102.169,22550L2L4=
2023-01-27,102.124,102.215,22550L2L4=
2023-01-30,102.157,102.248,22550L2L4=
2023-01-31,102.511,102.603,22550L2L4=
2023-02-01,102.763,102.854,22550L2L4=
2023-02-02,102.583,102.673,22550L2L4=
2023-02-03,102.252,102.342,22550L2L4=
2023-02-06,102.084,102.174,22550L2L4=
2023-02-07,102.185,102.275,22550L2L4=
2023-02-08,102.246,102.336,22550L2L4=
2023-02-09,102.192,102.281,22550L2L4=
2023-02-10,102.087,102.176,22550L2L4=
2023-02-13,102.068,102.157,22550L2L4=
2023-02-14,101.714,101.803,22550L2L4=
2023-02-15,101.659,101.747,22550L2L4=
2023-02-16,101.361,101.448,22550L2L4=
2023-02-17,101.284,101.372,22550L2L4=
2023-02-20,101.228,101.315,22550L2L4=
2023-02-21,101.235,101.322,22550L2L4=
2023-02-22,100.618,100.705,22550L2L4=
2023-02-23,100.743,100.829,22550L2L4=
2023-02-24,100.754,100.839,22550L2L4=
2023-02-27,100.979,101.065,22550L2L4=
2023-02-28,100.89,100.975,22550L2L4=
2023-03-01,100.787,100.872,22550L2L4=
2023-03-02,100.83,100.915,22550L2L4=
2023-03-03,101.162,101.248,22550L2L4=
2023-03-06,101.031,101.116,22550L2L4=
2023-03-07,100.682,100.767,22550L2L4=
2023-03-08,100.713,100.797,22550L2L4=
2023-03-09,100.221,100.305,22550L2L4=
2023-03-10,100.445,100.529,22550L2L4=
2023-03-13,99.89,99.973,22550L2L4=
2023-03-14,98.289,98.37,22550L2L4=
2023-03-15,93.5,93.625,22550L2L4=
2023-03-16,92.0,92.125,22550L2L4=
2023-03-17,93.75,96.75,22550L2L4=
2023-03-20,101.0,104.0,22550L2L4=
2023-03-21,101.25,104.25,22550L2L4=
2023-03-22,101.5,104.5,22550L2L4=
2023-03-23,100.25,103.25,22550L2L4=
2023-03-24,100.0,103.0,22550L2L4=
2023-03-27,101.0,102.5,22550L2L4=
2023-03-28,100.75,102.25,22550L2L4=
2023-03-29,101.0,102.5,22550L2L4=
2023-03-30,100.0,101.5,22550L2L4=
2023-03-31,102.0,103.5,22550L2L4=
2023-04-03,101.5,103.0,22550L2L4=
2023-04-04,101.75,103.25,22550L2L4=
2023-04-05,101.625,103.125,22550L2L4=
2023-04-06,101.75,103.25,22550L2L4=
2023-04-07,101.6,103.1,22550L2L4=
2023-04-10,101.5,103.0,22550L2L4=
2023-04-11,101.5,103.0,22550L2L4=
2023-04-12,101.25,102.75,22550L2L4=
2023-04-13,101.5,103.0,22550L2L4=
2023-04-14,101.25,102.75,22550L2L4=
2023-04-17,101.375,102.875,22550L2L4=
2023-04-18,101.375,102.875,22550L2L4=
2023-04-19,101.75,103.25,22550L2L4=
2023-04-20,101.5,103.0,22550L2L4=
2023-04-21,101.75,103.25,22550L2L4=
2023-04-24,101.75,102.25,22550L2L4=
2023-04-25,101.5,102.0,22550L2L4=
2023-04-26,102.25,102.75,22550L2L4=
2023-04-27,101.5,102.0,22550L2L4=
2023-04-28,101.625,102.125,22550L2L4=
2023-05-01,101.25,101.75,22550L2L4=
2023-05-02,101.5,102.0,22550L2L4=
2023-05-03,101.75,102.25,22550L2L4=
2023-05-04,101.25,101.75,22550L2L4=
2023-05-05,101.875,102.375,22550L2L4=
2023-05-08,101.625,102.125,22550L2L4=
2023-05-09,101.625,102.125,22550L2L4=
2023-05-10,101.75,102.25,22550L2L4=
2023-05-11,101.875,102.375,22550L2L4=
2023-05-12,102.0,102.5,22550L2L4=
2023-05-15,102.0,102.5,22550L2L4=
2023-05-16,101.625,102.125,22550L2L4=
2023-05-17,102.0,102.5,22550L2L4=
2023-05-18,101.75,102.25,22550L2L4=
2023-05-19,101.25,101.75,22550L2L4=
2023-05-22,101.0,101.5,22550L2L4=
2023-05-23,101.5,102.0,22550L2L4=
2023-05-24,101.5,102.0,22550L2L4=
2023-05-25,101.375,101.875,22550L2L4=
2023-05-26,101.75,102.25,22550L2L4=
2023-05-29,101.75,102.25,22550L2L4=
2023-05-30,101.25,101.75,22550L2L4=
2023-05-31,101.5,102.0,22550L2L4=
2023-06-01,101.5,102.0,22550L2L4=
2023-06-02,101.5,102.0,22550L2L4=
2023-06-05,101.25,101.75,22550L2L4=
2023-06-06,101.375,101.875,22550L2L4=
2023-06-07,101.5,102.0,22550L2L4=
2023-06-08,101.625,102.125,22550L2L4=
2023-06-09,101.375,101.875,22550L2L4=
2023-06-12,101.75,102.25,22550L2L4=
2023-06-13,101.867,102.367,22550L2L4=
2023-06-14,101.56,102.06,22550L2L4=
2023-06-15,102.043,102.543,22550L2L4=
2023-06-16,102.061,102.561,22550L2L4=
2023-06-19,102.021,102.521,22550L2L4=
2023-06-20,102.077,102.577,22550L2L4=
2023-06-21,102.0,102.5,22550L2L4=
2023-06-22,101.74,102.24,22550L2L4=
2023-06-23,102.061,102.561,22550L2L4=
2023-06-26,102.06,102.56,22550L2L4=
2023-06-27,101.843,102.343,22550L2L4=
2023-06-28,101.879,102.379,22550L2L4=
2023-06-29,101.961,102.461,22550L2L4=
2023-06-30,101.858,102.358,22550L2L4=
2023-07-03,101.83,102.33,22550L2L4=
2023-07-04,101.845,102.345,22550L2L4=
2023-07-05,101.833,102.333,22550L2L4=
2023-07-07,101.992,102.492,22550L2L4=
2023-07-10,101.673,102.173,22550L2L4=
2023-07-11,102.013,102.513,22550L2L4=
2023-07-12,102.371,102.871,22550L2L4=
2023-07-13,102.409,102.909,22550L2L4=
2023-07-14,102.277,102.777,22550L2L4=
2023-07-17,102.276,102.776,22550L2L4=
2023-07-18,102.267,102.767,22550L2L4=
2023-07-19,102.16,102.66,22550L2L4=
2023-07-20,102.336,102.836,22550L2L4=
2023-07-21,102.332,102.832,22550L2L4=
